Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
AAL;18.1949;19.30;21.40;19.10;21.05;2005-09-27;961200
AAL;19.3262;20.50;20.53;19.20;19.30;2005-09-28;5747900
AAL;19.0528;20.21;20.58;20.10;20.40;2005-09-29;1078200
AAL;19.8070;21.01;21.05;20.18;20.26;2005-09-30;3123300
AAL;20.2689;21.50;21.75;20.90;20.90;2005-10-03;1057900
AAL;20.8912;22.16;22.50;21.44;21.44;2005-10-04;1768800
AAL;20.9289;22.20;22.31;21.75;22.10;2005-10-05;904300
AAL;21.2871;22.58;23.00;22.40;22.60;2005-10-06;1614200
AAL;20.8817;22.15;22.60;21.80;22.25;2005-10-07;753400
AAL;20.9383;22.21;22.29;22.10;22.28;2005-10-10;538700
AAL;20.7215;21.98;22.30;21.80;22.26;2005-10-11;764600
AAL;20.5141;21.76;22.05;21.64;21.90;2005-10-12;912900
AAL;20.4669;21.71;21.80;21.40;21.70;2005-10-13;531300
AAL;20.9948;22.27;22.40;21.85;21.85;2005-10-14;887800
AAL;20.8157;22.08;22.22;21.85;22.15;2005-10-17;464000
AAL;20.2595;21.49;22.30;21.35;22.06;2005-10-18;1815500
AAL;20.1558;21.38;21.60;20.85;21.37;2005-10-19;1466000
AAL;19.8164;21.02;21.48;20.85;21.35;2005-10-20;640900
AAL;20.7026;21.96;22.42;21.01;21.02;2005-10-21;917000
AAL;21.0326;22.31;22.36;21.95;22.01;2005-10-24;508800
AAL;20.7403;22.00;22.54;21.70;22.25;2005-10-25;437300
AAL;21.0420;22.32;22.45;21.99;22.00;2005-10-26;543200
AAL;21.2682;22.56;22.56;22.20;22.26;2005-10-27;351200
AAL;22.5315;23.90;23.90;22.37;22.55;2005-10-28;1614900
AAL;23.2669;24.68;25.35;24.00;24.00;2005-10-31;706400
AAL;23.5874;25.02;25.08;24.69;24.70;2005-11-01;866800
AAL;25.9725;27.55;28.10;25.20;25.23;2005-11-02;2870200
AAL;26.2742;27.87;28.10;27.60;27.60;2005-11-03;906100
AAL;27.1510;28.80;29.00;27.77;27.80;2005-11-04;912600
AAL;27.2735;28.93;29.43;28.38;29.00;2005-11-07;486900
AAL;27.7449;29.43;29.70;29.00;29.10;2005-11-08;1395000
AAL;29.5078;31.30;31.30;29.43;29.43;2005-11-09;1312300
AAL;30.9219;32.80;33.96;31.15;31.15;2005-11-10;1948900
AAL;31.4404;33.35;33.95;33.00;33.05;2005-11-11;1183900
AAL;31.8175;33.75;34.50;33.45;33.50;2005-11-14;1059200
AAL;31.9401;33.88;33.88;32.84;33.75;2005-11-15;759200
AAL;31.6761;33.60;33.85;33.40;33.51;2005-11-16;542600
