Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
AAPL;0.2249;0.2607;0.2616;0.2555;0.2580;2003-02-04;317413600
AAPL;0.2226;0.2580;0.2666;0.2579;0.2627;2003-02-05;221614400
AAPL;0.2223;0.2577;0.2605;0.2539;0.2564;2003-02-06;179149600
AAPL;0.2180;0.2527;0.2607;0.2512;0.2598;2003-02-07;269701600
AAPL;0.2211;0.2562;0.2602;0.2511;0.2546;2003-02-10;167888000
AAPL;0.2211;0.2562;0.2612;0.2536;0.2589;2003-02-11;164780000
AAPL;0.2217;0.2570;0.2607;0.2548;0.2548;2003-02-12;228687200
AAPL;0.2240;0.2596;0.2614;0.2543;0.2573;2003-02-13;208493600
AAPL;0.2260;0.2620;0.2629;0.2562;0.2609;2003-02-14;243297600
AAPL;0.2352;0.2727;0.2732;0.2629;0.2634;2003-02-18;290897600
AAPL;0.2288;0.2652;0.2705;0.2621;0.2691;2003-02-19;240368800
AAPL;0.2275;0.2637;0.2671;0.2627;0.2652;2003-02-20;224352800
AAPL;0.2311;0.2679;0.2689;0.2616;0.2646;2003-02-21;157444000
AAPL;0.2271;0.2632;0.2684;0.2464;0.2654;2003-02-24;180252800
AAPL;0.2314;0.2682;0.2693;0.2604;0.2621;2003-02-25;188641600
AAPL;0.2234;0.2589;0.2682;0.2586;0.2677;2003-02-26;217095200
AAPL;0.2289;0.2654;0.2679;0.2591;0.2602;2003-02-27;154341600
AAPL;0.2312;0.2680;0.2695;0.2637;0.2654;2003-02-28;195098400
AAPL;0.2257;0.2616;0.2707;0.2598;0.2680;2003-03-03;203761600
AAPL;0.2243;0.2600;0.2645;0.2579;0.2632;2003-03-04;126414400
AAPL;0.2252;0.2611;0.2643;0.2593;0.2609;2003-03-05;126683200
AAPL;0.2243;0.2600;0.2607;0.2571;0.2604;2003-03-06;99859200
AAPL;0.2238;0.2595;0.2627;0.2555;0.2584;2003-03-07;200984000
AAPL;0.2214;0.2566;0.2620;0.2554;0.2591;2003-03-10;134573600
AAPL;0.2192;0.2541;0.2587;0.2521;0.2564;2003-03-11;161190400
AAPL;0.2191;0.2539;0.2570;0.2511;0.2530;2003-03-12;222560800
AAPL;0.2268;0.2629;0.2643;0.2530;0.2584;2003-03-13;335445600
AAPL;0.2277;0.2639;0.2680;0.2614;0.2621;2003-03-14;153098400
AAPL;0.2312;0.2680;0.2691;0.2627;0.2659;2003-03-17;399912800
AAPL;0.2311;0.2679;0.2695;0.2646;0.2679;2003-03-18;229980800
AAPL;0.2303;0.2670;0.2705;0.2641;0.2691;2003-03-19;141316000
AAPL;0.2297;0.2663;0.2677;0.2607;0.2666;2003-03-20;163178400
AAPL;0.2311;0.2679;0.2705;0.2646;0.2695;2003-03-21;297948000
AAPL;0.2214;0.2566;0.2643;0.2562;0.2620;2003-03-24;161100800
AAPL;0.2241;0.2598;0.2648;0.2566;0.2573;2003-03-25;167697600
AAPL;0.2220;0.2573;0.2600;0.2554;0.2598;2003-03-26;178343200
AAPL;0.2232;0.2587;0.2625;0.2557;0.2557;2003-03-27;122393600
AAPL;0.2244;0.2602;0.2611;0.2566;0.2571;2003-03-28;145303200
AAPL;0.2178;0.2525;0.2595;0.2507;0.2559;2003-03-31;256659200
AAPL;0.2181;0.2529;0.2555;0.2512;0.2536;2003-04-01;154341600
AAPL;0.2249;0.2607;0.2623;0.2548;0.2564;2003-04-02;171371200
AAPL;0.2227;0.2582;0.2625;0.2562;0.2600;2003-04-03;145712000
AAPL;0.2220;0.2573;0.2620;0.2570;0.2593;2003-04-04;146020000
AAPL;0.2232;0.2587;0.2670;0.2573;0.2652;2003-04-07;196862400
AAPL;0.2226;0.2580;0.2616;0.2564;0.2591;2003-04-08;128934400
AAPL;0.2186;0.2534;0.2611;0.2525;0.2593;2003-04-09;146725600
AAPL;0.2214;0.2566;0.2570;0.2536;0.2536;2003-04-10;107100000
AAPL;0.2033;0.2357;0.2579;0.2309;0.2509;2003-04-11;1392708800
AAPL;0.2092;0.2425;0.2455;0.2411;0.2448;2003-04-14;502958400
AAPL;0.2063;0.2391;0.2429;0.2375;0.2427;2003-04-15;303968000
AAPL;0.2040;0.2364;0.2441;0.2307;0.2320;2003-04-16;1016176000
AAPL;0.2021;0.2343;0.2366;0.2271;0.2357;2003-04-17;616257600
AAPL;0.2024;0.2346;0.2355;0.2318;0.2345;2003-04-21;152320000
AAPL;0.2081;0.2412;0.2432;0.2338;0.2354;2003-04-22;300568800
AAPL;0.2092;0.2425;0.2434;0.2386;0.2416;2003-04-23;209680800
AAPL;0.2070;0.2400;0.2430;0.2321;0.2414;2003-04-24;325108000
AAPL;0.2056;0.2384;0.2425;0.2362;0.2404;2003-04-25;205318400
AAPL;0.2135;0.2475;0.2493;0.2398;0.2407;2003-04-28;636798400
AAPL;0.2166;0.2511;0.2529;0.2425;0.2496;2003-04-29;458236800
AAPL;0.2191;0.2539;0.2562;0.2473;0.2488;2003-04-30;458175200
AAPL;0.2212;0.2564;0.2570;0.2500;0.2545;2003-05-01;342759200
AAPL;0.2226;0.2580;0.2605;0.2561;0.2582;2003-05-02;321182400
AAPL;0.2479;0.2873;0.3014;0.2634;0.2637;2003-05-05;1555708000
AAPL;0.2696;0.3125;0.3196;0.2875;0.2879;2003-05-06;1514492000
AAPL;0.2719;0.3152;0.3257;0.3055;0.3095;2003-05-07;1054379200
AAPL;0.2773;0.3214;0.3227;0.3088;0.3161;2003-05-08;687736000
AAPL;0.2819;0.3268;0.3286;0.3193;0.3273;2003-05-09;588386400
AAPL;0.2859;0.3314;0.3346;0.3237;0.3241;2003-05-12;419372800
AAPL;0.2876;0.3334;0.3388;0.3205;0.3291;2003-05-13;446796000
AAPL;0.2858;0.3313;0.3364;0.3291;0.3363;2003-05-14;355488000
