Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ABT;10.0288;16.6991;16.9236;16.4163;16.8562;2003-02-04;8144782
ABT;9.9425;16.5555;17.0089;16.4836;16.8338;2003-02-05;5826453
ABT;9.9479;16.5644;16.8607;16.3131;16.5510;2003-02-06;9781892
ABT;10.0692;16.7664;16.8787;16.2951;16.7216;2003-02-07;8827561
ABT;9.9587;16.5824;16.7709;16.0482;16.7709;2003-02-10;15568247
ABT;9.7511;16.2367;16.3939;16.0751;16.3849;2003-02-11;10815305
ABT;9.5462;15.8956;16.2457;15.8327;16.1604;2003-02-12;8613483
ABT;9.4033;15.6577;15.8731;15.3973;15.5095;2003-02-13;11835129
ABT;9.6540;16.0751;16.1155;15.6218;15.7115;2003-02-14;10938495
ABT;9.8670;16.4298;16.5824;16.2861;16.2951;2003-02-18;7358863
ABT;9.6513;16.0707;16.5734;16.0258;16.5644;2003-02-19;8795706
ABT;9.4896;15.8013;16.3041;15.7430;16.2727;2003-02-20;7361982
ABT;9.4572;15.7474;15.9988;15.4916;15.9270;2003-02-21;11869658
ABT;9.2685;15.4332;15.8462;15.3614;15.8238;2003-02-24;8111590
ABT;9.3548;15.5769;15.6038;15.1504;15.3300;2003-02-25;9707711
ABT;9.3548;15.5769;15.8821;15.5589;15.6891;2003-02-26;7463563
ABT;9.5785;15.9494;16.0662;15.5365;15.5544;2003-02-27;9565363
ABT;9.6028;15.9898;16.1335;15.8462;15.9135;2003-02-28;8272873
ABT;9.4437;15.7250;16.1604;15.6577;15.9898;2003-03-03;7490740
ABT;9.5597;15.9180;16.1829;15.7115;15.7250;2003-03-04;7732665
ABT;9.6891;16.1335;16.2143;15.9180;16.0931;2003-03-05;7716180
ABT;9.4950;15.8103;16.0751;15.7519;15.8597;2003-03-06;7946966
ABT;9.5570;15.9135;15.9764;15.4916;15.5769;2003-03-07;5723312
ABT;9.3036;15.4916;15.7878;15.4557;15.7340;2003-03-10;5878358
ABT;9.3737;15.6083;15.7564;15.2806;15.5185;2003-03-11;7278444
ABT;9.4222;15.6891;15.6981;15.4422;15.5544;2003-03-12;7671181
ABT;9.6729;16.1066;16.1604;15.8103;16.1604;2003-03-13;9757388
ABT;9.4869;15.7968;16.0707;15.7474;15.8911;2003-03-14;7841152
ABT;9.8535;16.4073;16.4073;15.7160;15.8013;2003-03-17;8746920
ABT;10.0800;16.7844;16.7844;16.4612;16.4971;2003-03-18;9055228
ABT;10.2768;17.1121;17.1390;16.7350;16.7440;2003-03-19;7453539
ABT;10.1716;16.9370;17.1076;16.6812;16.8652;2003-03-20;8093992
ABT;10.5922;17.6373;17.7002;17.0627;17.2692;2003-03-21;10046984
ABT;10.3388;17.2153;17.2423;16.9685;17.2378;2003-03-24;9937383
ABT;10.5086;17.4982;17.6149;16.9909;17.2153;2003-03-25;8315421
ABT;10.4736;17.4398;17.4982;17.3051;17.3949;2003-03-26;6845609
ABT;10.3846;17.2917;17.4622;17.0582;17.2064;2003-03-27;8662937
ABT;10.3010;17.1525;17.2378;17.0358;17.1256;2003-03-28;6923800
ABT;10.1393;16.8832;17.0178;16.6273;16.8338;2003-03-31;9473361
ABT;10.4898;17.4667;17.4892;16.8652;16.8877;2003-04-01;8200920
ABT;10.8780;18.1132;18.2703;17.7944;17.7989;2003-04-02;10150348
ABT;10.6165;17.6777;18.0817;17.6777;18.0817;2003-04-03;8574721
ABT;10.8321;18.0368;18.0593;17.7540;17.7765;2003-04-04;6663386
ABT;10.8294;18.0323;18.4139;17.9785;18.3600;2003-04-07;9092208
ABT;10.7647;17.9246;18.1580;17.8303;18.0907;2003-04-08;6954765
ABT;10.8402;18.0503;18.3152;17.5655;18.1356;2003-04-09;16184642
ABT;10.8133;18.0054;18.0548;17.8887;18.0548;2003-04-10;6431041
ABT;10.6112;17.5610;18.2478;17.4578;17.9246;2003-04-11;8203370
ABT;10.8879;18.0189;18.0234;17.5969;17.6553;2003-04-14;6881697
ABT;10.7305;17.7585;17.9605;17.5520;17.9560;2003-04-15;9513013
ABT;10.4918;17.3635;17.8842;17.2647;17.8707;2003-04-16;5549777
ABT;10.7522;17.7944;17.7944;17.3635;17.3635;2003-04-17;6741355
ABT;10.5651;17.4847;17.8573;17.3725;17.7944;2003-04-21;6834471
ABT;10.7685;17.8214;17.8573;17.2872;17.4398;2003-04-22;7719967
ABT;10.8228;17.9111;17.9471;17.6732;17.6867;2003-04-23;5768757
ABT;10.8282;17.9201;18.0323;17.7720;17.8663;2003-04-24;8208494
ABT;10.7115;17.7271;18.0548;17.6912;17.9919;2003-04-25;6788804
ABT;10.8960;18.0323;18.1536;17.6059;17.6418;2003-04-28;4709948
ABT;11.0181;18.2344;18.3241;17.8259;18.1266;2003-04-29;6702816
ABT;11.0208;18.2388;18.4588;17.9560;18.1356;2003-04-30;8014464
ABT;11.1808;18.5037;18.6788;17.9785;18.2344;2003-05-01;7102236
ABT;11.4765;18.9930;19.0648;18.3421;18.5037;2003-05-02;10334575
ABT;11.2622;18.6384;19.0289;18.5621;18.9975;2003-05-05;5652696
ABT;11.5009;19.0334;19.0603;18.6833;18.8089;2003-05-06;7209387
ABT;11.5822;19.1681;19.3476;18.7057;19.0334;2003-05-07;9386927
ABT;11.6229;19.2354;19.4015;19.0828;19.1007;2003-05-08;8828675
ABT;11.7667;19.4733;19.5272;19.2354;19.3476;2003-05-09;7596777
ABT;11.7233;19.4015;19.4060;19.0783;19.2803;2003-05-12;7535739
ABT;11.7911;19.5137;19.6394;19.3476;19.4239;2003-05-13;9236115
ABT;11.6907;19.3476;19.5272;19.2444;19.5182;2003-05-14;6558241
ABT;11.9132;19.7157;19.7920;19.4599;19.5855;2003-05-15;9019363
ABT;11.6772;19.3252;19.8414;19.3252;19.7516;2003-05-16;8960775
ABT;11.1862;18.5127;19.2803;18.4049;19.2803;2003-05-19;11751592
ABT;11.1211;18.4049;18.5710;18.2568;18.4049;2003-05-20;8555118
ABT;11.2296;18.5845;18.7596;18.3286;18.4049;2003-05-21;7347056
ABT;11.3788;18.8314;19.1007;18.5890;18.5935;2003-05-22;8313417
ABT;11.4141;18.8897;19.0379;18.6743;18.8089;2003-05-23;3803958
ABT;11.6474;19.2758;19.3027;18.7192;18.8897;2003-05-27;6518811
ABT;11.8128;19.5496;19.5631;19.2130;19.2758;2003-05-28;8729099
ABT;11.8860;19.6708;20.4699;19.6035;20.4699;2003-05-29;13933365
ABT;12.0841;19.9985;20.2185;19.6888;19.8414;2003-05-30;11154356
ABT;11.9159;19.7202;20.1512;19.6619;20.1108;2003-06-02;7967460
ABT;11.9484;19.7741;19.9312;19.5945;19.7516;2003-06-03;7021149
ABT;12.1139;20.0479;20.3083;19.6843;20.3083;2003-06-04;5351293
ABT;12.2712;20.3083;20.3173;19.8414;19.9312;2003-06-05;6426586
ABT;12.2631;20.2948;20.8245;20.2230;20.3577;2003-06-06;7789470
ABT;12.1763;20.1512;20.5372;20.0704;20.2993;2003-06-09;5906649
ABT;12.3906;20.5058;20.5327;20.1826;20.3711;2003-06-10;5415227
ABT;12.3689;20.4699;20.5552;20.3532;20.4295;2003-06-11;8230325
ABT;12.4041;20.5282;20.5821;20.3307;20.5776;2003-06-12;5860759
ABT;12.3689;20.4699;20.6225;20.3846;20.5821;2003-06-13;6977264
ABT;12.5370;20.7482;20.8514;20.4070;20.4744;2003-06-16;8463561
ABT;12.6130;20.8739;21.0714;20.7617;20.8739;2003-06-17;10971242
ABT;12.4774;20.6494;20.9188;20.5507;20.8739;2003-06-18;8606800
ABT;12.3689;20.4699;20.8110;20.2454;20.8066;2003-06-19;8203593
ABT;12.3716;20.4744;20.7572;20.3801;20.6045;2003-06-20;11536845
ABT;12.0298;19.9088;20.4250;19.7741;20.4025;2003-06-23;7930481
ABT;12.0515;19.9447;20.1646;19.8010;19.9761;2003-06-24;6807516
ABT;12.0325;19.9132;20.2679;19.9088;20.0659;2003-06-25;7275771
ABT;12.1573;20.1197;20.1961;19.7516;19.8863;2003-06-26;5585643
ABT;11.8264;19.5721;20.1197;19.4374;20.1197;2003-06-27;8261735
ABT;11.8698;19.6439;19.8639;19.4599;19.6619;2003-06-30;6366439
ABT;11.8128;19.5496;19.6574;18.9885;19.5945;2003-07-01;10387594
ABT;11.9837;19.8324;19.8953;19.4150;19.4823;2003-07-02;6472030
ABT;11.9945;19.8504;20.0300;19.6619;19.8100;2003-07-03;3749826
ABT;12.2007;20.1916;20.1916;19.7786;19.8549;2003-07-07;7886373
ABT;12.0705;19.9761;20.2409;19.9043;20.1916;2003-07-08;5690566
ABT;11.8481;19.6080;20.0434;19.5362;19.8459;2003-07-09;5974370
ABT;11.8128;19.5496;19.6349;19.0334;19.3027;2003-07-10;12135641
ABT;12.0079;19.7606;19.8324;19.3970;19.4913;2003-07-11;7537967
ABT;12.0133;19.7696;20.1108;19.7292;19.8684;2003-07-14;7423688
ABT;11.7705;19.3701;19.8908;19.2623;19.7965;2003-07-15;13440384
ABT;11.5659;19.0334;19.4239;18.9346;19.3476;2003-07-16;8236785
ABT;11.4705;18.8763;19.2803;18.6788;19.0379;2003-07-17;6512574
ABT;11.2932;18.5845;18.7102;18.3286;18.3286;2003-07-18;9441282
ABT;11.2659;18.5396;18.5890;18.2703;18.5800;2003-07-21;8249928
ABT;11.3041;18.6025;18.7461;18.1580;18.5441;2003-07-22;9230100
ABT;11.1295;18.3152;18.4319;18.0009;18.4049;2003-07-23;13661813
ABT;10.9140;17.9605;18.5082;17.9471;18.2254;2003-07-24;12062574
ABT;10.9740;18.0593;18.2029;17.8438;17.9605;2003-07-25;9444847
ABT;10.7340;17.6642;18.0593;17.5745;18.0593;2003-07-28;12802381
ABT;10.6139;17.4667;17.7316;17.3276;17.7316;2003-07-29;13801488
ABT;10.7149;17.6328;17.6732;17.2827;17.5296;2003-07-30;14739111
ABT;10.7067;17.6194;18.0009;17.4533;17.8887;2003-07-31;9133865
ABT;10.5130;17.3006;17.6238;17.1974;17.6194;2003-08-01;8245696
ABT;10.5021;17.2827;17.3051;16.9640;17.3006;2003-08-04;8415889
ABT;10.3248;16.9909;17.4533;16.9011;17.3051;2003-08-05;10896392
ABT;10.5294;17.3276;17.5251;16.9056;16.9550;2003-08-06;11584072
ABT;10.8867;17.9156;17.9515;17.1390;17.3321;2003-08-07;12937600
ABT;10.8840;17.9111;18.1805;17.8259;18.0862;2003-08-08;7244138
ABT;10.8022;17.7765;18.0323;17.6867;17.9111;2003-08-11;5386267
ABT;10.7940;17.7630;17.9515;17.5341;17.8887;2003-08-12;8751598
ABT;10.7531;17.6957;17.8214;17.5834;17.7765;2003-08-13;6124069
ABT;10.8022;17.7765;17.8573;17.6104;17.6777;2003-08-14;7129191
ABT;10.8240;17.8124;17.8438;17.5745;17.7540;2003-08-15;5863432
ABT;10.8540;17.8618;17.9830;17.6867;17.9560;2003-08-18;6337256
ABT;10.7831;17.7451;17.9111;17.6104;17.9111;2003-08-19;7047658
ABT;10.6385;17.5071;17.6777;17.3590;17.5969;2003-08-20;10547317
ABT;10.5294;17.3276;17.5790;17.2153;17.5251;2003-08-21;10437939
ABT;10.6330;17.4982;17.8663;17.4174;17.8663;2003-08-22;17169937
ABT;10.7994;17.7720;17.9156;17.2513;17.4757;2003-08-25;12998192
ABT;10.8976;17.9336;18.0009;17.7630;17.7630;2003-08-26;12247915
ABT;10.8294;17.8214;17.9471;17.7451;17.9111;2003-08-27;7791921
ABT;10.8622;17.8752;17.9560;17.5565;17.8842;2003-08-28;6203151
ABT;10.9931;18.0907;18.1311;17.7720;17.8797;2003-08-29;7113597
ABT;11.2250;18.4723;18.5037;18.0907;18.2029;2003-09-02;10146783
ABT;11.3886;18.7416;18.7641;18.5396;18.6294;2003-09-03;10299378
ABT;11.2386;18.4947;18.7596;18.4723;18.7416;2003-09-04;6992189
ABT;11.4568;18.8538;18.8538;18.4768;18.4947;2003-09-05;9976144
ABT;11.6751;19.2130;19.2219;18.8583;18.8718;2003-09-08;8851174
ABT;11.5441;18.9975;19.2264;18.9391;19.2085;2003-09-09;6162830
ABT;11.8060;19.4284;19.6978;18.9975;18.9975;2003-09-10;10618825
ABT;11.8851;19.5586;19.7427;19.4329;19.4329;2003-09-11;7949194
ABT;12.0188;19.7786;19.8369;19.3162;19.4823;2003-09-12;7831796
ABT;11.9315;19.6349;19.8055;19.5721;19.7786;2003-09-15;7145898
ABT;11.9833;19.7202;19.7337;19.5272;19.6080;2003-09-16;6720637
ABT;12.0160;19.7741;19.8504;19.6484;19.7516;2003-09-17;6954987
ABT;12.0324;19.8010;19.9402;19.7157;19.7292;2003-09-18;6398294
ABT;11.8551;19.5092;19.7965;19.4823;19.7965;2003-09-19;7866993
ABT;11.6505;19.1726;19.3791;18.9706;19.1681;2003-09-22;8306511
ABT;11.7378;19.3162;19.3701;18.8673;19.1681;2003-09-23;6720860
ABT;11.4841;18.8987;19.2803;18.8089;19.2354;2003-09-24;8964340
ABT;11.4841;18.8987;19.1187;18.7326;18.7641;2003-09-25;7244138
ABT;11.5441;18.9975;19.1322;18.7955;18.8987;2003-09-26;8689892
ABT;11.6069;19.1007;19.2982;18.9212;19.0020;2003-09-29;8107135
ABT;11.6069;19.1007;19.2309;18.8853;19.0783;2003-09-30;10315863
ABT;11.6696;19.2040;19.2893;18.8089;18.9212;2003-10-01;10470686
ABT;11.7705;19.3701;19.4284;19.1456;19.2085;2003-10-02;9901740
ABT;11.6287;19.1366;19.6843;19.1232;19.3611;2003-10-03;9476480
ABT;11.6587;19.1860;19.3252;19.0514;19.1366;2003-10-06;6198919
ABT;11.5114;18.9436;19.0199;18.8538;18.9885;2003-10-07;9109138
ABT;11.4432;18.8314;19.0469;18.7012;19.0334;2003-10-08;7689448
ABT;11.5114;18.9436;19.2354;18.8987;19.1815;2003-10-09;12367764
ABT;11.4661;18.7596;18.9930;18.3780;18.9436;2003-10-10;8253492
ABT;11.5265;18.8583;18.9930;18.7865;18.8538;2003-10-13;6537078
ABT;11.5512;18.8987;18.9436;18.6294;18.8000;2003-10-14;8861867
ABT;11.5045;18.8224;19.0110;18.7147;18.9436;2003-10-15;8786795
ABT;11.5923;18.9661;19.1322;18.8134;18.8134;2003-10-16;8214508
ABT;11.4634;18.7551;19.0558;18.6518;18.9706;2003-10-17;8155698
ABT;11.5923;18.9661;19.0110;18.6249;18.7596;2003-10-20;9553334
ABT;11.6609;19.0783;19.1591;18.8269;19.0334;2003-10-21;6518811
