Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ACN;12.2361;16.35;16.60;15.99;16.06;2003-02-04;1293100
ACN;12.2585;16.38;16.55;16.25;16.36;2003-02-05;1223900
ACN;11.9667;15.99;16.34;15.95;16.18;2003-02-06;1346500
ACN;11.3081;15.11;16.05;14.94;16.05;2003-02-07;2300900
ACN;11.4503;15.30;15.35;15.00;15.02;2003-02-10;1882300
ACN;11.5251;15.40;15.92;15.32;15.32;2003-02-11;1336400
ACN;10.9638;14.65;15.15;14.59;15.05;2003-02-12;1599300
ACN;10.9938;14.69;15.00;14.48;14.64;2003-02-13;1341400
ACN;11.4278;15.27;15.32;14.76;14.80;2003-02-14;736100
ACN;11.9742;16.00;16.10;15.50;15.50;2003-02-18;1577800
ACN;11.9742;16.00;16.30;15.80;16.00;2003-02-19;589000
ACN;11.6748;15.60;16.05;15.55;16.01;2003-02-20;826700
ACN;11.7122;15.65;15.65;15.34;15.57;2003-02-21;1048200
ACN;11.3530;15.17;15.54;15.15;15.50;2003-02-24;1134500
ACN;11.8469;15.83;15.83;14.85;15.00;2003-02-25;1264300
ACN;11.6748;15.60;15.89;15.38;15.70;2003-02-26;992300
ACN;11.2258;15.00;15.62;14.93;15.60;2003-02-27;1365900
ACN;11.4802;15.34;15.45;14.90;15.07;2003-02-28;3224800
ACN;11.7571;15.71;15.80;15.51;15.60;2003-03-03;1497700
ACN;11.6823;15.61;15.74;15.42;15.55;2003-03-04;846300
ACN;11.8020;15.77;15.80;15.55;15.70;2003-03-05;1235300
ACN;11.9966;16.03;16.08;15.79;15.80;2003-03-06;2125500
ACN;11.8245;15.80;15.80;15.59;15.80;2003-03-07;1868800
ACN;11.3755;15.20;15.70;15.20;15.55;2003-03-10;664200
ACN;10.6046;14.17;15.17;14.15;15.17;2003-03-11;3057100
ACN;10.3202;13.79;14.31;13.79;14.20;2003-03-12;5790500
ACN;10.3502;13.83;13.98;13.45;13.79;2003-03-13;5376700
ACN;10.9115;14.58;14.95;13.89;13.93;2003-03-14;2991500
ACN;11.3829;15.21;15.30;14.31;14.50;2003-03-17;1206800
ACN;11.7272;15.67;15.74;15.31;15.35;2003-03-18;2095600
ACN;11.5251;15.40;15.95;15.35;15.64;2003-03-19;2960200
ACN;11.5176;15.39;15.69;15.14;15.40;2003-03-20;1962300
ACN;11.8844;15.88;16.17;15.74;15.90;2003-03-21;1628700
ACN;11.8993;15.90;15.90;15.47;15.55;2003-03-24;1395500
ACN;11.7871;15.75;15.99;15.60;15.60;2003-03-25;1050500
ACN;11.7047;15.64;15.98;15.56;15.80;2003-03-26;889200
ACN;11.7422;15.69;15.95;15.50;15.56;2003-03-27;380800
ACN;11.7272;15.67;15.99;15.66;15.69;2003-03-28;690400
ACN;11.6000;15.50;15.77;15.14;15.40;2003-03-31;571500
ACN;11.2108;14.98;15.65;14.93;15.60;2003-04-01;1173600
ACN;11.7571;15.71;15.85;15.25;15.25;2003-04-02;2394000
ACN;11.6748;15.60;16.02;15.36;15.70;2003-04-03;1799400
ACN;11.4278;15.27;15.75;15.10;15.75;2003-04-04;2049100
ACN;11.4054;15.24;16.25;15.22;16.15;2003-04-07;3008800
ACN;11.1584;14.91;15.30;14.84;15.30;2003-04-08;5115700
ACN;10.6420;14.22;15.05;14.20;14.93;2003-04-09;4060500
ACN;10.7992;14.43;14.64;13.70;14.17;2003-04-10;4826300
ACN;10.5223;14.06;14.70;13.94;14.70;2003-04-11;4637800
ACN;11.1509;14.90;15.05;13.45;14.06;2003-04-14;6074800
ACN;11.0237;14.73;14.75;14.40;14.75;2003-04-15;4080200
ACN;10.7767;14.40;14.84;14.25;14.83;2003-04-16;1981700
ACN;11.0387;14.75;15.05;14.50;14.50;2003-04-17;1959200
ACN;11.2258;15.00;15.08;14.75;14.82;2003-04-21;932900
ACN;11.8769;15.87;15.94;14.91;14.92;2003-04-22;2571600
ACN;12.0116;16.05;16.05;15.53;15.72;2003-04-23;2611300
ACN;11.7646;15.72;15.99;15.70;15.85;2003-04-24;1433900
ACN;11.7047;15.64;15.82;15.49;15.62;2003-04-25;1874700
