Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ADP;17.4861;26.5914;26.7263;26.2028;26.6866;2003-02-04;4241271
ADP;17.5904;26.7501;26.9087;26.3218;26.5994;2003-02-05;3335166
ADP;17.3140;26.3297;26.7025;26.2504;26.4487;2003-02-06;2885139
ADP;17.2097;26.1711;26.6707;26.1473;26.4408;2003-02-07;2281278
ADP;17.3557;26.3932;26.4725;26.0839;26.3297;2003-02-10;2123536
ADP;17.4444;26.5280;26.5280;26.0522;26.3932;2003-02-11;3187889
ADP;17.1524;26.0839;26.6628;26.0046;26.3377;2003-02-12;2532330
ADP;16.8395;25.6080;26.2504;25.2987;26.0125;2003-02-13;3272119
ADP;17.1106;26.0204;26.0363;25.2194;25.4574;2003-02-14;2897496
ADP;17.7521;26.9959;27.0593;26.7025;26.8056;2003-02-18;2469031
ADP;17.6061;26.7738;27.1545;26.5439;26.8452;2003-02-19;1705159
ADP;17.5904;26.7501;27.1624;26.6866;27.0356;2003-02-20;1549812
ADP;17.7156;26.9404;27.1545;26.7342;27.0038;2003-02-21;2852859
ADP;16.8707;25.6556;26.6470;25.6556;26.6073;2003-02-24;2893461
ADP;17.0741;25.9649;26.1156;24.8943;25.5763;2003-02-25;2856516
ADP;16.8082;25.5605;25.9491;25.3860;25.8935;2003-02-26;2085708
ADP;16.9438;25.7667;26.1077;25.2670;25.5922;2003-02-27;2362356
ADP;16.9490;25.7746;26.1473;25.6477;26.0522;2003-02-28;2313558
ADP;16.8864;25.6794;26.1711;25.6715;25.8618;2003-03-03;1805907
ADP;16.5370;25.1481;25.5763;25.0767;25.4177;2003-03-04;2575202
ADP;16.5787;25.2115;25.2591;24.8229;25.0212;2003-03-05;2435869
ADP;16.1928;24.6246;24.8626;24.4422;24.8229;2003-03-06;3242235
ADP;16.0468;24.4026;24.5215;24.1012;24.1091;2003-03-07;5953869
ADP;15.7495;23.9505;24.3867;23.9109;24.3867;2003-03-10;5185205
ADP;15.8225;24.0616;24.2598;23.8712;23.8712;2003-03-11;4943863
ADP;15.9429;24.1488;24.1805;23.3954;24.0378;2003-03-12;6880907
ADP;14.2675;21.6110;23.9267;21.6031;23.9267;2003-03-13;31330885
ADP;14.9429;22.6340;23.0782;21.6110;21.6189;2003-03-14;12024123
ADP;15.3513;23.2526;23.3161;22.3644;22.3644;2003-03-17;5585929
ADP;15.4194;23.3557;23.5857;23.3161;23.3716;2003-03-18;4945250
ADP;15.8853;24.0616;24.0774;23.4033;23.4113;2003-03-19;5620101
ADP;16.1262;24.4264;24.5374;24.0298;24.0695;2003-03-20;4444155
ADP;16.9691;25.7032;25.9015;24.4977;24.5771;2003-03-21;4729883
ADP;16.1419;24.4502;24.9498;24.3867;24.8626;2003-03-24;3264175
ADP;16.1890;24.5215;24.8388;24.1885;24.2678;2003-03-25;2739627
ADP;16.2100;24.5533;24.7436;23.5937;23.5937;2003-03-26;3072766
ADP;16.3356;24.7436;24.9339;24.2281;24.4660;2003-03-27;3565286
ADP;16.2361;24.5929;24.7277;24.5215;24.5850;2003-03-28;2393375
ADP;16.1210;24.4184;24.6960;24.2043;24.4105;2003-03-31;2276991
ADP;16.2990;24.6881;24.7833;24.4264;24.4819;2003-04-01;3017789
ADP;16.4979;24.9895;25.7270;24.7753;25.7270;2003-04-02;2581632
ADP;16.3513;24.7674;25.0608;24.5612;24.9657;2003-04-03;3427087
ADP;16.4613;24.9339;25.0370;24.5929;24.9974;2003-04-04;2331337
ADP;16.6236;25.1798;25.7984;25.1719;25.6160;2003-04-07;3454450
ADP;16.6026;25.1481;25.5446;25.0212;25.1005;2003-04-08;2725631
ADP;16.4665;24.9419;25.7825;24.8626;25.1481;2003-04-09;2709239
ADP;16.5084;25.0053;25.1322;24.6088;24.9419;2003-04-10;2100839
ADP;16.5503;25.0688;25.8063;24.7436;25.4574;2003-04-11;2170947
ADP;16.7911;25.4336;25.4970;24.5215;25.0053;2003-04-14;2119501
ADP;16.7074;25.3067;25.6398;25.1401;25.4336;2003-04-15;2399806
ADP;16.5555;25.0767;25.5684;25.0132;25.5129;2003-04-16;2700412
ADP;17.1629;25.9966;26.0918;24.8229;25.0767;2003-04-17;3741312
ADP;16.7545;25.3781;25.5367;24.8467;25.1401;2003-04-21;4169650
ADP;17.3566;26.2901;26.4883;25.3781;25.3781;2003-04-22;4019599
ADP;17.7283;26.8531;26.8611;26.3218;26.5676;2003-04-23;2499041
ADP;17.6341;26.7104;26.9642;26.3694;26.3932;2003-04-24;3143630
ADP;17.3304;26.2504;26.9562;26.2346;26.7263;2003-04-25;2778338
ADP;17.8854;27.0911;27.1228;26.2425;26.2901;2003-04-28;2409137
ADP;17.6603;26.7501;27.0990;26.4487;27.0593;2003-04-29;3332013
ADP;17.6079;26.6707;26.7025;26.3456;26.4328;2003-04-30;3920364
ADP;17.7545;26.8928;26.9166;26.2108;26.4725;2003-05-01;3046538
ADP;17.8802;27.0831;27.2021;26.6549;26.9959;2003-05-02;2442804
ADP;17.6603;26.7501;27.0831;26.6073;27.0831;2003-05-05;3355593
ADP;17.8749;27.0752;27.3607;26.7659;26.8056;2003-05-06;3497195
ADP;18.0425;27.3290;27.3607;26.8056;27.0990;2003-05-07;2818814
ADP;17.8435;27.0276;27.4559;26.9007;27.1307;2003-05-08;2382531
ADP;18.1158;27.4400;27.4400;26.8452;27.0197;2003-05-09;2449235
ADP;18.3252;27.7572;27.8524;27.0276;27.1624;2003-05-12;2647957
ADP;17.7388;26.8690;27.6066;26.8452;27.5590;2003-05-13;3882410
ADP;17.8016;26.9642;27.1307;26.7263;26.9642;2003-05-14;2905188
ADP;17.9221;27.1466;27.2814;26.8849;27.0435;2003-05-15;3415109
ADP;17.6760;26.7738;27.1942;26.4963;26.9007;2003-05-16;4125013
ADP;17.4404;26.4170;26.6152;26.2901;26.6152;2003-05-19;3100632
ADP;17.3932;26.3456;26.7738;26.1711;26.5280;2003-05-20;2501185
ADP;17.4299;26.4011;26.6311;26.0442;26.1315;2003-05-21;3417378
ADP;17.3723;26.3139;26.6073;26.1711;26.5914;2003-05-22;2782247
ADP;17.4037;26.3615;26.4883;26.2425;26.4804;2003-05-23;2771024
ADP;17.5451;26.5756;26.6866;26.1711;26.2504;2003-05-27;3367950
ADP;17.7755;26.9245;27.0673;26.4408;26.5201;2003-05-28;2573815
ADP;17.7074;26.8214;26.9007;26.5439;26.8531;2003-05-29;2902161
ADP;18.2729;27.6779;27.6779;26.9721;27.0911;2003-05-30;3418891
ADP;18.6498;28.2489;28.6138;27.7255;27.7572;2003-06-02;5045998
ADP;18.6079;28.1855;28.3520;27.9159;28.1538;2003-06-03;4902630
ADP;18.4823;27.9952;28.1696;27.7572;28.1617;2003-06-04;3641950
ADP;18.1838;27.5431;27.9952;27.4479;27.9952;2003-06-05;4719795
ADP;18.3880;27.8524;28.2410;27.6859;27.7097;2003-06-06;4646787
ADP;17.9849;27.2418;27.7335;27.0593;27.6462;2003-06-09;2572049
