Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
AEP;10.9012;23.13;23.50;22.91;23.50;2003-02-04;2324600
AEP;10.6797;22.66;23.34;22.63;23.13;2003-02-05;4155600
AEP;10.6506;22.00;22.56;21.83;22.08;2003-02-06;2537800
AEP;10.2730;21.22;21.90;21.01;21.75;2003-02-07;2378800
AEP;10.0697;20.80;21.45;20.55;21.15;2003-02-10;4811400
AEP;9.9825;20.62;20.94;20.50;20.72;2003-02-11;2907700
AEP;9.6533;19.94;20.85;19.71;20.85;2003-02-12;3006800
AEP;9.8760;20.40;20.67;19.01;19.01;2003-02-13;4840500
AEP;9.9728;20.60;20.73;20.07;20.50;2003-02-14;1837400
AEP;10.1374;20.94;21.15;20.55;21.08;2003-02-18;1298400
AEP;10.0648;20.79;21.13;20.55;20.85;2003-02-19;1448400
AEP;10.0358;20.73;21.00;20.56;20.76;2003-02-20;1269600
AEP;10.4715;21.63;21.81;21.27;21.43;2003-02-21;3306800
AEP;10.2149;21.10;21.79;21.00;21.64;2003-02-24;2266100
AEP;10.2924;21.26;21.39;20.64;21.10;2003-02-25;3233500
AEP;9.8421;20.33;21.43;20.33;21.26;2003-02-26;5237100
AEP;10.1423;20.95;21.55;20.10;20.15;2003-02-27;11697400
AEP;10.5441;21.78;21.90;20.94;20.94;2003-02-28;21491900
AEP;10.6409;21.98;22.15;21.74;21.95;2003-03-03;4103200
AEP;10.4618;21.61;21.94;21.52;21.94;2003-03-04;2336700
AEP;10.6264;21.95;22.05;21.57;21.62;2003-03-05;2937400
AEP;10.7474;22.20;22.29;21.73;21.80;2003-03-06;2560700
AEP;10.6264;21.95;22.21;21.75;22.21;2003-03-07;2520300
AEP;10.3456;21.37;21.95;21.20;21.95;2003-03-10;1966500
AEP;10.3698;21.42;21.88;21.27;21.50;2003-03-11;2377800
AEP;10.3940;21.47;21.62;21.20;21.42;2003-03-12;2006500
AEP;10.6264;21.95;22.11;21.49;21.95;2003-03-13;2150200
AEP;10.5780;21.85;22.12;21.61;21.90;2003-03-14;1536300
AEP;10.6845;22.07;22.10;21.54;21.55;2003-03-17;2480800
AEP;10.8733;22.46;22.46;21.93;22.00;2003-03-18;1840200
AEP;10.9072;22.53;22.80;22.36;22.67;2003-03-19;1510300
AEP;11.0524;22.83;22.98;22.39;22.53;2003-03-20;2239500
AEP;11.0573;22.84;22.96;22.70;22.90;2003-03-21;2651700
AEP;10.9604;22.64;22.76;22.45;22.75;2003-03-24;1758900
AEP;11.0476;22.82;22.97;22.52;22.72;2003-03-25;1798100
AEP;11.0379;22.80;23.25;22.50;23.25;2003-03-26;3060400
