Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
AES;2.5375;3.29;3.35;3.21;3.30;2003-02-04;1655900
AES;2.3524;3.05;3.38;3.05;3.37;2003-02-05;1577700
AES;2.5144;3.26;3.30;3.01;3.08;2003-02-06;1784100
AES;2.3061;2.99;3.35;2.89;3.28;2003-02-07;2425600
AES;2.0979;2.72;3.06;2.63;3.00;2003-02-10;2642600
AES;2.2830;2.96;3.05;2.73;2.80;2003-02-11;1829100
AES;2.1827;2.83;3.05;2.78;3.00;2003-02-12;1884700
AES;2.6146;3.39;3.47;2.85;2.88;2003-02-13;5702500
AES;2.4681;3.20;3.50;3.15;3.32;2003-02-14;3400500
AES;2.4218;3.14;3.30;3.06;3.28;2003-02-18;1887000
AES;2.4064;3.12;3.27;3.11;3.14;2003-02-19;1580900
AES;2.5298;3.28;3.35;3.16;3.19;2003-02-20;1738800
AES;2.6301;3.41;3.44;3.20;3.40;2003-02-21;1345100
AES;2.5684;3.33;3.48;3.30;3.45;2003-02-24;1637700
AES;2.4912;3.23;3.43;3.17;3.17;2003-02-25;1670800
AES;2.5529;3.31;3.38;3.25;3.33;2003-02-26;1652400
AES;2.4372;3.16;3.30;3.15;3.21;2003-02-27;1666600
AES;2.5606;3.32;3.46;3.18;3.20;2003-02-28;1869700
AES;2.6069;3.38;3.48;3.36;3.42;2003-03-03;1518600
AES;2.5221;3.27;3.40;3.25;3.30;2003-03-04;1137900
AES;2.5452;3.30;3.30;3.22;3.29;2003-03-05;1073800
AES;2.5452;3.30;3.38;3.26;3.30;2003-03-06;1974600
AES;2.4912;3.23;3.30;3.21;3.22;2003-03-07;1342200
AES;2.4527;3.18;3.31;3.17;3.25;2003-03-10;998900
AES;2.4450;3.17;3.22;3.15;3.15;2003-03-11;1506100
AES;2.3447;3.04;3.19;2.91;3.18;2003-03-12;2301400
AES;2.4681;3.20;3.28;3.01;3.28;2003-03-13;2569300
AES;2.4064;3.12;3.27;3.06;3.22;2003-03-14;1528200
AES;2.4527;3.18;3.21;3.06;3.12;2003-03-17;1616700
AES;2.5992;3.37;3.37;3.14;3.18;2003-03-18;2209500
AES;2.6146;3.39;3.49;3.22;3.39;2003-03-19;2108000
AES;2.4835;3.22;3.31;3.18;3.25;2003-03-20;2734500
AES;2.5529;3.31;3.31;3.15;3.21;2003-03-21;3628400
AES;2.5298;3.28;3.32;3.16;3.27;2003-03-24;1575200
AES;2.8383;3.68;3.74;3.29;3.31;2003-03-25;4503900
AES;2.7535;3.57;3.80;3.48;3.68;2003-03-26;4846400
AES;2.7997;3.63;3.72;3.50;3.52;2003-03-27;2096600
AES;2.7920;3.62;3.67;3.52;3.60;2003-03-28;1869500
AES;2.7920;3.62;3.75;3.51;3.52;2003-03-31;2226100
AES;2.8923;3.75;3.81;3.68;3.77;2003-04-01;2748900
AES;3.0080;3.90;3.98;3.88;3.90;2003-04-02;5386300
AES;3.0851;4.00;4.08;3.51;3.91;2003-04-03;2976100
AES;3.6250;4.70;4.75;4.18;4.20;2003-04-04;7532600
AES;3.6867;4.78;5.10;4.71;4.98;2003-04-07;5357200
AES;3.5093;4.55;4.70;4.35;4.55;2003-04-08;2493400
AES;3.4399;4.46;4.82;4.35;4.65;2003-04-09;2274300
AES;3.3551;4.35;4.52;4.25;4.47;2003-04-10;2219700
AES;3.3088;4.29;4.48;4.29;4.37;2003-04-11;1435300
AES;3.4245;4.44;4.49;4.29;4.29;2003-04-14;1997700
AES;3.4322;4.45;4.60;4.31;4.48;2003-04-15;2536400
AES;3.4013;4.41;4.50;4.37;4.45;2003-04-16;2463500
AES;3.4399;4.46;4.51;4.46;4.48;2003-04-17;2332000
AES;3.5633;4.62;4.68;4.43;4.43;2003-04-21;2293300
AES;3.8564;5.00;5.00;4.53;4.60;2003-04-22;3180100
AES;3.8255;4.96;5.18;4.80;5.01;2003-04-23;4255100
AES;4.1495;5.38;5.40;4.92;4.99;2003-04-24;3706600
AES;4.2035;5.45;5.77;5.41;5.49;2003-04-25;4278000
AES;4.3654;5.66;5.70;5.46;5.55;2003-04-28;3716400
AES;4.6200;5.99;6.02;5.71;5.75;2003-04-29;4761400
AES;4.6354;6.01;6.18;5.70;5.99;2003-04-30;4351500
AES;4.5968;5.96;6.25;5.82;6.10;2003-05-01;4522500
AES;5.3141;6.89;6.90;6.00;6.10;2003-05-02;8137700
AES;4.9902;6.47;6.80;6.38;6.80;2003-05-05;4558100
AES;4.7588;6.17;6.49;6.01;6.37;2003-05-06;4691600
AES;4.8205;6.25;6.30;5.82;6.12;2003-05-07;3490900
AES;4.8128;6.24;6.25;5.95;6.18;2003-05-08;2580700
AES;5.0519;6.55;6.55;6.26;6.26;2003-05-09;3035100
AES;5.3604;6.95;6.96;6.45;6.56;2003-05-12;3312300
AES;5.1676;6.70;6.96;6.61;6.85;2003-05-13;2857400
AES;5.2370;6.79;6.94;6.65;6.88;2003-05-14;2137200
AES;5.3450;6.93;6.98;6.74;6.88;2003-05-15;2813500
AES;5.6998;7.39;7.50;6.85;6.95;2003-05-16;5480400
AES;5.6226;7.29;7.47;7.16;7.31;2003-05-19;3277400
AES;5.6920;7.38;7.54;7.20;7.34;2003-05-20;3007100
AES;5.3218;6.90;7.20;6.74;7.14;2003-05-21;4253000
AES;5.4298;7.04;7.24;6.71;6.73;2003-05-22;2918400
AES;5.6458;7.32;7.39;7.01;7.14;2003-05-23;2939300
AES;6.1162;7.93;7.94;7.21;7.23;2003-05-27;4379100
AES;5.9003;7.65;8.10;7.61;7.94;2003-05-28;3080700
AES;6.1162;7.93;8.02;7.64;7.64;2003-05-29;3870400
AES;6.1085;7.92;8.11;7.79;8.02;2003-05-30;3630800
AES;6.2474;8.10;8.10;8.00;8.01;2003-06-02;3257600
AES;6.2474;8.10;8.10;7.88;7.95;2003-06-03;2952300
AES;6.4016;8.30;8.38;7.99;8.05;2003-06-04;2299100
AES;6.4556;8.37;8.44;8.15;8.29;2003-06-05;2321700
AES;6.0391;7.83;8.49;7.72;8.45;2003-06-06;3679700
AES;6.2088;8.05;8.14;7.74;7.85;2003-06-09;2396200
AES;5.9157;7.67;8.14;7.57;8.00;2003-06-10;3546600
AES;6.1240;7.94;7.99;7.56;7.64;2003-06-11;2871200
AES;6.2088;8.05;8.16;7.91;7.97;2003-06-12;1943800
AES;6.1471;7.97;8.15;7.91;8.12;2003-06-13;1554900
