Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
AKAM;1.23;1.23;1.31;1.18;1.30;2003-02-04;1406100
AKAM;1.26;1.26;1.30;1.20;1.22;2003-02-05;610900
AKAM;1.27;1.27;1.35;1.18;1.25;2003-02-06;375900
AKAM;1.42;1.42;1.50;1.30;1.35;2003-02-07;812700
AKAM;1.35;1.35;1.52;1.34;1.45;2003-02-10;1295000
AKAM;1.27;1.27;1.42;1.25;1.40;2003-02-11;1292200
AKAM;1.23;1.23;1.34;1.22;1.27;2003-02-12;397100
AKAM;1.23;1.23;1.32;1.23;1.29;2003-02-13;538500
AKAM;1.33;1.33;1.35;1.24;1.26;2003-02-14;444500
AKAM;1.43;1.43;1.46;1.34;1.36;2003-02-18;675700
AKAM;1.44;1.44;1.46;1.40;1.44;2003-02-19;356900
AKAM;1.38;1.38;1.48;1.36;1.41;2003-02-20;297700
AKAM;1.46;1.46;1.48;1.35;1.39;2003-02-21;337800
AKAM;1.40;1.40;1.44;1.35;1.39;2003-02-24;375800
AKAM;1.54;1.54;1.58;1.35;1.37;2003-02-25;531600
AKAM;1.60;1.60;1.72;1.50;1.52;2003-02-26;1119900
AKAM;1.58;1.58;1.62;1.46;1.60;2003-02-27;551100
AKAM;1.53;1.53;1.60;1.50;1.55;2003-02-28;315100
AKAM;1.50;1.50;1.59;1.49;1.57;2003-03-03;359300
AKAM;1.40;1.40;1.50;1.37;1.46;2003-03-04;478200
AKAM;1.40;1.40;1.42;1.36;1.42;2003-03-05;250600
AKAM;1.33;1.33;1.40;1.32;1.32;2003-03-06;599300
AKAM;1.36;1.36;1.44;1.30;1.33;2003-03-07;762300
AKAM;1.32;1.32;1.38;1.30;1.36;2003-03-10;283800
AKAM;1.33;1.33;1.36;1.30;1.32;2003-03-11;260400
AKAM;1.32;1.32;1.35;1.28;1.33;2003-03-12;442500
AKAM;1.39;1.39;1.43;1.29;1.29;2003-03-13;872000
AKAM;1.36;1.36;1.45;1.35;1.41;2003-03-14;564700
AKAM;1.48;1.48;1.48;1.32;1.35;2003-03-17;584800
AKAM;1.55;1.55;1.59;1.47;1.48;2003-03-18;793400
AKAM;1.50;1.50;1.57;1.43;1.56;2003-03-19;518400
AKAM;1.50;1.50;1.59;1.40;1.40;2003-03-20;456300
AKAM;1.45;1.45;1.58;1.41;1.50;2003-03-21;794900
AKAM;1.36;1.36;1.46;1.32;1.42;2003-03-24;431100
AKAM;1.41;1.41;1.46;1.34;1.34;2003-03-25;319500
AKAM;1.36;1.36;1.43;1.32;1.40;2003-03-26;257400
AKAM;1.45;1.45;1.45;1.36;1.36;2003-03-27;377300
AKAM;1.49;1.49;1.50;1.39;1.43;2003-03-28;260700
AKAM;1.41;1.41;1.48;1.36;1.45;2003-03-31;594300
AKAM;1.41;1.41;1.46;1.38;1.44;2003-04-01;199000
AKAM;1.50;1.50;1.52;1.41;1.43;2003-04-02;451700
AKAM;1.45;1.45;1.48;1.42;1.42;2003-04-03;752900
AKAM;1.43;1.43;1.46;1.38;1.45;2003-04-04;421100
AKAM;1.49;1.49;1.54;1.45;1.49;2003-04-07;953300
AKAM;1.49;1.49;1.50;1.46;1.47;2003-04-08;367100
AKAM;1.45;1.45;1.51;1.41;1.49;2003-04-09;372100
AKAM;1.41;1.41;1.47;1.40;1.44;2003-04-10;213400
AKAM;1.40;1.40;1.45;1.40;1.44;2003-04-11;270800
AKAM;1.42;1.42;1.44;1.38;1.42;2003-04-14;323200
AKAM;1.40;1.40;1.44;1.38;1.38;2003-04-15;351200
AKAM;1.40;1.40;1.44;1.36;1.44;2003-04-16;361100
AKAM;1.45;1.45;1.46;1.37;1.44;2003-04-17;374600
AKAM;1.66;1.66;1.69;1.42;1.45;2003-04-21;1350100
AKAM;2.02;2.02;2.05;1.56;1.59;2003-04-22;3788000
AKAM;2.74;2.74;2.75;2.10;2.19;2003-04-23;6771900
AKAM;2.17;2.17;2.73;2.13;2.73;2003-04-24;3953500
AKAM;2.30;2.30;2.48;2.06;2.13;2003-04-25;2332000
AKAM;2.45;2.45;2.46;2.25;2.29;2003-04-28;1378800
AKAM;2.42;2.42;2.57;2.33;2.49;2003-04-29;1503000
AKAM;2.42;2.42;2.44;2.30;2.41;2003-04-30;1424400
AKAM;2.39;2.39;2.54;2.30;2.51;2003-05-01;2128300
AKAM;2.56;2.56;2.70;2.36;2.38;2003-05-02;2355100
AKAM;3.26;3.26;3.32;2.72;2.73;2003-05-05;6377200
AKAM;3.27;3.27;3.66;3.20;3.30;2003-05-06;5289900
AKAM;3.50;3.50;3.50;3.05;3.28;2003-05-07;3026000
AKAM;3.48;3.48;3.52;3.34;3.50;2003-05-08;1613800
AKAM;3.32;3.32;3.55;3.30;3.53;2003-05-09;2004700
AKAM;3.49;3.49;3.53;3.17;3.28;2003-05-12;1456600
AKAM;3.66;3.66;3.75;3.31;3.34;2003-05-13;2153500
AKAM;3.83;3.83;3.83;3.60;3.80;2003-05-14;1449400
AKAM;3.71;3.71;3.94;3.70;3.90;2003-05-15;2078300
AKAM;3.37;3.37;3.70;3.33;3.64;2003-05-16;1785900
AKAM;3.00;3.00;3.30;2.97;3.26;2003-05-19;2863400
AKAM;3.33;3.33;3.49;2.97;3.00;2003-05-20;2683100
AKAM;3.40;3.40;3.49;3.35;3.37;2003-05-21;868400
AKAM;3.64;3.64;3.80;3.42;3.44;2003-05-22;2346300
AKAM;3.64;3.64;3.75;3.60;3.75;2003-05-23;773500
AKAM;3.75;3.75;3.81;3.58;3.60;2003-05-27;1577100
AKAM;3.67;3.67;3.85;3.57;3.78;2003-05-28;1255200
AKAM;3.65;3.65;3.75;3.48;3.66;2003-05-29;1338800
AKAM;3.66;3.66;3.74;3.57;3.70;2003-05-30;1114400
AKAM;3.69;3.69;3.86;3.66;3.75;2003-06-02;2104400
AKAM;3.60;3.60;3.69;3.56;3.65;2003-06-03;1049800
AKAM;3.90;3.90;3.98;3.55;3.55;2003-06-04;1961700
AKAM;4.47;4.47;4.58;3.80;3.84;2003-06-05;5708000
AKAM;4.42;4.42;4.80;4.30;4.79;2003-06-06;3887400
AKAM;4.14;4.14;4.51;4.05;4.45;2003-06-09;1655900
AKAM;4.56;4.56;4.61;4.23;4.37;2003-06-10;1587900
AKAM;5.03;5.03;5.10;4.55;4.55;2003-06-11;3873000
AKAM;5.12;5.12;5.25;4.80;5.23;2003-06-12;2402800
AKAM;5.10;5.10;5.20;4.80;5.13;2003-06-13;1419600
AKAM;4.83;4.83;5.26;4.83;5.25;2003-06-16;1638800
AKAM;5.27;5.27;5.34;4.87;5.01;2003-06-17;2823800
AKAM;5.52;5.52;5.57;5.10;5.20;2003-06-18;2255500
AKAM;5.75;5.75;5.90;5.48;5.51;2003-06-19;2303200
AKAM;5.58;5.58;5.93;5.42;5.85;2003-06-20;1815500
AKAM;5.04;5.04;5.79;5.00;5.67;2003-06-23;2867800
AKAM;4.73;4.73;5.19;4.59;5.00;2003-06-24;2428300
AKAM;4.77;4.77;5.07;4.75;4.75;2003-06-25;1406500
AKAM;4.91;4.91;4.99;4.65;4.74;2003-06-26;1105200
AKAM;4.94;4.94;5.20;4.87;5.10;2003-06-27;1613200
AKAM;4.78;4.78;5.18;4.70;5.18;2003-06-30;1890100
AKAM;4.47;4.47;4.86;4.12;4.77;2003-07-01;3155700
AKAM;4.79;4.79;4.90;4.60;4.73;2003-07-02;2431800
AKAM;4.71;4.71;4.82;4.59;4.59;2003-07-03;1432100
AKAM;5.05;5.05;5.15;4.85;4.86;2003-07-07;1853600
AKAM;5.29;5.29;5.30;4.95;5.16;2003-07-08;1891200
AKAM;5.30;5.30;5.37;5.10;5.22;2003-07-09;2495100
AKAM;5.28;5.28;5.45;5.08;5.10;2003-07-10;2131800
AKAM;5.27;5.27;5.29;5.16;5.25;2003-07-11;962400
AKAM;5.64;5.64;5.65;5.37;5.46;2003-07-14;2875500
AKAM;5.59;5.59;5.90;5.51;5.75;2003-07-15;1676000
AKAM;5.44;5.44;5.74;5.34;5.72;2003-07-16;1231400
AKAM;5.05;5.05;5.20;4.98;5.18;2003-07-17;1830200
AKAM;5.16;5.16;5.33;5.01;5.01;2003-07-18;802900
AKAM;4.92;4.92;5.15;4.86;5.09;2003-07-21;1220600
AKAM;4.95;4.95;5.11;4.88;4.99;2003-07-22;925100
AKAM;4.72;4.72;4.91;4.66;4.89;2003-07-23;1591300
AKAM;4.95;4.95;5.00;4.73;4.74;2003-07-24;1158100
AKAM;4.99;4.99;5.06;4.78;4.96;2003-07-25;668800
AKAM;5.24;5.24;5.28;4.96;4.96;2003-07-28;878200
AKAM;5.13;5.13;5.30;5.01;5.23;2003-07-29;913100
AKAM;5.10;5.10;5.25;4.99;5.25;2003-07-30;1107900
AKAM;4.58;4.58;5.24;4.55;5.15;2003-07-31;2633400
AKAM;3.97;3.97;4.57;3.81;4.53;2003-08-01;7783000
AKAM;3.88;3.88;4.04;3.85;3.98;2003-08-04;2425200
AKAM;3.41;3.41;3.79;3.35;3.75;2003-08-05;5518000
AKAM;3.25;3.25;3.61;3.22;3.46;2003-08-06;3791100
AKAM;3.75;3.75;3.94;3.30;3.35;2003-08-07;4925800
AKAM;3.70;3.70;3.99;3.58;3.80;2003-08-08;2303400
AKAM;3.90;3.90;3.94;3.71;3.88;2003-08-11;1065600
AKAM;3.91;3.91;4.00;3.76;3.98;2003-08-12;685800
AKAM;4.00;4.00;4.07;3.87;3.90;2003-08-13;1115600
AKAM;4.13;4.13;4.18;4.03;4.07;2003-08-14;1114700
AKAM;3.99;3.99;4.16;3.92;4.12;2003-08-15;784900
AKAM;3.95;3.95;4.11;3.85;4.06;2003-08-18;1264600
AKAM;4.06;4.06;4.06;3.87;4.01;2003-08-19;1166500
AKAM;4.07;4.07;4.10;3.96;4.01;2003-08-20;660600
AKAM;4.24;4.24;4.24;4.02;4.02;2003-08-21;1880000
AKAM;4.01;4.01;4.40;3.95;4.29;2003-08-22;1638400
AKAM;3.94;3.94;4.03;3.80;4.00;2003-08-25;859800
AKAM;4.10;4.10;4.10;3.82;3.94;2003-08-26;506400
AKAM;4.09;4.09;4.13;4.00;4.00;2003-08-27;524600
AKAM;4.12;4.12;4.25;4.05;4.13;2003-08-28;674700
AKAM;4.16;4.16;4.23;4.15;4.15;2003-08-29;711700
AKAM;4.47;4.47;4.50;4.10;4.13;2003-09-02;1578700
AKAM;4.89;4.89;4.93;4.51;4.52;2003-09-03;3248200
AKAM;4.88;4.88;4.98;4.80;4.88;2003-09-04;1211000
AKAM;4.65;4.65;4.84;4.64;4.82;2003-09-05;963900
AKAM;4.71;4.71;4.80;4.51;4.67;2003-09-08;810300
AKAM;4.51;4.51;4.79;4.35;4.68;2003-09-09;1592000
AKAM;4.32;4.32;4.50;4.30;4.48;2003-09-10;860000
AKAM;4.59;4.59;4.65;4.29;4.33;2003-09-11;966900
AKAM;4.65;4.65;4.65;4.40;4.56;2003-09-12;624600
AKAM;4.54;4.54;4.75;4.52;4.65;2003-09-15;627800
AKAM;4.79;4.79;4.83;4.56;4.57;2003-09-16;1013000
AKAM;5.14;5.14;5.14;4.65;4.83;2003-09-17;2447800
AKAM;5.10;5.10;5.25;5.00;5.02;2003-09-18;1529100
AKAM;5.12;5.12;5.26;4.98;5.00;2003-09-19;1428100
AKAM;5.12;5.12;5.29;4.90;4.92;2003-09-22;1907400
AKAM;5.22;5.22;5.30;5.16;5.19;2003-09-23;1597100
AKAM;5.05;5.05;5.30;5.02;5.29;2003-09-24;1745900
AKAM;4.71;4.71;5.06;4.65;5.00;2003-09-25;1451000
AKAM;4.60;4.60;4.80;4.33;4.71;2003-09-26;1663300
AKAM;4.49;4.49;4.78;4.41;4.58;2003-09-29;1771900
AKAM;4.29;4.29;4.52;4.28;4.49;2003-09-30;929800
AKAM;4.27;4.27;4.50;3.39;4.37;2003-10-01;1973200
AKAM;4.47;4.47;4.47;4.21;4.22;2003-10-02;717100
