Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ALXN;2.8875;2.8875;2.9900;2.8850;2.9900;2003-02-04;344400
ALXN;2.8475;2.8475;2.9250;2.8375;2.8875;2003-02-05;252800
ALXN;2.8450;2.8450;2.9475;2.8225;2.8375;2003-02-06;220800
ALXN;2.8775;2.8775;2.9850;2.8375;2.8875;2003-02-07;397600
ALXN;2.8975;2.8975;2.8975;2.7125;2.7525;2003-02-10;409600
ALXN;2.7875;2.7875;2.9250;2.7700;2.9100;2003-02-11;263200
ALXN;2.7600;2.7600;2.7875;2.7000;2.7650;2003-02-12;335600
ALXN;2.8025;2.8025;2.8300;2.7250;2.7375;2003-02-13;469600
ALXN;2.7975;2.7975;2.8450;2.7975;2.8100;2003-02-14;752800
ALXN;2.8850;2.8850;2.9275;2.8325;2.8750;2003-02-18;581600
ALXN;2.8425;2.8425;3.0000;2.8325;2.9275;2003-02-19;338400
ALXN;2.8525;2.8525;2.9025;2.8200;2.8825;2003-02-20;479200
ALXN;2.9075;2.9075;2.9350;2.8650;2.8850;2003-02-21;360400
ALXN;2.8550;2.8550;2.9725;2.8300;2.9725;2003-02-24;201200
ALXN;2.8650;2.8650;2.8650;2.7900;2.8500;2003-02-25;407200
ALXN;2.7975;2.7975;2.9850;2.7725;2.9775;2003-02-26;450800
ALXN;2.8050;2.8050;2.8575;2.7700;2.7975;2003-02-27;362800
ALXN;2.7525;2.7525;2.8200;2.7525;2.7900;2003-02-28;344400
ALXN;2.8275;2.8275;2.9250;2.7400;2.7400;2003-03-03;269200
ALXN;2.6850;2.6850;2.8425;2.6700;2.8025;2003-03-04;205200
ALXN;2.6275;2.6275;2.6850;2.6150;2.6850;2003-03-05;270400
ALXN;2.6500;2.6500;2.6575;2.6125;2.6175;2003-03-06;162400
ALXN;2.5850;2.5850;2.7275;2.5000;2.6100;2003-03-07;480000
ALXN;2.6150;2.6150;2.6375;2.5375;2.5625;2003-03-10;489200
ALXN;2.7500;2.7500;2.8475;2.5900;2.6175;2003-03-11;773200
ALXN;2.6300;2.6300;2.8275;2.5750;2.7400;2003-03-12;870800
ALXN;2.6625;2.6625;2.6625;2.5625;2.6425;2003-03-13;402000
