Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
AMAT;9.2132;12.18;12.21;11.78;11.80;2003-02-04;33460000
AMAT;9.0922;12.02;12.70;11.99;12.41;2003-02-05;40014900
AMAT;9.0771;12.00;12.23;11.83;11.83;2003-02-06;26724700
AMAT;8.9334;11.81;12.27;11.73;12.22;2003-02-07;28002400
AMAT;9.1149;12.05;12.24;11.55;11.85;2003-02-10;28078400
AMAT;9.0317;11.94;12.17;11.74;12.15;2003-02-11;36012300
AMAT;8.9334;11.81;12.11;11.58;11.61;2003-02-12;46302500
AMAT;8.9334;11.81;11.84;11.49;11.81;2003-02-13;30948700
AMAT;9.3797;12.40;12.42;11.78;11.79;2003-02-14;32737300
AMAT;9.6368;12.74;12.80;12.50;12.60;2003-02-18;28719900
AMAT;9.3872;12.41;13.14;12.21;12.53;2003-02-19;26717600
AMAT;9.6671;12.78;12.89;12.36;12.50;2003-02-20;27948700
AMAT;9.6822;12.80;12.93;12.42;12.93;2003-02-21;32937600
AMAT;9.6974;12.82;13.03;12.60;12.73;2003-02-24;27336200
AMAT;9.5688;12.65;12.76;12.28;12.53;2003-02-25;28613800
AMAT;9.3191;12.32;12.86;12.30;12.54;2003-02-26;26343300
AMAT;9.5158;12.58;12.75;12.31;12.50;2003-02-27;24747700
AMAT;9.8184;12.98;13.01;12.50;12.60;2003-02-28;21524200
AMAT;9.5612;12.64;13.24;12.54;13.08;2003-03-03;27053500
AMAT;9.2662;12.25;12.66;12.21;12.60;2003-03-04;34579000
AMAT;9.2586;12.24;12.39;12.04;12.38;2003-03-05;26555100
AMAT;9.1149;12.05;12.25;12.00;12.11;2003-03-06;23601400
AMAT;9.0468;11.96;12.05;11.69;11.86;2003-03-07;36323800
AMAT;8.7745;11.60;11.84;11.58;11.73;2003-03-10;17701700
AMAT;8.7821;11.61;11.75;11.51;11.64;2003-03-11;22585400
AMAT;8.8880;11.75;11.81;11.33;11.52;2003-03-12;35453200
AMAT;9.5763;12.66;12.66;11.83;12.08;2003-03-13;34183100
