Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ANET;55.00;55.00;60.00;55.0000;55.25;2014-06-06;7255100
ANET;55.20;55.20;57.00;55.0000;56.25;2014-06-09;716900
ANET;60.00;60.00;60.00;55.2500;55.25;2014-06-10;986800
ANET;63.50;63.50;63.50;58.6600;60.00;2014-06-11;660500
ANET;66.00;66.00;67.83;63.0700;63.65;2014-06-12;729300
ANET;69.58;69.58;72.00;67.0000;68.47;2014-06-13;1065700
ANET;71.50;71.50;71.50;67.6350;71.22;2014-06-16;417000
ANET;69.71;69.71;72.63;69.0000;71.89;2014-06-17;278600
ANET;68.96;68.96;71.00;67.8800;70.07;2014-06-18;208800
ANET;65.67;65.67;68.81;64.5100;68.03;2014-06-19;651600
ANET;65.15;65.15;68.50;64.5000;65.05;2014-06-20;294000
ANET;65.71;65.71;67.49;65.0200;65.02;2014-06-23;116500
ANET;64.28;64.28;66.75;63.8700;66.35;2014-06-24;192800
ANET;64.49;64.49;65.36;62.0000;63.81;2014-06-25;186200
ANET;63.81;63.81;64.81;62.5000;64.81;2014-06-26;97100
ANET;62.55;62.55;63.91;62.2500;63.91;2014-06-27;244700
ANET;62.39;62.39;65.20;62.0700;62.07;2014-06-30;232000
ANET;76.00;76.00;76.83;66.1000;66.97;2014-07-01;1658200
ANET;75.35;75.35;80.53;73.2000;78.74;2014-07-02;1126500
ANET;76.41;76.41;77.63;74.1000;76.44;2014-07-03;243900
ANET;72.17;72.17;77.29;72.0300;75.16;2014-07-07;316600
ANET;69.43;69.43;72.05;63.1400;71.93;2014-07-08;1178700
ANET;71.90;71.90;72.90;66.0100;69.30;2014-07-09;372000
ANET;67.74;67.74;70.14;67.1240;67.52;2014-07-10;296800
ANET;69.63;69.63;70.50;68.3500;68.80;2014-07-11;191700
ANET;68.95;68.95;72.00;68.5300;71.40;2014-07-14;131000
ANET;66.69;66.69;70.56;66.0000;69.45;2014-07-15;226100
ANET;64.53;64.53;68.00;63.6100;67.07;2014-07-16;247700
ANET;63.76;63.76;65.62;63.1100;63.89;2014-07-17;130200
ANET;64.00;64.00;64.90;63.3500;64.03;2014-07-18;123700
ANET;63.23;63.23;64.73;63.0100;64.13;2014-07-21;143700
ANET;65.51;65.51;66.96;63.4600;63.76;2014-07-22;235900
ANET;64.82;64.82;66.68;64.4000;65.89;2014-07-23;147900
ANET;64.25;64.25;66.16;63.7700;65.11;2014-07-24;182600
ANET;63.64;63.64;64.78;62.5100;64.15;2014-07-25;115600
ANET;63.41;63.41;64.54;63.0300;64.52;2014-07-28;67400
ANET;63.85;63.85;64.05;63.1500;63.59;2014-07-29;106400
ANET;67.79;67.79;67.90;63.9700;64.48;2014-07-30;608100
ANET;66.12;66.12;67.00;65.1100;66.34;2014-07-31;257700
ANET;65.61;65.61;67.50;65.2500;65.82;2014-08-01;193700
ANET;69.23;69.23;69.50;65.6800;65.99;2014-08-04;255600
ANET;72.09;72.09;73.00;68.0200;68.83;2014-08-05;402400
ANET;70.82;70.82;72.50;69.5300;71.38;2014-08-06;225600
ANET;72.22;72.22;72.66;71.1840;71.77;2014-08-07;412600
ANET;72.03;72.03;79.88;71.5000;79.25;2014-08-08;1426400
ANET;69.86;69.86;73.40;67.3100;72.69;2014-08-11;740100
ANET;71.11;71.11;71.69;69.4800;69.48;2014-08-12;223000
ANET;69.84;69.84;71.97;69.3380;71.14;2014-08-13;273500
ANET;70.81;70.81;71.70;68.8000;69.73;2014-08-14;266600
ANET;69.82;69.82;71.42;69.3800;71.42;2014-08-15;141600
ANET;70.51;70.51;71.37;69.2500;70.85;2014-08-18;175900
ANET;75.00;75.00;75.18;70.1650;70.74;2014-08-19;478100
ANET;76.40;76.40;77.27;72.9010;74.33;2014-08-20;395900
ANET;77.35;77.35;78.39;75.3300;75.88;2014-08-21;435300
ANET;75.62;75.62;76.96;75.2500;76.49;2014-08-22;177600
ANET;75.58;75.58;77.44;74.8100;76.05;2014-08-25;177400
ANET;76.17;76.17;76.77;74.6650;75.44;2014-08-26;162700
ANET;83.16;83.16;83.47;75.9700;75.99;2014-08-27;724200
ANET;83.45;83.45;83.89;81.5700;82.96;2014-08-28;343300
ANET;83.85;83.85;85.79;82.7400;84.89;2014-08-29;330500
ANET;86.10;86.10;86.68;84.2300;85.14;2014-09-02;329600
ANET;85.61;85.61;87.56;84.9100;87.16;2014-09-03;335300
ANET;87.49;87.49;89.30;85.1900;85.41;2014-09-04;322700
ANET;91.12;91.12;91.33;86.1300;87.42;2014-09-05;234800
ANET;87.66;87.66;93.94;85.6900;91.15;2014-09-08;740400
ANET;84.28;84.28;88.88;83.7800;88.00;2014-09-09;339900
ANET;88.75;88.75;88.84;83.1400;84.99;2014-09-10;330800
ANET;88.75;88.75;90.89;87.6400;88.10;2014-09-11;180100
ANET;86.27;86.27;89.41;85.0000;88.89;2014-09-12;195100
ANET;82.83;82.83;88.25;82.5400;87.32;2014-09-15;410000
ANET;84.00;84.00;85.34;80.8000;82.27;2014-09-16;268500
ANET;83.51;83.51;85.94;83.2200;84.79;2014-09-17;200800
ANET;86.13;86.13;86.44;84.0300;84.50;2014-09-18;235500
ANET;87.65;87.65;87.65;84.9000;86.94;2014-09-19;522200
ANET;83.84;83.84;88.65;83.5600;86.89;2014-09-22;454400
ANET;84.47;84.47;86.31;83.0600;83.44;2014-09-23;294800
ANET;87.11;87.11;87.90;83.2000;83.20;2014-09-24;280400
ANET;84.30;84.30;88.44;83.8200;86.71;2014-09-25;329500
ANET;85.13;85.13;85.92;84.3400;84.35;2014-09-26;289600
ANET;93.31;93.31;93.75;84.0000;84.46;2014-09-29;760300
ANET;88.33;88.33;94.84;86.6100;93.56;2014-09-30;1101300
ANET;84.06;84.06;88.53;83.1200;88.04;2014-10-01;602800
ANET;84.23;84.23;85.05;79.6200;84.45;2014-10-02;479400
ANET;85.73;85.73;87.11;83.4700;85.78;2014-10-03;344700
ANET;84.68;84.68;86.58;82.8100;85.98;2014-10-06;361500
ANET;82.81;82.81;84.48;82.2150;83.13;2014-10-07;450200
ANET;88.44;88.44;88.92;83.0400;84.33;2014-10-08;592400
ANET;85.82;85.82;90.25;84.6550;88.44;2014-10-09;521100
ANET;78.13;78.13;86.71;77.7700;84.63;2014-10-10;1369300
ANET;73.69;73.69;79.62;73.3050;78.58;2014-10-13;604200
ANET;73.52;73.52;75.38;70.3000;74.00;2014-10-14;696200
ANET;75.05;75.05;75.72;71.0000;73.00;2014-10-15;604300
ANET;74.57;74.57;76.22;73.4000;74.49;2014-10-16;586700
ANET;76.72;76.72;77.49;75.8700;75.93;2014-10-17;648100
ANET;76.39;76.39;79.25;75.4200;77.42;2014-10-20;293000
ANET;77.51;77.51;78.38;76.8100;78.31;2014-10-21;348300
ANET;72.18;72.18;78.15;71.6800;78.00;2014-10-22;498800
