Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ANTM;24.8290;29.0350;29.8800;28.6250;29.8800;2003-02-04;5351600
ANTM;24.9060;29.1250;29.6300;29.1000;29.1550;2003-02-05;3061800
ANTM;24.7991;29.0000;29.2050;28.8650;29.1250;2003-02-06;2572000
ANTM;24.7221;28.9100;29.3250;28.7800;29.2000;2003-02-07;1950400
ANTM;24.7563;28.9500;29.1250;28.7250;28.9100;2003-02-10;1722600
ANTM;24.0123;28.0800;29.2000;28.0100;29.0750;2003-02-11;5743800
ANTM;23.1786;27.1050;28.2500;26.5000;28.1000;2003-02-12;6915800
ANTM;23.5164;27.5000;27.7200;26.8750;27.2750;2003-02-13;3643800
ANTM;23.2513;27.1900;27.5050;26.6000;27.5050;2003-02-14;3079400
ANTM;23.9910;28.0550;28.3150;27.3000;27.3000;2003-02-18;4047400
ANTM;24.2090;28.3100;28.6950;28.1600;28.3000;2003-02-19;1844400
ANTM;23.9952;28.0600;28.5750;27.8250;28.5000;2003-02-20;2008400
ANTM;24.7606;28.9550;28.9950;28.0500;28.1500;2003-02-21;2723400
ANTM;23.9568;28.0150;28.8450;28.0100;28.8250;2003-02-24;1804600
ANTM;24.3801;28.5100;28.6250;27.8500;27.8750;2003-02-25;1510000
ANTM;24.9530;29.1800;29.2000;28.5150;28.5150;2003-02-26;2194800
ANTM;25.2053;29.4750;29.7100;29.2550;29.5000;2003-02-27;2786000
ANTM;25.4875;29.8050;29.8750;29.4850;29.6200;2003-02-28;2220400
ANTM;25.2309;29.5050;30.0700;29.4500;29.9750;2003-03-03;2267600
ANTM;24.8418;29.0500;29.8100;29.0500;29.7000;2003-03-04;2671000
ANTM;25.4746;29.7900;29.8500;29.0500;29.0900;2003-03-05;2580400
ANTM;25.6200;29.9600;30.0750;29.3550;29.7400;2003-03-06;2512000
ANTM;25.8680;30.2500;30.2500;29.7000;29.8000;2003-03-07;2026600
ANTM;25.2096;29.4800;30.2900;29.4000;30.1750;2003-03-10;1505000
ANTM;25.0856;29.3350;29.6000;29.0250;29.4850;2003-03-11;1342000
ANTM;24.9701;29.2000;29.3950;28.8050;29.2500;2003-03-12;1358200
ANTM;25.8595;30.2400;30.2400;29.2850;29.3250;2003-03-13;2039400
ANTM;25.2267;29.5000;30.3500;29.3750;30.3100;2003-03-14;1881000
ANTM;26.2101;30.6500;30.6850;29.2000;29.4250;2003-03-17;2377200
ANTM;26.4495;30.9300;30.9950;30.5100;30.6350;2003-03-18;1574600
ANTM;26.8001;31.3400;31.3500;30.6550;30.9350;2003-03-19;1177000
ANTM;26.9540;31.5200;31.9650;30.7750;31.3450;2003-03-20;2182400
ANTM;26.7146;31.2400;31.7500;30.9650;31.6250;2003-03-21;3014400
ANTM;26.6419;31.1550;31.2850;30.5800;31.2450;2003-03-24;1836000
ANTM;27.0652;31.6500;32.0000;31.1350;31.4750;2003-03-25;3377400
ANTM;26.8942;31.4500;31.7050;31.2000;31.6500;2003-03-26;1734600
ANTM;27.0139;31.5900;31.8050;30.9250;31.4500;2003-03-27;1509800
ANTM;27.7707;32.4750;32.6000;31.4250;31.5000;2003-03-28;2304200
ANTM;28.3265;33.1250;33.5650;31.9500;32.4800;2003-03-31;3536400
ANTM;28.6258;33.4750;33.4750;32.6650;33.1250;2003-04-01;4513000
ANTM;28.6216;33.4700;33.8600;33.2400;33.6200;2003-04-02;2806400
ANTM;28.8952;33.7900;33.8950;33.1550;33.4200;2003-04-03;2500600
ANTM;28.3436;33.1450;33.9400;32.8100;33.8400;2003-04-04;2743200
ANTM;28.4377;33.2550;33.8200;33.2000;33.5200;2003-04-07;2219800
ANTM;28.2453;33.0300;33.2600;32.7950;33.0000;2003-04-08;2116200
ANTM;27.9631;32.7000;33.2150;32.5400;33.0400;2003-04-09;2117600
ANTM;27.9888;32.7300;32.8600;31.9000;32.7000;2003-04-10;3088200
ANTM;28.5446;33.3800;33.4700;32.8000;32.8000;2003-04-11;1803200
ANTM;29.1133;34.0450;34.1250;33.3000;33.3800;2003-04-14;1495600
ANTM;28.9807;33.8900;34.0650;33.4750;34.0450;2003-04-15;3276000
ANTM;27.6809;32.3700;34.5000;32.1500;34.3750;2003-04-16;5027800
ANTM;28.6173;33.4650;33.6650;32.6500;32.9150;2003-04-17;4692600
ANTM;28.2239;33.0050;33.5850;32.9650;33.4650;2003-04-21;2011600
ANTM;29.1603;34.1000;34.1350;33.0300;33.0600;2003-04-22;2391600
ANTM;29.0406;33.9600;34.1750;33.4900;34.1250;2003-04-23;1555400
ANTM;28.8140;33.6950;34.3500;33.1500;33.9600;2003-04-24;2683800
ANTM;28.7755;33.6500;34.0250;33.4900;33.5750;2003-04-25;1670000
ANTM;28.9893;33.9000;33.9900;33.1700;33.7750;2003-04-28;1485200
ANTM;28.7327;33.6000;33.9300;33.3700;33.9000;2003-04-29;1832800
ANTM;29.3484;34.3200;34.5500;32.9500;33.6000;2003-04-30;3452200
ANTM;29.7760;34.8200;34.9400;33.9750;34.3600;2003-05-01;3115600
ANTM;29.8145;34.8650;35.0350;34.2000;34.8200;2003-05-02;3698200
ANTM;30.3575;35.5000;35.6600;35.0750;35.1250;2003-05-05;2460800
ANTM;30.8364;36.0600;36.2000;35.4800;35.6000;2003-05-06;2699800
ANTM;30.4302;35.5850;36.1150;35.5350;36.0600;2003-05-07;2114200
ANTM;30.1608;35.2700;35.8000;35.2500;35.4950;2003-05-08;2050000
ANTM;30.2292;35.3500;35.6050;35.1500;35.2000;2003-05-09;1961400
ANTM;30.6568;35.8500;35.8800;35.2500;35.3500;2003-05-12;1446400
ANTM;30.3404;35.4800;35.8150;35.4100;35.8000;2003-05-13;1449200
ANTM;30.3789;35.5250;35.5900;35.0750;35.4800;2003-05-14;1252000
ANTM;30.6440;35.8350;35.8950;35.1800;35.5250;2003-05-15;1289800
ANTM;31.4692;36.8000;36.9300;35.9000;35.9500;2003-05-16;2798000
ANTM;31.1699;36.4500;37.2000;36.4150;36.8000;2003-05-19;2420800
ANTM;31.9181;37.3250;38.0000;36.4500;36.4500;2003-05-20;5213200
ANTM;32.0763;37.5100;37.9000;37.2250;37.2250;2003-05-21;5103600
ANTM;32.0678;37.5000;37.6050;37.0000;37.5500;2003-05-22;3065800
ANTM;31.9224;37.3300;37.8250;37.2400;37.6000;2003-05-23;1649800
ANTM;31.9994;37.4200;37.6500;37.1900;37.5000;2003-05-27;3966600
ANTM;31.7386;37.1150;37.5500;36.9700;37.5000;2003-05-28;1514800
ANTM;31.4606;36.7900;37.0200;36.2750;36.9500;2003-05-29;2953600
ANTM;31.3623;36.6750;37.0800;36.4500;36.7100;2003-05-30;2404600
ANTM;30.9860;36.2350;36.9700;36.1800;36.7400;2003-06-02;1740200
ANTM;30.9475;36.1900;36.8550;35.9000;36.3350;2003-06-03;1557000
ANTM;31.1228;36.3950;36.6000;35.8600;36.1900;2003-06-04;1534200
ANTM;31.6659;37.0300;37.0750;36.3150;36.3950;2003-06-05;1743400
ANTM;31.7043;37.0750;37.5750;36.9000;37.1500;2003-06-06;1552400
ANTM;31.2810;36.5800;37.4500;36.3750;37.0000;2003-06-09;1160800
ANTM;31.8027;37.1900;37.6500;36.6800;36.6800;2003-06-10;1596600
ANTM;32.8887;38.4600;38.5000;37.2400;37.2400;2003-06-11;3170000
ANTM;32.6450;38.1750;38.5250;37.9550;38.4250;2003-06-12;2094400
ANTM;32.6749;38.2100;38.4250;37.9900;38.2000;2003-06-13;1782600
ANTM;33.7952;39.5200;39.6250;38.3300;38.3350;2003-06-16;2356400
ANTM;34.5733;40.4300;40.5000;39.6000;39.9600;2003-06-17;2629000
ANTM;35.0693;41.0100;41.4500;40.4000;40.5250;2003-06-18;3172600
ANTM;33.8422;39.5750;40.8850;39.4250;40.8850;2003-06-19;2309800
ANTM;33.9106;39.6550;39.8750;39.2000;39.7250;2003-06-20;2608400
ANTM;33.2949;38.9350;39.3850;38.6200;39.3800;2003-06-23;1965800
ANTM;33.7011;39.4100;39.5800;38.9000;38.9000;2003-06-24;1607600
ANTM;33.1965;38.8200;39.6500;38.7200;39.5000;2003-06-25;1528600
ANTM;33.7310;39.4450;39.5050;38.5500;38.8200;2003-06-26;1085200
ANTM;33.3077;38.9500;39.7150;38.9500;39.6250;2003-06-27;708800
ANTM;32.9871;38.5750;39.2300;38.5750;38.8900;2003-06-30;1891000
ANTM;32.6664;38.2000;38.7500;37.6700;38.5750;2003-07-01;2277400
ANTM;33.1709;38.7900;38.8750;38.4400;38.4750;2003-07-02;1841200
ANTM;32.8588;38.4250;38.7900;38.0200;38.7900;2003-07-03;3104800
ANTM;33.3975;39.0550;39.2000;38.5950;38.5950;2003-07-07;1475400
ANTM;33.7738;39.4950;39.5250;38.7750;39.0050;2003-07-08;1151600
ANTM;34.0987;39.8750;39.9750;39.2500;39.4450;2003-07-09;1381800
ANTM;33.4659;39.1350;39.7750;38.7000;39.5000;2003-07-10;1175800
ANTM;33.9918;39.7500;40.1750;39.2000;39.3350;2003-07-11;2117600
ANTM;33.4232;39.0850;40.0950;38.9550;39.7500;2003-07-14;2026200
ANTM;32.9785;38.5650;39.1750;38.2650;39.1750;2003-07-15;2203400
ANTM;32.2174;37.6750;38.7000;37.5000;38.7000;2003-07-16;2495200
ANTM;32.6664;38.2000;38.3850;37.5000;37.7500;2003-07-17;2968000
ANTM;33.2864;38.9250;38.9400;38.4500;38.6500;2003-07-18;2135400
ANTM;33.2008;38.8250;39.2200;38.6050;38.9250;2003-07-21;1254200
ANTM;33.3419;38.9900;39.1000;38.0500;39.0000;2003-07-22;1242000
ANTM;34.2569;40.0600;40.1600;39.2750;39.6500;2003-07-23;2051800
ANTM;33.7652;39.4850;40.1500;39.4000;40.0600;2003-07-24;1608800
ANTM;34.2911;40.1000;40.1400;39.3150;39.4350;2003-07-25;857600
ANTM;34.6417;40.5100;41.0000;40.1350;40.1850;2003-07-28;1502800
ANTM;34.6546;40.5250;40.8850;40.3850;40.6100;2003-07-29;2453800
ANTM;33.7652;39.4850;40.8250;39.2700;40.6500;2003-07-30;3937400
ANTM;32.2858;37.7550;39.4900;36.9150;39.4900;2003-07-31;7878800
ANTM;31.8497;37.2450;38.0450;37.0150;37.8100;2003-08-01;3353600
ANTM;31.7471;37.1250;37.3600;36.2400;37.2450;2003-08-04;2572400
ANTM;30.8962;36.1300;37.2000;36.1300;37.1300;2003-08-05;2067400
ANTM;29.2458;34.2000;35.5500;33.0050;35.5500;2003-08-06;13048400
ANTM;30.2292;35.3500;35.9000;34.2000;34.2000;2003-08-07;4193000
ANTM;30.5841;35.7650;35.8600;35.0250;35.5000;2003-08-08;2180000
ANTM;31.0459;36.3050;36.7100;35.7250;35.8500;2003-08-11;1755200
ANTM;31.2041;36.4900;36.5600;36.1250;36.3050;2003-08-12;1634200
ANTM;30.9347;36.1750;36.6250;35.8150;36.5500;2003-08-13;2359200
ANTM;31.1271;36.4000;36.9000;35.8450;36.1750;2003-08-14;2603200
ANTM;31.0886;36.3550;36.5550;36.2150;36.4000;2003-08-15;571800
ANTM;31.3110;36.6150;36.7250;36.3350;36.4250;2003-08-18;800600
ANTM;31.1955;36.4800;36.7250;36.2500;36.6150;2003-08-19;1046000
ANTM;30.8235;36.0450;36.4450;35.9750;36.4250;2003-08-20;1382000
ANTM;30.4815;35.6450;36.3700;35.6000;36.0450;2003-08-21;1775200
ANTM;30.2463;35.3700;35.5950;35.2500;35.5750;2003-08-22;1714200
ANTM;30.3190;35.4550;35.6000;35.0850;35.3700;2003-08-25;1022600
ANTM;30.6269;35.8150;35.8150;35.3050;35.3300;2003-08-26;826800
ANTM;30.6825;35.8800;35.9500;35.5900;35.7000;2003-08-27;839200
ANTM;30.7423;35.9500;36.0500;35.6650;35.8000;2003-08-28;708600
ANTM;31.2981;36.6000;36.7850;35.7450;35.7500;2003-08-29;1167600
ANTM;31.6915;37.0600;37.1300;36.3200;36.6000;2003-09-02;1924600
ANTM;31.9352;37.3450;37.5500;37.0450;37.1250;2003-09-03;1730600
ANTM;31.4264;36.7500;37.4200;36.6500;37.3500;2003-09-04;1563400
ANTM;30.9561;36.2000;36.7550;36.1250;36.7550;2003-09-05;2014800
ANTM;31.3495;36.6600;36.9500;36.2000;36.2150;2003-09-08;1099800
ANTM;31.4264;36.7500;36.9000;36.4300;36.8600;2003-09-09;1619800
ANTM;31.4948;36.8300;37.2250;36.6500;36.7450;2003-09-10;1140800
ANTM;31.4179;36.7400;36.9000;36.3500;36.8300;2003-09-11;741000
ANTM;31.9865;37.4050;37.4050;36.6700;36.7400;2003-09-12;1169600
ANTM;31.6744;37.0400;37.4050;36.8000;37.4000;2003-09-15;1353000
ANTM;31.6488;37.0100;37.3500;36.8400;36.9250;2003-09-16;2572800
ANTM;31.5975;36.9500;37.1200;36.8200;36.9750;2003-09-17;1978000
ANTM;32.0763;37.5100;37.5500;36.8500;36.9500;2003-09-18;1030600
ANTM;31.9352;37.3450;37.4850;37.2600;37.3500;2003-09-19;1180400
ANTM;31.8754;37.2750;37.3450;36.7700;37.3450;2003-09-22;1233600
ANTM;31.5547;36.9000;37.4500;36.8750;37.2750;2003-09-23;1656000
ANTM;30.6568;35.8500;37.1300;35.7750;37.1250;2003-09-24;2338800
