Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
APD;24.7209;37.9741;38.3349;37.6596;38.3349;2003-02-04;810750
APD;24.8896;38.2331;38.7327;37.9833;37.9833;2003-02-05;1305956
APD;24.8354;38.1499;38.3256;37.7428;38.2054;2003-02-06;951929
APD;24.6366;37.8446;38.6309;37.5578;38.6216;2003-02-07;962631
APD;24.6667;37.8908;38.0666;37.3728;37.9278;2003-02-10;1168345
APD;24.3536;37.4098;38.1499;37.2895;38.1221;2003-02-11;581038
APD;24.1368;37.0768;37.8168;37.0028;37.4931;2003-02-12;517475
APD;24.1970;37.1693;37.4098;36.6975;37.0398;2003-02-13;517907
APD;24.3235;37.3636;37.4746;36.4107;37.1693;2003-02-14;769564
APD;23.9742;36.8270;37.7521;36.7160;37.4006;2003-02-18;1731330
APD;23.4683;36.0500;36.6605;35.8927;36.5310;2003-02-19;1673064
APD;23.1853;35.6152;36.2072;35.1896;36.0777;2003-02-20;1471457
APD;23.3840;35.9204;36.0407;35.0139;35.5134;2003-02-21;1660524
APD;23.0408;35.3932;35.9759;35.3654;35.9297;2003-02-24;1046408
APD;23.1190;35.5134;35.5134;34.1998;35.4024;2003-02-25;1451999
APD;22.9083;35.1896;35.6429;35.1896;35.4209;2003-02-26;1260230
APD;23.2094;35.6522;36.1332;35.3191;35.5782;2003-02-27;973332
APD;23.3419;35.8557;36.2997;35.6522;35.6522;2003-02-28;1001330
APD;23.4322;35.9944;36.5587;35.8464;36.4015;2003-03-03;850315
APD;22.9685;35.2821;36.0407;35.1804;36.0407;2003-03-04;1588313
APD;23.0889;35.4672;35.4857;34.9399;35.2544;2003-03-05;838856
APD;22.8179;35.0509;35.4672;34.8104;35.4672;2003-03-06;1032896
APD;23.1913;35.6244;35.8187;34.4588;35.0509;2003-03-07;854747
APD;22.9263;35.2174;35.5874;34.9491;35.4394;2003-03-10;1087162
APD;22.6313;34.7641;35.3562;34.7179;35.2174;2003-03-11;754646
APD;22.5771;34.6809;34.7734;34.2461;34.6716;2003-03-12;755295
APD;23.7333;36.4570;36.4570;35.2821;35.2914;2003-03-13;1300875
APD;23.7875;36.5402;36.8918;36.2535;36.5495;2003-03-14;1012897
APD;24.9618;38.3441;38.3441;36.3090;36.4940;2003-03-17;1247690
APD;25.3954;39.0102;39.1304;38.2424;38.9084;2003-03-18;1329738
APD;25.3894;39.0009;39.0842;38.6494;39.0102;2003-03-19;1056786
APD;25.4135;39.0379;39.2137;38.4736;39.0009;2003-03-20;1416651
APD;25.8772;39.7502;40.0093;39.1952;39.4542;2003-03-21;2022443
APD;24.9739;38.3626;39.1952;38.2701;38.8992;2003-03-24;1012789
APD;25.2750;38.8252;38.9454;38.3719;38.6679;2003-03-25;1014302
APD;25.2690;38.8159;39.0657;38.2701;39.0472;2003-03-26;1198829
APD;25.0702;38.5106;38.8159;38.2886;38.8159;2003-03-27;1051705
APD;25.2034;38.5199;38.5199;38.1221;38.3441;2003-03-28;902851
APD;25.0763;38.3256;38.8529;36.9750;36.9750;2003-03-31;1228340
APD;25.4636;38.9177;39.1952;38.0666;38.7142;2003-04-01;1328981
APD;26.1597;39.9815;40.2868;39.6300;39.6855;2003-04-02;940578
APD;25.6331;39.1767;39.9167;39.1767;39.9167;2003-04-03;1531777
APD;25.8268;39.4727;39.6855;39.0564;39.2692;2003-04-04;1040138
