Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ARE;22.4144;40.76;40.96;40.56;40.65;2003-02-04;60200
ARE;22.4254;40.78;40.90;40.54;40.76;2003-02-05;123500
ARE;22.4804;40.88;41.03;40.78;40.79;2003-02-06;55000
ARE;22.3814;40.70;40.98;40.70;40.90;2003-02-07;45800
ARE;22.5189;40.95;41.29;40.45;40.56;2003-02-10;119300
ARE;22.2274;40.42;41.10;40.08;41.10;2003-02-11;101200
ARE;21.9689;39.95;40.54;39.90;40.42;2003-02-12;100500
ARE;21.9964;40.00;40.10;39.81;39.90;2003-02-13;74200
ARE;21.9964;40.00;40.61;39.88;40.00;2003-02-14;145100
ARE;22.2494;40.46;40.70;39.85;39.85;2003-02-18;55800
ARE;22.1559;40.29;40.62;40.20;40.60;2003-02-19;36300
ARE;22.5958;41.09;41.09;40.36;40.40;2003-02-20;64700
ARE;22.8928;41.63;42.13;41.00;41.34;2003-02-21;49000
ARE;22.6783;41.24;41.75;40.88;41.75;2003-02-24;105200
ARE;22.6838;41.25;41.40;40.91;41.10;2003-02-25;141500
ARE;22.7333;41.34;41.50;40.85;41.30;2003-02-26;85500
ARE;22.8433;41.54;41.65;41.29;41.40;2003-02-27;50400
ARE;22.8488;41.55;41.82;41.45;41.45;2003-02-28;79200
ARE;22.9698;41.77;42.08;41.65;41.75;2003-03-03;106000
ARE;22.9588;41.75;42.06;41.50;41.77;2003-03-04;98900
ARE;23.0138;41.85;41.99;41.50;41.55;2003-03-05;48400
ARE;22.9918;41.81;41.90;41.60;41.75;2003-03-06;53600
ARE;23.1183;42.04;42.13;41.58;41.95;2003-03-07;63700
ARE;22.9148;41.67;42.04;41.44;41.90;2003-03-10;55100
ARE;23.2062;42.20;42.20;41.76;41.80;2003-03-11;62600
ARE;23.0908;41.99;42.21;41.80;42.10;2003-03-12;104800
ARE;23.0523;41.92;42.01;41.80;41.99;2003-03-13;102500
ARE;22.8323;41.52;42.20;41.45;42.15;2003-03-14;85800
ARE;22.8213;41.50;41.75;41.10;41.52;2003-03-17;163500
ARE;22.9313;41.70;41.95;41.39;41.70;2003-03-18;110000
ARE;23.1018;42.01;42.02;41.20;41.50;2003-03-19;116900
ARE;23.1513;42.10;42.10;41.25;41.82;2003-03-20;132100
ARE;23.1952;42.18;42.36;41.72;41.80;2003-03-21;231900
ARE;22.8873;41.62;42.10;41.11;42.10;2003-03-24;81200
ARE;23.0963;42.00;42.00;41.50;41.50;2003-03-25;94400
ARE;23.0633;41.94;42.10;41.80;42.00;2003-03-26;132100
ARE;23.1018;42.01;42.25;41.80;42.00;2003-03-27;103800
ARE;23.2855;41.81;41.81;41.29;41.40;2003-03-28;96500
ARE;23.4192;42.05;42.10;41.30;41.70;2003-03-31;103900
ARE;23.5306;42.25;42.25;41.61;41.90;2003-04-01;70300
ARE;23.7255;42.60;42.92;42.44;42.45;2003-04-02;43600
ARE;23.6810;42.52;42.75;42.10;42.75;2003-04-03;55100
ARE;23.6977;42.55;42.80;42.28;42.60;2003-04-04;65600
ARE;23.8091;42.75;43.52;42.57;42.68;2003-04-07;92900
ARE;23.7200;42.59;42.90;41.92;42.90;2003-04-08;99300
ARE;23.6865;42.53;42.64;42.21;42.60;2003-04-09;61900
ARE;23.4471;42.10;42.43;42.08;42.43;2003-04-10;39800
ARE;23.3134;41.86;42.30;41.60;42.30;2003-04-11;66200
ARE;23.8091;42.75;42.75;41.91;42.00;2003-04-14;33900
ARE;23.9093;42.93;42.95;42.35;42.80;2003-04-15;147200
ARE;23.8091;42.75;43.06;42.55;43.06;2003-04-16;62200
ARE;23.9594;43.02;43.10;42.74;42.90;2003-04-17;53700
ARE;23.8926;42.90;43.05;42.63;43.00;2003-04-21;74200
ARE;23.8536;42.83;42.95;42.75;42.95;2003-04-22;153500
ARE;23.8091;42.75;42.90;42.56;42.90;2003-04-23;209400
ARE;23.8035;42.74;42.75;42.54;42.55;2003-04-24;101600
ARE;23.7812;42.70;42.75;42.60;42.75;2003-04-25;82200
ARE;23.6531;42.47;42.76;42.47;42.72;2003-04-28;85100
ARE;23.7757;42.69;43.13;42.38;42.38;2003-04-29;86800
ARE;23.5585;42.30;42.75;42.16;42.75;2003-04-30;65200
ARE;23.5585;42.30;42.50;41.85;42.30;2003-05-01;68900
ARE;23.7255;42.60;42.89;42.34;42.35;2003-05-02;62000
ARE;23.9483;43.00;43.02;42.25;42.78;2003-05-05;41800
ARE;24.3326;43.69;43.92;42.93;43.10;2003-05-06;68300
ARE;24.0597;43.20;43.72;42.97;43.72;2003-05-07;69800
ARE;23.9483;43.00;43.20;42.87;43.20;2003-05-08;97800
ARE;24.1711;43.40;43.60;42.98;43.05;2003-05-09;309000
ARE;24.3604;43.74;43.74;43.44;43.55;2003-05-12;279100
ARE;24.4885;43.97;44.20;43.51;43.70;2003-05-13;45200
ARE;24.3103;43.65;43.98;43.55;43.98;2003-05-14;60300
ARE;24.3660;43.75;44.20;43.30;43.90;2003-05-15;209500
ARE;24.2825;43.60;43.64;43.34;43.50;2003-05-16;52900
ARE;24.2435;43.53;43.76;42.78;43.60;2003-05-19;48100
ARE;24.2880;43.61;43.98;43.50;43.60;2003-05-20;60600
ARE;24.5164;44.02;44.02;43.51;43.70;2003-05-21;26300
ARE;24.7837;44.50;44.54;43.60;44.26;2003-05-22;95700
ARE;25.0455;44.97;45.05;44.56;44.60;2003-05-23;118500
ARE;25.1179;45.10;45.17;44.60;44.90;2003-05-27;69500
ARE;24.7503;44.44;45.24;44.20;45.00;2003-05-28;78800
ARE;24.2490;43.54;44.50;42.45;44.40;2003-05-29;120100
ARE;24.6723;44.30;44.30;43.40;43.70;2003-05-30;74400
ARE;24.4941;43.98;44.52;43.95;44.20;2003-06-02;59100
ARE;24.7336;44.41;44.41;43.68;44.00;2003-06-03;30300
ARE;25.0065;44.90;44.92;44.44;44.63;2003-06-04;31200
ARE;24.8394;44.60;44.82;44.25;44.80;2003-06-05;38900
ARE;25.0343;44.95;44.96;44.48;44.70;2003-06-06;82500
ARE;24.9564;44.81;45.00;44.54;45.00;2003-06-09;20400
ARE;25.3908;45.59;45.63;44.70;44.70;2003-06-10;56100
ARE;25.2794;45.39;45.44;45.05;45.40;2003-06-11;77500
ARE;25.2014;45.25;45.44;45.02;45.20;2003-06-12;62400
ARE;24.7837;44.50;45.20;44.50;45.20;2003-06-13;41300
ARE;24.6111;44.19;44.29;43.01;43.10;2003-06-16;230200
ARE;24.5554;44.09;44.50;43.67;44.19;2003-06-17;75300
ARE;24.5387;44.06;44.25;43.57;43.70;2003-06-18;117700
ARE;24.5219;44.03;44.48;43.90;43.90;2003-06-19;40700
ARE;24.5052;44.00;44.35;43.74;44.20;2003-06-20;37700
ARE;24.2379;43.52;44.00;43.24;44.00;2003-06-23;51900
ARE;24.3716;43.76;43.94;42.94;43.35;2003-06-24;78100
ARE;24.5609;44.10;44.17;43.60;43.60;2003-06-25;33000
ARE;24.4997;43.99;44.26;43.90;44.20;2003-06-26;63600
ARE;24.8283;44.58;44.82;43.75;43.75;2003-06-27;62200
ARE;25.0622;45.00;45.00;44.30;44.70;2003-06-30;158200
ARE;25.4172;45.10;45.10;44.30;44.47;2003-07-01;76100
ARE;25.8963;45.95;45.95;44.95;44.95;2003-07-02;82800
ARE;25.8399;45.85;45.93;45.44;45.75;2003-07-03;45500
ARE;26.1837;46.46;47.05;46.05;46.10;2003-07-07;80300
ARE;26.2344;46.55;46.55;46.11;46.25;2003-07-08;58900
ARE;26.2062;46.50;46.53;45.80;46.45;2003-07-09;100900
