Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ATVI;1.6288;1.8175;1.8563;1.8125;1.8250;2003-02-04;11297600
ATVI;1.6030;1.7888;1.8537;1.7888;1.8338;2003-02-05;7133600
ATVI;1.6052;1.7912;1.8225;1.7763;1.7962;2003-02-06;8078400
ATVI;1.6008;1.7862;1.8100;1.7625;1.7950;2003-02-07;6192800
ATVI;1.6019;1.7875;1.8125;1.7563;1.7875;2003-02-10;4920800
ATVI;1.5974;1.7825;1.8025;1.7750;1.8000;2003-02-11;8604000
ATVI;1.5660;1.7475;1.7850;1.7150;1.7437;2003-02-12;26044800
ATVI;1.5560;1.7363;1.7687;1.7162;1.7537;2003-02-13;8724000
ATVI;1.6254;1.8138;1.8637;1.7313;1.7375;2003-02-14;21076800
ATVI;1.6803;1.8750;1.8837;1.7850;1.8112;2003-02-18;12746400
ATVI;1.6803;1.8750;1.9063;1.8212;1.8750;2003-02-19;11855200
ATVI;1.6422;1.8325;1.8463;1.8000;1.8238;2003-02-20;12698400
ATVI;1.6814;1.8763;1.8800;1.7437;1.7500;2003-02-21;28546400
ATVI;1.6299;1.8188;1.8775;1.8062;1.8775;2003-02-24;8918400
ATVI;1.6299;1.8188;1.8625;1.7600;1.8050;2003-02-25;16248000
ATVI;1.6064;1.7925;1.8425;1.7875;1.8175;2003-02-26;4411200
ATVI;1.6333;1.8225;1.8400;1.7713;1.8312;2003-02-27;5956800
ATVI;1.6691;1.8625;1.8750;1.8375;1.8375;2003-02-28;11709600
ATVI;1.6467;1.8375;1.8650;1.8125;1.8412;2003-03-03;12746400
ATVI;1.6377;1.8275;1.8412;1.8075;1.8312;2003-03-04;6091200
ATVI;1.6221;1.8100;1.8175;1.7950;1.8125;2003-03-05;8282400
ATVI;1.6613;1.8537;1.8750;1.8088;1.8125;2003-03-06;13979200
ATVI;1.6769;1.8713;1.9050;1.8225;1.8438;2003-03-07;16657600
ATVI;1.6489;1.8400;1.8663;1.8288;1.8450;2003-03-10;5546400
ATVI;1.6501;1.8412;1.8687;1.8262;1.8487;2003-03-11;10744000
ATVI;1.6557;1.8475;1.8600;1.8212;1.8412;2003-03-12;10598400
ATVI;1.6467;1.8375;1.8750;1.8250;1.8587;2003-03-13;14839200
ATVI;1.6433;1.8338;1.8613;1.8188;1.8375;2003-03-14;18892800
ATVI;1.7117;1.9100;1.9162;1.7950;1.8125;2003-03-17;16218400
ATVI;1.6680;1.8613;1.9225;1.8438;1.9112;2003-03-18;15349600
ATVI;1.6523;1.8438;1.8750;1.8375;1.8525;2003-03-19;11380000
ATVI;1.6758;1.8700;1.8825;1.8162;1.8188;2003-03-20;10152000
ATVI;1.6747;1.8687;1.9088;1.8500;1.8875;2003-03-21;10229600
ATVI;1.6209;1.8088;1.8800;1.8050;1.8238;2003-03-24;13947200
ATVI;1.6467;1.8375;1.8487;1.7763;1.7825;2003-03-25;10440000
ATVI;1.6478;1.8388;1.8600;1.8300;1.8325;2003-03-26;5469600
ATVI;1.6512;1.8425;1.8650;1.8188;1.8238;2003-03-27;8240000
