Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
AVY;36.5976;59.25;59.91;58.91;59.75;2003-02-04;532400
AVY;36.5111;59.11;60.35;59.07;59.95;2003-02-05;749300
AVY;36.3691;58.88;59.48;58.17;59.00;2003-02-06;546700
AVY;36.2147;58.63;59.46;58.20;58.89;2003-02-07;436800
AVY;36.4679;59.04;59.18;58.20;58.85;2003-02-10;392400
AVY;35.9244;58.16;59.30;57.96;59.11;2003-02-11;308000
AVY;35.4611;57.41;58.72;57.40;58.14;2003-02-12;323700
AVY;35.4487;57.39;57.71;56.75;57.33;2003-02-13;355900
AVY;35.8935;58.11;58.20;56.81;57.40;2003-02-14;308100
AVY;36.2517;58.69;59.99;57.96;57.96;2003-02-18;455100
AVY;35.6340;57.69;58.64;57.50;58.21;2003-02-19;471500
AVY;35.1831;56.96;58.05;56.88;58.05;2003-02-20;315900
AVY;36.3506;58.85;59.20;56.95;57.10;2003-02-21;683400
AVY;35.2387;57.05;58.85;57.04;58.85;2003-02-24;298500
AVY;35.5908;57.62;57.77;56.36;56.80;2003-02-25;419400
AVY;35.3684;57.26;58.56;57.15;57.40;2003-02-26;306500
AVY;35.6526;57.72;58.62;57.32;57.39;2003-02-27;324500
AVY;35.4549;57.40;58.60;57.31;57.97;2003-02-28;398000
AVY;34.8644;56.09;57.68;56.09;57.20;2003-03-03;552100
AVY;33.9694;54.65;56.40;54.63;56.15;2003-03-04;496300
AVY;33.6648;54.16;54.64;53.31;54.50;2003-03-05;813200
AVY;32.9935;53.08;54.95;53.08;54.11;2003-03-06;650300
AVY;33.0991;53.25;53.40;52.10;52.10;2003-03-07;998000
AVY;32.2911;51.95;52.89;51.87;52.58;2003-03-10;549900
AVY;34.1931;55.01;56.16;53.50;53.65;2003-03-11;1564800
AVY;33.7642;54.32;55.01;53.83;55.01;2003-03-12;822800
AVY;35.4922;57.10;57.43;55.50;55.95;2003-03-13;933900
AVY;35.5606;57.21;57.99;56.90;57.73;2003-03-14;637300
AVY;36.3997;58.56;58.86;55.50;57.22;2003-03-17;759800
AVY;37.5124;60.35;60.60;58.90;58.98;2003-03-18;1205700
AVY;37.6802;60.62;60.64;59.87;60.08;2003-03-19;696300
AVY;37.4440;60.24;60.63;59.60;60.63;2003-03-20;549700
AVY;38.5939;62.09;62.14;60.20;60.89;2003-03-21;573500
AVY;37.5807;60.46;61.10;59.90;61.00;2003-03-24;766700
AVY;37.8542;60.90;61.93;60.45;61.40;2003-03-25;578300
AVY;37.5745;60.45;60.95;59.90;60.25;2003-03-26;644500
AVY;37.2451;59.92;60.33;59.24;60.30;2003-03-27;328200
AVY;36.9964;59.52;59.77;59.16;59.50;2003-03-28;293400
AVY;36.4681;58.67;59.52;58.05;59.52;2003-03-31;349500
AVY;36.6484;58.96;59.25;58.08;58.85;2003-04-01;418600
AVY;37.9599;61.07;61.40;58.96;60.55;2003-04-02;496900
AVY;37.6056;60.50;61.00;60.16;60.70;2003-04-03;403300
AVY;37.3943;60.16;60.29;59.36;60.15;2003-04-04;781700
AVY;37.2078;59.86;62.16;59.80;61.48;2003-04-07;445700
AVY;36.9840;59.50;59.84;58.91;59.76;2003-04-08;309800
AVY;36.3562;58.49;60.10;58.35;59.40;2003-04-09;369700
AVY;36.4930;58.71;58.74;57.85;58.56;2003-04-10;470500
AVY;36.5551;58.81;59.80;58.44;58.85;2003-04-11;332400
AVY;37.3756;60.13;60.13;59.04;59.05;2003-04-14;303700
AVY;34.7712;55.94;60.14;55.01;60.14;2003-04-15;2475900
AVY;32.6330;52.50;55.94;51.80;55.94;2003-04-16;2365700
AVY;29.7302;47.83;52.51;46.25;52.51;2003-04-17;7039100
AVY;31.2903;50.34;50.46;47.84;47.84;2003-04-21;1833700
AVY;31.3525;50.44;51.34;49.30;50.35;2003-04-22;2325100
AVY;32.5459;52.36;53.07;50.55;50.94;2003-04-23;1850900
AVY;32.9624;53.03;53.35;52.25;52.35;2003-04-24;1122700
AVY;33.1302;53.30;53.52;52.71;53.03;2003-04-25;1206900
AVY;33.1551;53.34;53.78;53.19;53.30;2003-04-28;651700
AVY;32.9562;53.02;53.36;52.80;53.09;2003-04-29;801300
AVY;32.9499;53.01;53.48;52.60;52.77;2003-04-30;677200
AVY;32.4713;52.24;52.82;51.90;52.80;2003-05-01;710700
AVY;32.4713;52.24;52.55;51.85;52.00;2003-05-02;875500
AVY;32.6143;52.47;53.10;52.05;52.90;2003-05-05;350100
AVY;33.0432;53.16;53.19;52.45;52.75;2003-05-06;725600
AVY;32.6702;52.56;53.04;51.49;51.75;2003-05-07;1329800
AVY;32.3222;52.00;52.75;51.50;52.00;2003-05-08;943200
AVY;33.0059;53.10;53.40;52.29;52.30;2003-05-09;659900
AVY;33.1178;53.28;53.49;52.60;53.30;2003-05-12;651700
AVY;33.2545;53.50;53.84;52.92;53.30;2003-05-13;722200
AVY;33.3975;53.73;53.76;53.25;53.50;2003-05-14;517700
AVY;33.5902;54.04;54.16;53.70;53.78;2003-05-15;407300
AVY;33.6151;54.08;54.25;53.71;54.05;2003-05-16;586400
AVY;33.0991;53.25;53.87;53.25;53.87;2003-05-19;634900
AVY;32.8505;52.85;53.70;52.60;53.50;2003-05-20;653300
AVY;32.8505;52.85;53.04;52.30;52.85;2003-05-21;719100
AVY;33.2110;53.43;53.69;52.32;53.02;2003-05-22;609300
AVY;32.9873;53.07;53.74;52.75;53.43;2003-05-23;461200
AVY;33.7829;54.35;54.38;52.40;52.55;2003-05-27;416300
AVY;34.0937;54.85;54.95;54.30;54.35;2003-05-28;465100
AVY;34.1061;54.87;55.40;54.31;55.00;2003-05-29;544500
AVY;34.4853;55.48;55.70;54.85;54.86;2003-05-30;616900
AVY;34.8544;55.71;56.20;55.30;55.47;2003-06-02;322700
AVY;34.9170;55.81;56.15;55.26;55.85;2003-06-03;340600
AVY;34.9733;55.90;56.35;55.75;56.00;2003-06-04;335400
AVY;34.3476;54.90;55.90;54.16;55.90;2003-06-05;1022000
AVY;34.1599;54.60;55.88;54.30;55.30;2003-06-06;868500
AVY;33.7407;53.93;54.45;53.50;54.44;2003-06-09;315300
AVY;34.0723;54.46;54.75;53.91;54.18;2003-06-10;341300
AVY;35.3173;56.45;56.66;54.46;55.00;2003-06-11;731600
AVY;35.6802;57.03;57.61;56.60;57.60;2003-06-12;707200
AVY;35.1422;56.17;57.03;55.75;57.03;2003-06-13;290000
AVY;34.9170;55.81;56.50;55.51;56.22;2003-06-16;615300
AVY;35.0859;56.08;56.55;55.30;56.40;2003-06-17;550100
AVY;34.4727;55.10;56.29;54.83;56.08;2003-06-18;745700
AVY;34.4415;55.05;55.69;54.80;55.60;2003-06-19;788800
AVY;33.9660;54.29;55.39;54.25;55.15;2003-06-20;670700
AVY;30.8878;49.37;51.41;49.20;50.00;2003-06-23;3254300
AVY;31.4697;50.30;50.79;49.25;49.37;2003-06-24;1930000
AVY;30.7377;49.13;50.22;49.13;50.15;2003-06-25;985800
AVY;29.8743;47.75;49.15;47.39;49.00;2003-06-26;1836000
AVY;30.3122;48.45;48.45;46.95;47.25;2003-06-27;2106300
AVY;31.4071;50.20;51.17;48.45;48.45;2003-06-30;1766000
AVY;31.6574;50.60;50.65;49.28;50.17;2003-07-01;1095500
AVY;32.2830;51.60;51.99;50.90;51.20;2003-07-02;1293500
AVY;32.5958;52.10;52.14;51.51;51.65;2003-07-03;551200
AVY;33.4342;53.44;53.45;52.56;52.75;2003-07-07;801200
AVY;33.0963;52.90;53.70;52.67;53.44;2003-07-08;1175600
AVY;33.0463;52.82;53.30;52.20;52.85;2003-07-09;585600
AVY;32.4957;51.94;52.38;51.55;52.27;2003-07-10;597600
AVY;32.8461;52.50;53.20;51.95;51.95;2003-07-11;435900
AVY;32.9399;52.65;53.04;52.41;53.00;2003-07-14;474200
AVY;32.5958;52.10;52.99;51.83;52.65;2003-07-15;352700
AVY;32.6209;52.14;53.09;51.71;53.09;2003-07-16;399200
AVY;32.5333;52.00;52.45;51.85;52.14;2003-07-17;567700
AVY;32.8148;52.45;52.72;51.73;52.30;2003-07-18;429000
AVY;32.5458;52.02;52.55;51.77;52.55;2003-07-21;613700
AVY;33.6281;53.75;54.35;51.65;52.65;2003-07-22;962700
AVY;33.0525;52.83;53.75;52.26;53.75;2003-07-23;673600
AVY;33.2715;53.18;54.04;52.90;52.90;2003-07-24;646200
AVY;33.1839;53.04;53.28;52.59;53.18;2003-07-25;680500
AVY;32.5145;51.97;52.73;51.17;52.54;2003-07-28;1368600
AVY;32.5958;52.10;52.38;51.58;52.35;2003-07-29;881200
AVY;32.9086;52.60;52.60;52.04;52.35;2003-07-30;534500
AVY;33.7595;53.96;54.65;52.59;52.95;2003-07-31;739600
AVY;33.4592;53.48;54.13;53.07;54.00;2003-08-01;337100
AVY;33.5656;53.65;53.92;52.90;53.48;2003-08-04;362800
AVY;33.2090;53.08;53.53;52.83;53.40;2003-08-05;494500
AVY;33.1401;52.97;53.45;52.32;53.10;2003-08-06;371700
AVY;33.2778;53.19;53.23;52.31;53.10;2003-08-07;392000
AVY;33.4092;53.40;53.80;52.99;53.25;2003-08-08;373300
AVY;33.5843;53.68;53.90;53.25;53.40;2003-08-11;231400
AVY;33.9597;54.28;54.28;53.37;54.08;2003-08-12;283500
AVY;33.8596;54.12;54.62;53.85;54.50;2003-08-13;253500
AVY;34.2850;54.80;54.80;53.88;54.12;2003-08-14;364000
AVY;34.2037;54.67;54.90;54.06;54.70;2003-08-15;192400
AVY;33.8909;54.17;54.68;53.62;54.68;2003-08-18;553100
AVY;33.8721;54.14;54.25;53.78;53.85;2003-08-19;513300
AVY;33.9472;54.26;54.37;53.69;53.90;2003-08-20;309100
AVY;34.3038;54.83;54.99;54.34;54.40;2003-08-21;297100
AVY;34.1161;54.53;55.43;54.40;55.43;2003-08-22;374600
AVY;34.1161;54.53;54.73;54.10;54.50;2003-08-25;277000
AVY;33.8659;54.13;54.75;53.41;54.52;2003-08-26;419300
AVY;33.7470;53.94;54.02;53.50;53.95;2003-08-27;237900
AVY;34.2663;54.77;54.77;53.75;54.10;2003-08-28;440500
AVY;34.4804;54.75;54.76;54.00;54.55;2003-08-29;345600
AVY;35.1480;55.81;55.83;54.51;55.09;2003-09-02;428600
AVY;34.8583;55.35;56.00;55.01;56.00;2003-09-03;330800
AVY;34.8394;55.32;55.51;54.85;55.42;2003-09-04;230200
AVY;34.5308;54.83;55.32;54.28;55.32;2003-09-05;858400
AVY;34.7323;55.15;55.40;54.39;54.89;2003-09-08;274800
AVY;34.4930;54.77;55.38;54.75;55.25;2003-09-09;376800
AVY;33.7373;53.57;54.96;53.45;54.95;2003-09-10;614800
AVY;33.6806;53.48;54.14;53.36;53.82;2003-09-11;567500
AVY;33.4413;53.10;53.51;52.84;53.50;2003-09-12;1235800
AVY;33.9262;53.87;54.14;53.47;53.55;2003-09-15;404000
AVY;34.8268;55.30;55.33;54.15;54.15;2003-09-16;670100
AVY;34.5560;54.87;55.19;54.69;55.15;2003-09-17;326900
AVY;32.9941;52.39;53.60;52.06;53.40;2003-09-18;2213200
AVY;32.1565;51.06;52.63;50.70;52.40;2003-09-19;1463900
AVY;31.4008;49.86;50.65;49.73;50.05;2003-09-22;1028000
AVY;31.4890;50.00;50.16;49.66;49.90;2003-09-23;1044800
AVY;31.2622;49.64;50.10;49.26;49.95;2003-09-24;806200
AVY;30.7647;48.85;49.95;48.80;49.64;2003-09-25;1187800
AVY;31.1363;49.44;49.55;48.25;48.80;2003-09-26;1193600
AVY;31.6716;50.29;50.65;49.59;49.60;2003-09-29;740600
AVY;31.8164;50.52;50.78;49.96;50.15;2003-09-30;815000
AVY;32.9249;52.28;52.28;50.87;50.90;2003-10-01;822300
AVY;33.0004;52.40;52.99;51.93;52.28;2003-10-02;864600
AVY;33.0949;52.55;53.25;52.41;52.80;2003-10-03;478500
AVY;33.0319;52.45;52.82;52.20;52.56;2003-10-06;357700
AVY;33.3846;53.01;53.10;52.02;52.44;2003-10-07;584400
