Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
AXP;23.2701;30.3729;30.8631;30.2154;30.8543;2003-02-04;4895921
AXP;23.2366;30.3291;31.1519;30.1103;30.7931;2003-02-05;4978065
AXP;22.6398;29.5501;30.1541;29.0249;30.0228;2003-02-06;6861533
AXP;22.6263;29.5326;30.1978;29.2438;29.5589;2003-02-07;4784645
AXP;22.5123;29.3838;29.5414;28.7361;29.3663;2003-02-10;5139495
AXP;22.2441;29.0337;29.8740;28.8149;29.6289;2003-02-11;4919113
AXP;21.7948;28.4473;29.0425;28.2984;29.0425;2003-02-12;4094825
AXP;21.8283;28.4910;28.6573;27.9396;28.4473;2003-02-13;4749572
AXP;22.2307;29.0162;29.1125;28.1234;28.4385;2003-02-14;6052211
AXP;23.0019;30.0228;30.5567;29.3663;29.4101;2003-02-18;5718040
AXP;22.9684;29.9790;30.1453;29.6289;30.0228;2003-02-19;5566320
AXP;22.5794;29.4714;30.0666;29.3401;29.9878;2003-02-20;3774592
AXP;22.5660;29.4538;29.7602;28.9112;29.4538;2003-02-21;5227922
AXP;22.1167;28.8674;29.2613;28.7799;29.2088;2003-02-24;4236605
AXP;22.1703;28.9374;29.1037;28.1059;28.8674;2003-02-25;5476180
AXP;21.9490;28.6486;29.0600;28.3860;28.9462;2003-02-26;5944819
AXP;22.1837;28.9549;29.3838;28.5698;28.8849;2003-02-27;4444533
AXP;22.5191;29.3926;29.6902;28.9637;28.9812;2003-02-28;5481435
AXP;22.2374;29.0249;29.8477;28.9724;29.5851;2003-03-03;4525648
AXP;21.9692;28.6748;29.0950;28.6748;29.0249;2003-03-04;4275677
AXP;22.2240;29.0074;29.0425;28.5873;28.6398;2003-03-05;6359877
AXP;21.8283;28.4910;29.0074;28.4385;28.7886;2003-03-06;5486919
AXP;22.1770;28.9462;29.3488;27.9921;28.0359;2003-03-07;6564721
AXP;21.3790;27.9046;28.7886;27.7558;28.5085;2003-03-10;4934651
AXP;21.1845;27.6507;28.2547;27.5720;27.9046;2003-03-11;5206786
AXP;21.1175;27.5632;27.7820;27.0468;27.5720;2003-03-12;8296698
AXP;22.1569;28.9199;29.0425;27.9483;28.2109;2003-03-13;7768651
AXP;22.4520;29.3050;29.8302;29.0074;29.2263;2003-03-14;6414258
AXP;23.9139;31.2132;31.2920;29.1212;29.3050;2003-03-17;8128870
AXP;24.1822;31.5633;31.5983;31.0031;31.2832;2003-03-18;7720781
AXP;24.3431;31.7734;32.2548;31.1782;32.2548;2003-03-19;5902548
AXP;24.6114;32.1235;32.3861;31.3095;31.7734;2003-03-20;5590540
AXP;25.3893;33.1389;33.2439;31.6859;32.3861;2003-03-21;7677482
AXP;24.3766;31.8172;32.3598;31.5108;32.2986;2003-03-24;6459271
AXP;23.6457;30.8631;31.5196;30.5917;31.5108;2003-03-25;10939221
AXP;23.5920;30.7931;30.9681;30.5042;30.8106;2003-03-26;7669142
AXP;23.0891;30.1366;30.4692;29.9440;30.4604;2003-03-27;8269165
AXP;22.9482;29.9528;30.0403;29.6902;29.9353;2003-03-28;5655775
AXP;22.2843;29.0862;29.4714;29.0162;29.4363;2003-03-31;6596481
AXP;22.5459;29.4276;29.6289;28.7624;29.0950;2003-04-01;7810008
AXP;23.3525;30.4079;30.8456;30.0228;30.0228;2003-04-02;6763395
AXP;23.3122;30.3554;30.9331;30.3116;30.7493;2003-04-03;4611790
AXP;23.8500;31.0556;31.0644;30.4254;30.7143;2003-04-04;5594082
AXP;24.0449;31.3095;32.3861;31.2920;32.0360;2003-04-07;8215812
AXP;23.6819;30.8368;31.3095;30.7405;31.3095;2003-04-08;5779618
AXP;23.1240;30.1103;31.2220;30.0140;30.6355;2003-04-09;7317834
AXP;23.4399;30.5217;30.6267;29.8040;30.1978;2003-04-10;7553981
AXP;23.2719;30.3029;31.1607;30.1278;30.8368;2003-04-11;5901062
AXP;23.9374;31.1694;31.1957;30.2854;30.3291;2003-04-14;4262881
