Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
AZO;65.50;65.50;66.75;64.76;65.85;2003-02-04;1703700
AZO;65.59;65.59;66.30;64.79;65.74;2003-02-05;1299300
AZO;64.00;64.00;65.81;64.00;65.50;2003-02-06;1428000
AZO;64.15;64.15;65.17;63.50;64.64;2003-02-07;1291400
AZO;62.99;62.99;64.10;61.75;64.10;2003-02-10;1446700
AZO;64.30;64.30;64.95;63.76;64.00;2003-02-11;1099100
AZO;64.23;64.23;64.85;63.54;63.80;2003-02-12;1060700
AZO;63.80;63.80;64.34;62.78;63.95;2003-02-13;1031500
AZO;65.70;65.70;65.74;63.30;63.95;2003-02-14;1181200
AZO;66.66;66.66;67.49;65.89;65.89;2003-02-18;691100
AZO;65.25;65.25;66.61;64.50;66.50;2003-02-19;966000
AZO;66.25;66.25;66.25;64.90;65.55;2003-02-20;1190400
AZO;66.56;66.56;66.75;65.61;66.25;2003-02-21;1184500
AZO;64.50;64.50;66.79;64.30;66.60;2003-02-24;1048000
AZO;64.96;64.96;64.96;63.07;64.01;2003-02-25;1322000
AZO;64.86;64.86;65.35;64.32;64.96;2003-02-26;1099900
AZO;65.50;65.50;65.75;62.50;62.50;2003-02-27;1140400
AZO;65.80;65.80;66.15;65.37;65.75;2003-02-28;881100
AZO;66.03;66.03;66.99;65.66;66.25;2003-03-03;885200
AZO;63.00;63.00;65.45;62.78;65.30;2003-03-04;1509700
AZO;64.50;64.50;64.57;61.11;61.11;2003-03-05;2297600
AZO;64.06;64.06;64.70;63.70;64.30;2003-03-06;1396300
AZO;65.13;65.13;65.52;63.47;64.07;2003-03-07;1425500
AZO;64.25;64.25;65.25;64.04;65.03;2003-03-10;698900
AZO;64.21;64.21;64.77;63.87;64.25;2003-03-11;1264600
AZO;64.50;64.50;64.50;63.80;64.21;2003-03-12;810600
AZO;68.97;68.97;69.10;65.80;65.95;2003-03-13;1836200
AZO;69.97;69.97;69.97;68.77;69.00;2003-03-14;1744600
AZO;72.34;72.34;72.40;69.25;69.97;2003-03-17;1430300
AZO;71.20;71.20;72.46;70.57;72.34;2003-03-18;1213500
AZO;71.18;71.18;72.05;70.34;71.40;2003-03-19;939700
AZO;71.14;71.14;71.61;70.10;71.18;2003-03-20;1034400
AZO;73.15;73.15;73.22;71.29;71.60;2003-03-21;1114600
AZO;70.37;70.37;73.16;70.11;73.16;2003-03-24;1258700
AZO;72.05;72.05;72.33;70.61;70.85;2003-03-25;959100
AZO;72.00;72.00;72.60;71.39;72.05;2003-03-26;1357500
AZO;70.85;70.85;71.72;70.85;71.70;2003-03-27;1196600
AZO;69.82;69.82;70.78;69.62;70.60;2003-03-28;782600
AZO;68.71;68.71;69.61;67.40;68.35;2003-03-31;1333300
AZO;69.50;69.50;70.03;67.91;68.90;2003-04-01;1188200
AZO;72.20;72.20;72.49;70.30;70.30;2003-04-02;925600
AZO;75.41;75.41;76.36;72.39;72.50;2003-04-03;2336100
AZO;76.38;76.38;76.62;75.41;75.41;2003-04-04;1539100
AZO;76.61;76.61;79.00;76.52;77.11;2003-04-07;1051700
AZO;75.57;75.57;76.36;75.38;76.36;2003-04-08;1482300
AZO;74.04;74.04;74.98;73.82;74.85;2003-04-09;1617600
AZO;74.90;74.90;74.99;73.68;74.06;2003-04-10;835200
AZO;75.24;75.24;75.85;74.90;75.45;2003-04-11;664500
AZO;76.49;76.49;76.72;74.80;75.33;2003-04-14;680100
AZO;77.79;77.79;77.86;75.84;76.35;2003-04-15;1069700
AZO;75.10;75.10;77.79;74.50;77.79;2003-04-16;1229000
AZO;76.99;76.99;76.99;74.62;75.10;2003-04-17;1039800
AZO;75.79;75.79;76.99;75.12;76.99;2003-04-21;948200
AZO;78.50;78.50;78.84;75.57;75.79;2003-04-22;1202200
AZO;80.00;80.00;80.30;78.15;78.48;2003-04-23;1599800
AZO;79.31;79.31;79.90;78.65;79.90;2003-04-24;678300
AZO;78.13;78.13;79.31;77.92;79.31;2003-04-25;787200
AZO;79.32;79.32;80.26;78.05;78.05;2003-04-28;1046500
AZO;80.34;80.34;80.49;78.84;79.40;2003-04-29;1165600
AZO;80.81;80.81;81.34;79.81;80.20;2003-04-30;1163000
AZO;80.96;80.96;80.96;79.39;80.40;2003-05-01;1231400
AZO;82.47;82.47;82.70;80.60;80.96;2003-05-02;1100000
AZO;83.60;83.60;84.56;82.41;83.47;2003-05-05;1102900
AZO;85.63;85.63;85.85;83.46;83.60;2003-05-06;2060400
AZO;84.99;84.99;85.99;84.54;85.30;2003-05-07;1607100
AZO;85.10;85.10;85.88;84.49;84.56;2003-05-08;1202600
AZO;86.85;86.85;87.00;84.79;85.35;2003-05-09;1011000
AZO;87.41;87.41;87.68;86.40;86.86;2003-05-12;1513500
AZO;86.60;86.60;87.65;86.60;87.41;2003-05-13;1162100
AZO;84.98;84.98;86.96;84.83;86.75;2003-05-14;1544200
AZO;85.55;85.55;86.29;85.01;85.90;2003-05-15;2297800
AZO;84.00;84.00;86.00;83.01;85.15;2003-05-16;2047200
AZO;83.01;83.01;84.05;82.85;83.50;2003-05-19;1172100
AZO;83.15;83.15;85.18;82.71;82.88;2003-05-20;1161700
AZO;84.21;84.21;84.75;83.20;83.23;2003-05-21;1491100
AZO;85.60;85.60;86.26;84.11;84.12;2003-05-22;812300
AZO;84.92;84.92;85.11;84.15;85.01;2003-05-23;824800
AZO;87.41;87.41;88.07;84.12;84.42;2003-05-27;1853400
AZO;83.74;83.74;87.00;83.32;85.54;2003-05-28;3373800
AZO;83.45;83.45;84.39;82.60;83.74;2003-05-29;1839200
AZO;83.68;83.68;84.59;82.44;83.60;2003-05-30;1829100
AZO;82.29;82.29;84.20;82.17;83.80;2003-06-02;1695100
