Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
BDX;23.8408;31.90;32.50;31.64;32.30;2003-02-04;1690300
BDX;23.8782;31.95;32.50;31.88;32.50;2003-02-05;1751500
BDX;23.9753;32.08;32.19;31.67;31.75;2003-02-06;1474600
BDX;23.6465;31.64;32.22;31.59;32.00;2003-02-07;1063000
BDX;23.9155;32.00;32.22;31.64;31.80;2003-02-10;1299100
BDX;23.6913;31.70;32.48;31.64;32.20;2003-02-11;1999300
BDX;23.4522;31.38;31.88;31.23;31.85;2003-02-12;1415200
BDX;23.5792;31.55;31.68;31.01;31.25;2003-02-13;1393800
BDX;24.0277;32.15;32.15;31.42;31.70;2003-02-14;1964500
BDX;24.5732;32.88;32.98;32.00;32.00;2003-02-18;1029400
BDX;24.6106;32.93;32.93;32.27;32.82;2003-02-19;1082600
BDX;25.0142;33.47;33.65;32.89;32.93;2003-02-20;1581400
BDX;25.4701;34.08;34.17;33.53;33.55;2003-02-21;1553800
BDX;24.8124;33.20;33.96;33.20;33.95;2003-02-24;1362400
BDX;25.1113;33.60;33.70;32.56;33.21;2003-02-25;1188400
BDX;24.9768;33.42;33.93;33.24;33.55;2003-02-26;1235800
BDX;25.5448;34.18;34.19;33.43;33.44;2003-02-27;1176000
BDX;25.7092;34.40;34.50;33.96;34.18;2003-02-28;790800
BDX;25.5000;34.12;34.58;33.89;34.35;2003-03-03;1705700
BDX;25.0216;33.48;34.43;33.44;34.24;2003-03-04;1114400
BDX;25.2608;33.80;33.82;33.25;33.53;2003-03-05;1556600
BDX;25.3358;33.80;33.95;33.23;33.50;2003-03-06;1047500
BDX;25.4557;33.96;33.98;33.37;33.40;2003-03-07;832300
BDX;24.6087;32.83;33.91;32.76;33.90;2003-03-10;1559800
BDX;24.1964;32.28;32.94;32.27;32.83;2003-03-11;898700
BDX;24.3088;32.43;32.57;31.91;32.37;2003-03-12;920700
BDX;25.1859;33.60;33.60;32.56;33.08;2003-03-13;2006900
BDX;24.5112;32.70;33.55;32.60;33.42;2003-03-14;1221800
BDX;25.0209;33.38;33.38;32.43;32.55;2003-03-17;1513300
BDX;25.9354;34.60;34.60;33.50;33.60;2003-03-18;1768600
BDX;25.6806;34.26;34.51;33.92;34.39;2003-03-19;1552500
BDX;25.9729;34.65;34.71;33.43;34.26;2003-03-20;2039700
BDX;26.8124;35.77;35.77;34.71;35.00;2003-03-21;2117000
BDX;26.1753;34.92;35.01;34.42;34.70;2003-03-24;1545900
BDX;26.2128;34.97;35.20;34.55;34.85;2003-03-25;1326700
BDX;25.6356;34.20;34.90;34.10;34.90;2003-03-26;1378600
BDX;25.4782;33.99;34.29;33.65;34.21;2003-03-27;1619900
BDX;25.9954;34.68;34.72;33.80;33.99;2003-03-28;1224400
BDX;25.8155;34.44;34.61;33.80;34.55;2003-03-31;1164400
BDX;26.2053;34.96;35.10;34.26;34.39;2003-04-01;929900
BDX;26.1228;34.85;35.48;34.74;35.48;2003-04-02;846500
BDX;25.9429;34.61;34.97;34.12;34.85;2003-04-03;731300
BDX;25.4932;34.01;34.79;33.79;34.75;2003-04-04;966500
BDX;25.5606;34.10;34.85;34.00;34.45;2003-04-07;749200
BDX;25.4407;33.94;34.33;33.89;34.20;2003-04-08;865800
BDX;25.2008;33.62;34.42;33.55;34.20;2003-04-09;879100
BDX;25.4107;33.90;33.90;33.35;33.62;2003-04-10;1053700
BDX;24.7436;33.01;33.75;32.70;33.40;2003-04-11;1719500
BDX;24.6986;32.95;33.34;32.65;33.07;2003-04-14;1835700
BDX;24.4363;32.60;32.95;32.50;32.75;2003-04-15;1984100
BDX;23.9116;31.90;32.85;31.63;32.85;2003-04-16;1966400
BDX;24.0240;32.05;32.15;31.52;31.85;2003-04-17;1605200
BDX;24.1065;32.16;32.36;31.97;32.25;2003-04-21;824000
BDX;24.8111;33.10;33.10;31.95;32.05;2003-04-22;1242000
BDX;25.3133;33.77;33.77;32.94;33.00;2003-04-23;1042200
BDX;25.0359;33.40;33.63;32.85;33.35;2003-04-24;878100
BDX;26.5051;35.36;35.75;33.76;33.76;2003-04-25;3173500
BDX;26.4751;35.32;35.45;34.60;35.12;2003-04-28;1009500
BDX;26.6475;35.55;35.73;35.13;35.40;2003-04-29;627000
BDX;26.5351;35.40;35.70;34.99;35.05;2003-04-30;1132000
BDX;26.3477;35.15;35.49;34.75;35.35;2003-05-01;831400
BDX;26.7075;35.63;36.00;34.96;35.15;2003-05-02;720500
BDX;26.9848;36.00;36.11;35.65;35.72;2003-05-05;830500
BDX;27.1198;36.18;36.19;35.70;35.90;2003-05-06;1273100
BDX;27.3596;36.50;36.50;35.70;36.10;2003-05-07;1444000
BDX;27.3596;36.50;36.80;36.24;36.50;2003-05-08;1364500
BDX;27.6595;36.90;37.37;36.36;36.80;2003-05-09;1008700
BDX;28.3191;37.78;37.78;36.86;36.98;2003-05-12;1667200
BDX;27.9968;37.35;37.53;37.10;37.40;2003-05-13;1063700
BDX;28.1242;37.52;37.65;37.15;37.50;2003-05-14;1007000
BDX;28.2741;37.72;37.84;37.11;37.45;2003-05-15;836300
BDX;27.7944;37.08;37.72;36.90;37.72;2003-05-16;1181400
BDX;27.3072;36.43;37.16;36.33;36.99;2003-05-19;829200
BDX;27.3971;36.55;36.90;36.05;36.90;2003-05-20;893400
BDX;28.4390;37.94;37.94;36.44;36.50;2003-05-21;1481500
BDX;28.4390;37.94;38.23;37.45;37.86;2003-05-22;825500
BDX;28.2591;37.70;37.89;37.38;37.74;2003-05-23;465700
BDX;28.8513;38.49;38.49;37.28;37.30;2003-05-27;770800
BDX;29.0087;38.70;38.94;38.10;38.50;2003-05-28;925400
BDX;29.3835;39.20;39.60;38.40;38.85;2003-05-29;1821600
BDX;29.9831;40.00;40.00;39.00;39.07;2003-05-30;1416100
BDX;30.2155;40.31;40.67;39.65;40.00;2003-06-02;1598000
BDX;30.1705;40.25;40.70;40.04;40.31;2003-06-03;1021900
BDX;30.2830;40.40;40.79;39.93;40.17;2003-06-04;964300
BDX;30.3807;40.43;40.43;39.68;40.20;2003-06-05;805600
BDX;30.2003;40.19;40.65;39.98;40.60;2003-06-06;1133800
BDX;29.7194;39.55;40.16;39.41;39.90;2003-06-09;741300
BDX;30.2078;40.20;40.35;39.46;39.54;2003-06-10;728300
BDX;30.1703;40.15;40.35;40.00;40.15;2003-06-11;1324600
BDX;30.1703;40.15;40.30;39.94;40.16;2003-06-12;799300
BDX;30.1627;40.14;40.50;39.99;40.35;2003-06-13;853900
BDX;30.2153;40.21;40.35;40.10;40.25;2003-06-16;1040800
BDX;30.3506;40.39;40.50;40.09;40.30;2003-06-17;1212900
BDX;30.3431;40.38;40.46;40.20;40.39;2003-06-18;1350500
BDX;28.8477;38.39;40.38;38.20;40.38;2003-06-19;1902500
BDX;28.3969;37.79;38.77;37.75;38.60;2003-06-20;2105000
BDX;28.1414;37.45;37.90;36.85;37.65;2003-06-23;1698400
