Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
BEN;6.9265;10.9900;11.1333;10.8700;11.1333;2003-02-04;2014200
BEN;6.9034;10.9533;11.1967;10.9100;11.0233;2003-02-05;2351400
BEN;6.8089;10.8033;10.9533;10.7500;10.9533;2003-02-06;2151600
BEN;6.7164;10.6567;10.9000;10.6000;10.8833;2003-02-07;2112000
BEN;6.7479;10.7067;10.7400;10.5633;10.6667;2003-02-10;1943100
BEN;6.6891;10.6133;10.8333;10.5633;10.7700;2003-02-11;1613700
BEN;6.6093;10.4867;10.7600;10.4267;10.6300;2003-02-12;1988400
BEN;6.6093;10.4867;10.5600;10.3333;10.4833;2003-02-13;2564700
BEN;6.7942;10.7800;10.7833;10.4800;10.5000;2003-02-14;2261100
BEN;6.9223;10.9833;11.1267;10.8333;10.8333;2003-02-18;1783500
BEN;6.8908;10.9333;10.9967;10.8500;10.9833;2003-02-19;1282500
BEN;6.8446;10.8600;10.9933;10.8100;10.9367;2003-02-20;1127400
BEN;6.8950;10.9400;11.0067;10.7500;10.9333;2003-02-21;1964700
BEN;6.7500;10.7100;10.9433;10.6800;10.9433;2003-02-24;1644300
BEN;6.7921;10.7767;10.7867;10.4733;10.6767;2003-02-25;1796700
BEN;6.7269;10.6733;10.7800;10.5967;10.7800;2003-02-26;1647900
BEN;6.8509;10.8700;10.9833;10.6867;10.7567;2003-02-27;1651200
BEN;6.8635;10.8900;11.0667;10.8633;10.9167;2003-02-28;1731600
BEN;6.7584;10.7233;11.0300;10.6767;10.9267;2003-03-03;2337900
BEN;6.6282;10.5167;10.7100;10.5033;10.7100;2003-03-04;2933100
BEN;6.7080;10.6433;10.6433;10.4433;10.5200;2003-03-05;2865900
BEN;6.6219;10.5067;10.6267;10.4700;10.5833;2003-03-06;2045700
BEN;6.7290;10.6767;10.7233;10.3867;10.4500;2003-03-07;2053200
BEN;6.5231;10.3500;10.6333;10.3267;10.6333;2003-03-10;2173800
BEN;6.3866;10.1333;10.3867;10.1333;10.3333;2003-03-11;3325200
BEN;6.4706;10.2667;10.2700;9.9967;10.1367;2003-03-12;4359900
BEN;6.7458;10.7033;10.7033;10.3400;10.3767;2003-03-13;2463300
BEN;6.7395;10.6933;10.8633;10.6000;10.7200;2003-03-14;2498100
BEN;7.0463;11.1800;11.2133;10.5967;10.6667;2003-03-17;3182400
BEN;7.1198;11.2967;11.3400;11.0700;11.2100;2003-03-18;2346600
BEN;7.1492;11.3433;11.4367;11.2300;11.3333;2003-03-19;2563500
BEN;7.1681;11.3733;11.4333;11.0667;11.2667;2003-03-20;2924100
BEN;7.3341;11.6367;11.6633;11.3700;11.4833;2003-03-21;3722700
BEN;7.0862;11.2433;11.5467;11.1333;11.5433;2003-03-24;3235500
BEN;7.1429;11.3333;11.4200;11.1567;11.2367;2003-03-25;2172300
BEN;7.1639;11.3667;11.3767;11.2167;11.2967;2003-03-26;1869000
BEN;7.1376;11.3000;11.3733;11.1233;11.2500;2003-03-27;2182800
