Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
BF-B;5.2381;7.4443;7.4752;7.4400;7.4720;2003-02-04;4148438
BF-B;5.2463;7.4560;7.4752;7.4432;7.4613;2003-02-05;2280938
BF-B;5.2598;7.4752;7.4773;7.4240;7.4560;2003-02-06;1764375
BF-B;5.2546;7.4677;7.5008;7.4667;7.4752;2003-02-07;1379063
BF-B;5.3034;7.5371;7.5680;7.4741;7.4773;2003-02-10;1136250
BF-B;5.3004;7.5328;7.6053;7.5296;7.5467;2003-02-11;1198125
BF-B;5.2944;7.5243;7.5413;7.5200;7.5200;2003-02-12;1327500
BF-B;5.3034;7.5371;7.5573;7.5093;7.5147;2003-02-13;795938
BF-B;5.3146;7.5531;7.5989;7.5339;7.5413;2003-02-14;903750
BF-B;5.3206;7.5616;7.5979;7.5445;7.5733;2003-02-18;928125
BF-B;5.3251;7.5680;7.6053;7.5541;7.5829;2003-02-19;2320313
BF-B;5.3221;7.5637;7.5893;7.5541;7.5733;2003-02-20;1050000
BF-B;5.3386;7.5872;7.6213;7.5637;7.6160;2003-02-21;1159688
BF-B;5.3664;7.6267;7.6373;7.5893;7.6053;2003-02-24;2285625
BF-B;5.3672;7.6277;7.6480;7.6011;7.6267;2003-02-25;3299063
BF-B;5.3326;7.5787;7.6533;7.5787;7.6320;2003-02-26;6043125
BF-B;5.3109;7.5477;7.5840;7.5467;7.5840;2003-02-27;9438750
BF-B;5.2479;7.4187;7.5360;7.4080;7.5307;2003-02-28;21231563
BF-B;5.1815;7.3248;7.4133;7.2427;7.4133;2003-03-03;15496875
BF-B;5.1762;7.3173;7.3675;7.3131;7.3333;2003-03-04;46294688
BF-B;5.2554;7.4293;7.5093;7.3728;7.4667;2003-03-05;20797500
BF-B;5.2871;7.4741;7.5221;7.4133;7.4187;2003-03-06;8185313
BF-B;5.3520;7.5659;7.5691;7.4496;7.4560;2003-03-07;4329375
BF-B;5.3565;7.5723;7.6363;7.5371;7.5669;2003-03-10;2819063
BF-B;5.3905;7.6203;7.6587;7.5691;7.5691;2003-03-11;2798438
BF-B;5.4388;7.6885;7.6907;7.6181;7.6181;2003-03-12;2646563
BF-B;5.4659;7.7269;7.7440;7.6533;7.7013;2003-03-13;3486563
BF-B;5.5331;7.8219;7.8635;7.7067;7.7237;2003-03-14;5224688
BF-B;5.6395;7.9723;7.9776;7.8229;7.8229;2003-03-17;3272813
BF-B;5.6568;7.9968;8.0224;7.9723;7.9723;2003-03-18;4916250
BF-B;5.6900;8.0437;8.0480;7.9733;7.9968;2003-03-19;4377188
BF-B;5.6334;7.9637;8.0299;7.9584;8.0224;2003-03-20;5320313
BF-B;5.6591;8.0000;8.0213;7.9637;7.9637;2003-03-21;9496875
BF-B;5.6606;8.0021;8.0192;7.9723;8.0011;2003-03-24;3896250
BF-B;5.7195;8.0853;8.0971;7.9627;8.0160;2003-03-25;1850625
BF-B;5.7791;8.1696;8.1760;8.0416;8.0853;2003-03-26;2897813
BF-B;5.7421;8.1173;8.1429;8.0267;8.1355;2003-03-27;4520625
BF-B;5.7806;8.1717;8.2027;8.1013;8.1120;2003-03-28;2021250
BF-B;5.8025;8.2027;8.2027;8.0544;8.1717;2003-03-31;2331563
BF-B;5.8711;8.2997;8.3200;8.1493;8.2027;2003-04-01;4298438
BF-B;5.9549;8.4181;8.4885;8.3200;8.3200;2003-04-02;2573438
BF-B;5.8922;8.3296;8.4192;8.3200;8.4192;2003-04-03;1575000
BF-B;5.9353;8.3904;8.4128;8.3413;8.3413;2003-04-04;1137188
BF-B;5.9579;8.4224;8.5952;8.4224;8.4331;2003-04-07;3116250
BF-B;5.9662;8.4341;8.5013;8.4032;8.4235;2003-04-08;2067188
BF-B;5.8855;8.3200;8.4853;8.3200;8.4341;2003-04-09;2435625
BF-B;5.8749;8.3051;8.3893;8.2677;8.3211;2003-04-10;2362500
BF-B;5.8734;8.3029;8.3467;8.2667;8.3051;2003-04-11;1697813
BF-B;5.8930;8.3307;8.3456;8.2752;8.3029;2003-04-14;1676250
BF-B;5.8855;8.3200;8.3307;8.2667;8.3307;2003-04-15;1760625
BF-B;5.8387;8.2539;8.3328;8.2475;8.3093;2003-04-16;2133750
BF-B;5.9405;8.3979;8.4053;8.2539;8.2539;2003-04-17;1890938
BF-B;5.9043;8.3467;8.4043;8.3413;8.3979;2003-04-21;1188750
BF-B;5.8681;8.2955;8.3371;8.2517;8.3360;2003-04-22;2415000
BF-B;5.8236;8.2325;8.3040;8.1952;8.3040;2003-04-23;2908125
BF-B;5.8077;8.2101;8.2315;8.1600;8.1600;2003-04-24;1568438
BF-B;5.7376;8.1109;8.2240;8.1067;8.2101;2003-04-25;2667188
BF-B;5.7496;8.1280;8.1952;8.0853;8.1120;2003-04-28;4124063
BF-B;5.8100;8.2133;8.2240;8.1547;8.1600;2003-04-29;2949375
BF-B;5.7753;8.1643;8.2293;8.1643;8.2133;2003-04-30;2150625
BF-B;5.8409;8.2571;8.2656;8.0843;8.1707;2003-05-01;1356563
