Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
BIIB;30.71;30.71;32.35;30.32;32.35;2003-02-04;4739500
BIIB;30.98;30.98;31.69;30.02;30.90;2003-02-05;4131500
BIIB;30.71;30.71;31.15;30.47;30.78;2003-02-06;2271900
BIIB;30.86;30.86;31.37;30.27;31.09;2003-02-07;2667200
BIIB;30.75;30.75;31.20;30.29;30.90;2003-02-10;1905300
BIIB;30.90;30.90;31.35;30.58;31.04;2003-02-11;2456200
BIIB;30.27;30.27;31.32;30.22;30.73;2003-02-12;2347000
BIIB;29.46;29.46;30.27;28.38;30.25;2003-02-13;4330500
BIIB;29.90;29.90;30.22;29.31;29.58;2003-02-14;2435700
BIIB;30.65;30.65;30.80;29.93;30.02;2003-02-18;2266600
BIIB;30.37;30.37;30.93;29.93;30.75;2003-02-19;1801500
BIIB;29.50;29.50;30.36;29.15;29.91;2003-02-20;3277300
BIIB;29.99;29.99;30.40;28.94;29.00;2003-02-21;3214700
BIIB;29.10;29.10;29.85;29.04;29.84;2003-02-24;1939400
BIIB;29.51;29.51;29.75;28.26;28.69;2003-02-25;5781500
BIIB;28.57;28.57;29.68;28.50;29.34;2003-02-26;3008800
BIIB;29.16;29.16;29.35;28.50;28.68;2003-02-27;2118800
BIIB;28.75;28.75;29.38;28.50;29.25;2003-02-28;3147600
BIIB;29.10;29.10;30.11;28.54;28.59;2003-03-03;4056900
BIIB;28.72;28.72;29.38;28.68;29.19;2003-03-04;1956600
BIIB;28.67;28.67;29.50;28.66;28.91;2003-03-05;3037800
BIIB;28.72;28.72;29.27;28.45;28.69;2003-03-06;3147000
BIIB;28.60;28.60;29.60;28.16;28.62;2003-03-07;4042400
BIIB;28.69;28.69;29.11;28.31;28.40;2003-03-10;2651100
BIIB;28.09;28.09;29.12;27.94;28.61;2003-03-11;2568300
BIIB;28.38;28.38;28.63;27.80;28.09;2003-03-12;3457600
BIIB;30.49;30.49;30.59;28.75;29.46;2003-03-13;5346500
BIIB;30.34;30.34;30.87;29.74;30.40;2003-03-14;5621600
BIIB;32.62;32.62;32.80;30.17;30.30;2003-03-17;5881800
BIIB;34.08;34.08;34.13;32.10;32.57;2003-03-18;5298400
BIIB;33.83;33.83;34.10;32.77;34.06;2003-03-19;4759700
BIIB;34.50;34.50;34.87;33.25;33.57;2003-03-20;5020100
BIIB;34.37;34.37;35.19;33.63;34.87;2003-03-21;5135800
BIIB;32.88;32.88;33.99;32.74;33.98;2003-03-24;3114300
BIIB;34.30;34.30;34.37;32.99;33.04;2003-03-25;3619000
BIIB;34.37;34.37;34.95;34.05;34.38;2003-03-26;2862500
BIIB;35.54;35.54;35.81;34.13;34.34;2003-03-27;3461700
BIIB;35.36;35.36;36.04;35.15;35.31;2003-03-28;2252300
BIIB;34.22;34.22;35.01;34.08;34.98;2003-03-31;2592500
BIIB;34.10;34.10;35.00;33.78;34.89;2003-04-01;2524900
BIIB;35.14;35.14;35.52;34.65;35.05;2003-04-02;3373000
BIIB;37.26;37.26;37.65;35.12;35.65;2003-04-03;7372300
BIIB;36.95;36.95;38.16;36.50;36.95;2003-04-04;4403900
BIIB;34.84;34.84;38.10;34.44;37.91;2003-04-07;7355200
BIIB;34.58;34.58;35.52;34.25;35.22;2003-04-08;4689300
BIIB;33.94;33.94;35.22;33.90;34.63;2003-04-09;3788700
