Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
BLL;5.6279;6.59375;6.6112;6.4662;6.525;2003-02-04;2661600
BLL;5.7069;6.6863;6.7962;6.5887;6.59375;2003-02-05;5100800
BLL;5.6439;6.6125;6.6838;6.5225;6.6687;2003-02-06;4434400
BLL;5.6034;6.565;6.6613;6.5237;6.65;2003-02-07;2619200
BLL;5.5980;6.5588;6.6000;6.4575;6.565;2003-02-10;2600000
BLL;5.5383;6.4887;6.6050;6.46875;6.5563;2003-02-11;2062400
BLL;5.4839;6.425;6.5225;6.3913;6.485;2003-02-12;2898400
BLL;5.5436;6.495;6.5062;6.4;6.425;2003-02-13;3205600
BLL;5.5959;6.5563;6.5613;6.4313;6.4825;2003-02-14;2235200
BLL;5.7239;6.7063;6.7063;6.5875;6.6;2003-02-18;2868800
BLL;5.6962;6.6737;6.7375;6.6512;6.7063;2003-02-19;3007200
BLL;5.6450;6.6137;6.6750;6.5687;6.6687;2003-02-20;2722400
BLL;5.6578;6.6287;6.6350;6.5375;6.6137;2003-02-21;2409600
BLL;5.5810;6.5388;6.6413;6.5138;6.6375;2003-02-24;1836000
BLL;5.5874;6.5462;6.5600;6.365;6.5188;2003-02-25;4273600
BLL;5.5586;6.5125;6.5625;6.5;6.525;2003-02-26;2527200
BLL;5.5596;6.5025;6.5500;6.4212;6.51;2003-02-27;3287200
BLL;5.6943;6.66;6.6600;6.515;6.515;2003-02-28;3052800
BLL;5.7306;6.7025;6.7600;6.6275;6.6675;2003-03-03;5357600
BLL;5.6825;6.6462;6.7025;6.6287;6.7013;2003-03-04;3902400
BLL;5.5714;6.5163;6.6475;6.4187;6.6475;2003-03-05;6345600
BLL;5.4645;6.3913;6.5037;6.3787;6.475;2003-03-06;4912000
BLL;5.5383;6.4775;6.4887;6.3125;6.3562;2003-03-07;2885600
BLL;5.3384;6.2438;6.4313;6.1937;6.4313;2003-03-10;4614400
BLL;5.3544;6.2625;6.3375;6.2375;6.255;2003-03-11;3757600
BLL;5.3523;6.26;6.3212;6.2162;6.25;2003-03-12;4691200
BLL;5.5960;6.545;6.5512;6.3288;6.3625;2003-03-13;4700800
BLL;5.5693;6.5138;6.6250;6.4788;6.5375;2003-03-14;4359200
BLL;5.7360;6.7087;6.7087;6.40625;6.5138;2003-03-17;4964800
BLL;5.7755;6.755;6.8750;6.6287;6.715;2003-03-18;5444800
BLL;5.8471;6.8387;6.8387;6.77;6.78125;2003-03-19;3531200
BLL;5.7926;6.775;6.8400;6.735;6.84;2003-03-20;5476000
BLL;5.9711;6.9837;6.9913;6.815;6.9313;2003-03-21;5399200
BLL;5.9626;6.9738;7.0100;6.8375;6.9837;2003-03-24;4479200
BLL;6.0010;7.0188;7.1062;6.8787;6.9738;2003-03-25;4549600
BLL;5.9540;6.9637;7.0188;6.9125;7.0188;2003-03-26;3200000
BLL;6.0064;7.025;7.0625;6.9125;6.9637;2003-03-27;3452000
BLL;6.0459;7.0712;7.0887;6.99;7;2003-03-28;2884800
BLL;5.9529;6.9625;7.0250;6.90625;7.0125;2003-03-31;4683200
BLL;6.0822;7.1137;7.1250;6.8975;6.9625;2003-04-01;5748800
BLL;6.2319;7.2888;7.3250;7.1625;7.1625;2003-04-02;5736000
BLL;6.1742;7.2213;7.3438;7.2175;7.34375;2003-04-03;2978400
BLL;6.1368;7.1775;7.2787;7.1413;7.2387;2003-04-04;2809600
BLL;6.1090;7.145;7.4025;7.1213;7.275;2003-04-07;5442400
BLL;6.1068;7.1425;7.1788;7.0862;7.145;2003-04-08;2667200
BLL;6.0384;7.0625;7.1962;7.025;7.1425;2003-04-09;2567200
BLL;6.0619;7.09;7.1062;7.0012;7.0637;2003-04-10;2438400
BLL;6.1143;7.1512;7.2288;7.1475;7.15;2003-04-11;2996000
BLL;6.1410;7.1825;7.2225;7.1325;7.1687;2003-04-14;2696800
BLL;6.1485;7.1912;7.1950;7.09375;7.1825;2003-04-15;2678400
BLL;5.9968;7.0138;7.1800;6.99;7.1788;2003-04-16;3232000
BLL;5.9871;7.0025;7.0237;6.94;7.0138;2003-04-17;5037600
BLL;5.9102;6.9125;7.0875;6.8538;7.0375;2003-04-21;4411200
BLL;6.0181;7.0388;7.0788;6.8412;6.875;2003-04-22;3213600
BLL;6.0053;7.0237;7.0363;6.8837;7.0075;2003-04-23;4234400
BLL;6.0758;7.1062;7.1588;6.975;7.0237;2003-04-24;5380000
BLL;5.9850;7;7.1250;7;7.125;2003-04-25;3253600
BLL;6.0940;7.1275;7.1712;6.975;6.975;2003-04-28;2778400
BLL;6.0374;7.0613;7.1687;6.9875;7.135;2003-04-29;2939200
BLL;6.0021;7.02;7.1050;7;7.0613;2003-04-30;2128000
