Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
BR;14.5985;19.51;19.70;18.82;19.70;2007-04-02;9470300
BR;14.2693;19.07;19.50;18.49;19.48;2007-04-03;7892900
BR;14.1496;18.91;19.16;18.80;19.02;2007-04-04;4738000
BR;14.5012;19.38;19.81;18.70;18.75;2007-04-05;4602900
BR;14.2618;19.06;19.57;18.90;19.57;2007-04-09;3600900
BR;14.3815;19.22;19.44;18.60;18.68;2007-04-10;3130800
BR;14.2992;19.11;20.06;18.95;19.25;2007-04-11;3356100
BR;14.3665;19.20;19.27;18.89;19.06;2007-04-12;2666300
BR;14.6509;19.58;20.05;19.10;20.05;2007-04-13;2980900
BR;14.8604;19.86;19.90;19.62;19.62;2007-04-16;1455800
BR;15.2794;20.42;20.58;19.30;19.45;2007-04-17;1567200
BR;15.4740;20.68;20.72;19.96;20.23;2007-04-18;1958200
BR;15.8182;21.14;21.46;20.18;20.20;2007-04-19;1890100
BR;15.7733;21.08;21.77;21.00;21.37;2007-04-20;2671300
BR;15.4889;20.70;21.10;20.53;20.88;2007-04-23;1531800
BR;15.4216;20.61;20.70;20.50;20.70;2007-04-24;1752700
BR;15.1597;20.26;20.67;20.22;20.61;2007-04-25;1029600
BR;15.0101;20.06;20.14;19.70;19.78;2007-04-26;1193200
BR;15.1298;20.22;20.27;19.81;20.00;2007-04-27;734500
BR;14.9951;20.04;20.20;19.96;20.20;2007-04-30;1581800
BR;14.9951;20.04;20.11;19.86;19.96;2007-05-01;1468800
BR;14.9801;20.02;20.11;19.85;19.97;2007-05-02;1460100
BR;15.1896;20.30;20.44;20.01;20.05;2007-05-03;1243100
BR;15.5488;20.78;21.00;20.13;20.20;2007-05-04;1242300
BR;15.7209;21.01;21.04;20.52;20.76;2007-05-07;1482300
BR;15.9154;21.27;21.32;20.54;20.60;2007-05-08;1294300
BR;16.0127;21.40;21.85;21.08;21.12;2007-05-09;2454100
