Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
BRK-B;44.12;44.12;45.08;43.76;44.92;2003-02-04;1260000
BRK-B;44.80;44.80;44.94;44.20;44.40;2003-02-05;445000
BRK-B;43.28;43.28;44.80;43.02;44.70;2003-02-06;510000
BRK-B;42.66;42.66;43.68;42.36;43.50;2003-02-07;645000
BRK-B;42.12;42.12;42.70;42.00;42.62;2003-02-10;900000
BRK-B;42.46;42.46;42.76;42.24;42.40;2003-02-11;580000
BRK-B;41.96;41.96;42.46;41.40;42.30;2003-02-12;840000
BRK-B;41.18;41.18;42.00;41.10;41.90;2003-02-13;710000
BRK-B;40.70;40.70;41.24;40.30;41.20;2003-02-14;1195000
BRK-B;41.88;41.88;41.88;40.90;40.90;2003-02-18;1235000
BRK-B;42.86;42.86;42.90;41.92;42.00;2003-02-19;645000
BRK-B;41.80;41.80;42.98;41.62;42.70;2003-02-20;475000
BRK-B;42.12;42.12;42.28;41.66;41.90;2003-02-21;635000
BRK-B;42.30;42.30;42.50;41.84;42.00;2003-02-24;515000
BRK-B;42.00;42.00;42.32;41.90;41.90;2003-02-25;565000
BRK-B;41.90;41.90;42.14;41.80;42.02;2003-02-26;400000
BRK-B;41.89;41.89;42.12;41.80;41.84;2003-02-27;390000
BRK-B;41.30;41.30;41.72;40.97;41.60;2003-02-28;790000
BRK-B;42.20;42.20;42.40;41.80;41.80;2003-03-03;400000
BRK-B;42.66;42.66;43.34;42.04;42.36;2003-03-04;625000
BRK-B;42.04;42.04;42.46;41.90;42.40;2003-03-05;525000
BRK-B;42.24;42.24;42.42;41.88;41.98;2003-03-06;720000
BRK-B;42.72;42.72;42.84;41.80;41.98;2003-03-07;740000
BRK-B;45.18;45.18;45.80;43.68;43.74;2003-03-10;1115000
BRK-B;44.80;44.80;45.22;44.40;44.86;2003-03-11;495000
BRK-B;45.08;45.08;45.24;44.70;45.04;2003-03-12;1210000
BRK-B;45.70;45.70;45.80;44.88;45.00;2003-03-13;1030000
BRK-B;45.40;45.40;45.65;45.26;45.46;2003-03-14;590000
BRK-B;45.80;45.80;46.30;45.44;45.64;2003-03-17;820000
BRK-B;45.26;45.26;46.00;45.16;45.82;2003-03-18;1055000
BRK-B;46.00;46.00;46.38;45.02;45.34;2003-03-19;1125000
BRK-B;46.02;46.02;46.38;45.44;46.08;2003-03-20;855000
BRK-B;45.98;45.98;46.34;45.80;46.20;2003-03-21;720000
BRK-B;44.48;44.48;45.98;44.44;45.48;2003-03-24;680000
BRK-B;44.30;44.30;45.00;44.30;44.92;2003-03-25;595000
BRK-B;43.96;43.96;44.40;43.74;44.10;2003-03-26;705000
BRK-B;43.70;43.70;44.00;43.56;43.96;2003-03-27;400000
BRK-B;43.44;43.44;44.20;43.42;43.68;2003-03-28;765000
BRK-B;42.74;42.74;43.50;42.70;43.36;2003-03-31;760000
BRK-B;43.76;43.76;43.76;42.82;43.34;2003-04-01;425000
BRK-B;46.40;46.40;46.58;43.76;44.52;2003-04-02;1620000
BRK-B;45.86;45.86;46.76;45.30;46.76;2003-04-03;860000
BRK-B;46.18;46.18;46.40;45.86;46.20;2003-04-04;1210000
BRK-B;46.30;46.30;47.18;46.14;46.88;2003-04-07;1485000
BRK-B;46.26;46.26;46.48;46.00;46.06;2003-04-08;780000
BRK-B;46.56;46.56;46.62;46.20;46.34;2003-04-09;660000
BRK-B;46.56;46.56;46.64;46.26;46.56;2003-04-10;665000
BRK-B;46.68;46.68;46.78;46.30;46.68;2003-04-11;970000
BRK-B;47.48;47.48;47.80;46.44;46.68;2003-04-14;725000
BRK-B;47.22;47.22;47.50;46.96;47.50;2003-04-15;650000
BRK-B;47.20;47.20;48.10;47.20;47.26;2003-04-16;755000
BRK-B;47.86;47.86;48.10;47.22;47.34;2003-04-17;470000
BRK-B;48.13;48.13;48.30;47.88;48.14;2003-04-21;420000
BRK-B;48.82;48.82;48.88;48.16;48.16;2003-04-22;1735000
BRK-B;48.52;48.52;49.08;48.24;48.82;2003-04-23;705000
BRK-B;47.98;47.98;48.66;47.98;48.60;2003-04-24;850000
BRK-B;47.18;47.18;47.99;46.84;47.99;2003-04-25;480000
BRK-B;47.00;47.00;47.54;46.84;47.40;2003-04-28;545000
BRK-B;46.94;46.94;47.26;46.88;47.20;2003-04-29;360000
BRK-B;46.64;46.64;47.00;46.40;47.00;2003-04-30;845000
BRK-B;46.64;46.64;47.04;46.52;46.74;2003-05-01;605000
BRK-B;47.00;47.00;47.08;46.56;46.64;2003-05-02;470000
BRK-B;48.58;48.58;48.60;47.66;47.70;2003-05-05;1480000
BRK-B;49.28;49.28;49.34;48.60;48.82;2003-05-06;985000
BRK-B;49.22;49.22;49.34;48.82;49.28;2003-05-07;845000
BRK-B;48.54;48.54;49.28;48.48;49.22;2003-05-08;840000
