Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
BWA;5.6972;6.7688;6.8288;6.6937;6.7075;2003-02-04;3558400
BWA;5.7919;6.8812;6.9237;6.7800;6.78125;2003-02-05;3222400
BWA;5.6877;6.7575;6.8875;6.7300;6.85;2003-02-06;1697600
BWA;5.5910;6.6425;6.8063;6.6188;6.7888;2003-02-07;1458400
BWA;5.6351;6.695;6.7312;6.6075;6.6625;2003-02-10;2042400
BWA;5.6330;6.6925;6.7712;6.6487;6.7;2003-02-11;1473600
BWA;5.5394;6.5813;6.6937;6.5525;6.6937;2003-02-12;1800800
BWA;5.5026;6.5375;6.5900;6.4375;6.5687;2003-02-13;1841600
BWA;5.5499;6.59375;6.6225;6.4587;6.5375;2003-02-14;2140000
BWA;5.7130;6.7875;6.8113;6.6100;6.6125;2003-02-18;986400
BWA;5.7025;6.775;6.8162;6.6737;6.7875;2003-02-19;1745600
BWA;5.5383;6.58;6.7500;6.5750;6.75;2003-02-20;1942400
BWA;5.5994;6.6525;6.6588;6.5125;6.59375;2003-02-21;1623200
BWA;5.4973;6.53125;6.6550;6.5300;6.6525;2003-02-24;1800800
BWA;5.5173;6.555;6.5550;6.4625;6.4812;2003-02-25;2148000
BWA;5.5604;6.6062;6.6413;6.5188;6.5538;2003-02-26;1829600
BWA;5.5899;6.6413;6.6887;6.6000;6.6188;2003-02-27;2640800
BWA;5.4942;6.5275;6.6750;6.5262;6.6438;2003-02-28;1647200
BWA;5.3248;6.3263;6.5150;6.2688;6.515;2003-03-03;6332800
BWA;5.0154;5.9587;6.2200;5.9375;6.1062;2003-03-04;5709600
BWA;4.9450;5.875;6.0000;5.8562;5.9625;2003-03-05;4839200
BWA;5.0270;5.9725;5.9850;5.8587;5.875;2003-03-06;1767200
BWA;4.9765;5.9125;5.9800;5.8438;5.875;2003-03-07;2487200
BWA;4.8881;5.8075;5.8888;5.7775;5.8875;2003-03-10;2717600
BWA;4.6609;5.5375;5.8313;5.5363;5.8075;2003-03-11;3497600
BWA;4.6367;5.5087;5.5687;5.4200;5.475;2003-03-12;3252800
BWA;4.8492;5.7613;5.7750;5.6000;5.625;2003-03-13;3511200
