Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
BXP;16.5506;35.80;35.90;35.72;35.75;2003-02-04;499300
BXP;16.5737;35.85;35.90;35.80;35.85;2003-02-05;511700
BXP;16.5783;35.86;35.97;35.80;35.88;2003-02-06;512200
BXP;16.5552;35.81;35.99;35.80;35.90;2003-02-07;323600
BXP;16.6431;36.00;36.10;35.85;35.90;2003-02-10;234600
BXP;16.5552;35.81;36.03;35.80;36.00;2003-02-11;213200
BXP;16.3703;35.41;36.00;35.39;35.90;2003-02-12;299700
BXP;16.3980;35.47;35.55;35.34;35.41;2003-02-13;400300
BXP;16.3842;35.44;35.67;35.24;35.67;2003-02-14;377400
BXP;16.6246;35.96;36.08;35.75;36.00;2003-02-18;493600
BXP;16.9389;36.64;36.70;36.15;36.21;2003-02-19;396300
BXP;17.0545;36.89;36.98;36.64;36.80;2003-02-20;326000
BXP;17.1424;37.08;37.11;36.75;37.00;2003-02-21;360000
BXP;16.9898;36.75;37.10;36.75;37.10;2003-02-24;255000
BXP;17.1747;37.15;37.22;36.62;36.78;2003-02-25;293300
BXP;17.1054;37.00;37.20;36.96;37.16;2003-02-26;232900
BXP;17.1424;37.08;37.25;37.00;37.10;2003-02-27;382200
BXP;17.1978;37.20;37.36;37.11;37.15;2003-02-28;261000
BXP;17.2117;37.23;37.40;37.13;37.25;2003-03-03;433300
BXP;17.0129;36.80;37.25;36.80;37.25;2003-03-04;281100
BXP;17.0591;36.90;36.94;36.73;36.90;2003-03-05;223600
BXP;17.0129;36.80;36.88;36.70;36.75;2003-03-06;220600
BXP;16.9944;36.76;36.87;36.52;36.87;2003-03-07;179200
BXP;16.8419;36.43;36.85;36.37;36.85;2003-03-10;272700
BXP;16.6384;35.99;36.62;35.98;36.40;2003-03-11;291900
BXP;16.6477;36.01;36.15;35.80;36.05;2003-03-12;351400
BXP;17.0037;36.78;36.83;36.15;36.16;2003-03-13;729900
BXP;16.9852;36.74;37.00;36.65;36.85;2003-03-14;305900
BXP;17.0129;36.80;36.98;36.58;36.74;2003-03-17;463700
BXP;17.3920;37.62;37.62;36.88;36.88;2003-03-18;347600
BXP;17.5908;38.05;38.06;37.55;37.55;2003-03-19;350100
BXP;17.8543;38.62;38.62;37.75;38.00;2003-03-20;277900
BXP;18.1641;39.29;39.44;38.64;38.65;2003-03-21;370500
BXP;17.6370;38.15;38.90;37.79;38.90;2003-03-24;275000
BXP;17.9144;38.75;38.75;38.14;38.28;2003-03-25;378300
BXP;18.0459;38.42;38.46;37.90;38.00;2003-03-26;528700
BXP;18.0318;38.39;38.45;37.98;38.42;2003-03-27;277800
BXP;17.8768;38.06;38.28;37.92;38.28;2003-03-28;427700
BXP;17.8017;37.90;38.09;37.56;38.05;2003-03-31;312700
BXP;18.1681;38.68;38.72;38.00;38.00;2003-04-01;244800
BXP;18.3184;39.00;39.15;38.85;38.93;2003-04-02;447000
BXP;18.2479;38.85;39.05;38.76;39.05;2003-04-03;167300
BXP;18.1540;38.65;38.99;38.60;38.90;2003-04-04;217300
BXP;18.2714;38.90;39.04;38.83;39.00;2003-04-07;352000
BXP;18.2714;38.90;39.00;38.71;38.98;2003-04-08;244600
