Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CAT;13.7029;21.8700;22.1300;21.6350;22.0000;2003-02-04;2672400
CAT;13.6779;21.8300;22.3650;21.7900;22.0750;2003-02-05;2658000
CAT;13.4617;21.4850;21.9950;21.3750;21.7500;2003-02-06;2891000
CAT;13.3552;21.3150;21.8250;21.1800;21.6500;2003-02-07;2782600
CAT;13.3395;21.2900;21.3750;20.8950;21.2250;2003-02-10;3235200
CAT;13.3395;21.2900;21.6800;21.1500;21.5250;2003-02-11;2855600
CAT;13.1703;21.0200;21.5250;21.0050;21.3250;2003-02-12;2639200
CAT;13.1954;21.0600;21.0950;20.6200;20.9750;2003-02-13;3096000
CAT;13.5494;21.6250;21.6400;20.8700;21.0600;2003-02-14;3159600
CAT;13.9567;22.2750;22.3950;21.6750;21.6750;2003-02-18;4055600
CAT;14.3953;22.9750;22.9750;22.5750;22.7000;2003-02-19;7256000
CAT;14.5049;23.1500;23.1750;22.7100;23.0750;2003-02-20;5727200
CAT;14.5801;23.2700;23.3000;22.8750;23.1500;2003-02-21;4364000
CAT;14.3514;22.9050;23.1450;22.7650;23.1450;2003-02-24;5391800
CAT;14.3545;22.9100;23.0000;22.4550;22.7150;2003-02-25;4559400
CAT;14.3326;22.8750;23.0000;22.7250;22.8250;2003-02-26;3841000
CAT;14.6365;23.3600;23.4150;22.7550;23.0000;2003-02-27;5416200
CAT;14.7242;23.5000;23.7750;23.3500;23.4750;2003-02-28;4487200
CAT;14.7493;23.5400;23.6750;23.4300;23.5050;2003-03-03;4103600
CAT;14.1666;22.6100;23.4500;22.5550;23.4500;2003-03-04;5392200
CAT;14.2950;22.8150;22.9700;22.5250;22.6100;2003-03-05;3461200
CAT;13.9723;22.3000;22.8200;22.2000;22.8200;2003-03-06;3598600
CAT;14.3483;22.9000;23.1250;21.8550;21.8750;2003-03-07;5230400
CAT;14.0319;22.3950;22.7000;22.3000;22.6750;2003-03-10;2725800
CAT;13.9410;22.2500;22.6150;22.1500;22.4000;2003-03-11;3516600
CAT;13.8533;22.1100;22.3150;21.7600;22.1750;2003-03-12;3930600
CAT;14.7023;23.4650;23.4650;22.5550;22.5750;2003-03-13;5121200
CAT;14.7305;23.5100;23.9750;23.3050;23.4750;2003-03-14;5226600
CAT;15.7361;25.1150;25.1200;23.3900;23.4750;2003-03-17;7931400
CAT;15.6014;24.9000;25.3400;24.7500;25.1150;2003-03-18;7566800
CAT;15.5983;24.8950;25.0000;24.4350;24.7500;2003-03-19;5683200
CAT;15.8583;25.3100;25.5000;24.5000;24.8950;2003-03-20;5713000
CAT;16.4629;26.2750;26.6500;25.3750;25.3750;2003-03-21;8699400
CAT;15.8927;25.3650;26.2800;25.2300;26.2800;2003-03-24;5402200
