Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CCI;2.6904;3.45;3.60;3.35;3.48;2003-02-04;451500
CCI;2.5968;3.33;3.58;3.25;3.50;2003-02-05;543600
CCI;2.5812;3.31;3.47;3.31;3.43;2003-02-06;407400
CCI;2.6124;3.35;3.48;3.28;3.38;2003-02-07;501200
CCI;2.6046;3.34;3.49;3.31;3.45;2003-02-10;356100
CCI;2.6124;3.35;3.39;3.22;3.39;2003-02-11;1731100
CCI;2.6514;3.40;3.40;3.21;3.31;2003-02-12;2125500
CCI;2.7294;3.50;3.50;3.33;3.35;2003-02-13;1324400
CCI;2.9322;3.76;3.76;3.41;3.48;2003-02-14;1903500
CCI;3.0647;3.93;3.99;3.81;3.82;2003-02-18;804900
CCI;2.9868;3.83;3.93;3.76;3.93;2003-02-19;549500
CCI;3.0803;3.95;3.96;3.76;3.88;2003-02-20;320600
CCI;3.2909;4.22;4.22;3.91;4.03;2003-02-21;542500
CCI;3.2753;4.20;4.25;4.00;4.24;2003-02-24;640900
CCI;3.0414;3.90;4.12;3.68;4.12;2003-02-25;517800
CCI;3.0414;3.90;3.95;3.77;3.90;2003-02-26;417600
CCI;2.9868;3.83;4.05;3.77;4.00;2003-02-27;838700
CCI;3.0258;3.88;4.03;3.80;3.90;2003-02-28;1865500
CCI;3.0024;3.85;4.10;3.85;3.95;2003-03-03;1223500
CCI;3.3065;4.24;4.24;3.80;3.80;2003-03-04;1122000
CCI;3.5560;4.56;4.58;4.25;4.25;2003-03-05;2378200
CCI;3.5638;4.57;4.72;4.42;4.50;2003-03-06;3379100
CCI;3.6262;4.65;4.69;4.42;4.53;2003-03-07;717700
CCI;3.5093;4.50;4.63;4.40;4.63;2003-03-10;744300
CCI;3.4001;4.36;4.64;4.20;4.42;2003-03-11;650300
CCI;3.2519;4.17;4.26;4.02;4.26;2003-03-12;1222400
CCI;3.5638;4.57;4.60;4.19;4.25;2003-03-13;813200
CCI;3.8290;4.91;4.95;4.65;4.67;2003-03-14;1329400
CCI;4.0161;5.15;5.21;4.75;4.84;2003-03-17;1420300
CCI;4.2111;5.40;5.40;5.00;5.20;2003-03-18;695700
CCI;4.0941;5.25;5.45;5.15;5.40;2003-03-19;866800
CCI;4.1799;5.36;5.48;5.06;5.18;2003-03-20;667100
CCI;4.4373;5.69;5.75;5.40;5.50;2003-03-21;1129100
CCI;4.2891;5.50;5.69;5.35;5.69;2003-03-24;445600
CCI;4.1487;5.32;5.50;5.12;5.46;2003-03-25;790500
CCI;4.0941;5.25;5.39;5.18;5.32;2003-03-26;497500
CCI;4.0941;5.25;5.26;4.95;5.11;2003-03-27;590200
CCI;4.1097;5.27;5.35;5.12;5.15;2003-03-28;458600
CCI;4.2891;5.50;5.75;5.05;5.17;2003-03-31;730600
CCI;4.5230;5.80;5.85;5.25;5.53;2003-04-01;645500
CCI;4.6868;6.01;6.09;5.90;5.92;2003-04-02;875000
CCI;4.5620;5.85;6.07;5.65;6.06;2003-04-03;778100
CCI;4.5698;5.86;6.07;5.80;5.80;2003-04-04;621200
CCI;4.7648;6.11;6.12;5.97;6.04;2003-04-07;625800
CCI;4.7102;6.04;6.12;6.00;6.06;2003-04-08;531900
CCI;4.8272;6.19;6.30;5.95;5.98;2003-04-09;922600
CCI;4.6946;6.02;6.30;5.86;6.18;2003-04-10;894000
CCI;4.8350;6.20;6.22;6.02;6.10;2003-04-11;580500
CCI;5.1391;6.59;6.59;6.22;6.22;2003-04-14;695100
CCI;5.0689;6.50;6.60;6.40;6.49;2003-04-15;1232300
CCI;4.8194;6.18;6.63;6.18;6.58;2003-04-16;704800
CCI;4.8740;6.25;6.58;6.25;6.32;2003-04-17;580600
CCI;4.8740;6.25;6.50;6.21;6.33;2003-04-21;354600
CCI;4.8350;6.20;6.24;6.03;6.20;2003-04-22;1135000
CCI;4.9987;6.41;6.42;6.23;6.23;2003-04-23;523500
CCI;4.9130;6.30;6.43;6.22;6.40;2003-04-24;345300
CCI;5.0377;6.46;6.48;6.31;6.31;2003-04-25;749900
CCI;5.0455;6.47;6.55;6.35;6.49;2003-04-28;368300
CCI;4.8506;6.22;6.60;6.20;6.47;2003-04-29;450200
CCI;4.9675;6.37;6.51;6.01;6.02;2003-04-30;947800
CCI;4.7570;6.10;6.40;6.09;6.37;2003-05-01;909800
CCI;5.1313;6.58;6.59;6.12;6.12;2003-05-02;863500
CCI;5.0377;6.46;6.75;6.45;6.61;2003-05-05;943900
CCI;5.6148;7.20;7.20;6.52;6.52;2003-05-06;1635800
CCI;5.8098;7.45;7.60;6.81;7.14;2003-05-07;1146700
CCI;5.5758;7.15;7.33;7.11;7.18;2003-05-08;1059500
CCI;5.5992;7.18;7.29;7.11;7.20;2003-05-09;660200
CCI;5.6928;7.30;7.35;7.18;7.19;2003-05-12;569300
CCI;5.6538;7.25;7.30;7.00;7.20;2003-05-13;324900
CCI;5.7552;7.38;7.55;7.30;7.30;2003-05-14;845400
CCI;5.7318;7.35;7.60;7.24;7.41;2003-05-15;503500
CCI;5.4822;7.03;7.37;7.03;7.25;2003-05-16;878100
CCI;5.6928;7.30;7.31;7.13;7.13;2003-05-19;956300
CCI;5.7552;7.38;7.44;7.08;7.30;2003-05-20;959700
CCI;5.5056;7.06;7.40;7.06;7.33;2003-05-21;371900
CCI;5.4276;6.96;7.02;6.87;7.01;2003-05-22;1098900
CCI;5.5602;7.13;7.20;6.85;6.90;2003-05-23;774500
CCI;5.9267;7.60;7.73;7.09;7.09;2003-05-27;1721200
CCI;6.1919;7.94;7.94;7.68;7.68;2003-05-28;1371400
CCI;6.3946;8.20;8.25;7.93;7.93;2003-05-29;1506800
CCI;6.4960;8.33;8.56;8.15;8.25;2003-05-30;1664300
CCI;6.5116;8.35;8.62;8.24;8.60;2003-06-02;1023300
CCI;6.5038;8.34;8.48;8.10;8.30;2003-06-03;854600
CCI;6.7300;8.63;8.65;8.34;8.44;2003-06-04;909700
CCI;6.7222;8.62;8.65;8.41;8.54;2003-06-05;396600
CCI;6.6676;8.55;9.00;8.42;8.84;2003-06-06;1243900
CCI;6.3011;8.08;8.55;7.85;8.55;2003-06-09;592000
CCI;6.3244;8.11;8.23;7.80;7.98;2003-06-10;540300
CCI;6.2465;8.01;8.33;7.95;8.06;2003-06-11;564900
CCI;6.4336;8.25;8.41;7.95;7.99;2003-06-12;560500
CCI;6.2309;7.99;8.25;7.75;8.25;2003-06-13;562500
CCI;6.1841;7.93;8.09;7.21;8.00;2003-06-16;997000
CCI;6.3946;8.20;8.21;7.80;7.93;2003-06-17;563000
CCI;6.2075;7.96;8.18;7.96;8.10;2003-06-18;689200
CCI;5.8799;7.54;8.29;7.54;8.01;2003-06-19;1701800
CCI;6.0203;7.72;7.74;7.50;7.64;2003-06-20;748400
CCI;5.9891;7.68;7.91;7.51;7.90;2003-06-23;1011200
CCI;6.1217;7.85;7.87;7.68;7.68;2003-06-24;1028600
CCI;6.2777;8.05;8.06;7.77;7.85;2003-06-25;1066100
CCI;5.9267;7.60;8.34;7.59;8.00;2003-06-26;7516500
CCI;6.0437;7.75;7.76;7.45;7.50;2003-06-27;12708200
CCI;6.0593;7.77;8.05;7.70;7.80;2003-06-30;9031900
CCI;6.0827;7.80;7.90;7.70;7.75;2003-07-01;2014600
CCI;6.7222;8.62;8.65;7.91;7.92;2003-07-02;4260100
CCI;7.0965;9.10;9.15;8.50;8.50;2003-07-03;1774900
CCI;7.3694;9.45;9.47;9.10;9.12;2003-07-07;1804400
CCI;7.6814;9.85;9.91;9.34;9.50;2003-07-08;1915600
CCI;7.8061;10.01;10.15;9.86;9.98;2003-07-09;3793400
CCI;7.6190;9.77;9.95;9.60;9.95;2003-07-10;1260100
CCI;7.6346;9.79;9.93;9.61;9.75;2003-07-11;1943200
CCI;7.9153;10.15;10.15;9.95;9.95;2003-07-14;1038300
CCI;7.7437;9.93;10.26;9.81;10.15;2003-07-15;1599600
CCI;7.9309;10.17;10.17;9.90;9.94;2003-07-16;1645500
CCI;7.6034;9.75;10.00;9.70;10.00;2003-07-17;3194300
CCI;7.6034;9.75;9.90;9.46;9.78;2003-07-18;1303100
CCI;7.3694;9.45;9.68;9.28;9.65;2003-07-21;686700
CCI;7.6034;9.75;9.77;9.23;9.60;2003-07-22;12325300
CCI;7.7593;9.95;9.98;9.75;9.80;2003-07-23;1095800
CCI;7.7905;9.99;10.05;9.87;9.97;2003-07-24;1892100
CCI;7.7359;9.92;10.00;9.82;9.86;2003-07-25;487000
CCI;8.1025;10.39;10.41;9.88;9.90;2003-07-28;1799500
CCI;7.7203;9.90;10.39;9.87;10.39;2003-07-29;1359100
CCI;7.7048;9.88;10.05;9.84;10.05;2003-07-30;1455700
CCI;7.7203;9.90;10.04;9.71;9.99;2003-07-31;1274600
CCI;7.5098;9.63;10.10;9.47;10.10;2003-08-01;1679500
CCI;7.5098;9.63;9.78;9.52;9.78;2003-08-04;2378600
CCI;7.5644;9.70;9.89;9.51;9.63;2003-08-05;2261700
CCI;7.7437;9.93;10.00;9.70;9.71;2003-08-06;2127100
CCI;7.6580;9.82;10.00;9.75;10.00;2003-08-07;1805700
CCI;7.7126;9.89;10.10;9.65;9.94;2003-08-08;1321900
CCI;7.6892;9.86;9.98;9.77;9.85;2003-08-11;939000
CCI;7.9621;10.21;10.50;9.98;9.98;2003-08-12;2632100
CCI;8.3832;10.75;10.97;10.28;10.32;2003-08-13;2351600
CCI;7.9153;10.15;10.25;9.75;9.90;2003-08-14;6523200
CCI;7.8685;10.09;10.14;10.00;10.00;2003-08-15;773900
CCI;7.9933;10.25;10.34;10.10;10.10;2003-08-18;2193400
CCI;8.1571;10.46;10.55;10.14;10.26;2003-08-19;2012600
CCI;8.1103;10.40;10.43;10.26;10.36;2003-08-20;2068400
CCI;8.1415;10.44;10.62;10.31;10.35;2003-08-21;1306900
CCI;8.1103;10.40;10.49;10.27;10.44;2003-08-22;1633000
CCI;7.9855;10.24;10.35;10.15;10.25;2003-08-25;610500
CCI;7.8373;10.05;10.24;9.99;10.23;2003-08-26;1364100
CCI;8.2974;10.64;10.64;10.22;10.22;2003-08-27;1523400
CCI;8.3130;10.66;10.75;10.48;10.60;2003-08-28;982500
CCI;8.3832;10.75;10.82;10.46;10.46;2003-08-29;796100
CCI;8.4690;10.86;10.95;10.65;10.75;2003-09-02;1497800
CCI;8.5392;10.95;10.97;10.80;10.85;2003-09-03;1359300
CCI;8.5548;10.97;11.05;10.94;10.95;2003-09-04;1619400
CCI;8.5002;10.90;11.00;10.87;10.90;2003-09-05;792200
CCI;8.3988;10.77;10.93;10.65;10.93;2003-09-08;1648600
CCI;8.3130;10.66;10.75;10.63;10.70;2003-09-09;1263000
CCI;8.0167;10.28;10.67;10.25;10.66;2003-09-10;784800
CCI;7.9543;10.20;10.25;10.05;10.24;2003-09-11;2284400
CCI;8.0089;10.27;10.36;10.17;10.21;2003-09-12;1682800
CCI;7.9543;10.20;10.39;10.15;10.32;2003-09-15;1417700
CCI;8.1493;10.45;10.63;10.24;10.25;2003-09-16;2445400
CCI;8.2350;10.56;10.69;10.46;10.47;2003-09-17;1184500
CCI;7.9933;10.25;10.57;10.25;10.56;2003-09-18;953000
CCI;7.7905;9.99;10.26;9.88;10.15;2003-09-19;1823200
CCI;7.4786;9.59;9.90;9.40;9.90;2003-09-22;3272300
CCI;7.6970;9.87;10.00;9.80;10.00;2003-09-23;2042100
CCI;7.5176;9.64;9.98;9.50;9.88;2003-09-24;1205900
CCI;7.4162;9.51;9.80;9.41;9.75;2003-09-25;1740300
CCI;7.2914;9.35;9.48;9.13;9.41;2003-09-26;1873800
CCI;7.2291;9.27;9.40;9.00;9.30;2003-09-29;1151500
CCI;7.3382;9.41;9.55;9.15;9.15;2003-09-30;1266600
CCI;7.4942;9.61;9.70;9.35;9.44;2003-10-01;1539200
CCI;8.1103;10.40;10.50;9.47;9.60;2003-10-02;7216800
CCI;8.3364;10.69;10.90;10.55;10.55;2003-10-03;4443700
CCI;8.6016;11.03;11.05;10.62;10.62;2003-10-06;1709100
CCI;8.5860;11.01;11.10;10.82;10.98;2003-10-07;1219000
CCI;8.5626;10.98;11.20;10.94;11.04;2003-10-08;1215700
CCI;8.6873;11.14;11.38;10.99;11.08;2003-10-09;981700
CCI;8.6562;11.10;11.20;10.97;11.06;2003-10-10;645100
CCI;8.8745;11.38;11.38;11.04;11.10;2003-10-13;633800
CCI;8.8121;11.30;11.38;11.20;11.38;2003-10-14;633800
CCI;8.8043;11.29;11.45;11.22;11.45;2003-10-15;961500
CCI;8.8043;11.29;11.31;11.16;11.22;2003-10-16;442500
CCI;8.7419;11.21;11.25;11.15;11.20;2003-10-17;1395900
CCI;8.9135;11.43;11.47;11.20;11.20;2003-10-20;1346200
CCI;9.1085;11.68;11.70;11.47;11.49;2003-10-21;609000
CCI;8.9681;11.50;11.66;11.43;11.66;2003-10-22;695800
CCI;8.7731;11.25;11.42;11.00;11.40;2003-10-23;1375400
CCI;8.6951;11.15;11.16;10.97;11.15;2003-10-24;515600
CCI;8.9837;11.52;11.55;11.21;11.35;2003-10-27;671500
CCI;9.2410;11.85;11.87;11.50;11.53;2003-10-28;1115800
CCI;10.1066;12.96;13.10;12.00;12.00;2003-10-29;4765900
CCI;9.9039;12.70;13.10;12.59;12.99;2003-10-30;1472000
CCI;9.8727;12.66;12.81;12.53;12.65;2003-10-31;1819200
CCI;9.8181;12.59;12.61;12.33;12.60;2003-11-03;1035300
CCI;9.8493;12.63;12.64;12.26;12.50;2003-11-04;1249600
CCI;9.5374;12.23;12.62;12.17;12.62;2003-11-05;719300
CCI;9.7245;12.47;12.51;12.16;12.43;2003-11-06;599800
CCI;10.0521;12.89;13.03;12.47;12.47;2003-11-07;813300
CCI;9.5140;12.20;12.85;12.20;12.85;2003-11-10;1254600
CCI;9.3658;12.01;12.27;11.92;12.20;2003-11-11;481100
CCI;9.7089;12.45;12.46;12.00;12.03;2003-11-12;864000
CCI;9.5374;12.23;12.54;12.22;12.30;2003-11-13;891600
