Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CFG;19.1287;23.08;23.22;21.3500;21.50;2014-09-24;60450900
CFG;19.1039;23.05;23.41;22.4500;22.56;2014-09-25;8430000
CFG;19.2696;23.25;23.37;22.9100;23.18;2014-09-26;2504400
CFG;19.2531;23.23;23.45;22.9100;23.14;2014-09-29;4832600
CFG;19.4105;23.42;23.57;23.0500;23.11;2014-09-30;4103100
CFG;19.4271;23.44;23.61;23.1100;23.22;2014-10-01;3915500
CFG;19.3442;23.34;23.59;23.3030;23.34;2014-10-02;3121400
CFG;19.2531;23.23;23.47;23.0100;23.38;2014-10-03;1585900
CFG;18.7641;22.64;23.37;22.6100;23.28;2014-10-06;1208400
CFG;18.6646;22.52;22.74;22.2600;22.56;2014-10-07;1508400
CFG;18.8552;22.75;23.15;22.1100;22.11;2014-10-08;1649200
CFG;18.6315;22.48;23.00;22.2400;23.00;2014-10-09;1229100
CFG;18.4657;22.28;22.56;22.1350;22.39;2014-10-10;924000
CFG;18.6066;22.45;22.66;22.1200;22.13;2014-10-13;1382800
CFG;18.6066;22.45;22.79;22.3000;22.50;2014-10-14;1605800
CFG;18.1093;21.85;22.20;21.5000;22.13;2014-10-15;3405400
CFG;18.0679;21.80;21.95;21.4700;21.51;2014-10-16;3105800
CFG;18.1673;21.92;22.07;21.7300;21.89;2014-10-17;2750600
CFG;18.5486;22.38;22.38;21.8200;21.82;2014-10-20;1870600
CFG;18.9132;22.82;22.93;22.1100;22.11;2014-10-21;1165500
CFG;18.7309;22.60;23.00;22.4030;22.78;2014-10-22;884700
CFG;19.0873;23.03;23.08;22.5900;22.97;2014-10-23;1154200
CFG;19.2116;23.18;23.49;22.7700;23.32;2014-10-24;1357800
CFG;18.9381;22.85;23.19;22.7250;23.15;2014-10-27;2898800
CFG;19.2945;23.28;23.59;22.9300;23.16;2014-10-28;1500600
CFG;19.4603;23.48;23.53;23.2000;23.35;2014-10-29;1302300
CFG;19.4271;23.44;23.69;23.2970;23.46;2014-10-30;1153600
CFG;19.5763;23.62;23.92;23.3700;23.59;2014-10-31;1238600
CFG;19.8912;24.00;24.00;23.1600;23.49;2014-11-03;1826900
CFG;19.6416;23.60;23.91;23.4300;23.74;2014-11-04;1474500
CFG;19.8912;23.90;23.95;23.5500;23.80;2014-11-05;1097600
CFG;20.2241;24.30;24.46;23.7500;23.79;2014-11-06;1010700
CFG;19.9495;23.97;24.48;23.9600;24.48;2014-11-07;600700
CFG;19.9328;23.95;24.25;23.7500;24.04;2014-11-10;1531300
CFG;19.9245;23.94;24.22;23.7500;23.97;2014-11-11;658300
CFG;19.8579;23.86;23.98;23.5100;23.75;2014-11-12;940800
CFG;19.8247;23.82;23.96;23.5800;23.62;2014-11-13;1149700
CFG;19.9412;23.96;24.00;23.7400;23.74;2014-11-14;1111500
CFG;19.9745;24.00;24.11;23.5600;24.11;2014-11-17;992400
CFG;19.7498;23.73;24.04;23.7100;24.04;2014-11-18;586000
CFG;19.7414;23.72;24.00;23.5100;23.80;2014-11-19;812800
CFG;19.7331;23.71;23.87;23.5000;23.57;2014-11-20;745800
CFG;19.7830;23.77;24.21;23.6950;23.95;2014-11-21;725200
CFG;20.1825;24.25;24.36;23.6800;23.80;2014-11-24;836800
CFG;19.9994;24.03;24.30;24.0200;24.24;2014-11-25;701600
CFG;20.1659;24.23;24.27;23.9200;24.11;2014-11-26;703700
CFG;20.4988;24.63;25.09;24.0500;24.22;2014-11-28;713400
CFG;19.9578;23.98;24.90;23.4900;24.62;2014-12-01;2282600
CFG;20.1409;24.20;24.43;23.8000;24.02;2014-12-02;1369300
CFG;20.1659;24.23;24.59;24.1900;24.33;2014-12-03;1854500
CFG;20.3074;24.40;24.56;24.0900;24.32;2014-12-04;1433700
CFG;20.9316;25.15;25.22;24.4500;24.45;2014-12-05;1008400
CFG;20.8400;25.04;25.14;24.6800;25.08;2014-12-08;2244900
CFG;20.9399;25.16;25.33;24.5000;24.71;2014-12-09;1141800
CFG;20.5154;24.65;25.41;24.6200;25.15;2014-12-10;631000
CFG;20.5487;24.69;25.28;24.5100;24.85;2014-12-11;1709100
CFG;20.3573;24.46;24.83;24.4000;24.52;2014-12-12;950800
CFG;20.3823;24.49;24.81;24.2700;24.68;2014-12-15;1175100
CFG;20.1825;24.25;24.88;24.2200;24.53;2014-12-16;1313900
CFG;20.4405;24.56;24.80;24.2200;24.22;2014-12-17;2160100
CFG;20.8733;25.08;25.14;24.6800;24.75;2014-12-18;1768500
CFG;20.8067;25.00;25.60;24.8400;25.04;2014-12-19;7523100
CFG;20.8900;25.10;25.28;24.6600;25.16;2014-12-22;1689600
CFG;21.1729;25.44;25.50;25.1200;25.31;2014-12-23;1174600
CFG;21.2312;25.51;25.59;25.1800;25.45;2014-12-24;547200
CFG;21.0647;25.31;25.51;25.2500;25.51;2014-12-26;304000
CFG;21.1147;25.37;25.51;25.1800;25.20;2014-12-29;1071000
CFG;20.9649;25.19;25.50;25.1600;25.46;2014-12-30;511800
CFG;20.6902;24.86;25.29;24.8300;25.25;2014-12-31;621600
