Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CHD;3.8363;4.7833;4.8350;4.7450;4.7517;2003-02-04;598800
CHD;3.8637;4.8050;4.8383;4.7533;4.7750;2003-02-05;1047000
CHD;3.8664;4.8083;4.8300;4.7700;4.8083;2003-02-06;519600
CHD;3.8262;4.7583;4.8333;4.7517;4.7800;2003-02-07;600000
CHD;4.1036;5.1033;5.2267;4.9333;4.9667;2003-02-10;3550200
CHD;4.0862;5.0817;5.2433;5.0183;5.1367;2003-02-11;1420200
CHD;4.0581;5.0467;5.1500;5.0367;5.0850;2003-02-12;787200
CHD;3.9830;4.9533;5.0583;4.9450;5.0500;2003-02-13;930000
CHD;4.0406;5.0250;5.0717;4.9500;4.9700;2003-02-14;702000
CHD;4.0594;5.0483;5.1000;5.0250;5.0417;2003-02-18;957600
CHD;4.0875;5.0833;5.1267;5.0500;5.0583;2003-02-19;745200
CHD;4.0514;5.0383;5.1000;5.0117;5.0833;2003-02-20;475200
CHD;4.0942;5.0917;5.1417;5.0633;5.0717;2003-02-21;694800
CHD;3.9602;4.9250;5.0417;4.9250;5.0417;2003-02-24;589200
CHD;4.0125;4.9900;5.0133;4.9233;4.9250;2003-02-25;411000
CHD;3.9870;4.9583;5.0117;4.9467;4.9917;2003-02-26;243000
CHD;4.0205;5.0000;5.0817;4.9517;4.9667;2003-02-27;577800
CHD;3.9937;4.9667;5.0650;4.9250;5.0167;2003-02-28;386400
CHD;3.9696;4.9367;4.9983;4.9283;4.9917;2003-03-03;323400
CHD;3.8771;4.8217;4.9367;4.8000;4.9367;2003-03-04;526800
CHD;3.8664;4.8083;4.8567;4.7750;4.8000;2003-03-05;412800
CHD;3.8208;4.7517;4.8083;4.7117;4.7950;2003-03-06;463800
CHD;3.8624;4.8033;4.8167;4.7050;4.7400;2003-03-07;468000
CHD;3.7967;4.7217;4.7933;4.7200;4.7867;2003-03-10;337800
CHD;3.8168;4.7467;4.8167;4.7383;4.7383;2003-03-11;277200
CHD;3.7954;4.7200;4.7717;4.6900;4.7300;2003-03-12;648000
CHD;3.8383;4.7733;4.8017;4.7450;4.7667;2003-03-13;654000
CHD;3.8530;4.7917;4.8100;4.7583;4.7933;2003-03-14;759600
CHD;3.9254;4.8817;4.9750;4.7750;4.7750;2003-03-17;1196400
CHD;3.9307;4.8883;4.8900;4.8000;4.8900;2003-03-18;759600
CHD;3.9696;4.9367;4.9617;4.8600;4.9133;2003-03-19;564000
CHD;3.9549;4.9183;4.9650;4.9017;4.9167;2003-03-20;502200
CHD;4.0433;5.0283;5.0500;4.9267;4.9600;2003-03-21;528600
CHD;3.9696;4.9367;5.0117;4.8900;5.0117;2003-03-24;387600
CHD;3.9455;4.9067;4.9233;4.8700;4.9167;2003-03-25;457200
CHD;3.9388;4.8983;4.9417;4.8717;4.9000;2003-03-26;517200
CHD;3.9562;4.9200;4.9700;4.8417;4.8817;2003-03-27;320400
CHD;3.9642;4.9300;4.9350;4.8617;4.9100;2003-03-28;307800
CHD;4.0688;5.0600;5.1450;4.8617;4.9167;2003-03-31;821400
CHD;4.0581;5.0467;5.1250;5.0133;5.0750;2003-04-01;579600
CHD;4.1532;5.1650;5.1917;5.0800;5.0800;2003-04-02;597600
CHD;4.0755;5.0683;5.1833;5.0533;5.1833;2003-04-03;474000
CHD;4.1050;5.1050;5.1583;5.0850;5.0850;2003-04-04;364200
CHD;4.0996;5.0983;5.2450;5.0967;5.1467;2003-04-07;638400
CHD;4.0875;5.0833;5.1000;5.0250;5.1000;2003-04-08;726600
CHD;4.0741;5.0667;5.1500;5.0400;5.0833;2003-04-09;681600
CHD;4.0272;5.0083;5.0833;4.9750;5.0683;2003-04-10;642000
CHD;4.0326;5.0150;5.0833;4.9950;5.0417;2003-04-11;612000
CHD;4.0715;5.0633;5.0850;4.9917;4.9917;2003-04-14;518400
CHD;4.0473;5.0333;5.0933;5.0333;5.0667;2003-04-15;514800
CHD;4.0393;5.0233;5.0833;4.9967;5.0533;2003-04-16;528600
CHD;4.0728;5.0650;5.1083;5.0233;5.0483;2003-04-17;685200
CHD;4.0849;5.0800;5.1217;5.0650;5.0983;2003-04-21;516000
CHD;4.1505;5.1617;5.1800;5.0583;5.0800;2003-04-22;751800
CHD;4.1479;5.1583;5.1767;5.1167;5.1667;2003-04-23;773400
CHD;4.1479;5.1583;5.1833;5.1317;5.1483;2003-04-24;394200
CHD;4.1519;5.1633;5.1917;5.1250;5.1783;2003-04-25;288600
CHD;4.2068;5.2317;5.2900;5.1750;5.1833;2003-04-28;804000
CHD;4.2216;5.2500;5.3083;5.2233;5.2500;2003-04-29;505800
CHD;4.2175;5.2450;5.3117;5.2267;5.2667;2003-04-30;1047600
CHD;4.2149;5.2417;5.2583;5.2067;5.2583;2003-05-01;624600
CHD;4.2216;5.2500;5.2950;5.2217;5.2500;2003-05-02;531000
CHD;4.3556;5.4167;5.4833;5.3167;5.3917;2003-05-05;1721400
CHD;4.2644;5.3033;5.4333;5.2183;5.4167;2003-05-06;1192800
CHD;4.2369;5.2567;5.2917;5.1167;5.2083;2003-05-07;1489800
CHD;4.2396;5.2600;5.2833;5.1583;5.1583;2003-05-08;1377000
CHD;4.2624;5.2883;5.2883;5.2133;5.2833;2003-05-09;583800
CHD;4.2315;5.2500;5.3067;5.2367;5.2883;2003-05-12;740400
CHD;4.2342;5.2533;5.2917;5.2367;5.2700;2003-05-13;673200
CHD;4.2248;5.2417;5.2600;5.2183;5.2517;2003-05-14;844800
CHD;4.2450;5.2667;5.3200;5.2433;5.2500;2003-05-15;1013400
CHD;4.2651;5.2917;5.2933;5.2167;5.2667;2003-05-16;818400
CHD;4.2665;5.2933;5.3167;5.2500;5.2750;2003-05-19;606600
CHD;4.2369;5.2567;5.3067;5.2083;5.2667;2003-05-20;1143000
CHD;4.2315;5.2500;5.2833;5.2000;5.2567;2003-05-21;900000
CHD;4.2248;5.2417;5.3050;5.2400;5.2750;2003-05-22;571800
CHD;4.2302;5.2483;5.2650;5.2333;5.2500;2003-05-23;664200
CHD;4.2853;5.3167;5.3800;5.2600;5.2700;2003-05-27;1002000
CHD;4.2839;5.3150;5.3583;5.3083;5.3500;2003-05-28;607200
CHD;4.2678;5.2950;5.3417;5.2867;5.3417;2003-05-29;451200
CHD;4.2705;5.2983;5.3250;5.2767;5.3117;2003-05-30;645600
CHD;4.2947;5.3283;5.4000;5.3050;5.3583;2003-06-02;1360800
CHD;4.3256;5.3667;5.4217;5.3233;5.3283;2003-06-03;2140200
CHD;4.2987;5.3333;5.3800;5.3333;5.3667;2003-06-04;1083000
CHD;4.3162;5.3550;5.3583;5.3200;5.3417;2003-06-05;1066800
CHD;4.2584;5.2833;5.3783;5.2583;5.3683;2003-06-06;1383000
CHD;4.3081;5.3450;5.3767;5.3083;5.3083;2003-06-09;918600
CHD;4.3121;5.3500;5.4050;5.3167;5.4000;2003-06-10;614400
CHD;4.3148;5.3533;5.3667;5.3250;5.3667;2003-06-11;492600
CHD;4.3551;5.4033;5.4117;5.3383;5.3533;2003-06-12;423600
CHD;4.3605;5.4100;5.4533;5.3783;5.4133;2003-06-13;603600
CHD;4.4599;5.5333;5.5333;5.3950;5.3967;2003-06-16;729600
CHD;4.4250;5.4900;5.5733;5.4733;5.5417;2003-06-17;450000
CHD;4.4183;5.4817;5.4983;5.4533;5.4933;2003-06-18;770400
CHD;4.3336;5.3767;5.4850;5.3767;5.4817;2003-06-19;502800
CHD;4.3699;5.4217;5.4650;5.3867;5.3867;2003-06-20;528600
CHD;4.3618;5.4117;5.4267;5.3683;5.4217;2003-06-23;870600
CHD;4.4129;5.4750;5.5333;5.4483;5.5000;2003-06-24;639000
CHD;4.3981;5.4567;5.4983;5.4400;5.4917;2003-06-25;659400
CHD;4.3954;5.4533;5.4783;5.4217;5.4667;2003-06-26;698400
CHD;4.3820;5.4367;5.4750;5.4117;5.4667;2003-06-27;570000
CHD;4.3968;5.4550;5.5000;5.4400;5.4833;2003-06-30;831000
CHD;4.4747;5.5517;5.6083;5.4400;5.4783;2003-07-01;851400
CHD;4.5042;5.5883;5.6467;5.5567;5.5750;2003-07-02;871800
