Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CHRW;9.8875;13.9600;14.0350;13.7550;14.0300;2003-02-04;1596200
CHRW;10.7375;15.1600;15.8100;14.5000;14.6250;2003-02-05;4375800
CHRW;10.8083;15.2600;15.6550;15.0350;15.0500;2003-02-06;1485600
CHRW;10.4966;14.8200;15.5000;14.8150;15.3500;2003-02-07;1110200
CHRW;10.6772;15.0750;15.2900;14.8150;14.8250;2003-02-10;1014600
CHRW;10.7906;15.2350;15.3400;15.0900;15.1100;2003-02-11;1193400
CHRW;10.7162;15.1300;15.4250;15.1250;15.2250;2003-02-12;897400
CHRW;10.6029;14.9700;15.2500;14.9700;15.2350;2003-02-13;735800
CHRW;10.8047;15.2550;15.4950;14.9800;15.1050;2003-02-14;745000
CHRW;11.1235;15.7050;15.7500;15.2400;15.2500;2003-02-18;1102400
CHRW;11.1058;15.6800;15.7600;15.5300;15.7600;2003-02-19;997800
CHRW;11.1270;15.7100;15.7900;15.6250;15.7500;2003-02-20;1147200
CHRW;11.1943;15.8050;15.8750;15.5250;15.7500;2003-02-21;912600
CHRW;10.7304;15.1500;15.6450;15.1500;15.6350;2003-02-24;927800
CHRW;10.9145;15.4100;15.4200;14.7550;15.1450;2003-02-25;687200
CHRW;10.6595;15.0500;15.3900;15.0050;15.3300;2003-02-26;671000
CHRW;10.8295;15.2900;15.4050;14.9750;15.1050;2003-02-27;784600
CHRW;10.8756;15.3550;15.6100;15.2150;15.3450;2003-02-28;585800
CHRW;11.0101;15.5450;15.6000;15.3550;15.5950;2003-03-03;786600
CHRW;11.0633;15.6200;15.7450;15.4050;15.4050;2003-03-04;706800
CHRW;11.1733;15.7350;15.8500;15.5500;15.5500;2003-03-05;1313200
CHRW;11.1378;15.6850;15.8000;15.4750;15.6250;2003-03-06;693000
CHRW;11.1236;15.6650;15.7550;15.5000;15.5500;2003-03-07;761800
CHRW;10.9177;15.3750;15.6600;15.3250;15.6000;2003-03-10;784200
CHRW;10.8893;15.3350;15.5750;15.2900;15.3700;2003-03-11;747200
CHRW;10.8644;15.3000;15.4400;15.0400;15.2650;2003-03-12;1067400
CHRW;11.4893;16.1800;16.1900;15.3950;15.4000;2003-03-13;1705400
CHRW;11.5390;16.2500;16.2650;16.0650;16.2400;2003-03-14;876800
CHRW;11.8373;16.6700;16.6800;16.1350;16.2250;2003-03-17;1377600
CHRW;11.6242;16.3700;16.4550;16.0200;16.3750;2003-03-18;1527400
CHRW;11.8870;16.7400;16.8400;16.3600;16.3750;2003-03-19;724800
CHRW;12.0006;16.9000;16.9450;16.5050;16.6400;2003-03-20;557400
CHRW;12.1994;17.1800;17.2450;16.7000;17.0950;2003-03-21;899600
CHRW;11.9935;16.8900;16.9250;16.6500;16.8100;2003-03-24;1061200
CHRW;12.1817;17.1550;17.2000;16.8750;16.9550;2003-03-25;763000
CHRW;12.1177;17.0650;17.2250;16.9250;17.1600;2003-03-26;596600
CHRW;11.9083;16.7700;17.0750;16.6550;17.0750;2003-03-27;1068200
CHRW;11.7165;16.5000;16.7150;16.4100;16.7050;2003-03-28;822800
CHRW;11.6100;16.3500;16.4050;15.9450;16.4050;2003-03-31;1555800
CHRW;11.6384;16.3900;16.5000;16.0050;16.0950;2003-04-01;936600
CHRW;11.9438;16.8200;16.9200;16.4050;16.4900;2003-04-02;790000
CHRW;11.8586;16.7000;17.0000;16.6850;16.9200;2003-04-03;1362200
CHRW;12.0254;16.9350;17.1250;16.7200;16.7700;2003-04-04;571200
CHRW;12.0822;17.0150;17.4200;16.9650;17.0550;2003-04-07;887800
CHRW;12.2562;17.2600;17.3750;16.9650;17.1950;2003-04-08;666400
CHRW;12.0503;16.9700;17.5000;16.8950;17.2800;2003-04-09;1156800
CHRW;12.0893;17.0250;17.0250;16.7950;16.9700;2003-04-10;519600
CHRW;11.9899;16.8850;17.1750;16.7700;17.0600;2003-04-11;515800
CHRW;12.2278;17.2200;17.2750;16.8450;16.8800;2003-04-14;856800
CHRW;12.4231;17.4950;17.5000;17.2100;17.3000;2003-04-15;687200
CHRW;12.1497;17.1100;17.5000;17.0200;17.5000;2003-04-16;779200
CHRW;12.4728;17.5650;17.6000;17.1150;17.1150;2003-04-17;1109600
CHRW;12.4408;17.5200;17.5550;17.3000;17.5000;2003-04-21;439200
CHRW;12.7142;17.9050;17.9950;17.4750;17.5000;2003-04-22;1056800
CHRW;13.0657;18.4000;18.8550;17.9750;18.0100;2003-04-23;2921600
CHRW;12.9592;18.2500;18.3950;18.0900;18.2200;2003-04-24;884600
CHRW;12.8314;18.0700;18.2500;17.9550;18.2200;2003-04-25;640400
CHRW;13.1119;18.4650;18.5600;18.0150;18.0500;2003-04-28;1178800
CHRW;13.1545;18.5250;18.7350;18.2300;18.5000;2003-04-29;999200
CHRW;13.0622;18.3950;18.5550;18.3250;18.4750;2003-04-30;626600
CHRW;12.8456;18.0900;18.5650;17.9300;18.4600;2003-05-01;1084600
CHRW;12.9486;18.2350;18.2950;17.9400;18.0550;2003-05-02;1702400
CHRW;13.3285;18.7700;18.8550;18.2900;18.5050;2003-05-05;1525200
CHRW;13.4243;18.9050;19.0950;18.7700;18.7700;2003-05-06;2025400
CHRW;13.4279;18.9100;19.1650;18.7950;18.8950;2003-05-07;1409600
CHRW;13.3072;18.7400;18.8750;18.5700;18.8600;2003-05-08;1798200
CHRW;13.4563;18.9500;19.0000;18.6750;18.7250;2003-05-09;904200
CHRW;13.6409;19.2100;19.3800;18.7550;19.0000;2003-05-12;1068600
CHRW;13.5060;19.0200;19.2100;18.8300;19.2100;2003-05-13;859400
CHRW;13.3711;18.8300;19.0950;18.7750;19.0900;2003-05-14;644600
CHRW;13.3533;18.8050;18.9500;18.7550;18.8100;2003-05-15;640400
CHRW;13.1048;18.4550;18.8400;18.2950;18.8400;2003-05-16;1349600
CHRW;12.7639;17.9750;18.4150;17.9750;18.3750;2003-05-19;891000
CHRW;12.7213;17.9150;18.1300;17.7900;18.0350;2003-05-20;500600
CHRW;12.7710;17.9850;18.0350;17.8100;17.9250;2003-05-21;715800
CHRW;12.7568;17.9650;18.1100;17.8300;17.9500;2003-05-22;646800
CHRW;12.7568;17.9650;18.0300;17.6750;17.9000;2003-05-23;512600
CHRW;12.8349;18.0750;18.0750;17.7750;17.8850;2003-05-27;1265200
CHRW;12.9344;18.2150;18.4250;18.0300;18.0600;2003-05-28;722400
CHRW;12.8882;18.1500;18.5000;18.0350;18.3000;2003-05-29;589600
CHRW;13.2290;18.6300;18.6300;17.9950;18.1750;2003-05-30;569200
CHRW;13.1545;18.5250;18.8800;18.4550;18.6350;2003-06-02;602400
CHRW;13.0444;18.3700;18.6250;18.3100;18.5850;2003-06-03;414200
CHRW;13.3255;18.7250;18.8200;18.2150;18.2550;2003-06-04;601200
CHRW;13.1156;18.4300;18.4800;18.1650;18.3750;2003-06-05;668000
CHRW;12.6566;17.7850;18.6300;17.6700;18.5750;2003-06-06;994200
CHRW;12.5107;17.5800;17.8300;17.5250;17.7550;2003-06-09;768000
CHRW;12.7740;17.9500;18.0500;17.6000;17.6600;2003-06-10;464600
CHRW;12.6459;17.7700;18.0500;17.5950;18.0200;2003-06-11;872600
CHRW;12.5783;17.6750;17.7600;17.4200;17.5950;2003-06-12;506600
CHRW;12.4538;17.5000;17.8450;17.3200;17.6950;2003-06-13;648600
CHRW;12.6210;17.7350;17.7650;17.4500;17.5150;2003-06-16;876000
CHRW;12.4609;17.5100;17.8550;17.2250;17.8550;2003-06-17;1034000
CHRW;12.4538;17.5000;17.6300;17.3700;17.4400;2003-06-18;1022400
CHRW;12.3043;17.2900;17.5550;17.0700;17.4950;2003-06-19;1002800
