Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CHTR;35.00;35.00;35.00;35.00;35.00;2010-01-05;10000
CHTR;35.00;35.00;35.00;35.00;35.00;2010-01-06;0
CHTR;35.00;35.00;35.50;35.00;35.25;2010-01-07;9800
CHTR;33.50;33.50;34.55;33.50;34.55;2010-01-08;32200
CHTR;33.50;33.50;33.50;33.50;33.50;2010-01-11;3700
CHTR;33.50;33.50;33.55;33.50;33.50;2010-01-12;5100
CHTR;32.75;32.75;33.01;32.50;33.01;2010-01-13;226300
CHTR;32.75;32.75;32.75;32.75;32.75;2010-01-14;150500
CHTR;32.25;32.25;32.50;32.25;32.50;2010-01-15;45500
CHTR;32.00;32.00;32.25;31.75;32.25;2010-01-19;19400
CHTR;31.75;31.75;31.75;31.50;31.50;2010-01-20;600
CHTR;31.60;31.60;31.60;31.50;31.50;2010-01-21;600
CHTR;31.50;31.50;31.50;31.50;31.50;2010-01-22;200
CHTR;31.25;31.25;31.25;31.00;31.10;2010-01-25;1300
CHTR;30.75;30.75;31.00;30.75;31.00;2010-01-26;300
CHTR;30.75;30.75;31.00;30.55;30.55;2010-01-27;77000
CHTR;30.75;30.75;31.00;30.75;31.00;2010-01-28;10400
CHTR;30.63;30.63;30.85;30.50;30.85;2010-01-29;30700
CHTR;30.50;30.50;30.50;30.25;30.25;2010-02-01;3500
CHTR;30.50;30.50;30.50;30.50;30.50;2010-02-02;600
CHTR;29.75;29.75;30.10;29.75;30.10;2010-02-03;5200
CHTR;30.25;30.25;30.25;30.00;30.00;2010-02-04;29400
CHTR;30.50;30.50;30.50;30.00;30.48;2010-02-05;1800
CHTR;29.85;29.85;30.00;29.75;30.00;2010-02-08;47400
CHTR;29.80;29.80;29.80;29.10;29.10;2010-02-09;29700
CHTR;29.75;29.75;29.85;29.40;29.40;2010-02-10;107600
CHTR;29.74;29.74;29.74;29.50;29.74;2010-02-11;10000
CHTR;29.74;29.74;29.74;29.74;29.74;2010-02-12;100
CHTR;29.74;29.74;29.74;29.74;29.74;2010-02-16;0
CHTR;29.74;29.74;29.74;29.74;29.74;2010-02-17;0
CHTR;29.70;29.70;29.70;29.10;29.10;2010-02-18;1700
CHTR;29.70;29.70;29.70;29.70;29.70;2010-02-19;0
CHTR;29.70;29.70;29.72;29.10;29.10;2010-02-22;19700
CHTR;29.70;29.70;29.70;29.70;29.70;2010-02-23;0
CHTR;29.70;29.70;29.70;29.70;29.70;2010-02-24;0
CHTR;29.50;29.50;29.70;29.50;29.50;2010-02-25;2800
CHTR;29.75;29.75;29.75;29.25;29.25;2010-02-26;2700
CHTR;30.10;30.10;30.10;29.75;29.75;2010-03-01;24800
CHTR;30.40;30.40;30.40;30.00;30.10;2010-03-02;29100
CHTR;30.75;30.75;30.75;30.50;30.50;2010-03-03;131800
CHTR;31.02;31.02;31.50;30.75;31.00;2010-03-04;17000
CHTR;31.75;31.75;31.75;31.25;31.25;2010-03-05;48900
CHTR;31.75;31.75;31.75;31.50;31.50;2010-03-08;49100
CHTR;32.75;32.75;32.75;31.98;32.00;2010-03-09;134900
CHTR;33.00;33.00;33.00;32.00;32.95;2010-03-10;111000
CHTR;32.50;32.50;33.00;32.50;33.00;2010-03-11;33100
CHTR;32.50;32.50;33.00;32.50;33.00;2010-03-12;207600
CHTR;33.00;33.00;33.50;32.50;33.00;2010-03-15;247100
CHTR;32.75;32.75;33.00;32.25;32.25;2010-03-16;16500
CHTR;34.00;34.00;34.00;33.00;33.00;2010-03-17;115000
CHTR;34.75;34.75;34.75;34.00;34.00;2010-03-18;15400
CHTR;34.75;34.75;34.75;34.50;34.75;2010-03-19;1300
CHTR;34.43;34.43;34.75;34.25;34.75;2010-03-22;6000
CHTR;35.00;35.00;35.25;34.25;34.25;2010-03-23;53700
CHTR;35.00;35.00;35.00;35.00;35.00;2010-03-24;1400
CHTR;34.50;34.50;35.00;34.50;34.75;2010-03-25;91000
CHTR;34.75;34.75;35.00;34.75;35.00;2010-03-26;57800
CHTR;34.50;34.50;35.00;34.40;34.50;2010-03-29;205600
CHTR;34.45;34.45;34.52;34.45;34.50;2010-03-30;44000
CHTR;34.50;34.50;34.50;34.25;34.50;2010-03-31;91700
CHTR;35.00;35.00;35.00;34.35;34.50;2010-04-01;59600
CHTR;35.00;35.00;35.00;34.50;34.50;2010-04-05;45500
CHTR;34.55;34.55;35.00;34.55;35.00;2010-04-06;1300
CHTR;34.55;34.55;35.00;34.55;34.55;2010-04-07;51800
CHTR;34.55;34.55;34.55;34.55;34.55;2010-04-08;0
CHTR;34.70;34.70;34.70;34.55;34.55;2010-04-09;50500
CHTR;35.00;35.00;35.25;34.75;34.75;2010-04-12;190400
CHTR;35.00;35.00;35.00;35.00;35.00;2010-04-13;0
CHTR;35.25;35.25;35.75;35.25;35.25;2010-04-14;35000
CHTR;36.00;36.00;36.00;35.30;35.45;2010-04-15;11700
CHTR;36.10;36.10;36.10;36.10;36.10;2010-04-16;900
CHTR;36.01;36.01;36.05;36.00;36.00;2010-04-19;36600
CHTR;36.01;36.01;36.01;36.01;36.01;2010-04-20;0
CHTR;35.51;35.51;35.51;35.51;35.51;2010-04-21;100
CHTR;36.00;36.00;36.00;35.95;36.00;2010-04-22;16400
CHTR;36.25;36.25;36.25;36.25;36.25;2010-04-23;2700
CHTR;36.50;36.50;36.50;36.27;36.27;2010-04-26;3700
CHTR;36.50;36.50;36.50;36.50;36.50;2010-04-27;1700
CHTR;36.50;36.50;36.50;36.33;36.50;2010-04-28;16800
CHTR;37.25;37.25;37.25;36.50;36.50;2010-04-29;50400
CHTR;37.90;37.90;38.00;37.25;37.50;2010-04-30;130400
CHTR;39.50;39.50;39.50;38.50;38.50;2010-05-03;26600
CHTR;39.75;39.75;39.99;39.00;39.50;2010-05-04;9700
CHTR;39.50;39.50;39.75;39.00;39.50;2010-05-05;83100
CHTR;38.35;38.35;39.00;37.00;39.00;2010-05-06;43500
CHTR;37.85;37.85;38.00;37.50;37.80;2010-05-07;4000
CHTR;37.75;37.75;38.25;37.50;37.50;2010-05-10;41000
CHTR;38.00;38.00;38.00;37.75;37.75;2010-05-11;2200
CHTR;38.00;38.00;38.00;38.00;38.00;2010-05-12;3200
CHTR;38.00;38.00;38.00;38.00;38.00;2010-05-13;0
CHTR;37.60;37.60;37.65;37.50;37.65;2010-05-14;900
CHTR;38.00;38.00;38.00;37.60;37.60;2010-05-17;4400
CHTR;37.25;37.25;37.25;37.00;37.00;2010-05-18;6000
CHTR;38.20;38.20;38.20;37.00;37.00;2010-05-19;5800
CHTR;37.00;37.00;38.00;37.00;38.00;2010-05-20;126600
CHTR;36.75;36.75;36.80;36.50;36.80;2010-05-21;1900
CHTR;36.30;36.30;36.50;36.25;36.50;2010-05-24;72100
