Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CI;13.0301;13.6467;14.1367;13.5400;14.1367;2003-02-04;7458900
CI;12.9633;13.5767;13.8467;13.5733;13.6600;2003-02-05;5913900
CI;12.4827;13.0733;13.6233;13.0333;13.6167;2003-02-06;4608000
CI;13.6922;14.3400;14.6000;13.8333;13.8333;2003-02-07;13252800
CI;13.6253;14.2700;14.5167;14.2000;14.3433;2003-02-10;4706700
CI;13.7303;14.3800;14.8067;14.2733;14.2733;2003-02-11;5057700
CI;13.4725;14.1100;14.4167;14.0800;14.2667;2003-02-12;3755700
CI;13.3962;14.0300;14.3067;13.8667;14.1667;2003-02-13;2914800
CI;13.3771;14.0100;14.0833;13.7567;14.0167;2003-02-14;4036500
CI;13.8322;14.4867;14.6700;14.0667;14.0667;2003-02-18;3014100
CI;13.8417;14.4967;14.6167;14.4000;14.5500;2003-02-19;3629100
CI;13.6221;14.2667;14.5333;14.2167;14.5333;2003-02-20;4000200
CI;13.7463;14.3967;14.4300;14.0600;14.2333;2003-02-21;4182300
CI;13.4853;14.1233;14.3567;14.0000;14.3333;2003-02-24;4069800
CI;13.3802;14.0133;14.0767;13.8933;14.0000;2003-02-25;3831600
CI;13.3675;14.0000;14.0733;13.8733;14.0133;2003-02-26;4202700
CI;13.4312;14.0667;14.1400;13.8600;14.0333;2003-02-27;3442200
CI;13.6762;14.3233;14.3333;14.0667;14.1367;2003-02-28;2741700
CI;13.6731;14.3200;14.5600;14.2700;14.3667;2003-03-03;2514000
CI;13.4121;14.0467;14.2867;14.0433;14.2833;2003-03-04;2250000
CI;13.5107;14.1500;14.2133;13.9400;14.0833;2003-03-05;2947500
CI;13.3675;14.0000;14.1400;13.9367;14.1167;2003-03-06;3751200
CI;13.4894;14.0167;14.0533;13.7233;13.8400;2003-03-07;3717600
CI;13.0082;13.5167;14.0000;13.4333;14.0000;2003-03-10;2923500
CI;12.8254;13.3267;13.6533;13.2867;13.5167;2003-03-11;3368400
CI;13.0082;13.5167;13.5367;13.1767;13.3333;2003-03-12;2989500
CI;13.3579;13.8800;13.8833;13.6067;13.6333;2003-03-13;3618000
CI;13.4349;13.9600;14.2667;13.9000;14.0333;2003-03-14;3661200
CI;13.9289;14.4733;14.5333;13.8567;13.9333;2003-03-17;4778100
CI;13.7717;14.3100;14.5233;14.2400;14.4567;2003-03-18;3553800
CI;14.1855;14.7400;14.8267;14.3467;14.3933;2003-03-19;3845100
CI;14.4390;15.0033;15.0367;14.5333;14.8000;2003-03-20;3482100
CI;14.8464;15.4267;15.4633;15.0200;15.1667;2003-03-21;3715200
CI;14.3299;14.8900;15.2333;14.8467;15.1633;2003-03-24;2558700
CI;14.6218;15.1933;15.3700;14.8667;14.9267;2003-03-25;2364300
CI;14.5577;15.1267;15.2633;14.9700;15.2067;2003-03-26;2346300
CI;14.6122;15.1833;15.2933;14.9200;14.9400;2003-03-27;2122200
CI;14.6988;15.2733;15.3867;15.0467;15.1833;2003-03-28;2229600
CI;14.6667;15.2400;15.3767;14.6633;14.6633;2003-03-31;4049400
CI;14.8688;15.4500;15.6133;15.1700;15.2667;2003-04-01;3813300
CI;15.1255;15.7167;15.8300;15.5600;15.5933;2003-04-02;2051400
CI;15.2923;15.8900;15.9933;15.5267;15.7167;2003-04-03;3033600
CI;15.4655;16.0700;16.1067;15.8667;15.9733;2003-04-04;3102300
CI;15.4078;16.0100;16.5767;16.0000;16.3833;2003-04-07;2192100
CI;15.2025;15.7967;16.0633;15.7200;16.0133;2003-04-08;2524500
CI;14.9715;15.5567;16.0333;15.4300;15.8000;2003-04-09;2094900
CI;15.0773;15.6667;15.7167;15.2300;15.5567;2003-04-10;3411000
CI;15.0709;15.6600;15.9533;15.5700;15.6700;2003-04-11;1435500
CI;15.2377;15.8333;15.8467;15.6033;15.6600;2003-04-14;2013300
CI;15.5297;16.1367;16.1733;15.4867;15.8333;2003-04-15;1861500
CI;15.0389;15.6267;16.2867;15.5833;16.2000;2003-04-16;3753000
CI;15.2859;15.8833;15.8833;15.6433;15.7067;2003-04-17;2492700
CI;15.0966;15.6867;15.9700;15.6333;15.9167;2003-04-21;2546400
CI;15.6580;16.2700;16.2767;15.5033;15.6867;2003-04-22;3339000
CI;15.8088;16.4267;16.4500;15.9967;16.3500;2003-04-23;2374200
CI;15.9980;16.6233;16.8000;16.1600;16.6767;2003-04-24;4273500
CI;15.6708;16.2833;16.6667;16.2667;16.6000;2003-04-25;2102400
CI;16.1488;16.7800;16.7933;16.2833;16.2900;2003-04-28;2387100
CI;16.1616;16.7933;16.9133;16.5400;16.8567;2003-04-29;3035700
CI;16.7776;17.4333;17.6033;16.8400;16.8767;2003-04-30;4336200
CI;17.2106;17.8833;17.9833;17.0633;17.4367;2003-05-01;6268200
CI;16.2900;16.9267;17.6033;16.3233;17.3333;2003-05-02;13533900
CI;16.5177;17.1633;17.3067;16.8633;16.9667;2003-05-05;4655400
CI;17.1272;17.7967;17.9800;17.0133;17.1667;2003-05-06;5770200
CI;17.0150;17.6800;17.9100;17.6267;17.7967;2003-05-07;3087300
CI;16.6749;17.3267;17.7133;17.2600;17.6833;2003-05-08;2764800
CI;16.5049;17.1500;17.4333;17.1033;17.3333;2003-05-09;3660900
CI;16.5177;17.1633;17.2900;17.0000;17.1500;2003-05-12;4331100
CI;16.6492;17.3000;17.4467;17.1000;17.1633;2003-05-13;2233800
CI;16.9380;17.6000;17.6500;17.2933;17.3000;2003-05-14;2555100
CI;16.9925;17.6567;17.7733;17.4167;17.7667;2003-05-15;2751300
CI;17.4384;18.1200;18.1500;17.5000;17.6467;2003-05-16;4251600
CI;17.0021;17.6667;18.0500;17.6667;17.9667;2003-05-19;2748600
CI;17.3839;18.0633;18.3000;17.7667;17.8333;2003-05-20;4163700
CI;17.6790;18.3700;18.5000;18.0067;18.0633;2003-05-21;4358700
CI;17.6950;18.3867;18.6500;18.2600;18.3700;2003-05-22;2900400
CI;17.5475;18.2333;18.3833;18.1033;18.3233;2003-05-23;1867500
CI;17.8907;18.5900;18.5900;18.0700;18.1567;2003-05-27;1972800
CI;17.9805;18.6833;18.8300;18.6000;18.6500;2003-05-28;2359200
CI;17.6245;18.3133;18.8000;18.1967;18.6733;2003-05-29;2688600
CI;17.9966;18.7000;18.7000;18.3367;18.3667;2003-05-30;3894300
CI;17.3229;18.0000;19.1367;17.6500;18.7500;2003-06-02;8810700
CI;16.5049;17.1500;17.6633;16.7967;17.4933;2003-06-03;9598800
CI;16.8963;17.5567;17.5833;17.0667;17.1333;2003-06-04;3992100
CI;16.6813;17.3333;17.5567;17.2100;17.2100;2003-06-05;3430200
CI;16.5974;17.1367;17.5367;17.0533;17.3000;2003-06-06;3018300
CI;16.2519;16.7800;17.2567;16.6333;17.1400;2003-06-09;4772700
CI;16.0324;16.5533;16.8600;16.1767;16.7333;2003-06-10;4777500
CI;16.0163;16.5367;16.5533;16.2800;16.4500;2003-06-11;4099200
CI;15.5288;16.0333;16.6667;15.8533;16.5000;2003-06-12;6287100
CI;15.1284;15.6200;16.0667;15.5667;15.9867;2003-06-13;4966800
CI;15.2576;15.7533;15.8367;15.3333;15.6200;2003-06-16;6259200
CI;15.7031;16.2133;16.2133;15.7167;15.8333;2003-06-17;6939600
CI;15.6514;16.1600;16.3233;15.9133;16.3167;2003-06-18;4011600
CI;15.7322;16.2433;16.2667;16.0600;16.1600;2003-06-19;6719100
CI;15.8258;16.3400;16.4633;16.1667;16.3333;2003-06-20;4413300
CI;15.3060;15.8033;16.2500;15.7500;16.2000;2003-06-23;2542500
CI;15.4158;15.9167;15.9833;15.6367;15.8333;2003-06-24;2384700
CI;15.2414;15.7367;16.0900;15.6767;15.9000;2003-06-25;2386500
CI;15.2899;15.7867;15.8267;15.6233;15.7367;2003-06-26;1572300
CI;15.2253;15.7200;16.0033;15.6500;15.8700;2003-06-27;1814400
CI;15.1543;15.6467;15.8567;15.5500;15.7833;2003-06-30;2521800
CI;15.1381;15.6300;15.6633;15.4167;15.6467;2003-07-01;2646600
CI;15.4190;15.9200;15.9500;15.6300;15.6300;2003-07-02;2586000
CI;15.1252;15.6167;16.0667;15.5467;15.9200;2003-07-03;2504400
CI;15.4255;15.9267;15.9300;15.6767;15.7000;2003-07-07;2364300
CI;15.7096;16.2200;16.2267;15.7667;15.8933;2003-07-08;2823300
CI;15.8355;16.3500;16.6667;16.2133;16.2200;2003-07-09;3903000
CI;15.0510;15.5400;16.1433;15.3500;16.1000;2003-07-10;5138400
CI;14.3633;14.8300;15.8500;14.6667;15.6167;2003-07-11;11516400
CI;13.2495;13.6800;14.3667;13.6733;13.8200;2003-07-14;24924900
CI;13.3270;13.7600;14.0733;13.6933;13.7333;2003-07-15;8054400
CI;12.9622;13.3833;13.8833;13.3733;13.7833;2003-07-16;4846200
CI;13.0913;13.5167;13.6800;13.3333;13.3667;2003-07-17;5640900
CI;13.2721;13.7033;13.7567;13.5333;13.5367;2003-07-18;3912000
CI;13.0913;13.5167;13.7033;13.4467;13.6900;2003-07-21;2201400
CI;13.2043;13.6333;13.6600;13.4000;13.5833;2003-07-22;2972700
CI;13.1720;13.6000;13.8267;13.5667;13.7667;2003-07-23;2586600
CI;13.1720;13.6000;13.9600;13.5900;13.7367;2003-07-24;4671300
CI;13.4045;13.8400;13.8833;13.5800;13.5867;2003-07-25;1532100
CI;13.4464;13.8833;14.0167;13.7733;13.8600;2003-07-28;3159900
CI;13.4949;13.9333;14.0467;13.8333;13.9867;2003-07-29;3370200
CI;14.6474;15.1233;15.1667;14.0067;14.0067;2003-07-30;20169600
CI;15.1026;15.5933;15.8333;15.0600;15.3667;2003-07-31;10229700
CI;14.7055;15.1833;15.3967;14.8500;14.8500;2003-08-01;5124900
CI;14.4440;14.9133;15.1900;14.6467;15.1067;2003-08-04;4977900
CI;14.4957;14.9667;15.2300;14.8833;14.9133;2003-08-05;4536600
