Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CMG;44.00;44.00;48.28;39.51;45.00;2006-01-26;13218600
CMG;42.20;42.20;44.90;41.75;44.88;2006-01-27;1150800
CMG;44.80;44.80;45.51;41.25;42.20;2006-01-30;735800
CMG;47.52;47.52;49.30;45.38;45.50;2006-01-31;1111200
CMG;46.56;46.56;49.24;45.25;48.90;2006-02-01;606700
CMG;44.75;44.75;47.91;44.26;47.90;2006-02-02;401500
CMG;46.55;46.55;46.56;44.25;44.85;2006-02-03;245300
CMG;47.71;47.71;48.00;46.00;47.48;2006-02-06;349800
CMG;46.28;46.28;47.75;45.25;47.71;2006-02-07;267200
CMG;45.74;45.74;46.60;45.04;45.85;2006-02-08;174400
CMG;44.05;44.05;46.00;43.08;45.78;2006-02-09;220300
CMG;42.31;42.31;43.26;41.50;43.25;2006-02-10;375500
CMG;41.48;41.48;42.55;41.00;41.75;2006-02-13;199100
CMG;43.00;43.00;43.26;41.19;41.45;2006-02-14;197900
CMG;42.70;42.70;43.30;42.22;43.10;2006-02-15;98100
CMG;44.45;44.45;44.70;42.53;43.75;2006-02-16;293000
CMG;43.85;43.85;45.00;43.85;44.25;2006-02-17;138000
CMG;43.10;43.10;44.06;42.81;44.00;2006-02-21;68100
CMG;43.87;43.87;44.15;42.85;43.00;2006-02-22;95900
CMG;45.80;45.80;45.99;44.75;45.10;2006-02-23;249300
CMG;46.67;46.67;46.75;45.80;45.90;2006-02-24;138300
CMG;46.53;46.53;46.95;46.18;46.95;2006-02-27;100800
CMG;45.60;45.60;46.53;45.60;46.53;2006-02-28;87500
CMG;45.50;45.50;46.20;44.60;45.64;2006-03-01;190100
CMG;45.75;45.75;46.31;45.07;45.50;2006-03-02;229000
CMG;45.48;45.48;46.29;45.13;45.75;2006-03-03;89100
CMG;45.79;45.79;46.10;45.03;45.60;2006-03-06;168900
CMG;45.00;45.00;45.25;44.25;44.50;2006-03-07;328300
CMG;42.50;42.50;44.85;42.20;44.85;2006-03-08;306600
CMG;41.46;41.46;42.90;41.25;42.75;2006-03-09;161500
CMG;42.11;42.11;42.88;40.89;41.40;2006-03-10;313900
CMG;43.41;43.41;43.75;42.36;42.36;2006-03-13;190400
CMG;48.70;48.70;49.15;45.95;46.29;2006-03-14;1255800
CMG;52.01;52.01;52.75;47.85;48.00;2006-03-15;1142100
CMG;55.05;55.05;56.75;51.89;52.00;2006-03-16;1697700
CMG;53.86;53.86;55.50;53.42;55.50;2006-03-17;396200
CMG;50.09;50.09;53.86;50.05;53.86;2006-03-20;863500
CMG;52.00;52.00;52.35;50.20;50.26;2006-03-21;360400
CMG;54.80;54.80;54.85;52.95;52.95;2006-03-22;579300
CMG;53.88;53.88;55.10;53.00;55.00;2006-03-23;505500
CMG;54.51;54.51;54.85;53.61;54.00;2006-03-24;277000
CMG;54.09;54.09;54.45;53.30;54.25;2006-03-27;220900
CMG;53.20;53.20;54.10;52.95;54.10;2006-03-28;175600
CMG;53.93;53.93;54.45;53.00;53.45;2006-03-29;148000
CMG;55.41;55.41;55.50;53.85;54.03;2006-03-30;209400
CMG;55.39;55.39;56.50;54.60;55.20;2006-03-31;770400
CMG;56.98;56.98;57.49;55.20;55.56;2006-04-03;370100
CMG;57.00;57.00;57.47;56.40;57.15;2006-04-04;167400
CMG;57.15;57.15;57.20;56.03;57.00;2006-04-05;99300
CMG;55.50;55.50;58.00;55.48;57.60;2006-04-06;301700
CMG;54.65;54.65;55.50;54.40;55.45;2006-04-07;221100
CMG;53.73;53.73;55.60;53.45;54.40;2006-04-10;338100
CMG;54.60;54.60;55.00;53.12;53.74;2006-04-11;359400
CMG;54.05;54.05;55.19;53.82;54.50;2006-04-12;212800
CMG;53.02;53.02;54.02;52.71;54.01;2006-04-13;148100
CMG;54.07;54.07;54.26;52.75;52.80;2006-04-17;99700
