Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CMS;3.0475;4.79;5.54;4.73;5.50;2003-02-04;5932300
CMS;3.0539;4.80;5.20;4.80;5.20;2003-02-05;2298100
CMS;3.1302;4.92;4.96;4.78;4.88;2003-02-06;1398900
CMS;3.0857;4.85;5.00;4.81;5.00;2003-02-07;1537600
CMS;2.9903;4.70;4.85;4.63;4.82;2003-02-10;1373100
CMS;2.7931;4.39;4.72;4.33;4.72;2003-02-11;2099400
CMS;2.7740;4.36;4.41;4.24;4.40;2003-02-12;1116600
CMS;2.7422;4.31;4.36;4.05;4.30;2003-02-13;1400900
CMS;2.7294;4.29;4.48;4.20;4.41;2003-02-14;9026800
CMS;2.8185;4.43;4.50;4.31;4.31;2003-02-18;1646700
CMS;2.8376;4.46;4.81;4.41;4.47;2003-02-19;1625800
CMS;2.8439;4.47;4.64;4.47;4.59;2003-02-20;1284500
CMS;2.8821;4.53;4.64;4.47;4.50;2003-02-21;1155600
CMS;2.7994;4.40;4.60;4.36;4.57;2003-02-24;1078400
CMS;2.8439;4.47;4.50;4.30;4.31;2003-02-25;909200
CMS;2.7358;4.30;4.57;4.28;4.47;2003-02-26;913700
CMS;2.8948;4.55;4.55;4.34;4.34;2003-02-27;514000
CMS;2.8630;4.50;4.60;4.35;4.50;2003-02-28;566200
CMS;2.7358;4.30;4.58;4.25;4.58;2003-03-03;752900
CMS;2.7167;4.27;4.44;4.11;4.31;2003-03-04;663800
CMS;2.7676;4.35;4.35;4.17;4.25;2003-03-05;617400
CMS;2.7040;4.25;4.38;4.19;4.37;2003-03-06;635600
CMS;2.6276;4.13;4.25;4.10;4.25;2003-03-07;633200
CMS;2.4686;3.88;4.15;3.81;4.12;2003-03-10;1115600
CMS;2.2204;3.49;3.92;3.47;3.78;2003-03-11;1899400
CMS;2.2650;3.56;3.77;3.49;3.50;2003-03-12;1832400
CMS;2.4049;3.78;3.79;3.65;3.69;2003-03-13;1084200
CMS;2.2395;3.52;3.78;3.41;3.78;2003-03-14;2138400
CMS;2.3731;3.73;3.73;3.46;3.52;2003-03-17;1421900
CMS;2.4813;3.90;3.90;3.60;3.73;2003-03-18;843400
CMS;2.4686;3.88;3.99;3.72;3.96;2003-03-19;992600
CMS;2.6149;4.11;4.15;3.83;3.88;2003-03-20;1429500
CMS;2.9267;4.60;4.60;4.21;4.23;2003-03-21;2169600
CMS;2.6658;4.19;4.67;4.18;4.61;2003-03-24;1401700
CMS;2.9457;4.63;4.63;4.14;4.19;2003-03-25;2023200
CMS;2.8885;4.54;4.86;4.51;4.63;2003-03-26;1342500
CMS;2.9139;4.58;4.58;4.36;4.50;2003-03-27;571400
CMS;2.8058;4.41;4.66;4.37;4.65;2003-03-28;856900
CMS;2.8058;4.41;4.48;4.26;4.31;2003-03-31;562100
CMS;3.2639;5.13;5.36;4.60;4.65;2003-04-01;3630100
CMS;3.2511;5.11;5.15;4.80;5.12;2003-04-02;2291500
CMS;3.1239;4.91;5.29;4.91;5.13;2003-04-03;1252500
CMS;3.1239;4.91;5.07;4.90;4.95;2003-04-04;923300
CMS;2.9776;4.68;5.14;4.68;5.02;2003-04-07;1303800
CMS;2.9139;4.58;4.78;4.58;4.78;2003-04-08;1299900
CMS;3.0348;4.77;4.77;4.61;4.64;2003-04-09;760800
CMS;2.9839;4.69;4.80;4.67;4.76;2003-04-10;816700
CMS;2.9966;4.71;4.84;4.70;4.78;2003-04-11;557400
CMS;3.1175;4.90;4.95;4.75;4.76;2003-04-14;1052200
CMS;3.4802;5.47;5.50;4.82;4.89;2003-04-15;2566300
CMS;3.5184;5.53;5.77;5.29;5.46;2003-04-16;2190200
CMS;3.5947;5.65;5.79;5.54;5.60;2003-04-17;1068900
CMS;3.6265;5.70;5.80;5.62;5.69;2003-04-21;1173900
CMS;3.6774;5.78;5.85;5.61;5.70;2003-04-22;966600
CMS;3.9064;6.14;6.18;5.76;5.80;2003-04-23;1337600
CMS;4.0210;6.32;6.39;6.15;6.20;2003-04-24;1163300
CMS;3.8492;6.05;6.45;5.96;6.34;2003-04-25;988600
CMS;4.1164;6.47;6.55;6.05;6.06;2003-04-28;1676400
CMS;4.1164;6.47;6.96;6.47;6.50;2003-04-29;2398200
CMS;3.9637;6.23;6.41;6.15;6.40;2003-04-30;1483100
CMS;3.8556;6.06;6.22;5.71;6.20;2003-05-01;2872400
CMS;3.9383;6.19;6.25;6.02;6.07;2003-05-02;1640300
CMS;3.8556;6.06;6.25;6.06;6.15;2003-05-05;1359800
CMS;3.8683;6.08;6.20;6.04;6.13;2003-05-06;2091200
CMS;3.8237;6.01;6.15;5.98;6.08;2003-05-07;2083600
CMS;4.2373;6.66;6.67;6.19;6.35;2003-05-08;6699500
CMS;4.2118;6.62;6.82;6.56;6.75;2003-05-09;3020600
CMS;4.1037;6.45;6.61;6.38;6.52;2003-05-12;2109600
CMS;4.0210;6.32;6.48;6.26;6.44;2003-05-13;1969700
CMS;4.2118;6.62;6.67;6.31;6.32;2003-05-14;1660300
CMS;4.4536;7.00;7.00;6.69;6.69;2003-05-15;2432900
CMS;4.4218;6.95;7.06;6.74;6.97;2003-05-16;2065900
CMS;4.3264;6.80;6.88;6.65;6.87;2003-05-19;1272600
CMS;4.2755;6.72;6.81;6.63;6.75;2003-05-20;1464300
CMS;4.3582;6.85;6.85;6.48;6.75;2003-05-21;1328400
CMS;4.6954;7.38;7.39;7.02;7.03;2003-05-22;2475400
CMS;4.8417;7.61;7.80;7.39;7.40;2003-05-23;2747600
CMS;4.9626;7.80;7.94;7.61;7.61;2003-05-27;2198500
CMS;5.0644;7.96;8.07;7.78;7.81;2003-05-28;1582200
CMS;4.9499;7.78;8.08;7.74;8.00;2003-05-29;1709500
CMS;5.0389;7.92;7.96;7.75;7.86;2003-05-30;1704600
CMS;5.1853;8.15;8.28;8.00;8.00;2003-06-02;1603100
CMS;5.0071;7.87;8.15;7.78;8.15;2003-06-03;1365200
CMS;5.2489;8.25;8.25;7.86;7.87;2003-06-04;1355700
CMS;5.4080;8.50;8.51;8.06;8.15;2003-06-05;1729400
CMS;5.2362;8.23;8.95;8.22;8.75;2003-06-06;1928300
CMS;5.3125;8.35;8.45;8.10;8.24;2003-06-09;763200
CMS;5.1916;8.16;8.45;8.04;8.37;2003-06-10;1119500
CMS;5.2234;8.21;8.26;8.05;8.19;2003-06-11;1556200
CMS;5.2807;8.30;8.37;8.11;8.22;2003-06-12;854300
CMS;5.1916;8.16;8.35;8.05;8.30;2003-06-13;818400
CMS;5.3443;8.40;8.42;8.06;8.06;2003-06-16;908000
CMS;5.3761;8.45;8.50;8.26;8.40;2003-06-17;695600
CMS;5.2998;8.33;8.50;8.10;8.45;2003-06-18;669600
CMS;5.4016;8.49;8.74;8.30;8.37;2003-06-19;1350400
CMS;5.3062;8.34;8.73;8.33;8.60;2003-06-20;863100
CMS;5.1217;8.05;8.35;7.88;8.30;2003-06-23;1465300
CMS;5.0644;7.96;8.10;7.85;8.05;2003-06-24;970800
CMS;4.9944;7.85;7.92;7.28;7.30;2003-06-25;4779300
CMS;5.0580;7.95;8.10;7.59;7.59;2003-06-26;1373200
CMS;5.1280;8.06;8.26;8.00;8.05;2003-06-27;844700
CMS;5.1535;8.10;8.13;7.95;8.06;2003-06-30;3225800
CMS;5.0071;7.87;8.04;7.66;8.04;2003-07-01;1783300
CMS;5.0835;7.99;8.00;7.77;7.80;2003-07-02;794200
CMS;4.9435;7.77;7.97;7.70;7.89;2003-07-03;510800
CMS;4.9435;7.77;7.88;7.74;7.78;2003-07-07;795100
CMS;4.9117;7.72;7.76;7.61;7.71;2003-07-08;789200
CMS;4.5872;7.21;7.70;7.15;7.60;2003-07-09;9347200
CMS;4.6318;7.28;7.50;6.99;7.20;2003-07-10;6862500
CMS;4.6254;7.27;7.40;7.22;7.30;2003-07-11;1477200
CMS;4.5999;7.23;7.42;7.15;7.35;2003-07-14;1432200
CMS;4.5172;7.10;7.23;6.96;7.16;2003-07-15;1669500
CMS;4.3264;6.80;7.10;6.68;7.05;2003-07-16;1757000
CMS;4.2055;6.61;6.79;6.57;6.70;2003-07-17;2004500
CMS;4.4154;6.94;6.95;6.60;6.62;2003-07-18;1392300
CMS;4.0719;6.40;6.91;6.39;6.91;2003-07-21;1242200
CMS;4.2564;6.69;6.75;6.35;6.40;2003-07-22;1680200
CMS;4.1928;6.59;6.75;6.50;6.70;2003-07-23;696400
CMS;4.1482;6.52;6.79;6.51;6.69;2003-07-24;1462600
CMS;4.1800;6.57;6.64;6.50;6.53;2003-07-25;1133600
CMS;4.2437;6.67;6.73;6.52;6.61;2003-07-28;1073400
CMS;4.1737;6.56;6.67;6.45;6.61;2003-07-29;1129000
CMS;4.0591;6.38;6.65;6.37;6.64;2003-07-30;1131100
CMS;4.1355;6.50;6.60;6.42;6.50;2003-07-31;793200
CMS;4.0782;6.41;6.55;6.28;6.55;2003-08-01;905400
CMS;4.0464;6.36;6.44;6.26;6.35;2003-08-04;1106100
CMS;3.9383;6.19;6.50;6.18;6.30;2003-08-05;856200
CMS;3.8874;6.11;6.33;6.10;6.12;2003-08-06;791800
CMS;3.9764;6.25;6.26;6.07;6.18;2003-08-07;1042700
CMS;4.1291;6.49;6.50;6.27;6.38;2003-08-08;1420900
CMS;4.1100;6.46;6.56;6.36;6.49;2003-08-11;906400
CMS;4.0655;6.39;6.49;6.03;6.49;2003-08-12;2372900
CMS;3.9828;6.26;6.43;6.18;6.32;2003-08-13;1141400
CMS;4.0273;6.33;6.33;6.10;6.25;2003-08-14;720900
CMS;3.9701;6.24;6.39;6.15;6.28;2003-08-15;377000
CMS;3.9892;6.27;6.28;6.15;6.20;2003-08-18;569600
CMS;4.0401;6.35;6.35;6.19;6.27;2003-08-19;1346000
CMS;4.1037;6.45;6.55;6.25;6.35;2003-08-20;1000400
CMS;4.1100;6.46;6.60;6.36;6.45;2003-08-21;725500
CMS;4.0401;6.35;6.60;6.32;6.60;2003-08-22;893700
CMS;4.0591;6.38;6.38;6.24;6.32;2003-08-25;621900
CMS;4.1928;6.59;6.64;6.26;6.37;2003-08-26;840500
CMS;4.2627;6.70;6.75;6.55;6.57;2003-08-27;1246700
CMS;4.2055;6.61;6.80;6.50;6.80;2003-08-28;705000
CMS;4.2437;6.67;6.72;6.48;6.50;2003-08-29;539900
CMS;4.2691;6.71;6.74;6.50;6.70;2003-09-02;1435500
CMS;4.3391;6.82;6.94;6.75;6.75;2003-09-03;1282900
CMS;4.4791;7.04;7.05;6.85;6.85;2003-09-04;2106900
CMS;4.5236;7.11;7.16;6.96;7.04;2003-09-05;1737400
