Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
COO;25.6749;26.08;26.32;25.96;26.21;2003-02-04;293600
COO;25.5470;25.95;26.30;25.68;26.08;2003-02-05;232300
COO;25.5765;25.98;26.18;25.64;25.90;2003-02-06;370400
COO;25.0547;25.45;25.92;25.45;25.90;2003-02-07;278200
COO;25.3796;25.78;25.94;25.39;25.45;2003-02-10;272700
COO;25.1039;25.50;26.02;25.37;25.78;2003-02-11;231400
COO;24.8381;25.23;25.57;25.12;25.50;2003-02-12;243300
COO;25.3993;25.80;25.96;25.21;25.33;2003-02-13;335900
COO;25.3304;25.73;25.83;25.40;25.70;2003-02-14;199200
COO;25.5962;26.00;26.06;25.45;25.75;2003-02-18;219700
COO;25.4485;25.85;26.43;25.72;25.95;2003-02-19;188600
COO;26.8760;27.30;27.50;26.65;27.00;2003-02-20;697100
COO;27.9097;28.35;28.48;27.44;27.50;2003-02-21;776400
COO;27.1812;27.61;28.51;27.61;28.35;2003-02-24;333700
COO;27.3978;27.83;27.98;26.81;27.51;2003-02-25;393200
COO;26.8563;27.28;28.13;27.09;28.03;2003-02-26;597500
COO;27.8998;28.34;28.57;27.71;28.10;2003-02-27;1508700
COO;28.5988;29.05;29.25;28.44;28.59;2003-02-28;678300
COO;28.3724;28.82;29.80;28.72;29.25;2003-03-03;515700
COO;28.2641;28.71;29.17;28.70;28.82;2003-03-04;353700
COO;28.8941;29.35;29.35;28.55;28.71;2003-03-05;439200
COO;27.8605;28.30;29.25;28.28;29.20;2003-03-06;767600
COO;28.6874;29.14;29.14;27.98;28.20;2003-03-07;652100
COO;27.9884;28.43;29.15;28.17;29.15;2003-03-10;375700
COO;28.2936;28.74;29.26;28.43;28.43;2003-03-11;365200
COO;27.0138;27.44;28.62;26.88;28.54;2003-03-12;1240000
COO;27.4470;27.88;28.03;27.07;27.45;2003-03-13;687300
COO;27.4174;27.85;28.20;27.64;28.03;2003-03-14;791400
COO;27.8211;28.26;28.60;27.67;27.86;2003-03-17;791800
COO;28.5594;29.01;29.33;28.27;28.27;2003-03-18;495300
COO;28.7465;29.20;29.28;28.60;29.02;2003-03-19;421000
COO;28.4118;28.86;29.37;28.68;29.28;2003-03-20;357700
COO;29.2190;29.68;30.01;29.03;29.50;2003-03-21;500200
COO;28.8055;29.26;29.47;28.70;29.33;2003-03-24;300700
COO;29.0418;29.50;29.75;28.95;29.10;2003-03-25;489900
COO;29.3372;29.80;30.20;29.42;29.51;2003-03-26;574700
COO;29.7309;30.20;30.22;29.24;29.81;2003-03-27;458400
COO;29.7703;30.24;30.24;29.79;30.21;2003-03-28;265000
COO;29.4356;29.90;30.19;29.15;30.00;2003-03-31;480200
COO;29.7802;30.25;30.36;29.90;30.15;2003-04-01;335700
COO;30.0164;30.49;30.60;30.13;30.45;2003-04-02;281800
COO;29.8786;30.35;30.71;30.10;30.59;2003-04-03;306700
COO;29.5242;29.99;30.69;29.87;30.60;2003-04-04;257500
COO;29.2584;29.72;31.01;29.70;30.95;2003-04-07;511500
COO;29.3372;29.80;30.25;29.50;29.92;2003-04-08;314400
COO;29.4159;29.88;30.50;29.62;29.68;2003-04-09;264800
COO;29.2879;29.75;29.98;29.50;29.93;2003-04-10;194000
COO;28.4708;28.92;29.99;28.80;29.80;2003-04-11;277500
COO;28.5496;29.00;29.12;28.30;28.92;2003-04-14;614500
COO;29.0812;29.54;29.74;28.75;29.38;2003-04-15;326800
COO;27.8605;28.30;29.75;28.26;29.68;2003-04-16;344100
COO;28.3625;28.81;29.01;28.31;28.53;2003-04-17;285100
COO;26.7579;27.18;28.50;27.14;28.20;2003-04-21;733200
COO;26.4428;26.86;27.18;26.38;27.18;2003-04-22;1126300
COO;28.2050;28.65;28.87;27.02;27.50;2003-04-23;566200
COO;27.1910;27.62;28.61;27.62;28.60;2003-04-24;334000
COO;27.5257;27.96;28.23;27.59;27.60;2003-04-25;236300
COO;27.6636;28.10;28.25;27.95;28.16;2003-04-28;214400
COO;27.7620;28.20;28.40;27.75;28.05;2003-04-29;505300
COO;27.4667;27.90;28.21;27.80;28.20;2003-04-30;449200
COO;27.8211;28.26;28.26;27.76;28.02;2003-05-01;489900
COO;27.7226;28.16;28.50;27.75;28.26;2003-05-02;561000
COO;27.8408;28.28;28.58;28.28;28.30;2003-05-05;912200
COO;27.9589;28.40;28.65;27.82;28.34;2003-05-06;782100
COO;28.7071;29.16;29.48;28.45;28.50;2003-05-07;723500
COO;28.9532;29.41;29.98;28.97;29.16;2003-05-08;475400
COO;29.7309;30.20;30.47;29.80;29.90;2003-05-09;397300
COO;30.2724;30.75;30.83;29.96;30.20;2003-05-12;271000
COO;31.4045;31.90;31.95;30.71;30.72;2003-05-13;747900
COO;31.8279;32.33;32.60;32.00;32.00;2003-05-14;896500
COO;32.3792;32.89;33.48;32.40;32.45;2003-05-15;1029400
COO;32.4284;32.94;33.25;32.75;32.90;2003-05-16;843300
COO;31.5522;32.05;33.04;32.05;32.90;2003-05-19;486100
COO;31.0797;31.57;32.25;31.33;32.20;2003-05-20;596900
COO;31.0107;31.50;31.90;31.20;31.57;2003-05-21;362600
COO;32.0444;32.55;32.74;31.62;31.65;2003-05-22;492000
COO;31.8574;32.36;32.75;32.22;32.37;2003-05-23;344600
COO;32.3201;32.83;32.84;32.20;32.20;2003-05-27;322200
COO;32.7434;33.26;33.29;32.77;32.95;2003-05-28;340700
COO;32.8911;33.41;33.65;32.96;33.35;2003-05-29;462000
COO;33.9838;34.52;34.52;33.40;33.45;2003-05-30;566300
COO;33.8362;34.37;35.00;34.24;34.72;2003-06-02;853000
COO;34.1414;34.68;34.87;34.10;34.55;2003-06-03;583900
