Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
COST;20.1657;28.56;29.20;28.35;29.07;2003-02-04;3262700
COST;20.2646;28.70;29.37;28.42;28.94;2003-02-05;4126100
COST;20.4411;28.95;30.40;28.67;29.64;2003-02-06;6104900
COST;20.1375;28.52;29.72;28.51;29.37;2003-02-07;2759400
COST;20.2505;28.68;28.83;28.22;28.60;2003-02-10;3104400
COST;20.2081;28.62;29.28;28.46;29.00;2003-02-11;3070800
COST;20.3070;28.76;29.12;28.50;28.69;2003-02-12;4341900
COST;19.9822;28.30;28.92;27.93;28.81;2003-02-13;3507200
COST;20.4199;28.92;28.97;27.93;28.53;2003-02-14;2934900
COST;21.0695;29.84;29.88;28.94;28.95;2003-02-18;3288700
COST;20.7377;29.37;30.00;28.94;29.63;2003-02-19;2315400
COST;20.5965;29.17;29.56;28.91;29.53;2003-02-20;2570900
COST;21.1825;30.00;30.01;29.29;29.56;2003-02-21;3349200
COST;20.8295;29.50;30.06;29.41;29.99;2003-02-24;3552900
COST;21.2107;30.04;30.05;29.01;29.30;2003-02-25;3629100
COST;21.1825;30.00;30.20;29.65;29.84;2003-02-26;4298300
COST;21.4649;30.40;30.57;29.95;30.15;2003-02-27;2730300
COST;21.5497;30.52;30.77;30.25;30.50;2003-02-28;3161200
COST;21.5567;30.53;30.88;30.31;30.68;2003-03-03;3162700
COST;20.6882;29.30;30.25;29.15;29.81;2003-03-04;6144900
COST;20.2999;28.75;28.85;27.00;27.80;2003-03-05;21138800
COST;20.2999;28.75;28.94;27.71;28.11;2003-03-06;9385100
COST;20.5823;29.15;29.25;28.27;28.36;2003-03-07;4909400
COST;20.0245;28.36;28.96;28.17;28.73;2003-03-10;3475200
COST;19.8268;28.08;28.78;28.01;28.54;2003-03-11;3623700
COST;20.1728;28.57;28.64;27.92;27.96;2003-03-12;3845100
COST;21.1754;29.99;30.00;29.00;29.43;2003-03-13;5622400
COST;20.8930;29.59;30.00;29.36;29.94;2003-03-14;4234700
