Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CRM;4.3000;4.3000;4.3250;3.6875;3.7500;2004-06-23;43574400
CRM;4.1900;4.1900;4.4225;4.1250;4.3875;2004-06-24;8887200
CRM;3.9500;3.9500;4.1875;3.9475;4.1275;2004-06-25;6710000
CRM;4.0000;4.0000;4.0525;3.8600;4.0000;2004-06-28;2270800
CRM;4.1000;4.1000;4.1750;3.9575;4.0000;2004-06-29;2112000
CRM;4.0175;4.0175;4.2350;4.0075;4.1000;2004-06-30;2087600
CRM;4.0075;4.0075;4.0500;3.9750;4.0200;2004-07-01;1754800
CRM;4.2450;4.2450;4.2450;4.0125;4.0250;2004-07-02;993200
CRM;4.2500;4.2500;4.2500;4.1200;4.2325;2004-07-06;1216800
CRM;4.0775;4.0775;4.2250;4.0125;4.2250;2004-07-07;1787600
CRM;3.9350;3.9350;4.0775;3.9150;4.0775;2004-07-08;2179200
CRM;4.1000;4.1000;4.1425;3.9750;3.9850;2004-07-09;596800
CRM;4.1875;4.1875;4.2075;4.0375;4.1500;2004-07-12;780800
CRM;4.0200;4.0200;4.1850;4.0200;4.1850;2004-07-13;1674000
CRM;3.9125;3.9125;4.0125;3.8950;4.0125;2004-07-14;2366000
CRM;3.8350;3.8350;3.9500;3.7350;3.9375;2004-07-15;1806000
CRM;4.0000;4.0000;4.1000;3.7400;3.8500;2004-07-16;3278800
CRM;4.0025;4.0025;4.0425;3.9575;4.0125;2004-07-19;954800
CRM;4.0150;4.0150;4.0450;3.8825;4.0025;2004-07-20;2245200
CRM;2.9250;2.9250;4.0250;2.7625;4.0250;2004-07-21;25415200
CRM;3.2450;3.2450;3.2950;2.8250;2.8875;2004-07-22;9824800
CRM;3.2600;3.2600;3.3750;3.1875;3.2375;2004-07-23;1674400
CRM;3.3200;3.3200;3.3875;3.2200;3.3875;2004-07-26;1286000
CRM;3.2850;3.2850;3.3575;3.2750;3.3450;2004-07-27;751200
CRM;3.2475;3.2475;3.3050;3.1500;3.2625;2004-07-28;1534800
CRM;3.2400;3.2400;3.3375;3.2375;3.2500;2004-07-29;908000
CRM;3.2525;3.2525;3.3000;3.1375;3.2400;2004-07-30;815200
CRM;3.2025;3.2025;3.2700;3.1425;3.2450;2004-08-02;1297600
CRM;3.0325;3.0325;3.2725;2.9975;3.2000;2004-08-03;2944400
CRM;2.9950;2.9950;3.0375;2.9875;3.0325;2004-08-04;2746800
CRM;2.7250;2.7250;2.9975;2.6700;2.9975;2004-08-05;3030400
CRM;2.6925;2.6925;2.7500;2.6775;2.7250;2004-08-06;1797200
CRM;2.7475;2.7475;2.7625;2.7150;2.7375;2004-08-09;1121600
CRM;2.7500;2.7500;2.7600;2.7200;2.7500;2004-08-10;733200
CRM;2.6550;2.6550;2.7375;2.6475;2.7375;2004-08-11;628400
CRM;2.4975;2.4975;2.6825;2.4800;2.6800;2004-08-12;1578000
CRM;2.3975;2.3975;2.5125;2.3675;2.4975;2004-08-13;2496000
CRM;2.4300;2.4300;2.4625;2.2500;2.4000;2004-08-16;2171200
CRM;2.7425;2.7425;2.7475;2.4700;2.4700;2004-08-17;2968000
CRM;2.9875;2.9875;3.0375;2.6700;2.7250;2004-08-18;1697600
CRM;3.0425;3.0425;3.0625;2.9250;2.9875;2004-08-19;1309600
