Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CTSH;2.4223;2.5287;2.6058;2.4979;2.5896;2003-02-04;63062400
CTSH;2.4223;2.5287;2.5750;2.4971;2.5279;2003-02-05;74368800
CTSH;2.4937;2.6033;2.6333;2.5208;2.5246;2003-02-06;88785600
CTSH;2.5975;2.7117;2.7750;2.6892;2.775;2003-02-07;121130400
CTSH;2.5983;2.7125;2.7292;2.6946;2.71875;2003-02-10;18931200
CTSH;2.6342;2.7500;2.7533;2.7000;2.7204;2003-02-11;19070400
CTSH;2.5895;2.7033;2.7842;2.6813;2.7392;2003-02-12;21799200
CTSH;2.6238;2.7392;2.7500;2.6933;2.7125;2003-02-13;41198400
CTSH;2.6849;2.8029;2.8350;2.7367;2.7396;2003-02-14;32740800
CTSH;2.7140;2.8333;2.8588;2.8167;2.8187;2003-02-18;33967200
CTSH;2.7092;2.8283;2.8375;2.8208;2.8375;2003-02-19;25903200
CTSH;2.6849;2.8029;2.8283;2.7921;2.8192;2003-02-20;21213600
CTSH;2.7200;2.8396;2.8400;2.8042;2.8079;2003-02-21;35162400
CTSH;2.7276;2.8475;2.8992;2.8229;2.8312;2003-02-24;16646400
CTSH;2.7903;2.9129;2.9167;2.8421;2.8567;2003-02-25;21398400
CTSH;2.7787;2.9008;2.9329;2.8888;2.9046;2003-02-26;14121600
CTSH;2.7663;2.8879;2.9175;2.8554;2.9029;2003-02-27;13584000
CTSH;2.8018;2.9250;2.9250;2.8496;2.8958;2003-02-28;18451200
CTSH;2.8058;2.9292;2.9667;2.9167;2.9213;2003-03-03;7320000
CTSH;2.7942;2.9171;2.9375;2.9088;2.9313;2003-03-04;11971200
CTSH;2.7847;2.9071;2.9271;2.8829;2.9088;2003-03-05;11073600
CTSH;2.8038;2.9271;2.9408;2.8979;2.91;2003-03-06;13315200
CTSH;2.7763;2.8983;2.9408;2.8983;2.9158;2003-03-07;12259200
CTSH;2.7096;2.8287;2.9025;2.7942;2.8937;2003-03-10;18386400
CTSH;2.6933;2.8117;2.8296;2.7796;2.8292;2003-03-11;9129600
CTSH;2.6238;2.7392;2.8042;2.7321;2.7996;2003-03-12;24972000
CTSH;2.4929;2.6025;2.7808;2.5687;2.7646;2003-03-13;69700800
CTSH;2.5456;2.6575;2.6804;2.6079;2.6296;2003-03-14;23829600
CTSH;2.5703;2.6833;2.6875;2.6346;2.65;2003-03-17;16360800
CTSH;2.5999;2.7142;2.7271;2.6754;2.6917;2003-03-18;9290400
CTSH;2.5520;2.6642;2.7242;2.6108;2.7221;2003-03-19;14812800
CTSH;2.5624;2.6750;2.7054;2.6258;2.6567;2003-03-20;10593600
CTSH;2.5851;2.6988;2.7225;2.6671;2.6867;2003-03-21;11796000
CTSH;2.6498;2.7662;2.7875;2.6675;2.6913;2003-03-24;17131200
CTSH;2.7140;2.8333;2.8471;2.7092;2.78125;2003-03-25;19032000
CTSH;2.7392;2.8596;2.8854;2.8046;2.8087;2003-03-26;16120800
CTSH;2.7180;2.8375;2.8633;2.8067;2.8479;2003-03-27;14532000
CTSH;2.6681;2.7854;2.8271;2.7629;2.8192;2003-03-28;11488800
CTSH;2.6865;2.8046;2.8412;2.6937;2.735;2003-03-31;22963200
CTSH;2.6314;2.7471;2.8229;2.7396;2.8125;2003-04-01;22392000
CTSH;2.6330;2.7487;2.8750;2.7188;2.8338;2003-04-02;32181600
CTSH;2.7300;2.8500;2.9088;2.7000;2.8112;2003-04-03;19139200
CTSH;2.7156;2.8350;2.9137;2.7938;2.8575;2003-04-04;10957600
CTSH;2.6881;2.8063;2.9262;2.7875;2.9162;2003-04-07;14249600
CTSH;2.7060;2.8250;2.8312;2.7575;2.8063;2003-04-08;13448800
CTSH;2.6462;2.7625;2.8625;2.7538;2.8275;2003-04-09;16811200
CTSH;2.3372;2.4400;2.4625;2.2787;2.45;2003-04-10;98054400
CTSH;2.2678;2.3675;2.4650;2.3187;2.4462;2003-04-11;20157600
CTSH;2.2750;2.3750;2.4113;2.3250;2.385;2003-04-14;24292000
CTSH;2.3696;2.4738;2.5000;2.3812;2.46875;2003-04-15;13684800
CTSH;2.4139;2.5200;2.6000;2.5000;2.5125;2003-04-16;19200800
CTSH;2.4666;2.5750;2.5800;2.4725;2.5187;2003-04-17;16328000
CTSH;2.4654;2.5738;2.6075;2.5250;2.5838;2003-04-21;17416000
CTSH;2.3816;2.4862;2.5200;2.3250;2.4987;2003-04-22;61018400
CTSH;2.3660;2.4700;2.5125;2.4625;2.4987;2003-04-23;19748800
CTSH;2.3265;2.4288;2.4625;2.3500;2.4375;2003-04-24;28159200
CTSH;2.2750;2.3750;2.4450;2.3525;2.4425;2003-04-25;14775200
CTSH;2.2367;2.3350;2.3750;2.2275;2.3637;2003-04-28;33412800
CTSH;2.2319;2.3300;2.3725;2.3187;2.3512;2003-04-29;25601600
CTSH;2.1505;2.2450;2.3225;2.2250;2.3138;2003-04-30;22547200
CTSH;2.0942;2.1862;2.2262;2.1400;2.225;2003-05-01;23744000
CTSH;2.1912;2.2875;2.2900;2.1875;2.2062;2003-05-02;18027200
CTSH;2.2355;2.3338;2.3625;2.2625;2.3212;2003-05-05;12353600
CTSH;2.2283;2.3263;2.3537;2.2875;2.3375;2003-05-06;13513600
CTSH;2.2331;2.3312;2.3500;2.2750;2.3075;2003-05-07;10672800
CTSH;2.1720;2.2675;2.3312;2.2500;2.3238;2003-05-08;9919200
CTSH;2.2067;2.3038;2.3325;2.2562;2.28125;2003-05-09;5665600
CTSH;2.1744;2.2700;2.3000;2.2587;2.2987;2003-05-12;6356000
CTSH;2.2067;2.3038;2.3488;2.2738;2.3125;2003-05-13;13676800
