Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
CTXS;10.5299;10.8298;11.0925;10.7183;11.0846;2003-02-04;4850904
CTXS;10.1738;10.4635;11.0607;10.4316;10.7820;2003-02-05;5182812
CTXS;9.2059;9.4681;10.4794;9.2212;10.3520;2003-02-06;19301897
CTXS;9.1595;9.4203;9.7627;9.3168;9.6831;2003-02-07;5556162
CTXS;8.9736;9.2292;9.6273;8.9823;9.4760;2003-02-10;5522004
CTXS;9.0356;9.2929;9.4760;8.9584;9.2690;2003-02-11;4366542
CTXS;9.0124;9.2690;9.4681;9.1973;9.2929;2003-02-12;3743917
CTXS;8.9969;9.2531;9.4920;9.1416;9.2770;2003-02-13;3753335
CTXS;9.1827;9.4442;9.6671;9.1416;9.2531;2003-02-14;3883813
CTXS;9.6860;9.9618;10.0096;9.5875;9.5875;2003-02-18;3502049
CTXS;9.7247;10.0016;10.1449;9.7946;9.8423;2003-02-19;3642573
CTXS;9.7402;10.0175;10.1051;9.7070;10.0971;2003-02-20;2387527
CTXS;9.6782;9.9538;10.0892;9.6751;10.0733;2003-02-21;3816502
CTXS;9.4614;9.7308;10.1051;9.7070;9.9459;2003-02-24;2572632
CTXS;9.2679;9.5318;9.6751;9.1655;9.6512;2003-02-25;5193612
CTXS;9.0124;9.2690;9.5318;9.2371;9.4760;2003-02-26;2557562
CTXS;9.1517;9.4123;9.5955;9.0221;9.4521;2003-02-27;3414395
CTXS;9.2911;9.5557;9.6512;9.3645;9.5397;2003-02-28;2873396
CTXS;9.2911;9.5557;9.9379;9.4283;9.7946;2003-03-03;4465374
CTXS;9.1595;9.4203;9.6353;9.3566;9.5557;2003-03-04;3448050
CTXS;9.0666;9.3247;9.4840;9.2133;9.3566;2003-03-05;2699970
CTXS;9.1595;9.4203;9.4760;9.1177;9.2849;2003-03-06;1905677
CTXS;9.0201;9.2770;9.5238;9.1495;9.2053;2003-03-07;4527661
CTXS;8.5014;8.7434;9.4283;8.3453;9.2212;2003-03-10;11830641
CTXS;8.5865;8.8310;8.9584;8.7195;8.7912;2003-03-11;3381869
CTXS;8.7491;8.9982;9.1734;8.7514;8.7594;2003-03-12;3255536
CTXS;9.4305;9.6990;9.7308;9.0779;9.2212;2003-03-13;4453820
CTXS;9.5466;9.8184;10.0733;9.6990;9.8344;2003-03-14;3672713
CTXS;10.1196;10.4077;10.5510;9.6433;9.7946;2003-03-17;4511964
CTXS;10.2357;10.5272;10.5909;10.1529;10.5909;2003-03-18;4933159
CTXS;10.3131;10.6068;10.9651;10.3042;10.9651;2003-03-19;6340283
CTXS;10.6460;10.9492;11.1005;10.4157;10.5272;2003-03-20;4234055
CTXS;10.9016;11.2120;11.3792;10.9970;11.0527;2003-03-21;4481950
CTXS;10.2667;10.5590;10.9651;10.4714;10.9094;2003-03-24;2117530
CTXS;10.8474;11.1562;11.1722;10.6227;10.6227;2003-03-25;3104589
CTXS;10.5067;10.8059;11.1562;10.6466;11.1483;2003-03-26;3662541
CTXS;10.4680;10.7660;10.8298;10.5272;10.6864;2003-03-27;2544125
CTXS;10.4989;10.7979;11.0766;10.5510;10.6705;2003-03-28;2767909
CTXS;10.1892;10.4794;10.8298;10.3679;10.4157;2003-03-31;3966695
CTXS;10.2976;10.5909;10.6147;10.3201;10.4953;2003-04-01;3259178
CTXS;11.2887;11.6101;11.7853;10.7342;10.8059;2003-04-02;6681861
CTXS;11.3042;11.6261;11.9844;11.5385;11.5862;2003-04-03;6427938
CTXS;10.8628;11.1722;11.7694;11.0607;11.6499;2003-04-04;5180426
CTXS;10.9557;11.2677;12.0640;11.2598;11.6977;2003-04-07;5657630
CTXS;11.0719;11.3872;11.6022;11.0288;11.3712;2003-04-08;4751696
CTXS;10.5067;10.8059;11.3712;10.5431;11.3633;2003-04-09;8198239
CTXS;10.6925;10.9970;11.0925;10.6147;10.8059;2003-04-10;5119394
CTXS;10.7002;11.0049;11.4748;10.9492;11.1801;2003-04-11;4265450
CTXS;11.1183;11.4349;11.5305;10.9890;11.0209;2003-04-14;3706117
CTXS;11.2035;11.5225;11.6898;11.2279;11.4111;2003-04-15;3821902
CTXS;11.2964;11.6181;12.0162;11.5305;11.9048;2003-04-16;7794751
CTXS;12.1094;12.4542;12.4861;11.6579;11.7455;2003-04-17;6544351
CTXS;11.8926;12.2312;12.6453;12.1675;12.5657;2003-04-21;4865723
CTXS;11.9855;12.3268;12.4462;11.8570;12.0799;2003-04-22;8133189
CTXS;11.9468;12.2870;12.5816;12.1516;12.3427;2003-04-23;7165595
CTXS;14.0605;14.4609;14.6839;13.2585;13.4496;2003-04-24;27965787
CTXS;13.8128;14.2061;14.6042;14.0468;14.2539;2003-04-25;7573479
CTXS;14.4786;14.8909;15.0104;14.1583;14.2857;2003-04-28;6029096
CTXS;14.5561;14.9705;15.1776;14.5963;14.8909;2003-04-29;6861314
CTXS;14.7109;15.1298;15.2492;14.6918;14.9387;2003-04-30;6503914
CTXS;14.6257;15.0422;15.2174;14.8352;15.1378;2003-05-01;3544119
CTXS;15.3303;15.7668;15.8863;15.0820;15.4165;2003-05-02;6732595
CTXS;15.3922;15.8305;16.1172;15.3209;15.8863;2003-05-05;5022698
CTXS;15.7020;16.1491;16.5472;15.7748;15.8305;2003-05-06;5737248
CTXS;15.3690;15.8067;16.1968;15.7191;16.0217;2003-05-07;5163096
CTXS;14.9277;15.3528;15.6315;15.0900;15.6235;2003-05-08;5998580
CTXS;14.5096;14.9228;15.4642;14.5724;15.4244;2003-05-09;9258386
CTXS;14.7651;15.1855;15.4005;14.8113;15.0263;2003-05-12;3152184
CTXS;15.1522;15.5837;15.6474;14.8113;15.1218;2003-05-13;5860442
CTXS;15.1755;15.6076;15.8305;15.1059;15.5359;2003-05-14;5413628
CTXS;15.6400;16.0854;16.1013;15.6872;15.7270;2003-05-15;3683261
CTXS;15.8800;16.3322;16.3720;15.8624;16.0694;2003-05-16;4282655
CTXS;14.9819;15.4085;16.1968;15.3926;16.1730;2003-05-19;3687908
CTXS;15.1755;15.6076;15.7987;15.2970;15.4642;2003-05-20;4155442
CTXS;15.3071;15.7430;15.8067;15.3687;15.5280;2003-05-21;2750704
CTXS;15.7949;16.2446;16.3880;15.7509;15.7509;2003-05-22;3032631
CTXS;15.9420;16.3959;16.5950;15.9818;16.2048;2003-05-23;2529684
CTXS;16.3523;16.8180;16.8657;16.0694;16.3004;2003-05-27;4976987
CTXS;16.7085;17.1843;17.2798;16.6030;16.8020;2003-05-28;4797658
CTXS;17.2427;17.7337;17.7576;17.0409;17.2798;2003-05-29;4764882
CTXS;16.8711;17.3515;17.6780;16.8657;17.4789;2003-05-30;7098410
CTXS;16.8479;17.3276;18.1717;17.2400;17.8133;2003-06-02;4650227
CTXS;17.1188;17.6063;18.1478;17.2878;17.3913;2003-06-03;4176037
CTXS;17.5602;18.0602;18.1159;17.5585;17.5983;2003-06-04;3477185
CTXS;17.5911;18.0921;18.2035;17.6620;17.9169;2003-06-05;2901400
CTXS;17.5757;18.0761;18.9680;17.9965;18.6415;2003-06-06;4978619
CTXS;16.7317;17.2082;17.9169;17.0011;17.8930;2003-06-09;3548388
CTXS;17.5679;18.0682;18.1000;17.3674;17.4072;2003-06-10;3367428
CTXS;17.6066;18.1080;18.2991;17.7815;18.1000;2003-06-11;4139745
CTXS;17.9318;18.4424;18.7848;17.9806;17.9885;2003-06-12;4778696
CTXS;17.3356;17.8293;18.7530;17.6382;18.4822;2003-06-13;3653122
CTXS;18.0092;18.5221;18.6256;17.6700;17.7258;2003-06-16;3797916
CTXS;17.4518;17.9487;18.6415;17.7019;18.6017;2003-06-17;4224009
CTXS;17.3821;17.8771;18.2354;17.4869;17.9009;2003-06-18;3391288
CTXS;16.6078;17.0807;17.9169;16.9294;17.8372;2003-06-19;5559301
CTXS;16.3523;16.8180;17.2320;16.4676;17.1206;2003-06-20;5056981
CTXS;15.5239;15.9659;16.8498;15.7270;16.8339;2003-06-23;4968824
CTXS;15.4000;15.8385;16.0057;15.3528;15.9420;2003-06-24;5096790
CTXS;15.4774;15.9181;16.4357;15.7589;15.8465;2003-06-25;4678734
CTXS;15.6245;16.0694;16.1730;15.7987;15.9500;2003-06-26;3120663
CTXS;16.0271;16.4835;16.9454;16.1809;16.2765;2003-06-27;3483589
CTXS;15.7639;16.2128;16.8817;16.2048;16.6269;2003-06-30;2927772
CTXS;16.7704;17.2480;17.2719;15.5757;16.1172;2003-07-01;5702211
CTXS;17.5060;18.0045;18.1159;17.0887;17.1444;2003-07-02;6209554
CTXS;17.1034;17.5904;18.0363;17.5665;17.8372;2003-07-03;2293091
CTXS;17.8157;18.3230;18.4982;17.7656;17.8054;2003-07-07;3150174
CTXS;18.9693;19.5095;19.7245;18.3150;18.3548;2003-07-08;5748425
CTXS;18.4893;19.0158;19.5971;18.9760;19.4935;2003-07-09;2980139
CTXS;18.0789;18.5937;19.0476;18.3867;18.9521;2003-07-10;3336284
CTXS;18.5435;19.0715;19.3900;18.3071;18.3150;2003-07-11;3338042
CTXS;18.2802;18.8008;19.5254;18.6495;19.4458;2003-07-14;3056617
CTXS;18.5822;19.1113;19.5493;18.8008;19.2865;2003-07-15;3314307
CTXS;17.8157;18.3230;19.4139;17.9646;19.3423;2003-07-16;4416523
CTXS;16.9795;17.4630;18.1000;17.3993;18.0045;2003-07-17;4203414
CTXS;17.1576;17.6461;17.9408;17.0887;17.5187;2003-07-18;3208695
CTXS;16.6543;17.1285;17.8452;17.0807;17.6063;2003-07-21;2969465
CTXS;17.3434;17.8372;18.2752;17.3037;17.3037;2003-07-22;4376714
CTXS;18.0015;18.5141;18.5539;17.7417;18.0204;2003-07-23;4885062
CTXS;14.1534;14.5565;16.4835;14.5326;16.4437;2003-07-24;17351389
CTXS;14.9354;15.3607;15.6235;14.2061;14.7954;2003-07-25;8438850
CTXS;15.0051;15.4324;15.5996;15.1378;15.4085;2003-07-28;3072315
CTXS;14.8967;15.3209;15.6394;15.0502;15.4165;2003-07-29;4590577
CTXS;14.2618;14.6679;15.4881;14.5565;15.4483;2003-07-30;4057490
CTXS;14.0838;14.4848;14.9307;14.3335;14.6759;2003-07-31;5008005
CTXS;13.9754;14.3733;14.4928;14.2698;14.3494;2003-08-01;4823779
CTXS;13.8282;14.2220;14.3335;13.9831;14.2539;2003-08-04;3409371
CTXS;13.4953;13.8796;14.2857;13.7283;14.2140;2003-08-05;2749825
CTXS;13.5108;13.8955;14.0627;13.6407;13.9831;2003-08-06;2776699
CTXS;13.4334;13.8159;14.1583;13.3779;13.8159;2003-08-07;3043808
CTXS;13.1082;13.4814;14.1265;13.3301;14.0309;2003-08-08;2660538
CTXS;13.3250;13.7044;13.7363;13.3620;13.6487;2003-08-11;4017053
CTXS;13.7973;14.1902;14.2379;13.6805;13.8000;2003-08-12;2790639
CTXS;13.8592;14.2539;14.3335;13.9353;14.1026;2003-08-13;2173915
CTXS;14.0063;14.4052;14.4928;14.0389;14.1822;2003-08-14;1505327
