Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DFS;22.9672;28.75;30.50;28.00;28.00;2007-06-14;3279100
DFS;23.2309;29.08;29.80;28.88;29.50;2007-06-15;790100
DFS;23.9099;29.93;30.20;29.30;29.32;2007-06-18;1591000
DFS;23.7262;29.70;30.30;29.60;30.00;2007-06-19;1585100
DFS;23.8140;29.81;30.10;29.57;30.04;2007-06-20;855900
DFS;24.9324;31.21;31.95;29.61;30.06;2007-06-21;842700
DFS;25.3239;31.70;32.17;31.00;31.50;2007-06-22;1490700
DFS;25.0043;31.30;32.00;31.01;31.50;2007-06-25;490000
DFS;24.2934;30.41;31.65;30.25;31.30;2007-06-26;853900
DFS;23.6303;29.58;30.80;29.57;30.60;2007-06-27;1127300
DFS;23.5664;29.50;29.90;29.16;29.88;2007-06-28;488900
DFS;22.7675;28.50;30.30;27.93;29.99;2007-06-29;3085200
DFS;21.9687;27.50;29.15;27.20;28.55;2007-07-02;10999000
DFS;21.3056;26.67;27.50;26.15;27.50;2007-07-03;8600100
DFS;20.7145;25.93;26.92;25.74;26.25;2007-07-05;8422000
DFS;20.4828;25.64;25.86;25.21;25.64;2007-07-06;7211800
DFS;20.4029;25.54;26.54;25.44;25.72;2007-07-09;11675200
DFS;19.8916;24.90;25.65;24.80;25.60;2007-07-10;8591800
DFS;20.1393;25.21;25.27;24.75;25.02;2007-07-11;10251400
DFS;21.0420;26.34;26.59;25.21;25.59;2007-07-12;10297300
DFS;21.6971;27.16;27.43;26.02;26.47;2007-07-13;6752500
DFS;21.4414;26.84;27.45;26.66;27.21;2007-07-16;9892000
DFS;21.1698;26.50;26.99;26.31;26.96;2007-07-17;5434600
DFS;21.0580;26.36;26.50;25.70;26.45;2007-07-18;4594800
DFS;21.3376;26.71;26.95;26.25;26.25;2007-07-19;4868900
DFS;21.0100;26.30;27.12;26.25;26.71;2007-07-20;5751300
DFS;20.8662;26.12;26.51;26.10;26.30;2007-07-23;4711800
DFS;19.9715;25.00;25.60;24.93;25.54;2007-07-24;5483800
DFS;19.2525;24.10;24.84;23.75;24.76;2007-07-25;8391500
DFS;19.6680;24.62;24.88;22.75;23.26;2007-07-26;9834900
DFS;18.6374;23.33;24.70;23.33;24.26;2007-07-27;6678000
DFS;18.8291;23.57;23.93;22.37;23.40;2007-07-30;5056000
DFS;18.4137;23.05;24.10;22.83;23.65;2007-07-31;4132300
DFS;18.2779;22.88;23.07;22.05;22.68;2007-08-01;5583900
DFS;18.6694;23.37;24.05;22.48;22.50;2007-08-02;3032900
DFS;17.5669;21.99;23.11;21.53;22.66;2007-08-03;5256100
DFS;17.6948;22.15;23.53;21.25;22.24;2007-08-06;6010700
DFS;18.2779;22.88;23.53;21.72;22.05;2007-08-07;3885200
DFS;19.4043;24.29;24.57;23.00;23.50;2007-08-08;5645200
DFS;17.7027;22.16;23.96;22.06;23.40;2007-08-09;4554600
DFS;16.6642;20.86;21.95;20.35;21.75;2007-08-10;10813200
DFS;17.6548;22.10;22.29;21.26;21.26;2007-08-13;7115200
DFS;17.5430;21.96;22.66;21.71;22.29;2007-08-14;3845000
DFS;17.3033;21.66;22.40;21.16;21.89;2007-08-15;3690300
DFS;18.2540;22.85;23.14;20.47;20.50;2007-08-16;5503500
DFS;18.5176;23.18;23.99;22.91;23.89;2007-08-17;5668600
DFS;18.7333;23.45;23.50;22.48;23.10;2007-08-20;3786500
DFS;18.9090;23.67;23.96;23.07;23.09;2007-08-21;2471000
DFS;18.9570;23.73;24.00;23.25;23.66;2007-08-22;3601000
DFS;18.9330;23.70;24.03;23.18;23.94;2007-08-23;2904000
DFS;19.1647;23.99;24.02;23.38;23.42;2007-08-24;2001000
DFS;19.0369;23.83;24.04;23.70;24.02;2007-08-27;1629600
DFS;18.1421;22.71;23.55;22.56;23.32;2007-08-28;4219100
DFS;18.6374;23.33;23.58;21.59;22.57;2007-08-29;2932600
DFS;18.1821;22.76;23.00;22.50;22.82;2007-08-30;2269400
DFS;18.4856;23.14;23.88;22.54;23.01;2007-08-31;3092600
DFS;18.7173;23.43;23.56;22.63;23.05;2007-09-04;2459400
DFS;18.0143;22.55;23.12;22.36;22.68;2007-09-05;2703300
DFS;17.7986;22.28;22.52;22.05;22.51;2007-09-06;3297000
DFS;16.8639;21.11;21.98;20.86;21.98;2007-09-07;3985000
DFS;16.4246;20.56;21.52;20.25;21.17;2007-09-10;2746400
DFS;16.4645;20.61;21.15;20.47;20.52;2007-09-11;2838100
DFS;16.7761;21.00;21.44;20.25;20.45;2007-09-12;3052400
DFS;17.0477;21.34;21.74;21.00;21.00;2007-09-13;2328500
DFS;16.9918;21.27;21.56;21.01;21.29;2007-09-14;1839600
DFS;17.0317;21.32;21.41;20.50;21.21;2007-09-17;2233500
DFS;18.4457;23.09;23.09;21.16;21.40;2007-09-18;3637000
DFS;18.7013;23.41;23.82;23.02;23.22;2007-09-19;4394100
DFS;18.1022;22.66;24.00;22.61;23.27;2007-09-20;2683300
DFS;17.8945;22.40;22.80;21.98;22.75;2007-09-21;10196300
DFS;17.7826;22.26;23.48;22.24;22.70;2007-09-24;4334300
DFS;17.3513;21.72;22.26;21.17;22.26;2007-09-25;9227000
DFS;16.9758;21.25;21.94;21.21;21.65;2007-09-26;4631500
DFS;16.5124;20.67;21.33;20.59;21.16;2007-09-27;5640600
DFS;16.6163;20.80;20.87;20.33;20.70;2007-09-28;3736300
DFS;17.2314;21.57;21.59;20.63;21.00;2007-10-01;3324900
DFS;17.0717;21.37;22.14;21.27;21.57;2007-10-02;2774300
DFS;17.1037;21.35;22.10;21.25;21.30;2007-10-03;2493400
DFS;17.6404;22.02;22.07;21.38;21.50;2007-10-04;3491400
DFS;18.2092;22.73;22.90;22.20;22.23;2007-10-05;3201100
DFS;18.1451;22.65;22.76;22.48;22.60;2007-10-08;2088800
DFS;18.4496;23.03;23.33;22.61;22.67;2007-10-09;3488500
DFS;18.1451;22.65;23.01;22.50;23.00;2007-10-10;4030500
DFS;17.6485;22.03;23.13;21.94;22.85;2007-10-11;3776600
DFS;17.7286;22.13;22.29;21.85;22.09;2007-10-12;1775200
DFS;17.1277;21.38;22.20;20.91;22.10;2007-10-15;2822500
DFS;16.7672;20.93;21.37;20.77;21.34;2007-10-16;3155500
DFS;16.6471;20.78;21.73;20.44;21.63;2007-10-17;3501000
DFS;16.4468;20.53;20.74;20.27;20.61;2007-10-18;4580600
