Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DG;21.2829;22.73;23.10;21.75;22.00;2009-11-13;22079100
DG;21.6293;23.10;23.10;22.13;22.90;2009-11-16;2080000
DG;21.5731;23.04;23.17;22.50;23.03;2009-11-17;1328000
DG;21.1143;22.55;23.02;22.50;23.00;2009-11-18;918300
DG;21.4139;22.87;23.14;22.27;22.27;2009-11-19;1031500
DG;21.7323;23.21;23.33;22.50;22.50;2009-11-20;1080900
DG;21.9102;23.40;23.98;23.18;23.70;2009-11-23;741100
DG;22.0038;23.50;23.65;23.25;23.60;2009-11-24;633100
DG;22.2285;23.74;23.80;22.99;23.00;2009-11-25;362600
DG;21.6761;23.15;23.30;22.74;22.74;2009-11-27;141400
DG;21.5357;23.00;23.12;22.62;23.12;2009-11-30;853000
DG;21.8259;23.31;23.57;23.00;23.44;2009-12-01;803500
DG;22.0975;23.60;23.75;23.25;23.29;2009-12-02;571300
DG;21.8259;23.31;23.82;23.00;23.82;2009-12-03;410000
DG;22.3315;23.85;23.98;23.30;23.47;2009-12-04;318100
DG;22.1255;23.63;23.77;23.28;23.77;2009-12-07;271500
DG;22.1255;23.63;23.75;23.00;23.50;2009-12-08;652900
DG;22.4720;24.00;24.12;23.50;23.63;2009-12-09;609400
DG;22.1911;23.70;24.77;23.39;24.77;2009-12-10;848400
DG;21.8540;23.34;23.74;23.11;23.60;2009-12-11;600300
DG;21.3484;22.80;23.33;22.75;23.29;2009-12-14;489100
DG;21.2454;22.69;22.89;22.52;22.80;2009-12-15;700100
DG;21.2829;22.73;23.05;22.55;22.84;2009-12-16;585400
DG;21.0113;22.44;22.75;22.08;22.75;2009-12-17;634000
DG;21.1330;22.57;22.61;22.11;22.61;2009-12-18;2105100
DG;21.1611;22.60;22.61;22.17;22.50;2009-12-21;536400
DG;20.9739;22.40;22.61;22.30;22.58;2009-12-22;766100
DG;20.9832;22.41;23.25;22.40;23.22;2009-12-23;1103000
DG;20.7398;22.15;22.60;22.10;22.46;2009-12-24;254300
DG;21.1798;22.62;22.68;22.15;22.15;2009-12-28;804300
DG;21.1705;22.61;22.80;22.53;22.69;2009-12-29;123500
DG;21.1705;22.61;22.80;22.52;22.52;2009-12-30;173300
DG;21.0020;22.43;22.84;22.38;22.80;2009-12-31;156700
DG;21.6106;23.08;23.40;22.40;22.55;2010-01-04;437200
DG;21.7791;23.26;23.26;22.96;23.00;2010-01-05;283600
DG;22.0787;23.58;23.90;23.41;23.60;2010-01-06;968100
DG;22.2285;23.74;23.78;23.40;23.55;2010-01-07;360700
DG;22.3503;23.87;24.15;23.32;23.64;2010-01-08;967300
DG;22.4720;24.00;24.08;23.76;23.85;2010-01-11;253500
DG;22.4252;23.95;24.00;23.56;23.85;2010-01-12;517700
DG;22.7529;24.30;24.40;23.81;23.95;2010-01-13;596300
DG;22.6593;24.20;24.20;23.93;24.18;2010-01-14;201500
DG;22.8091;24.36;24.50;24.10;24.44;2010-01-15;202100
DG;22.9870;24.55;24.90;24.23;24.40;2010-01-19;679300
DG;22.9495;24.51;24.80;24.25;24.51;2010-01-20;589800
DG;22.4533;23.98;24.72;23.90;24.53;2010-01-21;203300
DG;21.8540;23.34;24.04;22.77;23.99;2010-01-22;892700
DG;21.8634;23.35;23.64;23.06;23.64;2010-01-25;119500
DG;22.0319;23.53;23.68;23.32;23.40;2010-01-26;164800
DG;22.0506;23.55;23.60;23.37;23.60;2010-01-27;175300
DG;22.3222;23.84;24.12;23.39;23.79;2010-01-28;131400
DG;21.9945;23.49;24.00;23.23;24.00;2010-01-29;337800
DG;21.8821;23.37;23.68;23.13;23.68;2010-02-01;407500
DG;22.1255;23.63;23.72;23.19;23.33;2010-02-02;208300
DG;22.3222;23.84;23.86;23.41;23.60;2010-02-03;827700
DG;21.0394;22.47;23.75;22.35;23.64;2010-02-04;714000
DG;20.3278;21.71;22.57;21.30;22.41;2010-02-05;1137100
DG;20.9645;22.39;22.63;21.76;21.88;2010-02-08;208100
DG;21.1237;22.56;22.76;22.27;22.49;2010-02-09;220700
DG;20.6461;22.05;22.38;21.87;22.38;2010-02-10;403900
DG;20.6555;22.06;22.18;21.95;21.97;2010-02-11;107600
