Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DGX;20.6350;26.2750;26.7900;26.0000;26.7900;2003-02-04;1596400
DGX;20.1167;25.6150;26.5500;25.6150;26.4000;2003-02-05;2081600
DGX;20.5054;26.1100;26.2150;25.6500;25.6500;2003-02-06;2271800
DGX;20.3798;25.9500;26.3800;25.8250;26.2750;2003-02-07;1003400
DGX;20.3366;25.8950;26.1650;25.5500;25.8750;2003-02-10;1506400
DGX;20.2148;25.7400;26.1900;25.5550;26.0000;2003-02-11;1056200
DGX;19.6219;24.9850;25.7750;24.9750;25.6900;2003-02-12;1770000
DGX;19.2017;24.4500;25.1250;24.3950;25.0750;2003-02-13;2341400
DGX;18.8365;23.9850;24.6000;23.6800;24.5400;2003-02-14;5692200
DGX;19.2410;24.5000;24.6250;24.1200;24.1200;2003-02-18;2720000
DGX;20.3955;25.9700;26.0050;24.5000;24.5000;2003-02-19;4760000
DGX;20.1363;25.6400;26.8050;25.6000;25.9500;2003-02-20;2395000
DGX;20.7371;26.4050;26.4300;25.2650;25.5000;2003-02-21;2163000
DGX;20.3994;25.9750;26.4000;25.9500;26.2500;2003-02-24;1871400
DGX;20.9884;26.7250;26.9500;25.0000;25.3250;2003-02-25;5568200
DGX;21.1258;26.9000;27.4650;26.8000;26.8900;2003-02-26;4818800
DGX;20.9491;26.6750;27.2000;26.6100;27.1250;2003-02-27;6576400
DGX;20.7175;26.3800;26.9000;26.3050;26.6750;2003-02-28;1858800
DGX;20.6232;26.2600;26.7450;26.2150;26.6250;2003-03-03;2243400
DGX;20.2423;25.7750;26.6400;25.6500;26.3750;2003-03-04;2649400
DGX;20.4936;26.0950;26.2400;25.6300;25.7750;2003-03-05;1449800
DGX;20.5604;26.1800;26.2400;25.6600;25.9000;2003-03-06;1778000
DGX;20.5957;26.2250;26.2250;25.6850;25.7500;2003-03-07;1483800
DGX;19.9517;25.4050;26.1500;25.2450;26.0500;2003-03-10;1456800
DGX;20.0106;25.4800;25.7000;25.3400;25.4650;2003-03-11;1293800
DGX;20.4387;26.0250;26.0500;25.4750;25.4750;2003-03-12;1963600
DGX;21.0080;26.7500;26.7600;25.8000;26.2750;2003-03-13;2585600
DGX;20.6703;26.3200;27.1250;26.2300;26.7650;2003-03-14;1725800
DGX;21.6363;27.5500;27.6600;26.2150;26.2850;2003-03-17;1936000
DGX;21.5970;27.5000;27.7250;26.5050;27.5000;2003-03-18;1496000
DGX;21.4792;27.3500;27.6450;27.1350;27.5000;2003-03-19;1770000
DGX;21.4046;27.2550;27.2900;26.6150;27.2500;2003-03-20;2299800
DGX;22.4452;28.5800;28.8000;27.3000;27.4250;2003-03-21;3294200
DGX;22.1429;28.1950;28.5800;28.0000;28.5800;2003-03-24;1524400
DGX;23.0696;29.3750;29.7250;28.1250;28.1250;2003-03-25;2553400
DGX;22.9596;29.2350;29.5000;29.0250;29.2000;2003-03-26;1869400
DGX;23.2384;29.5900;29.7000;28.8400;29.2350;2003-03-27;1453600
DGX;23.4073;29.8050;30.1900;29.3000;29.4250;2003-03-28;1960600
DGX;23.4387;29.8450;30.2500;29.4500;29.7500;2003-03-31;1914800
DGX;23.8746;30.4000;30.5500;30.0150;30.3750;2003-04-01;2386800
DGX;24.4047;31.0750;31.3500;30.6000;30.6000;2003-04-02;1992400
DGX;24.7934;31.5700;31.7050;30.7850;31.2750;2003-04-03;1842800
DGX;23.7725;30.2700;31.6100;30.2350;31.5750;2003-04-04;2825600
DGX;23.9256;30.4650;31.5000;30.4500;31.2500;2003-04-07;1974400
DGX;23.6468;30.1100;30.7200;30.0700;30.5000;2003-04-08;1627600
DGX;23.3719;29.7600;30.3400;29.7500;30.2000;2003-04-09;1851600
DGX;23.1835;29.5200;29.7900;29.2250;29.7600;2003-04-10;1521400
DGX;23.5094;29.9350;30.1650;29.6450;29.6450;2003-04-11;863000
DGX;24.2240;30.8450;30.9550;29.9500;29.9500;2003-04-14;1677400
DGX;23.0696;29.3750;30.6300;28.9100;30.6250;2003-04-15;5217600
DGX;22.2646;28.3500;29.2000;28.2400;28.8750;2003-04-16;3737000
DGX;22.9950;29.2800;29.4500;28.3500;28.3550;2003-04-17;1501000
DGX;22.4374;28.5700;29.3600;28.3800;29.3000;2003-04-21;1855800
DGX;22.1861;28.2500;28.4000;27.5700;27.8750;2003-04-22;5460400
DGX;21.7816;27.7350;28.3200;27.6400;28.2900;2003-04-23;2480000
DGX;22.2607;28.3450;28.6250;27.7300;27.7350;2003-04-24;1798600
