Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DHI;7.5042;9.6100;9.6500;9.5300;9.6000;2003-02-04;1195000
DHI;7.5744;9.7000;9.8400;9.5900;9.6100;2003-02-05;1730800
DHI;7.3324;9.3900;9.7250;9.3550;9.6500;2003-02-06;1932200
DHI;7.2231;9.2500;9.5000;9.1650;9.4350;2003-02-07;1566200
DHI;7.3792;9.4500;9.5100;9.2950;9.3250;2003-02-10;2705200
DHI;7.4183;9.5000;9.6000;9.4500;9.5500;2003-02-11;2060800
DHI;7.2231;9.2500;9.5750;9.2300;9.5050;2003-02-12;976400
DHI;7.1020;9.0950;9.2750;8.9500;9.2500;2003-02-13;2549800
DHI;7.1411;9.1450;9.3450;9.1250;9.1250;2003-02-14;2200800
DHI;7.5744;9.7000;9.8250;9.3500;9.4950;2003-02-18;2023600
DHI;7.4378;9.5250;9.6850;9.4750;9.5750;2003-02-19;1156800
DHI;7.3636;9.4300;9.5550;9.3900;9.5250;2003-02-20;1108200
DHI;7.4768;9.5750;9.6300;9.3750;9.5000;2003-02-21;924000
DHI;7.2504;9.2850;9.5500;9.2850;9.5500;2003-02-24;1053600
DHI;7.3402;9.4000;9.4850;9.2500;9.3050;2003-02-25;1763200
DHI;7.3441;9.4050;9.4900;9.3500;9.3750;2003-02-26;1828400
DHI;7.2231;9.2500;9.4900;9.1400;9.4500;2003-02-27;2930000
DHI;7.1489;9.1550;9.2750;9.0750;9.2500;2003-02-28;2696200
DHI;7.2074;9.2300;9.3600;9.1500;9.2500;2003-03-03;1743600
DHI;6.7741;8.6750;9.2300;8.6250;9.2300;2003-03-04;3693200
DHI;6.6765;8.5500;8.6900;8.4850;8.6700;2003-03-05;3285800
DHI;6.6608;8.5300;8.6500;8.4750;8.5500;2003-03-06;2046400
DHI;6.8326;8.7500;8.8300;8.4750;8.5000;2003-03-07;3219400
DHI;6.6608;8.5300;8.6700;8.5150;8.6250;2003-03-10;1829600
DHI;6.7702;8.6700;8.7500;8.5750;8.5750;2003-03-11;3391800
DHI;6.8131;8.7250;8.8000;8.6250;8.6450;2003-03-12;2429000
DHI;7.1606;9.1700;9.2000;8.7750;8.8000;2003-03-13;2011000
DHI;7.2504;9.2850;9.4200;9.1700;9.2250;2003-03-14;3148200
DHI;7.4027;9.4800;9.5000;9.1350;9.2250;2003-03-17;2296600
DHI;7.4183;9.5000;9.6400;9.3600;9.6400;2003-03-18;2520400
DHI;7.5510;9.6700;9.6900;9.4750;9.5000;2003-03-19;1993000
DHI;7.6447;9.7900;9.9000;9.4600;9.6000;2003-03-20;2231000
