Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DISCA;7.8181;7.8181;8.0480;7.5370;7.9203;2005-07-08;4067624
DISCA;7.8436;7.8436;7.8947;7.7159;7.8181;2005-07-11;1382425
DISCA;8.2524;8.2524;8.3291;7.9714;8.0225;2005-07-12;1230170
DISCA;8.1247;8.1247;8.3035;8.1247;8.3035;2005-07-13;1233889
DISCA;8.1247;8.1247;8.1758;8.0736;8.1758;2005-07-14;2311608
DISCA;8.0225;8.0225;8.0991;7.9203;8.0736;2005-07-15;1099638
DISCA;7.6137;7.6137;7.9458;7.5881;7.9458;2005-07-18;3226310
DISCA;7.6341;7.6341;7.6648;7.6137;7.6392;2005-07-19;4084846
DISCA;7.5881;7.5881;7.6392;7.5881;7.6392;2005-07-20;3595987
DISCA;7.7108;7.7108;7.7159;7.2560;7.4093;2005-07-21;35754781
DISCA;7.6597;7.6597;7.7925;7.6137;7.6903;2005-07-22;30231149
DISCA;7.1794;7.1794;7.6648;7.1436;7.6597;2005-07-25;21772799
DISCA;7.1538;7.1538;7.2049;7.0209;7.1794;2005-07-26;20022263
DISCA;7.1538;7.1538;7.3173;7.0874;7.1283;2005-07-27;22497672
DISCA;7.2816;7.2816;7.3480;7.1385;7.1538;2005-07-28;18940237
DISCA;7.2918;7.2918;7.3173;7.1487;7.2816;2005-07-29;4637894
DISCA;7.1742;7.1742;7.3582;7.1487;7.2356;2005-08-01;5177439
DISCA;7.1436;7.1436;7.1691;6.9034;7.1129;2005-08-02;13416018
DISCA;7.2713;7.2713;7.2713;6.9954;7.0516;2005-08-03;5212861
DISCA;7.2356;7.2356;7.2816;7.0976;7.1078;2005-08-04;7530732
DISCA;7.2049;7.2049;7.2356;7.1027;7.1845;2005-08-05;6118756
DISCA;7.1794;7.1794;7.2560;7.0772;7.1027;2005-08-08;3862335
DISCA;7.1385;7.1385;7.1947;7.0823;7.1845;2005-08-09;6048500
DISCA;7.2100;7.2100;7.2458;7.1180;7.1283;2005-08-10;18739645
DISCA;7.4553;7.4553;7.6750;7.2969;7.2969;2005-08-11;20197219
DISCA;7.5064;7.5064;7.5524;7.4093;7.4911;2005-08-12;10717902
DISCA;7.7363;7.7363;7.8181;7.4604;7.4911;2005-08-15;9547029
DISCA;7.7670;7.7670;8.0531;7.6750;7.8181;2005-08-16;10397345
DISCA;7.7159;7.7159;7.8385;7.6955;7.7925;2005-08-17;5430088
DISCA;7.6750;7.6750;7.7261;7.6444;7.6801;2005-08-18;2128825
DISCA;7.7721;7.7721;7.8385;7.6648;7.6648;2005-08-19;3334337
DISCA;7.9203;7.9203;7.9969;7.7517;7.7517;2005-08-22;2465820
DISCA;8.0123;8.0123;8.1247;7.8590;7.9969;2005-08-23;3480524
DISCA;8.0889;8.0889;8.2013;7.9305;7.9305;2005-08-24;3172101
DISCA;8.0480;8.0480;8.1247;7.8385;8.1247;2005-08-25;1849952
DISCA;7.9612;7.9612;8.1196;7.7414;8.0634;2005-08-26;2740583
DISCA;7.8590;7.8590;7.9816;7.7874;7.9203;2005-08-29;1647403
DISCA;7.8283;7.8283;7.9203;7.6648;7.7159;2005-08-30;4993090
DISCA;7.7363;7.7363;7.8641;7.6903;7.8641;2005-08-31;3908912
DISCA;7.7466;7.7466;7.7517;7.6597;7.6903;2005-09-01;3671136
DISCA;7.7414;7.7414;7.7414;7.6239;7.6750;2005-09-02;2594591
DISCA;7.7721;7.7721;7.7925;7.6903;7.6903;2005-09-06;3185213
DISCA;7.7772;7.7772;7.7823;7.7159;7.7466;2005-09-07;2635883
DISCA;7.7159;7.7159;7.8947;7.7057;7.8181;2005-09-08;4694060
DISCA;7.6648;7.6648;7.7210;7.6495;7.7159;2005-09-09;4586817
DISCA;7.6495;7.6495;7.7159;7.6239;7.6392;2005-09-12;1582039
DISCA;7.5830;7.5830;7.7670;7.5013;7.7261;2005-09-13;3541191
DISCA;7.6239;7.6239;7.6648;7.5013;7.5064;2005-09-14;1935082
DISCA;7.6648;7.6648;7.7312;7.5881;7.5881;2005-09-15;2120801
DISCA;7.6648;7.6648;7.7006;7.6290;7.6495;2005-09-16;1846625
DISCA;7.6903;7.6903;7.7925;7.6597;7.7108;2005-09-19;1469120
DISCA;7.6852;7.6852;7.8232;7.6546;7.6903;2005-09-20;2708879
DISCA;7.5575;7.5575;7.7414;7.5370;7.7261;2005-09-21;1879111
DISCA;7.5115;7.5115;7.5984;7.4808;7.5370;2005-09-22;4360979
DISCA;7.4757;7.4757;7.5217;7.3838;7.5115;2005-09-23;1635856
DISCA;7.4502;7.4502;7.5064;7.4348;7.4859;2005-09-26;1940561
DISCA;7.4451;7.4451;7.4962;7.3838;7.4297;2005-09-27;2011209
DISCA;7.3633;7.3633;7.4962;7.3327;7.4859;2005-09-28;3413791
DISCA;7.2816;7.2816;7.3838;7.2560;7.3429;2005-09-29;5842036
DISCA;7.3735;7.3735;7.4859;7.2356;7.2560;2005-09-30;5600347
DISCA;7.4246;7.4246;7.4348;7.3633;7.3684;2005-10-03;2488130
DISCA;7.1640;7.1640;7.4348;7.1334;7.4093;2005-10-04;3947660
DISCA;7.1027;7.1027;7.2049;7.0516;7.1538;2005-10-05;7917826
DISCA;7.0567;7.0567;7.1538;7.0209;7.0823;2005-10-06;2722774
DISCA;7.1436;7.1436;7.1538;7.0363;7.0363;2005-10-07;1999075
DISCA;7.1385;7.1385;7.2305;7.1027;7.1129;2005-10-10;2586567
DISCA;7.1794;7.1794;7.2305;7.1027;7.1283;2005-10-11;6034801
DISCA;7.1640;7.1640;7.1896;7.1283;7.1385;2005-10-12;2211606
DISCA;7.2816;7.2816;7.3327;7.1487;7.1589;2005-10-13;4118898
DISCA;7.4042;7.4042;7.4655;7.2560;7.2611;2005-10-14;6107601
DISCA;7.2713;7.2713;7.4093;7.1538;7.3838;2005-10-17;4428691
DISCA;7.2407;7.2407;7.3173;7.1998;7.2611;2005-10-18;1647794
DISCA;7.1589;7.1589;7.2202;7.0772;7.1947;2005-10-19;3595009
DISCA;7.0925;7.0925;7.1640;7.0618;7.1436;2005-10-20;4582707
DISCA;7.1947;7.1947;7.3735;7.0772;7.0772;2005-10-21;7582984
DISCA;7.2764;7.2764;7.2969;7.1742;7.1742;2005-10-24;1481449
DISCA;7.1742;7.1742;7.2918;7.1436;7.2305;2005-10-25;2449773
DISCA;7.1436;7.1436;7.1640;7.1078;7.1078;2005-10-26;4059796
DISCA;7.0209;7.0209;7.2305;6.9954;7.1129;2005-10-27;6880616
DISCA;7.2509;7.2509;7.2867;7.0005;7.0516;2005-10-28;4094044
DISCA;7.1998;7.1998;7.3071;7.1334;7.2509;2005-10-31;2894012
DISCA;7.2662;7.2662;7.3940;7.1538;7.1589;2005-11-01;2646255
DISCA;7.3480;7.3480;7.3684;7.2305;7.3020;2005-11-02;1660514
DISCA;7.2560;7.2560;7.4400;7.1691;7.3480;2005-11-03;1930776
DISCA;7.2100;7.2100;7.2560;7.1385;7.2458;2005-11-04;1462075
DISCA;7.2305;7.2305;7.3122;7.1436;7.2100;2005-11-07;1046604
