Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DISCK;8.0000;8.0000;9.2500;6.4000;6.4000;2008-09-18;11602600
DISCK;8.3500;8.3500;10.0000;7.6250;7.6250;2008-09-19;1527800
DISCK;8.4350;8.4350;8.5200;7.8000;8.4400;2008-09-22;3424400
DISCK;8.3100;8.3100;8.7050;8.0000;8.2550;2008-09-23;1825800
DISCK;7.9250;7.9250;8.5000;7.5800;8.1100;2008-09-24;1491200
DISCK;8.0350;8.0350;8.4750;7.5550;7.9050;2008-09-25;2778000
DISCK;7.7500;7.7500;8.0000;7.6600;7.7500;2008-09-26;1332000
DISCK;7.3100;7.3100;7.6750;6.5450;7.5150;2008-09-29;3593200
DISCK;7.0800;7.0800;7.2450;6.7600;6.8500;2008-09-30;3073400
DISCK;7.1550;7.1550;7.1600;6.5800;6.5800;2008-10-01;2559400
DISCK;6.7000;6.7000;7.1500;6.5050;7.0650;2008-10-02;2456000
DISCK;6.4950;6.4950;6.8200;6.2750;6.6650;2008-10-03;3083800
DISCK;6.2350;6.2350;6.4700;5.7800;6.1850;2008-10-06;2274800
DISCK;5.9000;5.9000;6.6050;5.6800;6.3750;2008-10-07;2858400
DISCK;5.6050;5.6050;5.8750;4.3900;4.3900;2008-10-08;2802400
DISCK;5.4400;5.4400;6.0000;5.2000;5.7450;2008-10-09;1761400
DISCK;5.2200;5.2200;5.5650;4.2500;4.5050;2008-10-10;2022400
DISCK;6.1200;6.1200;6.2100;5.0250;5.0250;2008-10-13;1231000
DISCK;6.5500;6.5500;6.5800;5.0700;5.1700;2008-10-14;2461200
DISCK;6.1350;6.1350;6.8100;5.8850;6.7450;2008-10-15;1320200
DISCK;5.9450;5.9450;6.7550;5.0550;6.2500;2008-10-16;2503000
DISCK;6.2000;6.2000;6.8000;5.4900;5.8800;2008-10-17;1276000
DISCK;6.3700;6.3700;6.4100;6.0700;6.1750;2008-10-20;1134200
DISCK;6.2800;6.2800;6.5450;6.0650;6.1700;2008-10-21;1563800
DISCK;5.9000;5.9000;6.2550;5.7500;6.0250;2008-10-22;1920400
DISCK;5.6900;5.6900;6.0650;5.1900;5.9600;2008-10-23;1868000
DISCK;4.8950;4.8950;5.1800;4.6250;5.0150;2008-10-24;1790600
DISCK;5.0000;5.0000;5.2750;4.7850;4.8800;2008-10-27;1894000
DISCK;5.2750;5.2750;5.3100;4.8500;5.1900;2008-10-28;839200
DISCK;5.8100;5.8100;5.9850;4.7600;5.1950;2008-10-29;1747200
DISCK;6.2950;6.2950;6.3000;5.8000;5.9800;2008-10-30;1119600
DISCK;6.6600;6.6600;6.7750;6.2250;6.2250;2008-10-31;1434200
DISCK;6.5250;6.5250;6.6600;6.4300;6.5350;2008-11-03;2848200
DISCK;6.7900;6.7900;6.9400;6.6300;6.7700;2008-11-04;1728600
DISCK;6.6300;6.6300;6.9400;6.5100;6.9400;2008-11-05;1215800
DISCK;5.6750;5.6750;6.8500;5.6750;6.4400;2008-11-06;897000
DISCK;6.7550;6.7550;6.7900;5.5950;5.5950;2008-11-07;3255600
DISCK;6.6750;6.6750;7.1200;6.6400;6.7500;2008-11-10;666200
DISCK;6.5700;6.5700;6.8200;6.1100;6.5400;2008-11-11;711400
DISCK;5.9300;5.9300;6.5350;5.7300;6.4950;2008-11-12;802000
DISCK;6.4950;6.4950;6.4950;5.7100;6.0150;2008-11-13;1103000
DISCK;6.7300;6.7300;6.9600;6.2500;6.4100;2008-11-14;691000
DISCK;6.2900;6.2900;6.8800;6.2800;6.7000;2008-11-17;546000
DISCK;5.9300;5.9300;6.4050;5.6800;6.1300;2008-11-18;889000
DISCK;5.8750;5.8750;6.2500;5.7850;5.8550;2008-11-19;1273400
DISCK;5.9800;5.9800;6.3250;5.7200;5.8400;2008-11-20;2633000
DISCK;6.1650;6.1650;6.2000;5.4350;6.0600;2008-11-21;1883400
DISCK;6.5850;6.5850;6.6350;6.2350;6.2350;2008-11-24;874000
DISCK;6.3600;6.3600;6.7150;6.1850;6.7150;2008-11-25;1585800
DISCK;6.6700;6.6700;6.8200;6.1850;6.2200;2008-11-26;740400
DISCK;7.5650;7.5650;7.6250;6.6850;6.7000;2008-11-28;783800
DISCK;6.5850;6.5850;7.3700;6.5700;6.5950;2008-12-01;1380400
DISCK;6.5500;6.5500;6.8250;6.4850;6.6400;2008-12-02;1086000
DISCK;6.7500;6.7500;6.7500;6.3300;6.3300;2008-12-03;879600
DISCK;6.1950;6.1950;6.7150;6.0250;6.5750;2008-12-04;1500000
DISCK;6.6450;6.6450;6.6450;5.9150;6.2700;2008-12-05;1368000
DISCK;7.1100;7.1100;7.1800;6.7250;6.7600;2008-12-08;2114000
DISCK;6.5600;6.5600;7.2300;6.2150;7.2300;2008-12-09;3537800
DISCK;6.4650;6.4650;6.8200;6.3100;6.5600;2008-12-10;3992800
DISCK;6.0050;6.0050;6.7400;5.8600;6.3400;2008-12-11;5460800
DISCK;6.2550;6.2550;6.3250;5.8850;5.8950;2008-12-12;2127000
DISCK;6.0900;6.0900;6.4700;6.0800;6.2450;2008-12-15;1023400
DISCK;6.2200;6.2200;6.2800;5.9150;6.0900;2008-12-16;1723600
DISCK;6.2550;6.2550;6.3400;5.9950;6.0700;2008-12-17;3902200
DISCK;6.6900;6.6900;6.7300;6.2500;6.6450;2008-12-18;1360000
DISCK;6.9200;6.9200;6.9550;6.2600;6.6600;2008-12-19;2043600
DISCK;6.6100;6.6100;6.9950;6.3900;6.9950;2008-12-22;617800
DISCK;6.5800;6.5800;6.8550;6.4400;6.8550;2008-12-23;563400
DISCK;6.5450;6.5450;6.6100;6.5200;6.5350;2008-12-24;138400
DISCK;6.5650;6.5650;6.6900;6.4500;6.5200;2008-12-26;403600
DISCK;6.5700;6.5700;6.6700;6.3800;6.6400;2008-12-29;685000
DISCK;6.6450;6.6450;6.6750;6.2850;6.5450;2008-12-30;553400
DISCK;6.6950;6.6950;6.7300;6.4250;6.7000;2008-12-31;583200
DISCK;6.8900;6.8900;6.8950;6.6350;6.6350;2009-01-02;994200
DISCK;7.0400;7.0400;7.0900;6.8350;6.8450;2009-01-05;598400
DISCK;7.2250;7.2250;7.2600;6.8200;7.1750;2009-01-06;705000
DISCK;6.9000;6.9000;7.0700;6.8500;7.0300;2009-01-07;433000
DISCK;7.1200;7.1200;7.1200;6.7100;6.9450;2009-01-08;1464800
DISCK;7.2050;7.2050;7.2550;6.9000;7.0550;2009-01-09;969200
DISCK;7.1900;7.1900;7.2150;7.0400;7.2150;2009-01-12;1245400
DISCK;7.3950;7.3950;7.4650;7.2200;7.3650;2009-01-13;837800
DISCK;7.2950;7.2950;7.4000;7.0600;7.3500;2009-01-14;465200
DISCK;7.2350;7.2350;7.4600;6.9150;7.3600;2009-01-15;687800
DISCK;7.2600;7.2600;7.5400;7.0300;7.4500;2009-01-16;502800
DISCK;6.7100;6.7100;7.2600;6.7100;7.2600;2009-01-20;516600
DISCK;7.1800;7.1800;7.2300;6.6900;6.7500;2009-01-21;751000
DISCK;7.2000;7.2000;7.3750;7.0150;7.0750;2009-01-22;467800
DISCK;7.1950;7.1950;7.3250;7.1000;7.1000;2009-01-23;546800
DISCK;7.0950;7.0950;7.3950;6.9700;7.1600;2009-01-26;758600
DISCK;7.2800;7.2800;7.2900;7.0900;7.1800;2009-01-27;671600
DISCK;7.3000;7.3000;7.4500;7.1400;7.3900;2009-01-28;659400
DISCK;7.0700;7.0700;7.2800;7.0350;7.2650;2009-01-29;318600
DISCK;7.1900;7.1900;7.2500;6.9100;7.1550;2009-01-30;1207800
DISCK;7.2100;7.2100;7.2700;6.9000;7.1250;2009-02-02;552200
DISCK;7.0900;7.0900;7.2000;6.9600;7.2000;2009-02-03;1507600
DISCK;6.8000;6.8000;7.2250;6.7750;7.1400;2009-02-04;679600
DISCK;6.6850;6.6850;6.7500;6.5550;6.7050;2009-02-05;796600
DISCK;6.8800;6.8800;6.9550;6.6550;6.6550;2009-02-06;620400
DISCK;6.8800;6.8800;6.9700;6.8300;6.8300;2009-02-09;331200
DISCK;6.6950;6.6950;6.9200;6.6350;6.7950;2009-02-10;766400
DISCK;6.7800;6.7800;6.8800;6.6700;6.6700;2009-02-11;399400
DISCK;6.9050;6.9050;6.9500;6.6200;6.6200;2009-02-12;339800
DISCK;6.8900;6.8900;6.9550;6.7700;6.9500;2009-02-13;432000
DISCK;6.6000;6.6000;6.9000;6.4950;6.7400;2009-02-17;1149800
DISCK;6.4950;6.4950;6.7550;6.3850;6.6900;2009-02-18;852800
DISCK;6.3150;6.3150;6.5550;6.2900;6.5250;2009-02-19;779000
DISCK;6.1300;6.1300;6.3100;6.0450;6.2500;2009-02-20;433200
DISCK;6.0500;6.0500;6.3300;6.0150;6.1350;2009-02-23;808800
DISCK;6.3400;6.3400;6.3900;6.0200;6.0850;2009-02-24;1301800
DISCK;7.0650;7.0650;7.2900;6.8250;6.9100;2009-02-25;1066400
DISCK;7.0200;7.0200;7.3750;6.9500;7.1500;2009-02-26;795000
DISCK;7.3400;7.3400;7.4000;6.9400;6.9400;2009-02-27;1430800
DISCK;7.2550;7.2550;7.4500;7.1600;7.1600;2009-03-02;884000
DISCK;7.4050;7.4050;7.5050;7.2450;7.4100;2009-03-03;809200
DISCK;7.2500;7.2500;7.5250;7.0050;7.4750;2009-03-04;2074600
DISCK;7.1300;7.1300;7.4950;7.0700;7.0900;2009-03-05;701800
DISCK;6.9900;6.9900;7.2900;6.8150;7.1600;2009-03-06;1812400
DISCK;6.6500;6.6500;7.0400;6.6200;6.8800;2009-03-09;1816000
DISCK;7.0050;7.0050;7.0550;6.6450;6.7850;2009-03-10;1325600
DISCK;7.1250;7.1250;7.1650;6.9350;7.0750;2009-03-11;1011400
DISCK;7.6000;7.6000;7.6250;7.0050;7.0600;2009-03-12;1309400
DISCK;7.6850;7.6850;7.7200;7.4050;7.6250;2009-03-13;755200
DISCK;7.6250;7.6250;7.8400;7.5550;7.7200;2009-03-16;520400
DISCK;7.6250;7.6250;7.6850;7.4400;7.6850;2009-03-17;610000
DISCK;7.6300;7.6300;7.6850;7.5000;7.5250;2009-03-18;832400
DISCK;7.4150;7.4150;7.6750;7.3350;7.6400;2009-03-19;1144400
DISCK;7.2500;7.2500;7.4600;7.2050;7.4500;2009-03-20;432600
DISCK;7.5900;7.5900;7.6000;7.2000;7.3650;2009-03-23;619600
