Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DLTR;7.2267;7.2267;7.3333;7.1267;7.3167;2003-02-04;4728900
DLTR;7.3300;7.3300;7.4633;7.2000;7.2867;2003-02-05;4071600
DLTR;7.2367;7.2367;7.3700;7.1300;7.2800;2003-02-06;4070100
DLTR;7.0167;7.0167;7.3100;7.0000;7.3000;2003-02-07;4033500
DLTR;7.1133;7.1133;7.1400;6.8467;7.0267;2003-02-10;5310000
DLTR;7.0400;7.0400;7.1900;7.0133;7.1433;2003-02-11;4556700
DLTR;6.9733;6.9733;7.0800;6.9533;7.0467;2003-02-12;3675600
DLTR;6.9167;6.9167;7.0133;6.7833;7.0100;2003-02-13;2467500
DLTR;7.1700;7.1700;7.1833;6.8467;6.9333;2003-02-14;2772900
DLTR;7.2400;7.2400;7.2567;7.0367;7.1833;2003-02-18;2393700
DLTR;6.9967;6.9967;7.3000;6.9167;7.2567;2003-02-19;1987500
DLTR;6.9067;6.9067;7.0667;6.8867;7.0567;2003-02-20;2194200
DLTR;6.8367;6.8367;6.9533;6.7733;6.9333;2003-02-21;5122200
DLTR;6.6367;6.6367;6.8233;6.6000;6.7733;2003-02-24;4183800
DLTR;6.6067;6.6067;6.6700;6.4333;6.5900;2003-02-25;4392300
DLTR;6.4500;6.4500;6.6167;6.4400;6.5567;2003-02-26;3179400
DLTR;6.8367;6.8367;6.8600;6.5033;6.5100;2003-02-27;3855300
DLTR;6.8833;6.8833;6.9500;6.7667;6.7967;2003-02-28;2517600
DLTR;6.7233;6.7233;7.0700;6.7133;7.0667;2003-03-03;2654100
DLTR;6.3933;6.3933;6.7333;6.3933;6.7167;2003-03-04;2697600
DLTR;6.1900;6.1900;6.4267;5.8000;6.4267;2003-03-05;11658000
DLTR;6.1367;6.1367;6.2633;6.0667;6.1767;2003-03-06;6545100
DLTR;6.1867;6.1867;6.2733;6.0033;6.1000;2003-03-07;4362300
DLTR;6.1333;6.1333;6.2367;6.0867;6.2067;2003-03-10;2389500
DLTR;6.2533;6.2533;6.3267;6.1400;6.2333;2003-03-11;3401400
DLTR;6.2833;6.2833;6.3367;6.1867;6.2433;2003-03-12;5809800
DLTR;6.6833;6.6833;6.7133;6.3500;6.4200;2003-03-13;5115300
