Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DOW;44.8052;49.80;53.50;49.5000;52.75;2019-03-20;2350800
DOW;44.0675;48.98;50.00;48.2000;49.99;2019-03-21;1764700
DOW;43.7256;48.60;49.95;48.1600;48.80;2019-03-22;844700
DOW;44.2204;49.15;49.40;48.0000;48.60;2019-03-25;440900
DOW;43.9505;48.85;49.75;48.1800;49.00;2019-03-26;504700
DOW;45.0751;50.10;50.78;49.0000;49.00;2019-03-27;1788600
DOW;45.7499;50.85;51.00;49.9150;50.90;2019-03-28;585400
DOW;46.4517;51.63;52.48;49.1800;49.52;2019-03-29;1769000
DOW;48.1341;53.50;54.39;51.2500;52.30;2019-04-01;19663400
DOW;50.6083;56.25;57.39;54.3000;55.12;2019-04-02;17414200
DOW;51.1751;56.88;57.20;55.5100;57.08;2019-04-03;15066200
DOW;53.7213;59.71;60.52;57.1000;57.20;2019-04-04;13309200
DOW;51.4990;57.24;58.98;56.2700;58.39;2019-04-05;17000800
DOW;51.4181;57.15;58.39;56.2700;56.50;2019-04-08;10764600
DOW;50.6263;56.27;57.20;56.0800;56.80;2019-04-09;9179900
DOW;50.1225;55.71;56.41;55.1000;55.99;2019-04-10;9081900
DOW;49.3847;54.89;56.21;54.8300;55.70;2019-04-11;7346100
DOW;52.4527;58.30;58.33;55.9300;55.93;2019-04-12;9281700
DOW;51.9849;57.78;58.85;57.2900;58.57;2019-04-15;5727300
DOW;52.6327;58.50;58.99;57.8400;58.71;2019-04-16;6681600
DOW;52.4707;58.32;59.05;58.2000;58.95;2019-04-17;6420700
DOW;51.9759;57.77;58.61;57.5500;58.36;2019-04-18;5178800
DOW;52.0838;57.89;58.41;57.2600;57.48;2019-04-22;4401700
DOW;51.8589;57.64;57.84;57.0000;57.29;2019-04-23;5687200
DOW;50.3654;55.98;57.89;55.8650;57.49;2019-04-24;5431300
DOW;49.7806;55.33;55.98;54.8200;55.76;2019-04-25;6260500
DOW;49.7086;55.25;55.60;54.9500;55.30;2019-04-26;4009800
DOW;49.9335;55.50;55.69;54.8000;55.05;2019-04-29;5935200
DOW;51.0402;56.73;57.21;55.6000;55.76;2019-04-30;6454100
DOW;50.5004;56.13;57.48;55.8800;56.82;2019-05-01;7644400
DOW;47.4144;52.70;56.49;52.0300;55.54;2019-05-02;13932700
DOW;47.9542;53.30;53.35;51.7200;53.20;2019-05-03;7401700
DOW;48.0981;53.46;54.03;51.7000;52.15;2019-05-06;6089500
DOW;47.6393;52.95;53.33;52.6500;52.86;2019-05-07;7330800
DOW;47.2164;52.48;53.40;52.3100;53.33;2019-05-08;5390700
DOW;47.6213;52.93;53.14;51.5500;52.26;2019-05-09;4579700
DOW;47.7473;53.07;53.71;52.4900;52.94;2019-05-10;4758100
DOW;45.8399;50.95;52.55;50.7600;52.28;2019-05-13;4213100
DOW;47.2164;52.48;53.00;50.8400;51.33;2019-05-14;4204500
DOW;47.6393;52.95;53.33;51.6700;51.98;2019-05-15;2928700
DOW;47.6663;52.98;53.55;52.7300;53.29;2019-05-16;3689700
DOW;45.7049;50.80;52.52;50.6600;52.34;2019-05-17;4440800
DOW;45.0571;50.08;50.54;49.9200;50.40;2019-05-20;5168400
DOW;45.5520;50.63;51.19;50.0200;50.28;2019-05-21;4968400
DOW;45.1741;50.21;50.61;49.9650;50.46;2019-05-22;3019100
DOW;43.8246;48.71;49.86;48.2100;49.50;2019-05-23;4919200
DOW;44.2654;49.20;49.58;48.4400;49.39;2019-05-24;2918900
DOW;43.6896;48.56;49.43;48.1000;49.37;2019-05-28;6613000
DOW;43.8246;48.71;49.43;48.0100;48.20;2019-05-29;3525900
DOW;44.2445;48.47;48.59;48.0200;48.12;2019-05-30;3777600
DOW;42.6835;46.76;48.00;46.7500;47.96;2019-05-31;3396900
DOW;43.7789;47.96;47.96;46.8500;46.85;2019-06-03;5905200
DOW;45.5772;49.93;49.93;48.6400;48.68;2019-06-04;7043000
DOW;45.9514;50.34;50.57;49.0500;50.49;2019-06-05;6413300
DOW;46.6087;51.06;51.31;50.1500;50.28;2019-06-06;6228100
DOW;46.8277;51.30;51.69;50.8700;51.13;2019-06-07;5391100
DOW;47.1198;51.62;52.10;51.5800;51.72;2019-06-10;5434400
DOW;47.5032;52.04;52.17;51.5600;52.00;2019-06-11;5144300
DOW;47.9140;52.49;52.64;51.6800;52.06;2019-06-12;3103900
DOW;48.2700;52.88;52.95;52.0400;52.68;2019-06-13;4179800
DOW;46.6908;51.15;52.69;51.0000;52.63;2019-06-14;3919300
DOW;45.0477;49.35;50.33;49.0500;50.06;2019-06-17;5787300
DOW;45.2851;49.61;50.57;49.4000;49.75;2019-06-18;5014200
DOW;44.2718;48.50;50.24;48.3300;49.95;2019-06-19;5404000
DOW;44.6644;48.93;49.59;48.6200;49.10;2019-06-20;4228300
DOW;44.1440;48.36;49.27;48.3100;48.82;2019-06-21;9478500
DOW;45.2577;49.58;49.70;48.3200;48.51;2019-06-24;4602300
DOW;45.3581;49.69;50.22;49.0500;49.49;2019-06-25;4005200
DOW;46.0518;50.45;51.22;49.8100;49.85;2019-06-26;5244400
DOW;46.4717;50.91;51.14;50.5310;50.61;2019-06-27;4097200
DOW;45.0112;49.31;51.20;49.0800;51.04;2019-06-28;6507400
DOW;45.7871;50.16;50.20;49.5200;50.00;2019-07-01;4641700
DOW;45.0934;49.40;50.06;48.7600;50.00;2019-07-02;4725800
DOW;45.0295;49.33;49.65;49.2000;49.46;2019-07-03;2479400
DOW;45.0112;49.31;49.37;48.9600;49.01;2019-07-05;2529800
DOW;44.2901;48.52;49.50;48.3850;49.34;2019-07-08;5936000
DOW;43.6968;47.87;48.43;47.5000;48.30;2019-07-09;4967400
DOW;43.4047;47.55;48.42;47.5200;48.34;2019-07-10;3507400
DOW;43.6146;47.78;48.06;47.1800;47.73;2019-07-11;4202000
DOW;45.3764;49.71;50.04;48.0800;48.46;2019-07-12;4328400
DOW;46.4900;50.93;50.95;49.6600;49.77;2019-07-15;4923800
DOW;47.7588;52.32;52.65;50.9500;50.95;2019-07-16;6011200
DOW;47.1016;51.60;52.30;51.2300;52.16;2019-07-17;4417500
DOW;47.2385;51.75;52.05;51.2800;51.55;2019-07-18;3620300
DOW;47.0286;51.52;51.83;51.5000;51.77;2019-07-19;3221500
DOW;46.4444;50.88;51.57;50.6000;51.50;2019-07-22;2814900
DOW;48.0327;52.62;52.90;50.9500;51.00;2019-07-23;4387700
DOW;48.1878;52.79;52.99;52.0400;52.50;2019-07-24;3516400
DOW;46.3439;50.77;51.99;50.3000;51.64;2019-07-25;4254600
DOW;44.8287;49.11;50.30;48.9200;50.27;2019-07-26;5066000
DOW;43.8611;48.05;48.88;47.9800;48.52;2019-07-29;4219800
DOW;44.1806;48.40;48.44;47.7800;47.78;2019-07-30;4194300
DOW;44.2171;48.44;49.43;47.9500;48.49;2019-07-31;5188500
DOW;42.7657;46.85;48.60;46.7800;48.15;2019-08-01;5803200
DOW;41.6247;45.60;47.50;45.3700;46.69;2019-08-02;5346400
DOW;40.8670;44.77;45.13;44.0700;45.06;2019-08-05;5147300
DOW;40.5567;44.43;45.45;43.7350;45.11;2019-08-06;4702800
DOW;40.9765;44.89;45.00;43.9100;44.10;2019-08-07;4490100
DOW;42.7109;46.79;46.82;45.1900;45.20;2019-08-08;4573400
DOW;42.5740;46.64;46.99;46.1000;46.42;2019-08-09;4468000
DOW;41.7068;45.69;46.80;45.5200;46.39;2019-08-12;4491600
DOW;42.7657;46.85;47.76;45.5800;45.78;2019-08-13;5407300
DOW;40.2372;44.08;46.15;44.0000;45.80;2019-08-14;6178300
DOW;39.5982;43.38;44.37;42.9600;44.34;2019-08-15;3494600
DOW;40.6297;44.51;44.81;42.7700;43.29;2019-08-16;4586000
DOW;41.6247;45.60;45.86;45.1500;45.36;2019-08-19;3615500
DOW;39.3974;43.16;45.25;43.0700;45.25;2019-08-20;5972800
DOW;39.5069;43.28;44.24;43.2400;43.85;2019-08-21;4397800
DOW;38.3841;42.05;43.90;42.0200;43.32;2019-08-22;6072100
DOW;37.1610;40.71;42.02;40.4400;42.00;2019-08-23;6696800
DOW;37.2614;40.82;41.35;40.6100;41.27;2019-08-26;3402400
DOW;37.5809;41.17;41.73;40.9190;41.19;2019-08-27;4152200
DOW;38.8132;42.52;42.64;40.7600;41.15;2019-08-28;4539300
DOW;39.3236;42.37;43.00;42.2100;42.33;2019-08-29;3292500
DOW;39.5649;42.63;43.00;42.2700;42.83;2019-08-30;4099200
DOW;38.7946;41.80;42.23;41.1500;42.14;2019-09-03;3343300
DOW;39.4814;42.54;42.79;41.8500;42.59;2019-09-04;2651400
DOW;40.2424;43.36;43.97;43.0900;43.15;2019-09-05;4041400
DOW;40.1311;43.24;43.66;42.6600;43.54;2019-09-06;3217900
DOW;41.2541;44.45;44.63;43.2600;43.53;2019-09-09;3848000
DOW;42.9896;46.32;46.37;44.7800;45.10;2019-09-10;4704000
DOW;43.5094;46.88;47.05;45.5800;46.52;2019-09-11;4445000
DOW;43.5929;46.97;47.19;45.5700;47.07;2019-09-12;3649700
DOW;44.7345;48.20;48.44;47.2500;47.64;2019-09-13;4027600
DOW;45.4862;49.01;49.98;48.2800;48.69;2019-09-16;5040600
DOW;44.5488;48.00;49.09;47.6100;48.67;2019-09-17;3741900
DOW;44.0941;47.51;47.90;47.0200;47.90;2019-09-18;2588200
DOW;44.2147;47.64;48.41;47.4900;48.12;2019-09-19;2418300
DOW;44.7437;48.21;48.85;47.0700;47.47;2019-09-20;10570400
DOW;44.4653;47.91;48.22;47.1200;47.39;2019-09-23;3599400
DOW;43.2495;46.60;48.00;45.9500;47.78;2019-09-24;4515300
DOW;44.2518;47.68;47.97;46.1300;46.55;2019-09-25;4396200
DOW;43.8342;47.23;47.69;46.9340;47.51;2019-09-26;2994200
DOW;43.6857;47.07;47.88;47.0100;47.40;2019-09-27;3722300
DOW;44.2240;47.65;47.79;47.1100;47.26;2019-09-30;2512200
DOW;42.6648;45.97;48.57;45.9000;47.94;2019-10-01;3838400
DOW;41.6996;44.93;45.17;44.3600;44.67;2019-10-02;4759500
DOW;42.0522;45.31;45.39;44.3700;44.85;2019-10-03;3422400
DOW;42.0801;45.34;45.78;45.0100;45.18;2019-10-04;3512300
DOW;41.9223;45.17;45.77;44.7650;45.08;2019-10-07;2977900
DOW;40.6972;43.85;45.05;43.8300;44.75;2019-10-08;2985900
DOW;40.8457;44.01;44.54;44.0000;44.39;2019-10-09;2844600
DOW;41.6903;44.92;45.29;44.0200;44.33;2019-10-10;4325000
DOW;43.7414;47.13;47.72;45.5030;45.75;2019-10-11;3675700
DOW;43.4537;46.82;47.27;46.2400;46.72;2019-10-14;3196500
DOW;43.8063;47.20;48.10;46.5300;46.82;2019-10-15;3216800
DOW;43.7321;47.12;47.92;47.0100;47.49;2019-10-16;3626900
DOW;44.3725;47.81;48.54;47.1400;47.44;2019-10-17;2724400
DOW;44.5117;47.96;48.19;47.3600;47.91;2019-10-18;2757600
DOW;43.7321;47.12;48.97;47.0900;48.59;2019-10-21;3967000
DOW;43.4537;46.82;47.38;46.0200;47.08;2019-10-22;4645400
DOW;43.8342;47.23;47.51;46.5500;46.78;2019-10-23;4152000
DOW;45.9131;49.47;49.99;47.8400;48.65;2019-10-24;6098900
DOW;46.8505;50.48;50.76;48.9000;49.78;2019-10-25;5361100
DOW;47.5280;51.21;51.44;50.4300;50.75;2019-10-28;4504100
DOW;47.7879;51.49;51.63;50.3700;50.96;2019-10-29;3462100
DOW;47.3610;51.03;51.47;50.3300;51.20;2019-10-30;3602100
