Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DPZ;6.4220;13.50;14.10;13.49;14.00;2004-07-13;14964100
DPZ;6.3934;13.44;13.55;12.91;13.50;2004-07-14;2801000
DPZ;6.5837;13.84;13.85;13.35;13.45;2004-07-15;1276200
DPZ;6.5789;13.83;13.90;13.51;13.87;2004-07-16;1488200
DPZ;6.4315;13.52;13.80;13.35;13.80;2004-07-19;966200
DPZ;6.6265;13.93;13.93;13.41;13.52;2004-07-20;719300
DPZ;6.4695;13.60;13.94;13.50;13.94;2004-07-21;472300
DPZ;6.4695;13.60;13.65;13.33;13.60;2004-07-22;218500
DPZ;6.4505;13.56;13.62;13.40;13.40;2004-07-23;268500
DPZ;6.2793;13.20;13.50;13.05;13.50;2004-07-26;236200
DPZ;6.0652;12.75;13.20;12.40;13.20;2004-07-27;2668000
DPZ;6.1984;13.03;13.12;12.84;12.85;2004-07-28;1028100
DPZ;6.5552;13.78;13.78;13.10;13.10;2004-07-29;1015700
DPZ;6.6122;13.90;13.90;13.55;13.72;2004-07-30;623000
DPZ;6.5171;13.70;13.80;13.55;13.80;2004-08-02;329400
DPZ;6.6313;13.94;14.08;13.70;13.70;2004-08-03;1557100
DPZ;6.6122;13.90;14.04;13.88;14.04;2004-08-04;156300
DPZ;6.6075;13.89;14.00;13.86;13.94;2004-08-05;188100
DPZ;6.5647;13.80;14.00;13.70;13.82;2004-08-06;276300
DPZ;6.5171;13.70;13.80;13.50;13.80;2004-08-09;212100
DPZ;6.5599;13.79;13.85;13.65;13.70;2004-08-10;272400
DPZ;6.5171;13.70;13.88;13.60;13.80;2004-08-11;166800
DPZ;6.4838;13.63;13.75;13.58;13.65;2004-08-12;284700
DPZ;6.3744;13.40;13.70;13.35;13.68;2004-08-13;104900
DPZ;6.4125;13.48;13.55;13.40;13.40;2004-08-16;86400
DPZ;6.3982;13.45;13.65;13.25;13.40;2004-08-17;161100
DPZ;6.4743;13.61;13.64;13.35;13.52;2004-08-18;43000
DPZ;6.3268;13.30;13.60;12.75;13.60;2004-08-19;124100
DPZ;6.4886;13.64;13.64;13.10;13.25;2004-08-20;112300
DPZ;6.5885;13.85;13.91;13.60;13.70;2004-08-23;442900
DPZ;6.5647;13.80;13.80;13.45;13.75;2004-08-24;607400
DPZ;6.5647;13.80;13.89;13.51;13.80;2004-08-25;307300
DPZ;6.5171;13.70;13.90;13.70;13.90;2004-08-26;104300
DPZ;6.6788;14.04;14.08;13.75;13.75;2004-08-27;880600
DPZ;6.6693;14.02;14.15;13.90;14.00;2004-08-30;265000
DPZ;6.7787;14.25;14.25;13.95;13.95;2004-08-31;401800
DPZ;6.8739;14.45;14.59;14.25;14.25;2004-09-01;421400
DPZ;6.8025;14.30;14.50;14.15;14.50;2004-09-02;273800
DPZ;6.6598;14.00;14.20;13.75;14.05;2004-09-03;310100
DPZ;6.5980;13.87;14.05;13.65;14.00;2004-09-07;329000
DPZ;6.5599;13.79;13.87;13.70;13.77;2004-09-08;178000
DPZ;6.5552;13.78;13.95;13.69;13.69;2004-09-09;163500
DPZ;6.8358;14.37;14.37;13.90;14.15;2004-09-10;1073900
DPZ;6.8263;14.35;14.50;14.27;14.30;2004-09-13;394400
DPZ;7.0546;14.83;14.90;14.28;14.44;2004-09-14;500500
DPZ;7.2402;15.22;15.37;14.90;15.00;2004-09-15;1045100
DPZ;7.3639;15.48;15.50;15.22;15.22;2004-09-16;531000
DPZ;7.2307;15.20;15.40;15.10;15.40;2004-09-17;270400
DPZ;7.2544;15.25;15.48;15.15;15.20;2004-09-20;185700
DPZ;7.3258;15.40;15.53;15.22;15.33;2004-09-21;241000
DPZ;7.1878;15.11;15.35;14.80;15.25;2004-09-22;351900
DPZ;7.1212;14.97;15.20;14.88;15.01;2004-09-23;181000
DPZ;7.1545;15.04;15.20;14.85;15.05;2004-09-24;215900
DPZ;7.0784;14.88;15.02;14.65;15.00;2004-09-27;344400
DPZ;7.2544;15.25;15.25;14.62;14.80;2004-09-28;223500
DPZ;7.1593;15.05;15.40;14.95;15.35;2004-09-29;757800
DPZ;6.9928;14.70;15.11;14.70;15.05;2004-09-30;1354500
DPZ;6.9452;14.60;14.85;14.25;14.80;2004-10-01;733500
DPZ;7.1260;14.98;15.00;14.74;14.95;2004-10-04;319200
DPZ;7.2877;15.32;15.47;14.66;14.90;2004-10-05;590600
DPZ;7.5636;15.90;16.01;15.27;15.27;2004-10-06;808600
DPZ;7.5684;15.91;16.15;15.55;15.97;2004-10-07;897900
DPZ;7.5874;15.95;16.20;15.80;15.85;2004-10-08;537700
DPZ;7.6112;16.00;16.25;15.87;16.00;2004-10-11;400500
DPZ;7.5922;15.96;16.35;15.75;16.07;2004-10-12;618900
DPZ;7.6873;16.16;16.19;16.00;16.05;2004-10-13;207400
DPZ;7.5589;15.89;16.09;15.77;16.00;2004-10-14;387600
DPZ;7.6017;15.98;16.19;15.89;15.89;2004-10-15;285700
DPZ;7.5636;15.90;16.26;15.90;16.00;2004-10-18;389800
DPZ;7.4162;15.59;16.60;15.50;16.00;2004-10-19;682700
DPZ;7.4257;15.61;15.70;15.42;15.69;2004-10-20;389700
DPZ;7.5066;15.78;15.91;15.51;15.55;2004-10-21;124400
DPZ;7.5399;15.85;16.00;15.60;15.71;2004-10-22;296500
DPZ;7.5779;15.93;15.95;15.72;15.95;2004-10-25;131900
DPZ;7.5541;15.88;15.95;15.63;15.94;2004-10-26;289500
DPZ;7.5827;15.94;15.98;15.75;15.92;2004-10-27;301800
DPZ;7.5779;15.93;15.99;15.78;15.98;2004-10-28;172300
