Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DRE;10.0218;25.14;25.14;25.00;25.07;2003-02-04;478300
DRE;10.1135;25.37;25.40;25.19;25.20;2003-02-05;291900
DRE;10.1933;25.57;25.76;25.35;25.37;2003-02-06;413200
DRE;10.1972;25.58;25.66;25.55;25.55;2003-02-07;425900
DRE;10.2849;25.80;25.80;25.40;25.58;2003-02-10;329700
DRE;10.1454;25.45;25.80;25.43;25.80;2003-02-11;500200
DRE;10.0378;24.73;25.04;24.68;25.00;2003-02-12;336600
DRE;10.0338;24.72;24.88;24.57;24.70;2003-02-13;399100
DRE;10.0460;24.75;24.86;24.65;24.70;2003-02-14;203100
DRE;10.2692;25.30;25.30;24.75;24.85;2003-02-18;266500
DRE;10.3179;25.42;25.50;25.18;25.30;2003-02-19;238800
DRE;10.2692;25.30;25.41;25.26;25.40;2003-02-20;149700
DRE;10.3626;25.53;25.63;25.25;25.34;2003-02-21;369800
DRE;10.2895;25.35;25.58;25.28;25.58;2003-02-24;245800
DRE;10.5330;25.95;25.95;25.33;25.37;2003-02-25;577200
DRE;10.4316;25.70;25.88;25.70;25.87;2003-02-26;243900
DRE;10.5533;26.00;26.00;25.70;25.79;2003-02-27;352100
DRE;10.5330;25.95;26.08;25.91;25.95;2003-02-28;331600
DRE;10.5249;25.93;26.05;25.77;25.95;2003-03-03;428400
DRE;10.4843;25.83;25.95;25.75;25.94;2003-03-04;274100
DRE;10.5127;25.90;25.90;25.73;25.73;2003-03-05;285500
DRE;10.4600;25.77;25.91;25.72;25.83;2003-03-06;270100
DRE;10.4803;25.82;25.90;25.55;25.55;2003-03-07;356900
DRE;10.4194;25.67;25.92;25.55;25.90;2003-03-10;277200
DRE;10.3260;25.44;25.70;25.39;25.61;2003-03-11;284700
DRE;10.2367;25.22;25.43;25.12;25.38;2003-03-12;415600
DRE;10.3626;25.53;25.53;25.27;25.30;2003-03-13;325300
DRE;10.3707;25.55;25.62;25.43;25.58;2003-03-14;348900
DRE;10.6142;26.15;26.20;25.40;25.52;2003-03-17;453800
DRE;10.6386;26.21;26.25;26.07;26.15;2003-03-18;472500
DRE;10.7157;26.40;26.40;26.10;26.12;2003-03-19;267100
DRE;10.8375;26.70;26.70;26.01;26.40;2003-03-20;469300
DRE;11.1175;27.39;27.50;26.61;26.70;2003-03-21;438500
