Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
DVA;7.7933;7.7933;7.9600;7.7867;7.9500;2003-02-04;684000
DVA;7.8333;7.8333;7.9000;7.7667;7.7867;2003-02-05;1144200
DVA;7.8033;7.8033;7.8567;7.7700;7.8333;2003-02-06;555300
DVA;7.8000;7.8000;7.8300;7.7400;7.8267;2003-02-07;370800
DVA;7.9667;7.9667;7.9667;7.7667;7.7667;2003-02-10;1289100
DVA;7.7633;7.7633;8.0000;7.7633;7.9900;2003-02-11;721500
DVA;7.3667;7.3667;7.6933;7.2833;7.6800;2003-02-12;2045700
DVA;7.5333;7.5333;7.5467;7.2333;7.4000;2003-02-13;2260800
DVA;6.8033;6.8033;7.3333;6.5667;7.3333;2003-02-14;5901000
DVA;6.8833;6.8833;6.9300;6.8167;6.8167;2003-02-18;1424100
DVA;7.0100;7.0100;7.0333;6.8833;6.8833;2003-02-19;1248300
DVA;6.8400;6.8400;7.0967;6.8333;7.0067;2003-02-20;1825500
DVA;6.9333;6.9333;6.9667;6.8367;6.8400;2003-02-21;849300
DVA;6.7667;6.7667;6.9467;6.7567;6.9300;2003-02-24;1179000
DVA;6.8033;6.8033;6.8033;6.7133;6.7333;2003-02-25;609900
DVA;6.7667;6.7667;6.8300;6.7033;6.7833;2003-02-26;1435500
DVA;6.8367;6.8367;6.8533;6.7333;6.7933;2003-02-27;807600
DVA;6.9167;6.9167;6.9600;6.7833;6.8500;2003-02-28;1501200
DVA;6.9700;6.9700;7.0333;6.9167;6.9500;2003-03-03;1324800
DVA;6.9433;6.9433;6.9967;6.9167;6.9233;2003-03-04;742800
DVA;6.9333;6.9333;6.9933;6.8567;6.9433;2003-03-05;324300
DVA;6.8067;6.8067;6.9300;6.7667;6.9300;2003-03-06;900300
DVA;6.8567;6.8567;6.8633;6.7100;6.8000;2003-03-07;699900
DVA;6.7867;6.7867;6.8500;6.7567;6.7567;2003-03-10;315000
DVA;6.6633;6.6633;6.7867;6.6500;6.7867;2003-03-11;645600
DVA;6.5900;6.5900;6.6767;6.4333;6.6633;2003-03-12;1276800
DVA;6.5667;6.5667;6.6267;6.4833;6.5933;2003-03-13;996900
DVA;6.5567;6.5567;6.6433;6.5500;6.6167;2003-03-14;1352400
DVA;6.5167;6.5167;6.5533;6.3833;6.5533;2003-03-17;1858200
DVA;6.6633;6.6633;6.6767;6.5133;6.5500;2003-03-18;951300
DVA;6.6500;6.6500;6.6833;6.6067;6.6300;2003-03-19;1192800
DVA;6.6267;6.6267;6.6800;6.6100;6.6467;2003-03-20;778200
DVA;6.6333;6.6333;6.6833;6.6167;6.6833;2003-03-21;1166700
DVA;6.6200;6.6200;6.6667;6.4967;6.5333;2003-03-24;1153200
DVA;6.7067;6.7067;6.7167;6.5667;6.6200;2003-03-25;3384300
DVA;6.8167;6.8167;6.8767;6.6833;6.6833;2003-03-26;2505300
DVA;6.8067;6.8067;6.8833;6.7700;6.8333;2003-03-27;670800
DVA;6.8933;6.8933;6.9167;6.8333;6.8333;2003-03-28;747300
DVA;6.9100;6.9100;6.9300;6.7000;6.7000;2003-03-31;876300
DVA;6.9600;6.9600;6.9967;6.9167;6.9167;2003-04-01;1066200
DVA;6.9667;6.9667;7.0300;6.8333;6.9067;2003-04-02;953100
DVA;6.9433;6.9433;7.0067;6.9200;6.9500;2003-04-03;692700
DVA;6.8667;6.8667;6.9833;6.8400;6.9667;2003-04-04;983400
DVA;6.9100;6.9100;7.0767;6.8767;6.9500;2003-04-07;614700
DVA;6.8433;6.8433;6.8700;6.8000;6.8333;2003-04-08;571500
DVA;6.7500;6.7500;6.8500;6.7200;6.8500;2003-04-09;709200
DVA;6.7300;6.7300;6.7667;6.6833;6.7500;2003-04-10;793500
DVA;6.7967;6.7967;6.8333;6.7500;6.8000;2003-04-11;569700
DVA;6.8200;6.8200;6.8667;6.7667;6.8133;2003-04-14;522900
DVA;6.6967;6.6967;6.8333;6.6733;6.8033;2003-04-15;701700
DVA;6.5067;6.5067;6.7100;6.4500;6.7000;2003-04-16;1590900
DVA;6.6033;6.6033;6.6200;6.4667;6.4667;2003-04-17;592200
DVA;6.6400;6.6400;6.6667;6.5867;6.6667;2003-04-21;484800
DVA;6.6667;6.6667;6.6967;6.5500;6.5833;2003-04-22;633000
DVA;6.8233;6.8233;6.8433;6.6533;6.6700;2003-04-23;891900
DVA;6.8300;6.8300;6.9033;6.7767;6.7900;2003-04-24;434400
DVA;6.7700;6.7700;6.8300;6.7333;6.7333;2003-04-25;350400
DVA;6.8667;6.8667;6.9267;6.8333;6.8333;2003-04-28;734400
DVA;6.8100;6.8100;6.8633;6.7333;6.8167;2003-04-29;669000
DVA;6.8733;6.8733;6.9033;6.7667;6.7667;2003-04-30;662100
DVA;7.0033;7.0033;7.0767;6.9000;6.9067;2003-05-01;1070100
DVA;6.9867;6.9867;7.0267;6.9000;6.9833;2003-05-02;874500
DVA;7.7333;7.7333;7.7700;7.3833;7.5000;2003-05-05;3612000
DVA;7.9700;7.9700;7.9900;7.7667;7.7667;2003-05-06;2080800
DVA;7.9900;7.9900;8.1667;7.8600;7.9700;2003-05-07;1377600
DVA;7.9867;7.9867;8.0500;7.9500;8.0100;2003-05-08;553800
DVA;8.0600;8.0600;8.0600;7.9667;7.9667;2003-05-09;1043100
DVA;8.0333;8.0333;8.0767;8.0000;8.0233;2003-05-12;1119900
DVA;7.9933;7.9933;8.0033;7.9600;8.0000;2003-05-13;685500
DVA;8.0033;8.0033;8.0167;7.8667;7.8667;2003-05-14;1442100
DVA;8.0167;8.0167;8.0467;7.9833;7.9933;2003-05-15;718800
DVA;8.0733;8.0733;8.0800;7.9833;8.0000;2003-05-16;1923000
DVA;7.9733;7.9733;8.0667;7.9567;8.0533;2003-05-19;1594500
DVA;7.9433;7.9433;8.0000;7.9367;7.9667;2003-05-20;480000
DVA;7.9567;7.9567;7.9800;7.8833;7.9667;2003-05-21;909900
DVA;8.0000;8.0000;8.0000;7.9233;7.9900;2003-05-22;636000
DVA;8.0033;8.0033;8.0333;7.9333;7.9733;2003-05-23;446400
DVA;8.0667;8.0667;8.1400;8.0000;8.0367;2003-05-27;780000
DVA;8.0467;8.0467;8.0867;8.0333;8.0867;2003-05-28;606300
DVA;7.9867;7.9867;8.0467;7.9367;8.0300;2003-05-29;511500
DVA;8.0833;8.0833;8.1100;8.0167;8.0200;2003-05-30;768300
DVA;8.3000;8.3000;8.4667;8.2700;8.4167;2003-06-02;3142500
DVA;8.2633;8.2633;8.3300;8.2167;8.3033;2003-06-03;483900
DVA;8.3767;8.3767;8.4467;8.2667;8.3267;2003-06-04;1216500
DVA;8.4000;8.4000;8.4600;8.3033;8.3333;2003-06-05;516300
DVA;8.5333;8.5333;8.6500;8.4267;8.4333;2003-06-06;1067400
DVA;8.5100;8.5100;8.6300;8.5067;8.5833;2003-06-09;757800
DVA;8.5667;8.5667;8.6600;8.5333;8.5333;2003-06-10;1020300
DVA;8.7500;8.7500;8.7767;8.5167;8.6467;2003-06-11;1590900
DVA;8.6767;8.6767;8.9600;8.6333;8.7833;2003-06-12;2662200
DVA;8.8100;8.8100;8.8500;8.6000;8.6000;2003-06-13;1390500
DVA;8.9800;8.9800;8.9833;8.7833;8.8100;2003-06-16;1040400
DVA;8.9133;8.9133;9.0000;8.9000;8.9833;2003-06-17;1904700
DVA;8.8033;8.8033;8.9167;8.7733;8.8967;2003-06-18;1492200
DVA;8.8300;8.8300;8.8833;8.7100;8.7367;2003-06-19;1793700
DVA;8.8800;8.8800;8.9167;8.7667;8.8333;2003-06-20;915900
DVA;8.8667;8.8667;8.8933;8.8567;8.8667;2003-06-23;947400
DVA;8.8667;8.8667;8.8933;8.8200;8.8333;2003-06-24;864000
DVA;8.8067;8.8067;8.9133;8.7333;8.8667;2003-06-25;844200
DVA;8.8233;8.8233;8.8667;8.8100;8.8300;2003-06-26;654000
DVA;8.8100;8.8100;8.8167;8.7500;8.8033;2003-06-27;1042500
DVA;8.9267;8.9267;9.0333;8.8267;8.8267;2003-06-30;3178500
DVA;9.0667;9.0667;9.1400;8.9333;9.0000;2003-07-01;2794200
DVA;9.1933;9.1933;9.2000;9.0633;9.0700;2003-07-02;2517000
DVA;9.1200;9.1200;9.1667;9.1033;9.1667;2003-07-03;588600
DVA;9.1800;9.1800;9.2367;9.0500;9.2000;2003-07-07;1087500
DVA;9.1333;9.1333;9.2100;9.1167;9.1433;2003-07-08;1037100
DVA;9.1233;9.1233;9.1567;9.0300;9.1033;2003-07-09;1538400
DVA;8.9467;8.9467;9.0833;8.9067;9.0833;2003-07-10;2255400
DVA;8.9433;8.9433;8.9933;8.9233;8.9667;2003-07-11;1296900
DVA;8.9933;8.9933;9.0500;8.9367;9.0000;2003-07-14;3168600
DVA;9.1067;9.1067;9.1233;9.0333;9.0500;2003-07-15;916200
DVA;9.4500;9.4500;9.4500;9.1133;9.1300;2003-07-16;2617200
DVA;9.2667;9.2667;9.4167;9.2400;9.4133;2003-07-17;1633200
DVA;9.4233;9.4233;9.4500;9.3333;9.3333;2003-07-18;1101300
DVA;9.4433;9.4433;9.5833;9.4000;9.4500;2003-07-21;1122000
DVA;9.4000;9.4000;9.4867;9.1800;9.4833;2003-07-22;1596600
DVA;9.5033;9.5033;9.5167;9.3967;9.4333;2003-07-23;917100
DVA;9.4567;9.4567;9.5400;9.3833;9.5033;2003-07-24;981000
DVA;9.4700;9.4700;9.4700;9.3333;9.4500;2003-07-25;1197300
DVA;9.5867;9.5867;9.7100;9.5167;9.5833;2003-07-28;1133400
DVA;9.6133;9.6133;9.6500;9.4667;9.5533;2003-07-29;949200
DVA;9.4567;9.4567;9.6167;9.2333;9.6167;2003-07-30;2708100
DVA;9.3333;9.3333;9.5100;9.2100;9.4900;2003-07-31;826800
DVA;9.0000;9.0000;9.3333;8.5333;9.3333;2003-08-01;4304100
DVA;9.1700;9.1700;9.1967;9.0300;9.0300;2003-08-04;1809000
DVA;9.1800;9.1800;9.2000;9.0267;9.2000;2003-08-05;2621100
DVA;9.1667;9.1667;9.2467;9.0667;9.1667;2003-08-06;1317900
DVA;9.2933;9.2933;9.3467;9.0333;9.1667;2003-08-07;1013100
DVA;9.6200;9.6200;9.6333;9.2900;9.2900;2003-08-08;1727100
DVA;9.7000;9.7000;9.7500;9.5500;9.6200;2003-08-11;1017900
DVA;9.6567;9.6567;9.7333;9.6400;9.7333;2003-08-12;738300
DVA;9.6600;9.6600;9.7500;9.6533;9.6667;2003-08-13;901200
DVA;9.6667;9.6667;9.6733;9.5333;9.6267;2003-08-14;570000
DVA;9.7833;9.7833;9.8867;9.6667;9.7333;2003-08-15;947100
