Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
EBAY;7.4697;7.6915;7.7725;7.6126;7.7715;2003-02-04;50077526
EBAY;7.5136;7.7367;7.8525;7.6820;7.7452;2003-02-05;51094454
EBAY;7.4758;7.6978;7.7578;7.6452;7.7262;2003-02-06;38572934
EBAY;7.3951;7.6147;7.7504;7.5368;7.7073;2003-02-07;41779584
EBAY;7.5167;7.7399;7.7546;7.5652;7.6073;2003-02-10;44233517
EBAY;7.5003;7.7231;7.8325;7.6904;7.7546;2003-02-11;34152624
EBAY;7.4942;7.7168;7.8230;7.6904;7.6915;2003-02-12;32125421
EBAY;7.4901;7.7125;7.7441;7.5758;7.7083;2003-02-13;48494160
EBAY;7.6638;7.8914;7.8914;7.6999;7.7294;2003-02-14;48494160
EBAY;7.8161;8.0482;8.0545;7.8862;7.8935;2003-02-18;50544173
EBAY;7.8672;8.1008;8.1071;7.9966;7.9966;2003-02-19;54924566
EBAY;7.8467;8.0798;8.1313;8.0303;8.0861;2003-02-20;34535635
EBAY;8.0061;8.2439;8.2523;8.0335;8.0745;2003-02-21;57495398
EBAY;7.9448;8.1808;8.2597;8.1608;8.2144;2003-02-24;40361587
EBAY;7.9346;8.1702;8.1881;8.0892;8.1218;2003-02-25;45540317
EBAY;7.8355;8.0682;8.1713;8.0587;8.1176;2003-02-26;32324054
EBAY;7.9101;8.1450;8.1545;8.0324;8.1092;2003-02-27;47176906
EBAY;8.0133;8.2513;8.2755;8.1418;8.1439;2003-02-28;42513293
EBAY;7.9244;8.1597;8.3554;8.1545;8.2597;2003-03-03;46267373
EBAY;7.9785;8.2155;8.2586;8.1282;8.1492;2003-03-04;41106701
EBAY;8.0593;8.2986;8.3218;8.1881;8.1944;2003-03-05;39106109
EBAY;8.0582;8.2976;8.3102;8.2355;8.2597;2003-03-06;29307485
EBAY;8.1645;8.4070;8.4238;8.2102;8.2113;2003-03-07;56906150
EBAY;8.1196;8.3607;8.3986;8.3228;8.3386;2003-03-10;38653718
EBAY;8.0593;8.2986;8.4059;8.2765;8.3859;2003-03-11;34689600
EBAY;8.0787;8.3186;8.3228;8.0871;8.2776;2003-03-12;55711498
EBAY;8.4721;8.7237;8.7426;8.3502;8.4017;2003-03-13;99898445
EBAY;8.5743;8.8289;8.8563;8.6942;8.7426;2003-03-14;72034618
EBAY;8.8900;9.1540;9.1751;8.7763;8.7910;2003-03-17;95185411
EBAY;9.0004;9.2677;9.2740;9.0657;9.1561;2003-03-18;76496746
EBAY;8.9789;9.2456;9.2845;9.1214;9.2666;2003-03-19;69808781
EBAY;9.1097;9.3803;9.4024;9.1656;9.2193;2003-03-20;69426720
EBAY;9.1751;9.4476;9.4676;9.2982;9.4381;2003-03-21;70800998
EBAY;8.9462;9.2119;9.3645;9.1593;9.3277;2003-03-24;72732211
EBAY;9.0637;9.3329;9.4318;9.2119;9.2172;2003-03-25;62550576
EBAY;9.2068;9.4802;9.5160;9.2908;9.3203;2003-03-26;92031034
EBAY;9.1741;9.4465;9.4981;9.3697;9.4255;2003-03-27;78418454
EBAY;9.1240;9.3950;9.4655;9.3434;9.4329;2003-03-28;43805837
EBAY;8.7173;8.9762;9.2277;8.8742;9.2098;2003-03-31;131734944
EBAY;8.8001;9.0614;9.1414;8.9973;9.0499;2003-04-01;76508150
EBAY;9.0760;9.3455;9.3634;9.2066;9.2330;2003-04-02;68359421
EBAY;9.1097;9.3803;9.4781;9.3234;9.4139;2003-04-03;63692957
EBAY;9.0658;9.3350;9.4160;9.2708;9.4160;2003-04-04;55032912
EBAY;9.1097;9.3803;9.6181;9.3761;9.5686;2003-04-07;64107331
EBAY;9.1230;9.3939;9.4255;9.3224;9.4013;2003-04-08;51417590
EBAY;8.8859;9.1498;9.3918;9.1014;9.3897;2003-04-09;89068637
EBAY;9.0637;9.3329;9.3497;9.1551;9.1888;2003-04-10;57215030
EBAY;9.0218;9.2898;9.4066;9.2003;9.3445;2003-04-11;42878246
EBAY;8.9656;9.2319;9.2445;9.1025;9.1330;2003-04-14;71663962
EBAY;9.0096;9.2771;9.2982;9.1677;9.1846;2003-04-15;56197152
EBAY;9.0341;9.3024;9.3918;9.2161;9.3603;2003-04-16;55970006
EBAY;9.2170;9.4907;9.5139;9.2656;9.2835;2003-04-17;70560547
EBAY;9.2732;9.5486;9.6801;9.4697;9.5055;2003-04-21;56794003
EBAY;9.1169;9.3876;9.4487;9.3213;9.4329;2003-04-22;113591808
EBAY;9.6380;9.9242;9.9726;9.7348;9.8422;2003-04-23;170541677
EBAY;9.6707;9.9579;9.9958;9.8464;9.8906;2003-04-24;58902941
EBAY;9.5512;9.8348;9.8948;9.7696;9.7854;2003-04-25;73787155
EBAY;9.5655;9.8495;9.8895;9.7391;9.7959;2003-04-28;58137869
EBAY;9.4725;9.7538;9.8516;9.6707;9.8390;2003-04-29;53291779
EBAY;9.4939;9.7759;9.8464;9.6812;9.7022;2003-04-30;54426557
EBAY;9.4725;9.7538;9.8064;9.6949;9.7201;2003-05-01;48779280
EBAY;9.7320;10.0210;10.0368;9.7054;9.7085;2003-05-02;65630822
