Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
EMN;9.8398;16.9750;16.9750;16.7000;16.8750;2003-02-04;1225400
EMN;9.7732;16.8600;17.2050;16.7550;17.0300;2003-02-05;1004600
EMN;9.6311;16.6150;16.9050;16.5000;16.8150;2003-02-06;994800
EMN;9.5268;16.4350;16.7700;16.3700;16.7350;2003-02-07;724600
EMN;9.6224;16.6000;16.6800;16.3550;16.5000;2003-02-10;793600
EMN;9.4254;16.2600;16.7300;16.1750;16.6350;2003-02-11;877400
EMN;9.2225;15.9100;16.4300;15.9000;16.3000;2003-02-12;1049200
EMN;9.3297;16.0950;16.1150;15.7500;15.9250;2003-02-13;927800
EMN;9.3471;16.1250;16.2300;15.8300;16.1350;2003-02-14;550200
EMN;9.5819;16.5300;16.5700;16.2000;16.2000;2003-02-18;956400
EMN;9.4138;16.2400;16.4500;16.1700;16.4050;2003-02-19;635200
EMN;9.2862;16.0200;16.3250;15.9250;16.3000;2003-02-20;609800
EMN;9.4109;16.2350;16.4200;15.9150;15.9750;2003-02-21;567800
EMN;9.2601;15.9750;16.1950;15.9650;16.1950;2003-02-24;571200
EMN;9.2544;15.9650;15.9800;15.5300;15.8250;2003-02-25;1159600
EMN;9.3036;16.0500;16.1450;15.9250;15.9250;2003-02-26;680000
EMN;9.3703;16.1650;16.2850;15.9850;16.0500;2003-02-27;581000
EMN;9.3297;16.0950;16.2850;16.0500;16.2000;2003-02-28;721400
EMN;9.2341;15.9300;16.3050;15.9250;16.2300;2003-03-03;468400
EMN;8.9877;15.5050;15.9500;15.3900;15.9500;2003-03-04;702400
EMN;9.0544;15.6200;15.6250;15.3600;15.5050;2003-03-05;727000
EMN;8.9066;15.3650;15.5850;15.2800;15.5850;2003-03-06;645400
EMN;8.9181;15.3850;15.6050;15.2550;15.3650;2003-03-07;1147800
EMN;8.7356;15.0700;15.4500;15.0550;15.3400;2003-03-10;506400
EMN;8.6022;14.8400;15.2500;14.6000;15.0000;2003-03-11;1507600
EMN;8.2051;13.9450;14.6000;13.8750;14.6000;2003-03-12;2962000
EMN;8.3198;14.1400;14.1700;13.7800;14.1000;2003-03-13;2750600
EMN;8.3933;14.2650;14.3500;14.0150;14.2650;2003-03-14;1506000
EMN;8.7699;14.9050;14.9050;14.1000;14.1750;2003-03-17;1402000
EMN;8.9523;15.2150;15.2150;14.8350;15.0300;2003-03-18;1454400
EMN;9.0965;15.4600;15.4850;15.2400;15.2400;2003-03-19;1175000
EMN;9.0612;15.4000;15.5300;15.1300;15.4600;2003-03-20;1235600
EMN;9.5378;16.2100;16.2600;15.6050;15.6750;2003-03-21;1029600
EMN;9.1053;15.4750;16.2100;15.3350;16.2100;2003-03-24;1179600
EMN;9.1347;15.5250;15.6400;15.3650;15.4800;2003-03-25;868200
EMN;8.9670;15.2400;15.5050;15.1650;15.4750;2003-03-26;1120400
EMN;8.7758;14.9150;15.0850;14.8500;15.0500;2003-03-27;1581000
EMN;8.6934;14.7750;14.9150;14.6500;14.9150;2003-03-28;1419600
