Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
EMR;13.9585;23.5600;23.7850;23.1150;23.4000;2003-02-04;4100200
EMR;13.9348;23.5200;24.0500;23.3800;23.8000;2003-02-05;2864200
EMR;13.5526;22.8750;23.4450;22.7850;23.2750;2003-02-06;2989000
EMR;13.5526;22.8750;23.0000;22.5150;22.9400;2003-02-07;3124600
EMR;13.6711;23.0750;23.1800;22.5150;22.8750;2003-02-10;2753000
EMR;13.5734;22.9100;23.4450;22.8250;23.2000;2003-02-11;3116600
EMR;13.7087;22.9400;23.1150;22.8100;23.0000;2003-02-12;2716400
EMR;13.5593;22.6900;22.9450;22.4500;22.9450;2003-02-13;3386000
EMR;13.7326;22.9800;22.9800;22.3500;22.6250;2003-02-14;2652400
EMR;14.2137;23.7850;23.7850;22.9750;22.9750;2003-02-18;2725600
EMR;14.0643;23.5350;23.7900;23.3200;23.7850;2003-02-19;1943600
EMR;14.0613;23.5300;23.9750;23.3500;23.8750;2003-02-20;2095000
EMR;14.3272;23.9750;23.9750;23.3400;23.6000;2003-02-21;2379400
EMR;14.0015;23.4300;23.8550;23.4200;23.8500;2003-02-24;2675000
EMR;14.1629;23.7000;23.7450;23.0000;23.1500;2003-02-25;2560600
EMR;14.1330;23.6500;23.9200;23.5750;23.7050;2003-02-26;2695200
EMR;14.1659;23.7050;24.0100;23.5500;23.6500;2003-02-27;4069600
EMR;14.0643;23.5350;23.8750;23.3000;23.8400;2003-02-28;2616600
EMR;14.0015;23.4300;23.9400;23.3800;23.7350;2003-03-03;1959600
EMR;13.7326;22.9800;23.4000;22.9700;23.3000;2003-03-04;2836200
EMR;13.9179;23.2900;23.3700;22.9550;23.0750;2003-03-05;2288600
EMR;13.5533;22.6800;23.0750;22.6250;22.8550;2003-03-06;2769200
EMR;14.0195;23.4600;23.6050;22.5150;22.6850;2003-03-07;3730000
EMR;13.5563;22.6850;23.1400;22.6200;23.1000;2003-03-10;2472400
EMR;13.2874;22.2350;22.9750;22.1600;22.6850;2003-03-11;2798000
EMR;13.2755;22.2150;22.4250;21.8900;22.1000;2003-03-12;2982000
EMR;13.9687;23.3750;23.3750;22.4650;22.6250;2003-03-13;2759000
EMR;13.8970;23.2550;23.6750;23.1000;23.4000;2003-03-14;2868800
EMR;14.6350;24.4900;24.5150;23.2000;23.2800;2003-03-17;3977800
EMR;14.5633;24.3700;24.5450;24.1250;24.2500;2003-03-18;2678200
EMR;14.7276;24.6450;24.6900;23.9150;24.2500;2003-03-19;2746000
EMR;14.6021;24.4350;24.5100;23.7300;24.3750;2003-03-20;3371000
EMR;15.0802;25.2350;25.2350;24.1750;24.8250;2003-03-21;3393600
EMR;14.4467;24.1750;24.8500;23.9000;24.6500;2003-03-24;2772800
EMR;14.4796;24.2300;24.3600;23.8000;24.1750;2003-03-25;2752000
EMR;14.3541;24.0200;24.2300;23.7350;24.2300;2003-03-26;2198000
EMR;14.2346;23.8200;23.9600;23.4750;23.8000;2003-03-27;2417200
EMR;13.8282;23.1400;23.6250;22.9750;23.6000;2003-03-28;3038200
EMR;13.5504;22.6750;22.9600;22.4250;22.7500;2003-03-31;3215800
EMR;13.7894;23.0750;23.1950;22.6750;22.7100;2003-04-01;3486000
EMR;14.3362;23.9900;24.0950;23.2950;23.4750;2003-04-02;2691000
EMR;14.3422;24.0000;24.2050;23.7250;24.1000;2003-04-03;2921000
EMR;14.2316;23.8150;24.0300;23.5750;23.9350;2003-04-04;3146400
EMR;14.2167;23.7900;24.3900;23.7250;23.9100;2003-04-07;2985800
EMR;14.1778;23.7250;23.7850;23.4250;23.7000;2003-04-08;2679000
EMR;13.9746;23.3850;24.2200;23.2950;24.2200;2003-04-09;2586200
EMR;14.1629;23.7000;23.7000;23.2750;23.6000;2003-04-10;2732600
EMR;14.0643;23.5350;24.0800;23.4800;23.8250;2003-04-11;2103400
EMR;14.3212;23.9650;24.0000;23.6850;23.7500;2003-04-14;2340800
EMR;14.4378;24.1600;24.2000;23.7750;23.9650;2003-04-15;2793800
EMR;14.1718;23.7150;24.3300;23.7050;24.2250;2003-04-16;1787000
EMR;14.5991;24.4300;24.4550;23.7150;23.7150;2003-04-17;2151200
EMR;14.5961;24.4250;24.5950;24.1800;24.4300;2003-04-21;1703600
EMR;14.9129;24.9550;25.0250;24.1600;24.4000;2003-04-22;2713400
EMR;15.0503;25.1850;25.2350;24.8200;24.9600;2003-04-23;2074600
EMR;15.1549;25.3600;25.4600;24.9300;25.1850;2003-04-24;6061600
EMR;14.8680;24.8800;25.5750;24.7800;25.4250;2003-04-25;4202200
EMR;15.1041;25.2750;25.4050;24.8500;25.0250;2003-04-28;2912000
EMR;15.0652;25.2100;25.2750;24.8250;25.1500;2003-04-29;2459000
EMR;15.1489;25.3500;25.5100;24.8000;25.2150;2003-04-30;3269400
EMR;15.0025;25.1050;25.2500;24.6500;25.2500;2003-05-01;2524600
EMR;15.3342;25.6600;25.6950;24.9550;25.1100;2003-05-02;2900000
EMR;15.2804;25.5700;25.8750;25.2000;25.7850;2003-05-05;2101400
EMR;15.5523;26.0250;26.1800;25.3750;25.5300;2003-05-06;3082800
EMR;14.7007;24.6000;26.0650;24.2500;25.3750;2003-05-07;14295400
EMR;14.3810;24.0650;24.5000;23.6900;24.2000;2003-05-08;6949200
EMR;14.7216;24.6350;24.8850;24.2750;24.4500;2003-05-09;5189200
EMR;14.8501;24.8500;24.9000;24.3550;24.4500;2003-05-12;3451400
EMR;14.8143;24.7900;24.9350;24.5200;24.8550;2003-05-13;2504200
EMR;14.6043;24.2450;24.6000;24.0000;24.5750;2003-05-14;4842400
EMR;14.6977;24.4000;24.6250;24.1750;24.2000;2003-05-15;3492200
EMR;14.6525;24.3250;24.7750;24.3250;24.4000;2003-05-16;5098600
EMR;14.6013;24.2400;24.4600;24.2000;24.3250;2003-05-19;3487400
EMR;14.6555;24.3300;24.6000;24.1050;24.4750;2003-05-20;3969200
EMR;14.7369;24.4650;24.8250;24.0750;24.3000;2003-05-21;3954800
EMR;14.9386;24.8000;24.8450;24.4050;24.4600;2003-05-22;3131400
EMR;14.9386;24.8000;24.9600;24.5600;24.7500;2003-05-23;2513600
EMR;15.3302;25.4500;25.4750;24.5950;24.8050;2003-05-27;3667400
EMR;15.4205;25.6000;25.8200;25.5500;25.5750;2003-05-28;3540400
EMR;15.2639;25.3400;25.7000;25.1150;25.6000;2003-05-29;4237200
EMR;15.7518;26.1500;26.1500;25.4250;25.5000;2003-05-30;3571600
EMR;15.8241;26.2700;26.6750;26.1700;26.2400;2003-06-02;3438600
EMR;16.0831;26.7000;26.8250;26.3350;26.6750;2003-06-03;3747000
EMR;16.2548;26.9850;27.0950;26.5000;26.5450;2003-06-04;3091400
EMR;16.3693;27.1750;27.2350;26.8050;26.8500;2003-06-05;2914400
EMR;16.3873;27.2050;27.6250;27.0400;27.2850;2003-06-06;3612200
EMR;16.1434;26.8000;27.3450;26.8000;27.1600;2003-06-09;2389400
EMR;16.1343;26.7850;26.9150;26.6000;26.8250;2003-06-10;2876600
EMR;16.3271;27.1050;27.1050;26.6750;26.8500;2003-06-11;2160200
EMR;16.1795;26.8600;27.2300;26.5850;27.2300;2003-06-12;3270000
EMR;15.8121;26.2500;26.8650;26.0450;26.8650;2003-06-13;3820400
EMR;16.0892;26.7100;26.7100;25.9750;26.0750;2003-06-16;3248000
EMR;16.0289;26.6100;26.9000;26.2500;26.9000;2003-06-17;2075600
EMR;16.1434;26.8000;26.9750;26.5550;26.6100;2003-06-18;2447600
EMR;16.0681;26.6750;27.0250;26.5600;26.7600;2003-06-19;3393800
EMR;16.0530;26.6500;26.9300;26.5700;26.8000;2003-06-20;2791200
EMR;15.8121;26.2500;26.5500;26.0750;26.5250;2003-06-23;1938000
EMR;15.8030;26.2350;26.4400;26.2000;26.2750;2003-06-24;2436400
EMR;15.6253;25.9400;26.4400;25.9200;26.2150;2003-06-25;3231800
EMR;15.7549;26.1550;26.2500;25.7500;26.0650;2003-06-26;1658600
EMR;15.4928;25.7200;26.2750;25.6000;26.2000;2003-06-27;1826800
EMR;15.3904;25.5500;25.9050;25.3500;25.7200;2003-06-30;2836400
EMR;15.4266;25.6100;25.7000;24.8300;25.2000;2003-07-01;3337400
EMR;15.6525;25.9850;25.9850;25.5000;25.6100;2003-07-02;2774400
EMR;15.6133;25.9200;26.1050;25.6900;25.7500;2003-07-03;1640200
EMR;15.9536;26.4850;26.6350;26.0000;26.1250;2003-07-07;2478400
EMR;16.0560;26.6550;26.8250;26.3750;26.3750;2003-07-08;2194800
EMR;15.9024;26.4000;26.6750;26.1300;26.6600;2003-07-09;2097400
EMR;15.6434;25.9700;26.2550;25.8400;26.2000;2003-07-10;2530800
EMR;15.9085;26.4100;26.5750;25.9750;26.0250;2003-07-11;2872800
EMR;15.8874;26.3750;26.8500;26.3300;26.7400;2003-07-14;2645600
EMR;15.7549;26.1550;26.5250;25.9550;26.3750;2003-07-15;2183600
EMR;15.4808;25.7000;26.2850;25.5000;26.1750;2003-07-16;3341400
EMR;15.5049;25.7400;25.9350;25.5050;25.5250;2003-07-17;3006200
EMR;15.5290;25.7800;25.9900;25.6300;25.7450;2003-07-18;3766600
EMR;15.2007;25.2350;25.7500;25.1800;25.7500;2003-07-21;3522800
EMR;15.2218;25.2700;25.6700;24.9500;25.1750;2003-07-22;4109600
EMR;15.3995;25.5650;25.5750;25.2700;25.5000;2003-07-23;2941800
EMR;15.5410;25.8000;26.2600;25.6000;25.7500;2003-07-24;3243800
EMR;15.8121;26.2500;26.3750;25.6050;25.9250;2003-07-25;3061000
