Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ENPH;7.34;7.34;8.24;7.06;7.50;2012-03-30;5048600
ENPH;7.81;7.81;8.20;7.40;7.65;2012-04-02;495500
ENPH;7.64;7.64;7.80;7.50;7.75;2012-04-03;316600
ENPH;7.45;7.45;7.77;7.31;7.77;2012-04-04;165100
ENPH;7.43;7.43;7.55;7.37;7.48;2012-04-05;104300
ENPH;6.98;6.98;7.89;6.62;7.89;2012-04-09;123300
ENPH;7.07;7.07;7.23;6.97;7.09;2012-04-10;247300
ENPH;7.13;7.13;7.53;7.00;7.25;2012-04-11;161900
ENPH;7.30;7.30;7.56;7.08;7.56;2012-04-12;41700
ENPH;7.10;7.10;7.69;7.00;7.69;2012-04-13;92200
ENPH;7.16;7.16;7.16;6.73;7.15;2012-04-16;70200
ENPH;7.00;7.00;7.15;6.80;7.15;2012-04-17;108600
ENPH;7.29;7.29;7.30;6.82;6.96;2012-04-18;54300
ENPH;7.04;7.04;7.29;7.00;7.21;2012-04-19;23100
ENPH;7.02;7.02;7.19;7.02;7.05;2012-04-20;32500
ENPH;6.98;6.98;7.20;6.85;7.00;2012-04-23;15600
ENPH;6.91;6.91;7.12;6.84;7.09;2012-04-24;86000
ENPH;6.88;6.88;6.96;6.84;6.94;2012-04-25;21400
ENPH;6.86;6.86;6.90;6.80;6.90;2012-04-26;15000
ENPH;6.75;6.75;6.85;6.75;6.84;2012-04-27;24000
ENPH;7.28;7.28;7.45;7.09;7.20;2012-04-30;259800
ENPH;7.92;7.92;8.10;7.18;7.50;2012-05-01;362400
ENPH;8.00;8.00;8.00;7.75;8.00;2012-05-02;66000
ENPH;8.82;8.82;9.57;7.95;8.09;2012-05-03;278900
ENPH;8.36;8.36;9.45;7.57;8.79;2012-05-04;171100
ENPH;8.34;8.34;8.40;7.73;8.37;2012-05-07;87500
ENPH;8.48;8.48;8.71;8.04;8.30;2012-05-08;87300
ENPH;8.65;8.65;8.89;8.22;8.61;2012-05-09;116900
ENPH;8.60;8.60;8.94;8.30;8.94;2012-05-10;81000
ENPH;8.43;8.43;8.74;8.37;8.74;2012-05-11;40900
ENPH;8.22;8.22;8.64;8.09;8.40;2012-05-14;85000
ENPH;8.40;8.40;8.53;8.22;8.27;2012-05-15;20800
