Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
EQIX;2.7411;3.35;3.52;3.18;3.18;2003-02-04;9400
EQIX;3.3875;4.14;4.49;3.46;3.46;2003-02-05;59600
EQIX;3.0766;3.76;4.20;3.71;4.14;2003-02-06;49900
EQIX;3.0684;3.75;3.96;3.75;3.87;2003-02-07;16600
EQIX;3.0193;3.69;3.79;3.63;3.76;2003-02-10;25500
EQIX;3.3139;4.05;4.05;3.66;3.66;2003-02-11;52600
EQIX;3.1666;3.87;4.09;3.87;4.00;2003-02-12;9200
EQIX;3.2730;4.00;4.02;3.86;3.86;2003-02-13;11800
EQIX;3.1911;3.90;4.06;3.90;4.06;2003-02-14;7900
EQIX;3.2157;3.93;3.93;3.86;3.87;2003-02-18;26300
EQIX;3.1993;3.91;4.09;3.89;3.94;2003-02-19;63300
EQIX;3.2566;3.98;4.04;3.88;3.95;2003-02-20;17400
EQIX;3.1584;3.86;3.95;3.86;3.93;2003-02-21;13900
EQIX;3.1584;3.86;4.06;3.86;3.88;2003-02-24;37600
EQIX;3.0275;3.70;3.89;3.70;3.89;2003-02-25;16500
EQIX;2.9293;3.58;3.79;3.51;3.76;2003-02-26;19300
EQIX;2.7820;3.40;3.59;3.40;3.59;2003-02-27;15500
EQIX;2.8229;3.45;3.65;3.36;3.36;2003-02-28;56900
EQIX;2.7902;3.41;3.58;3.40;3.42;2003-03-03;54300
EQIX;3.2402;3.96;3.96;3.41;3.50;2003-03-04;87600
EQIX;2.7575;3.37;4.01;3.10;4.01;2003-03-05;68900
EQIX;2.6593;3.25;3.44;3.25;3.25;2003-03-06;60200
EQIX;2.5529;3.12;3.32;3.10;3.28;2003-03-07;47700
EQIX;2.7247;3.33;3.47;3.13;3.14;2003-03-10;67300
EQIX;2.8229;3.45;3.60;3.40;3.42;2003-03-11;43100
EQIX;2.8884;3.53;3.60;3.45;3.45;2003-03-12;8300
EQIX;3.1257;3.82;3.84;3.45;3.45;2003-03-13;16000
EQIX;3.0520;3.73;3.73;3.70;3.70;2003-03-14;2300
EQIX;3.2893;4.02;4.38;3.62;3.73;2003-03-17;112000
EQIX;3.3057;4.04;4.10;3.90;3.90;2003-03-18;28200
EQIX;3.2893;4.02;4.17;3.93;3.93;2003-03-19;12800
EQIX;3.2730;4.00;4.05;3.81;4.01;2003-03-20;32500
EQIX;3.1584;3.86;4.00;3.75;4.00;2003-03-21;11800
EQIX;2.9457;3.60;3.80;3.52;3.80;2003-03-24;35000
EQIX;2.8884;3.53;3.94;3.53;3.62;2003-03-25;45500
EQIX;2.6184;3.20;3.62;3.18;3.60;2003-03-26;38400
EQIX;2.5365;3.10;3.50;2.85;3.50;2003-03-27;78500
EQIX;2.4793;3.03;3.03;2.95;3.01;2003-03-28;47600
EQIX;2.4138;2.95;3.05;2.95;3.05;2003-03-31;21400
EQIX;2.4220;2.96;3.07;2.95;3.04;2003-04-01;19700
EQIX;2.4465;2.99;3.00;2.85;3.00;2003-04-02;30600
EQIX;2.5120;3.07;3.31;2.95;2.97;2003-04-03;126000
EQIX;2.5693;3.14;3.43;2.90;3.28;2003-04-04;114500
EQIX;2.5365;3.10;3.38;3.09;3.38;2003-04-07;53300
EQIX;2.4138;2.95;3.17;2.90;3.15;2003-04-08;21600
EQIX;2.4547;3.00;3.10;2.93;2.93;2003-04-09;10100
EQIX;2.3729;2.90;3.10;2.90;2.94;2003-04-10;13500
EQIX;2.4138;2.95;3.01;2.90;2.96;2003-04-11;6200
EQIX;2.4793;3.03;3.10;3.00;3.04;2003-04-14;21800
EQIX;2.6593;3.25;3.25;2.99;2.99;2003-04-15;10900
EQIX;2.4547;3.00;3.19;3.00;3.15;2003-04-16;168200
EQIX;2.4547;3.00;3.12;3.00;3.00;2003-04-17;9700
EQIX;2.6266;3.21;3.24;3.03;3.19;2003-04-21;15400
EQIX;2.6102;3.19;3.25;3.10;3.15;2003-04-22;24400
EQIX;2.5938;3.17;3.20;3.10;3.16;2003-04-23;11100
EQIX;2.5365;3.10;3.16;3.10;3.11;2003-04-24;2800
EQIX;2.6102;3.19;3.20;3.10;3.10;2003-04-25;7400
EQIX;2.6184;3.20;3.20;3.10;3.10;2003-04-28;11800
EQIX;2.5775;3.15;3.24;3.11;3.14;2003-04-29;7700
EQIX;2.6593;3.25;3.35;3.20;3.22;2003-04-30;87300
EQIX;2.7738;3.39;3.41;3.30;3.30;2003-05-01;24700
EQIX;3.3139;4.05;4.06;3.42;3.42;2003-05-02;42300
EQIX;4.4021;5.38;5.42;3.89;3.89;2003-05-05;142400
EQIX;4.0830;4.99;5.80;4.75;5.38;2003-05-06;134900
EQIX;3.6821;4.50;4.97;4.25;4.85;2003-05-07;62000
EQIX;3.3548;4.10;4.62;4.10;4.55;2003-05-08;72300
EQIX;3.4366;4.20;4.30;3.74;4.10;2003-05-09;154700
EQIX;3.7475;4.58;4.60;4.19;4.20;2003-05-12;40800
EQIX;3.7639;4.60;4.73;4.31;4.60;2003-05-13;29800
EQIX;4.2876;5.24;5.54;4.35;4.58;2003-05-14;221700
EQIX;4.3121;5.27;5.43;5.06;5.20;2003-05-15;89400
EQIX;4.6640;5.70;5.96;5.10;5.73;2003-05-16;92800
EQIX;4.2958;5.25;5.59;5.00;5.36;2003-05-19;54500
EQIX;4.5003;5.50;5.60;5.16;5.28;2003-05-20;210500
EQIX;4.5003;5.50;5.61;5.34;5.50;2003-05-21;78500
EQIX;4.7294;5.78;5.81;5.40;5.60;2003-05-22;93100
EQIX;5.0731;6.20;6.74;5.76;5.80;2003-05-23;212800
EQIX;6.2023;7.58;7.65;6.39;6.48;2003-05-27;201800
EQIX;6.7832;8.29;9.00;7.11;7.58;2003-05-28;266800
EQIX;6.8405;8.36;8.63;8.20;8.45;2003-05-29;145600
EQIX;6.8078;8.32;8.56;8.02;8.20;2003-05-30;112500
EQIX;6.9469;8.49;8.80;8.31;8.31;2003-06-02;72200
EQIX;6.8323;8.35;8.62;8.32;8.34;2003-06-03;22600
EQIX;6.3577;7.77;8.49;7.56;8.35;2003-06-04;73500
EQIX;6.5868;8.05;8.22;7.66;7.80;2003-06-05;42100
EQIX;6.6278;8.10;9.17;7.86;8.05;2003-06-06;41400
EQIX;6.3823;7.80;8.74;7.36;8.00;2003-06-09;93200
EQIX;6.2923;7.69;7.80;7.40;7.45;2003-06-10;31100
EQIX;6.8732;8.40;8.50;7.50;7.69;2003-06-11;45400
EQIX;6.9632;8.51;8.65;8.31;8.51;2003-06-12;11800
EQIX;6.7341;8.23;8.50;8.04;8.49;2003-06-13;27200
EQIX;6.8814;8.41;8.70;8.11;8.23;2003-06-16;17700
EQIX;7.2414;8.85;9.06;8.60;8.75;2003-06-17;49600
EQIX;7.6096;9.30;9.80;8.85;8.88;2003-06-18;69700
EQIX;7.2824;8.90;9.49;8.68;9.49;2003-06-19;51200
EQIX;7.4051;9.05;9.14;8.67;9.14;2003-06-20;38600
EQIX;7.8551;9.60;9.69;9.14;9.14;2003-06-23;110500
EQIX;8.3379;10.19;10.45;9.65;9.75;2003-06-24;110100
EQIX;8.5097;10.40;10.64;10.20;10.27;2003-06-25;76200
EQIX;7.4460;9.10;10.67;8.90;10.11;2003-06-26;92800
EQIX;7.2005;8.80;9.96;8.45;9.56;2003-06-27;139900
EQIX;6.4232;7.85;9.00;7.61;9.00;2003-06-30;171400
EQIX;6.5705;8.03;8.20;7.50;7.61;2003-07-01;62700
EQIX;7.1596;8.75;8.86;8.00;8.00;2003-07-02;45100
EQIX;7.1596;8.75;8.80;8.41;8.65;2003-07-03;16300
EQIX;7.3805;9.02;9.46;8.60;8.79;2003-07-07;52400
EQIX;7.7733;9.50;9.50;9.09;9.43;2003-07-08;26300
EQIX;8.2561;10.09;10.20;9.37;9.50;2003-07-09;45600
EQIX;8.1824;10.00;10.01;9.62;10.00;2003-07-10;21800
EQIX;8.4197;10.29;10.30;9.85;10.00;2003-07-11;39700
EQIX;8.4279;10.30;10.53;10.10;10.10;2003-07-14;36600
EQIX;8.6161;10.53;10.53;10.22;10.22;2003-07-15;45100
EQIX;10.4817;12.81;12.90;10.44;10.50;2003-07-16;224600
EQIX;10.5962;12.95;13.00;11.58;12.33;2003-07-17;118900
EQIX;10.5390;12.88;13.50;12.80;12.95;2003-07-18;117600
EQIX;10.2771;12.56;13.00;12.25;12.88;2003-07-21;52200
EQIX;11.1117;13.58;13.70;12.25;12.25;2003-07-22;56400
EQIX;14.3274;17.51;17.55;13.51;13.70;2003-07-23;203600
EQIX;15.7757;19.28;20.25;16.84;17.68;2003-07-24;271000
EQIX;15.5466;19.00;19.40;18.15;19.00;2003-07-25;141200
EQIX;16.3485;19.98;20.00;18.25;18.60;2003-07-28;80500
EQIX;15.3339;18.74;20.10;18.17;20.09;2003-07-29;66000
EQIX;15.8739;19.40;19.95;18.09;19.47;2003-07-30;122000
EQIX;15.5875;19.05;20.25;18.50;20.00;2003-07-31;108900
EQIX;11.9545;14.61;18.00;14.50;17.75;2003-08-01;346900
EQIX;13.8201;16.89;17.24;14.90;14.90;2003-08-04;228600
EQIX;13.0182;15.91;17.43;15.65;16.48;2003-08-05;129000
EQIX;12.2736;15.00;16.15;14.60;15.97;2003-08-06;95900
EQIX;10.7844;13.18;15.10;13.00;15.00;2003-08-07;149900
EQIX;10.5471;12.89;13.84;12.00;12.67;2003-08-08;193900
EQIX;11.9054;14.55;14.81;12.90;12.97;2003-08-11;73200
EQIX;11.4145;13.95;14.83;13.95;14.83;2003-08-12;51100
EQIX;11.2345;13.73;14.03;13.41;14.03;2003-08-13;50700
EQIX;11.0463;13.50;13.77;13.08;13.63;2003-08-14;35700
EQIX;11.5372;14.10;14.55;13.43;13.53;2003-08-15;19500
EQIX;13.0019;15.89;16.10;14.10;14.35;2003-08-18;166300
EQIX;12.9037;15.77;16.00;15.17;15.92;2003-08-19;30100
EQIX;13.8692;16.95;16.98;15.61;15.64;2003-08-20;92500
EQIX;14.4665;17.68;18.15;16.96;16.97;2003-08-21;105400
EQIX;14.0574;17.18;18.00;17.13;17.45;2003-08-22;126200
EQIX;14.8184;18.11;18.50;17.60;17.65;2003-08-25;179900
EQIX;14.4502;17.66;18.00;17.17;17.88;2003-08-26;24300
EQIX;15.1784;18.55;18.73;17.59;17.59;2003-08-27;104600
EQIX;14.8838;18.19;18.75;18.00;18.75;2003-08-28;48100
EQIX;15.1702;18.54;18.55;17.50;18.11;2003-08-29;48400
EQIX;15.7102;19.20;19.20;17.50;18.00;2003-09-02;90600
EQIX;15.1538;18.52;20.29;18.27;18.55;2003-09-03;199400
EQIX;16.1275;19.71;20.00;18.27;18.58;2003-09-04;101900
EQIX;16.1275;19.71;19.95;19.63;19.75;2003-09-05;62800
EQIX;15.8575;19.38;19.62;18.50;18.73;2003-09-08;102400
EQIX;15.5875;19.05;19.51;18.80;19.49;2003-09-09;116900
EQIX;15.5875;19.05;19.58;18.84;19.20;2003-09-10;127600
EQIX;15.5711;19.03;19.45;18.90;18.98;2003-09-11;45200
EQIX;15.7512;19.25;19.29;18.92;19.00;2003-09-12;31000
EQIX;15.6530;19.13;19.30;18.01;18.08;2003-09-15;73300
