Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ES;7.8459;14.23;14.40;14.10;14.40;2003-02-04;380900
ES;7.7687;14.09;14.50;14.09;14.23;2003-02-05;380300
ES;7.9065;14.34;14.39;14.10;14.10;2003-02-06;365200
ES;7.7466;14.05;14.26;14.00;14.25;2003-02-07;281500
ES;7.8349;14.21;14.27;14.00;14.09;2003-02-10;313800
ES;7.7191;14.00;14.27;13.94;14.21;2003-02-11;381700
ES;7.5537;13.70;14.00;13.69;13.90;2003-02-12;401300
ES;7.7025;13.97;14.05;13.61;13.65;2003-02-13;675400
ES;7.7191;14.00;14.17;13.93;13.97;2003-02-14;495500
ES;7.8293;14.20;14.30;14.09;14.10;2003-02-18;351100
ES;7.8073;14.16;14.27;14.11;14.15;2003-02-19;355100
ES;7.8624;14.26;14.33;14.18;14.25;2003-02-20;279400
ES;7.8790;14.29;14.40;14.25;14.30;2003-02-21;564900
ES;7.6915;13.95;14.25;13.95;14.25;2003-02-24;492700
ES;7.7963;14.14;14.14;13.95;14.00;2003-02-25;571200
ES;7.7673;13.95;14.07;13.85;14.00;2003-02-26;1825400
ES;7.7673;13.95;14.21;13.95;14.05;2003-02-27;595800
ES;7.7951;14.00;14.11;13.92;14.05;2003-02-28;401500
ES;7.8453;14.09;14.21;13.97;13.97;2003-03-03;427000
ES;7.8787;14.15;14.22;14.02;14.02;2003-03-04;575300
ES;7.8787;14.15;14.23;14.05;14.14;2003-03-05;411100
ES;7.9065;14.20;14.25;14.00;14.09;2003-03-06;444400
ES;7.9065;14.20;14.26;14.07;14.10;2003-03-07;628600
ES;7.8286;14.06;14.18;14.05;14.15;2003-03-10;1029700
ES;7.4889;13.45;14.00;13.41;13.99;2003-03-11;1641500
ES;7.4499;13.38;13.51;13.19;13.41;2003-03-12;856300
ES;7.5502;13.56;13.67;13.16;13.48;2003-03-13;948900
ES;7.6225;13.69;13.79;13.50;13.57;2003-03-14;713500
ES;7.7896;13.99;14.15;13.83;13.85;2003-03-17;621700
ES;7.9065;14.20;14.41;14.00;14.00;2003-03-18;1096400
ES;7.6560;13.75;14.20;13.62;14.20;2003-03-19;992800
ES;7.6782;13.79;13.96;13.68;13.82;2003-03-20;724800
ES;7.7951;14.00;14.05;13.70;13.85;2003-03-21;663700
ES;7.7228;13.87;14.00;13.73;13.99;2003-03-24;402700
ES;7.8397;14.08;14.10;13.95;13.97;2003-03-25;355000
ES;7.8230;14.05;14.19;14.00;14.03;2003-03-26;201700
ES;7.8063;14.02;14.20;14.00;14.03;2003-03-27;241900
ES;7.7840;13.98;14.05;13.89;14.00;2003-03-28;815800
ES;7.7506;13.92;14.20;13.88;13.98;2003-03-31;536800
ES;7.8787;14.15;14.19;13.91;14.15;2003-04-01;687300
ES;7.9232;14.23;14.28;14.02;14.15;2003-04-02;355000
ES;7.7840;13.98;14.27;13.92;14.20;2003-04-03;671100
ES;7.8954;14.18;14.20;14.01;14.01;2003-04-04;369100
ES;7.7951;14.00;14.49;14.00;14.28;2003-04-07;286100
ES;7.9343;14.25;14.28;14.00;14.00;2003-04-08;255900
ES;7.9399;14.26;14.45;14.21;14.25;2003-04-09;489000
ES;8.0067;14.38;14.39;14.20;14.22;2003-04-10;198800
ES;7.9511;14.28;14.45;14.13;14.33;2003-04-11;253000
ES;8.0346;14.43;14.55;14.25;14.25;2003-04-14;358100
ES;8.1125;14.57;14.57;14.37;14.43;2003-04-15;414700
ES;8.1292;14.60;14.62;14.43;14.53;2003-04-16;307800
ES;8.0958;14.54;14.70;14.46;14.60;2003-04-17;373700
ES;8.1459;14.63;14.65;14.51;14.54;2003-04-21;156900
ES;8.2072;14.74;15.05;14.65;15.05;2003-04-22;623100
ES;8.1292;14.60;14.79;14.57;14.71;2003-04-23;465000
