Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ETSY;30.00;30.00;35.7400;28.22;31.00;2015-04-16;19763300
ETSY;27.58;27.58;30.3000;26.51;29.77;2015-04-17;3965500
ETSY;24.90;24.90;28.9000;24.87;28.77;2015-04-20;3076200
ETSY;25.75;25.75;26.0400;24.56;24.97;2015-04-21;2184700
ETSY;25.12;25.12;26.2400;24.95;26.00;2015-04-22;1442500
ETSY;25.62;25.62;25.7400;24.08;24.93;2015-04-23;1298100
ETSY;25.58;25.58;25.7000;25.00;25.55;2015-04-24;532800
ETSY;25.90;25.90;26.4700;25.21;25.70;2015-04-27;731300
ETSY;24.49;24.49;25.9000;24.18;25.75;2015-04-28;954100
ETSY;22.42;22.42;24.9690;22.32;24.49;2015-04-29;1674500
ETSY;22.24;22.24;23.1800;21.82;22.66;2015-04-30;1221500
ETSY;21.75;21.75;23.0000;21.27;22.25;2015-05-01;687300
ETSY;23.24;23.24;23.2850;21.75;21.75;2015-05-04;648600
ETSY;24.15;24.15;24.3200;21.90;23.22;2015-05-05;1064700
ETSY;23.40;23.40;25.4200;23.03;24.15;2015-05-06;1290700
ETSY;23.69;23.69;24.4200;22.72;23.40;2015-05-07;616600
ETSY;22.71;22.71;24.1000;22.50;23.93;2015-05-08;784000
ETSY;20.85;20.85;21.4900;20.02;20.71;2015-05-11;2115100
ETSY;20.57;20.57;21.4500;20.36;21.23;2015-05-12;1140300
ETSY;19.83;19.83;20.7800;19.50;20.50;2015-05-13;1536000
ETSY;20.60;20.60;20.7500;19.62;19.83;2015-05-14;1043600
ETSY;20.05;20.05;20.8200;19.51;20.56;2015-05-15;1177100
ETSY;20.56;20.56;20.7500;19.15;19.51;2015-05-18;1211100
ETSY;21.00;21.00;21.3100;19.66;20.56;2015-05-19;2015100
ETSY;17.20;17.20;17.3200;15.70;16.90;2015-05-20;11105200
ETSY;17.51;17.51;17.6900;16.91;17.37;2015-05-21;2318100
ETSY;17.17;17.17;18.1500;17.00;17.82;2015-05-22;2012100
ETSY;17.09;17.09;17.3000;16.18;16.59;2015-05-26;1797400
ETSY;17.06;17.06;17.6300;16.85;17.02;2015-05-27;878600
ETSY;17.04;17.04;17.1000;16.72;16.95;2015-05-28;489100
ETSY;16.76;16.76;17.1000;16.50;17.00;2015-05-29;940400
ETSY;16.05;16.05;16.7700;16.00;16.76;2015-06-01;858400
ETSY;15.86;15.86;16.1000;15.73;15.98;2015-06-02;763000
ETSY;15.32;15.32;15.8750;14.96;15.70;2015-06-03;1432900
ETSY;15.07;15.07;15.6300;15.00;15.25;2015-06-04;808000
ETSY;15.03;15.03;15.2800;14.64;15.15;2015-06-05;712400
ETSY;14.86;14.86;15.1300;14.68;14.95;2015-06-08;500400
ETSY;15.99;15.99;16.2500;15.01;15.11;2015-06-09;2273800
ETSY;16.78;16.78;18.4200;16.01;16.05;2015-06-10;3384300
ETSY;16.86;16.86;17.6830;16.75;17.08;2015-06-11;1418000
ETSY;16.64;16.64;17.1400;16.32;16.75;2015-06-12;747300
ETSY;16.32;16.32;17.1000;16.14;16.20;2015-06-15;1088400
ETSY;16.29;16.29;16.8900;16.20;16.51;2015-06-16;767500
ETSY;15.77;15.77;16.4900;15.65;16.30;2015-06-17;1427400
ETSY;15.33;15.33;15.8700;14.90;15.77;2015-06-18;1386600
ETSY;14.31;14.31;15.3900;14.30;15.26;2015-06-19;2590300
ETSY;14.42;14.42;14.7200;13.78;14.38;2015-06-22;1536400
ETSY;14.34;14.34;14.8000;14.13;14.45;2015-06-23;916600
ETSY;14.39;14.39;14.5900;14.17;14.33;2015-06-24;841800
ETSY;14.90;14.90;14.9600;14.20;14.43;2015-06-25;873800
ETSY;14.25;14.25;14.5700;13.95;14.28;2015-06-26;4215900
ETSY;14.23;14.23;14.3100;13.91;14.00;2015-06-29;1251400
ETSY;14.05;14.05;14.4240;13.95;14.30;2015-06-30;1508100
ETSY;14.01;14.01;14.4800;13.96;14.13;2015-07-01;1764900
ETSY;13.27;13.27;14.2400;12.81;14.00;2015-07-02;1977500
ETSY;13.40;13.40;13.4600;12.80;13.46;2015-07-06;1435000
ETSY;13.32;13.32;13.5300;13.00;13.51;2015-07-07;1030700
ETSY;14.55;14.55;14.5600;13.10;13.17;2015-07-08;961000
ETSY;16.20;16.20;16.2500;14.60;14.61;2015-07-09;1936500
ETSY;16.53;16.53;17.2900;15.82;16.25;2015-07-10;1260300
ETSY;16.03;16.03;16.9000;15.62;16.65;2015-07-13;715300
ETSY;16.51;16.51;17.0200;16.00;16.10;2015-07-14;519800
ETSY;16.82;16.82;17.1500;16.41;16.58;2015-07-15;1070600
ETSY;16.83;16.83;17.3000;16.32;16.90;2015-07-16;988000
ETSY;21.98;21.98;23.4400;16.57;16.94;2015-07-17;11961100
ETSY;19.56;19.56;20.9700;18.92;20.44;2015-07-20;3561300
ETSY;18.98;18.98;20.3800;18.61;19.55;2015-07-21;1733600
ETSY;18.45;18.45;19.4600;18.02;18.82;2015-07-22;869300
ETSY;18.44;18.44;19.1400;17.77;18.37;2015-07-23;1156300
ETSY;19.31;19.31;19.8900;18.16;18.31;2015-07-24;1292100
ETSY;18.30;18.30;19.4700;18.16;19.28;2015-07-27;645500
ETSY;18.65;18.65;19.1500;18.31;18.47;2015-07-28;955000
ETSY;18.98;18.98;19.4500;18.25;18.70;2015-07-29;874700
ETSY;21.20;21.20;21.6580;18.90;18.96;2015-07-30;2323700
ETSY;20.84;20.84;21.9000;20.41;21.30;2015-07-31;1922600
ETSY;20.50;20.50;21.4800;19.85;21.00;2015-08-03;1829700
ETSY;19.23;19.23;20.5900;18.81;20.36;2015-08-04;3028600
ETSY;13.78;13.78;16.2800;13.63;15.62;2015-08-05;4141900
ETSY;13.59;13.59;13.9100;13.06;13.82;2015-08-06;2053600
ETSY;13.44;13.44;13.7700;13.21;13.54;2015-08-07;1105000
ETSY;14.29;14.29;14.3400;13.30;13.52;2015-08-10;679500
ETSY;16.01;16.01;16.1000;13.86;14.19;2015-08-11;1200900
ETSY;16.88;16.88;18.5700;15.56;16.00;2015-08-12;2096400
ETSY;16.99;16.99;17.7300;16.45;16.99;2015-08-13;1288500
ETSY;17.08;17.08;17.6500;16.65;17.07;2015-08-14;1143200
ETSY;17.35;17.35;17.6400;16.50;17.54;2015-08-17;1132300
