Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
EXPE;31.6408;48.04;49.20;47.84;48.22;2005-07-21;109200
EXPE;32.7473;49.72;49.80;47.90;49.24;2005-07-22;56800
EXPE;31.9306;48.48;49.80;48.30;49.80;2005-07-25;39600
EXPE;31.6145;48.00;48.70;47.50;48.70;2005-07-26;102450
EXPE;31.7067;48.14;48.24;47.30;48.00;2005-07-27;98100
EXPE;31.6804;48.10;48.24;47.82;48.20;2005-07-28;93600
EXPE;32.0624;48.68;48.70;47.70;48.20;2005-07-29;60700
EXPE;32.0755;48.70;49.00;48.20;48.46;2005-08-01;164950
EXPE;31.6804;48.10;52.00;47.28;52.00;2005-08-02;299700
EXPE;31.4169;47.70;48.54;47.52;48.54;2005-08-03;147750
EXPE;31.0876;47.20;47.78;46.70;47.54;2005-08-04;141200
EXPE;30.7846;46.74;47.38;46.30;47.38;2005-08-05;207050
EXPE;29.6386;45.00;47.30;42.52;47.00;2005-08-08;6384200
EXPE;31.4169;47.70;47.70;45.04;46.54;2005-08-09;4870350
EXPE;31.2193;47.40;49.04;47.34;48.38;2005-08-10;2559000
EXPE;30.1260;45.74;47.56;45.56;47.16;2005-08-11;1705150
EXPE;29.3751;44.60;45.50;43.00;45.46;2005-08-12;1688950
EXPE;28.2423;42.88;45.16;42.60;45.00;2005-08-15;1489850
EXPE;28.2554;42.90;43.20;41.38;42.58;2005-08-16;2345600
EXPE;28.5716;43.38;43.98;42.30;42.36;2005-08-17;1120650
EXPE;28.6506;43.50;44.00;42.58;42.58;2005-08-18;1339950
EXPE;28.5189;43.30;43.80;43.08;43.22;2005-08-19;736700
EXPE;28.4530;43.20;43.60;42.40;43.40;2005-08-22;1630650
EXPE;28.2554;42.90;43.28;42.42;42.76;2005-08-23;1077250
EXPE;28.4530;43.20;43.56;42.44;42.60;2005-08-24;1159600
EXPE;29.1907;44.32;44.62;42.86;42.86;2005-08-25;789650
EXPE;29.1248;44.22;45.06;43.80;44.28;2005-08-26;539950
EXPE;29.4278;44.68;45.00;43.80;44.10;2005-08-29;465050
EXPE;29.5068;44.80;45.00;44.00;44.08;2005-08-30;606100
EXPE;29.3224;44.52;44.86;44.00;44.54;2005-08-31;826950
EXPE;29.2697;44.44;44.88;44.12;44.28;2005-09-01;740500
EXPE;29.4673;44.74;45.26;43.44;44.38;2005-09-02;918500
EXPE;29.0985;44.18;45.10;43.38;43.38;2005-09-06;1242250
EXPE;29.3488;44.56;45.18;43.82;43.90;2005-09-07;683450
EXPE;29.5727;44.90;45.94;44.04;44.34;2005-09-08;640200
EXPE;29.0590;44.12;44.70;43.50;44.00;2005-09-09;1995900
EXPE;29.1117;44.20;45.58;43.90;43.90;2005-09-12;1010650
EXPE;29.0721;44.14;44.82;44.00;44.68;2005-09-13;748300
EXPE;28.7428;43.64;44.28;43.50;43.88;2005-09-14;727350
EXPE;28.2028;42.82;43.70;42.10;43.46;2005-09-15;1261450
EXPE;27.6627;42.00;42.92;41.50;42.50;2005-09-16;951900
EXPE;27.7285;42.10;42.62;41.52;41.60;2005-09-19;1082050
EXPE;27.5836;41.88;42.14;41.52;42.14;2005-09-20;665300
EXPE;27.2016;41.30;43.00;37.22;42.88;2005-09-21;896600
EXPE;26.6747;40.50;41.34;39.26;41.32;2005-09-22;972650
EXPE;26.4508;40.16;40.60;39.50;40.58;2005-09-23;690250
EXPE;26.3981;40.08;40.66;39.80;40.06;2005-09-26;765550
EXPE;26.2400;39.84;40.54;39.30;40.08;2005-09-27;676500
EXPE;25.9897;39.46;39.86;39.28;39.76;2005-09-28;651600
EXPE;26.3717;40.04;40.22;39.08;39.22;2005-09-29;1144150
EXPE;26.0951;39.62;39.98;39.04;39.30;2005-09-30;1072950
EXPE;26.8855;40.82;42.50;40.40;40.82;2005-10-03;1023300
EXPE;27.1226;41.18;42.04;40.80;40.88;2005-10-04;672800
EXPE;26.4640;40.18;41.54;39.84;41.20;2005-10-05;538700
EXPE;26.3981;40.08;40.60;39.32;40.60;2005-10-06;367750
EXPE;26.4771;40.20;40.80;39.44;39.84;2005-10-07;546500
EXPE;26.7406;40.60;41.00;39.80;40.00;2005-10-10;442300
EXPE;26.4113;40.10;41.16;39.80;40.62;2005-10-11;446050
EXPE;25.8844;39.30;40.50;39.08;39.90;2005-10-12;620350
EXPE;26.0293;39.52;39.82;38.60;39.04;2005-10-13;621500
EXPE;26.5298;40.28;41.92;39.40;39.62;2005-10-14;479800
EXPE;26.8987;40.84;41.00;39.50;40.16;2005-10-17;600700
EXPE;26.1742;39.74;41.16;39.40;40.94;2005-10-18;300700
EXPE;25.8053;39.18;39.98;38.90;39.70;2005-10-19;467450
EXPE;25.6868;39.00;39.40;37.96;39.04;2005-10-20;588100
EXPE;25.7921;39.16;39.88;38.42;38.72;2005-10-21;417250
EXPE;25.3838;38.54;39.24;37.72;39.24;2005-10-24;794050
EXPE;24.8042;37.66;38.48;37.50;38.18;2005-10-25;491150
EXPE;24.6856;37.48;38.06;37.02;37.62;2005-10-26;471600
EXPE;24.8042;37.66;38.20;37.40;38.16;2005-10-27;572650
EXPE;24.7383;37.56;37.78;37.16;37.18;2005-10-28;607300
EXPE;24.8305;37.70;38.46;36.98;37.22;2005-10-31;903800
EXPE;25.0808;38.08;38.38;37.36;37.36;2005-11-01;820850
EXPE;25.5550;38.80;39.08;37.60;37.88;2005-11-02;824000
EXPE;27.2807;41.42;41.94;40.26;41.00;2005-11-03;2266850
EXPE;29.9415;45.46;48.24;44.40;46.96;2005-11-04;4354650
EXPE;29.8098;45.26;45.74;44.12;45.60;2005-11-07;723600
EXPE;29.7571;45.18;45.80;43.80;44.84;2005-11-08;704750
EXPE;29.3751;44.60;45.58;44.04;45.24;2005-11-09;823250
EXPE;28.9799;44.00;44.92;43.82;44.20;2005-11-10;647100
EXPE;28.3213;43.00;44.24;42.76;43.98;2005-11-11;686900
EXPE;28.4135;43.14;43.64;42.30;43.00;2005-11-14;949850
EXPE;28.3345;43.02;43.18;42.16;42.92;2005-11-15;661400
EXPE;28.2028;42.82;44.16;42.74;43.38;2005-11-16;575300
EXPE;28.5189;43.30;43.74;42.32;42.90;2005-11-17;1132600
EXPE;28.5848;43.40;43.82;43.10;43.30;2005-11-18;833900
EXPE;29.7703;45.20;45.80;43.36;43.36;2005-11-21;2279850
EXPE;30.8241;46.80;47.38;44.84;45.44;2005-11-22;1898650
EXPE;30.0338;45.60;46.80;45.10;46.20;2005-11-23;1132350
EXPE;30.4816;46.28;46.84;45.88;45.88;2005-11-25;193350
EXPE;30.5475;46.38;46.94;45.84;46.70;2005-11-28;645500
EXPE;31.1666;47.32;48.50;46.20;46.26;2005-11-29;1951850
EXPE;32.7869;49.78;49.98;47.48;47.94;2005-11-30;2771550
EXPE;32.7210;49.68;50.16;49.26;49.78;2005-12-01;1448950
EXPE;32.8000;49.80;49.86;48.80;49.30;2005-12-02;470850
EXPE;32.1151;48.76;49.94;48.28;49.94;2005-12-05;1101300
EXPE;32.0228;48.62;49.58;48.42;49.26;2005-12-06;676450
EXPE;32.3785;49.16;49.60;48.42;48.42;2005-12-07;995950
EXPE;32.4312;49.24;49.54;48.40;49.00;2005-12-08;528500
EXPE;32.8000;49.80;50.24;48.66;49.10;2005-12-09;980950
EXPE;33.1952;50.40;50.60;49.20;50.50;2005-12-12;704450
EXPE;33.0898;50.24;50.86;49.46;50.30;2005-12-13;891550
EXPE;33.4060;50.72;50.96;49.62;50.42;2005-12-14;693100
EXPE;33.4982;50.86;51.16;50.06;50.86;2005-12-15;834850
EXPE;34.3808;52.20;52.64;49.92;51.30;2005-12-16;8207950
EXPE;33.4850;50.84;51.88;49.60;51.32;2005-12-19;2319800
EXPE;32.6156;49.52;51.12;48.90;50.98;2005-12-20;1073350
EXPE;32.0360;48.64;49.52;48.30;49.32;2005-12-21;1044650
EXPE;31.8516;48.36;49.12;47.22;48.82;2005-12-22;1500000
EXPE;31.5618;47.92;48.78;47.54;48.52;2005-12-23;498550
EXPE;31.2456;47.44;48.44;46.30;47.80;2005-12-27;550500
EXPE;31.5486;47.90;48.12;46.20;47.14;2005-12-28;946950
EXPE;31.3906;47.66;48.46;47.36;48.00;2005-12-29;449450
EXPE;31.5618;47.92;48.38;46.80;47.36;2005-12-30;529050
