Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
F;5.3803;9.01;9.20;8.96;9.20;2003-02-04;7343300
F;5.4281;9.09;9.24;8.58;9.18;2003-02-05;5889400
F;5.3684;8.99;9.05;8.90;9.00;2003-02-06;4755500
F;5.2549;8.80;9.11;8.76;9.08;2003-02-07;5346000
F;5.3445;8.95;8.95;8.69;8.81;2003-02-10;5903700
F;5.2848;8.85;9.04;8.78;9.02;2003-02-11;6826100
F;5.2250;8.75;8.85;8.62;8.75;2003-02-12;7369600
F;5.0399;8.44;8.70;8.36;8.65;2003-02-13;8460900
F;5.1892;8.69;8.78;8.40;8.50;2003-02-14;5868700
F;5.3325;8.93;9.08;8.69;8.70;2003-02-18;5959700
F;5.2668;8.82;8.96;8.75;8.95;2003-02-19;5848300
F;5.1653;8.65;8.85;8.61;8.80;2003-02-20;4504800
F;5.0399;8.44;8.57;8.25;8.57;2003-02-21;11893900
F;4.9504;8.29;8.45;8.25;8.45;2003-02-24;7218800
F;4.8250;8.08;8.23;8.00;8.20;2003-02-25;15336600
F;4.8429;8.11;8.22;8.04;8.22;2003-02-26;10026600
F;4.9742;8.33;8.33;8.11;8.18;2003-02-27;8245100
F;4.9683;8.32;8.44;8.24;8.38;2003-02-28;6236800
F;4.8190;8.07;8.42;8.02;8.38;2003-03-03;10279600
F;4.6219;7.74;8.00;7.66;8.00;2003-03-04;18522600
F;4.6339;7.76;7.80;7.64;7.74;2003-03-05;9986200
F;4.4487;7.45;7.75;7.42;7.70;2003-03-06;11409500
F;4.3114;7.22;7.40;7.11;7.20;2003-03-07;24310000
F;4.1741;6.99;7.29;6.97;7.29;2003-03-10;16227900
F;3.9412;6.60;7.22;6.58;7.00;2003-03-11;27663900
F;4.2278;7.08;7.13;6.76;6.84;2003-03-12;24379800
F;4.2577;7.13;7.39;6.93;7.35;2003-03-13;23135300
F;4.0367;6.76;7.13;6.71;7.13;2003-03-14;27348800
F;4.2935;7.19;7.25;6.60;6.70;2003-03-17;24551300
