Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
FANG;16.7154;17.50;18.28;17.50;17.82;2012-10-12;6467100
FANG;16.9542;17.75;17.83;17.50;17.55;2012-10-15;633100
FANG;16.9924;17.79;17.95;17.25;17.57;2012-10-16;180300
FANG;16.9065;17.70;18.07;17.50;17.70;2012-10-17;121000
FANG;16.9065;17.70;17.87;17.52;17.60;2012-10-18;146100
FANG;16.6295;17.41;17.80;17.41;17.72;2012-10-19;298100
FANG;16.2665;17.03;17.51;16.93;17.50;2012-10-22;359800
FANG;16.3620;17.13;17.30;16.75;16.85;2012-10-23;166100
FANG;16.6104;17.39;17.47;16.92;16.92;2012-10-24;158200
FANG;16.2665;17.03;17.98;16.25;17.98;2012-10-25;206900
FANG;16.3716;17.14;17.51;16.60;17.51;2012-10-26;199500
FANG;16.2665;17.03;17.03;16.50;16.50;2012-10-31;36400
FANG;16.4575;17.23;17.48;16.51;17.10;2012-11-01;203000
FANG;16.2378;17.00;17.23;16.56;16.99;2012-11-02;72100
FANG;15.9608;16.71;17.00;16.50;16.79;2012-11-05;33300
FANG;16.2474;17.01;17.48;16.09;16.52;2012-11-06;370600
FANG;16.2951;17.06;17.40;16.75;16.75;2012-11-07;155800
FANG;15.9990;16.75;17.27;16.29;16.29;2012-11-08;141600
FANG;15.8080;16.55;16.94;16.33;16.33;2012-11-09;209600
FANG;15.7603;16.50;16.55;16.36;16.46;2012-11-12;12800
FANG;15.3209;16.04;16.76;15.97;16.52;2012-11-13;47600
FANG;15.3304;16.05;16.47;15.65;15.97;2012-11-14;123400
FANG;15.9513;16.70;17.26;15.71;16.38;2012-11-15;367000
FANG;16.0659;16.82;17.69;16.27;16.91;2012-11-16;104600
FANG;16.3525;17.12;17.25;16.50;16.85;2012-11-19;77200
FANG;16.3620;17.13;17.29;16.83;17.14;2012-11-20;251400
FANG;16.4289;17.20;17.48;16.85;17.12;2012-11-21;33100
FANG;16.5435;17.32;17.55;17.06;17.25;2012-11-23;94000
FANG;16.4862;17.26;17.42;17.06;17.30;2012-11-26;77400
FANG;16.4575;17.23;17.33;16.93;17.07;2012-11-27;55800
FANG;16.4766;17.25;17.49;16.98;17.45;2012-11-28;94000
FANG;17.3458;18.16;18.35;17.20;17.46;2012-11-29;164400
FANG;17.1930;18.00;18.48;17.77;18.44;2012-11-30;44200
FANG;17.2885;18.10;18.50;17.39;18.01;2012-12-03;47600
FANG;17.0306;17.83;18.23;17.41;18.23;2012-12-04;30100
FANG;17.1739;17.98;18.10;17.58;17.58;2012-12-05;33000
FANG;16.8300;17.62;17.78;17.32;17.76;2012-12-06;41900
FANG;16.9542;17.75;17.85;17.60;17.68;2012-12-07;42500
FANG;16.8300;17.62;17.92;17.36;17.89;2012-12-10;72300
FANG;16.7536;17.54;17.84;17.20;17.41;2012-12-11;72200
FANG;16.8491;17.64;17.78;17.47;17.47;2012-12-12;58000
FANG;17.0784;17.88;17.98;17.29;17.41;2012-12-13;135900
FANG;16.7823;17.57;17.65;17.25;17.43;2012-12-14;44700
FANG;17.1739;17.98;18.50;17.50;17.66;2012-12-17;107600
FANG;17.9571;18.80;19.25;17.70;17.93;2012-12-18;142600
FANG;18.3201;19.18;19.89;18.13;18.80;2012-12-19;192600
FANG;18.1673;19.02;19.02;18.44;18.95;2012-12-20;200500
FANG;18.1291;18.98;19.18;17.68;18.62;2012-12-21;1936500
FANG;17.8043;18.64;19.45;18.01;19.05;2012-12-24;159000
FANG;17.8139;18.65;19.00;18.27;18.75;2012-12-26;81300
FANG;17.7088;18.54;19.49;18.39;18.57;2012-12-27;162100
FANG;17.9380;18.78;18.92;18.31;18.41;2012-12-28;66400
FANG;18.2628;19.12;19.22;18.57;18.74;2012-12-31;125600
FANG;18.3774;19.24;19.92;18.60;19.46;2013-01-02;189700
FANG;18.2819;19.14;19.46;18.65;19.24;2013-01-03;89100
FANG;19.1511;20.05;20.49;18.97;19.25;2013-01-04;173300
FANG;19.8388;20.77;21.24;19.64;19.89;2013-01-07;210300
FANG;19.6764;20.60;21.10;20.38;20.69;2013-01-08;229400
FANG;19.5523;20.47;20.97;20.40;20.71;2013-01-09;171800
FANG;20.6603;21.63;21.99;20.34;20.54;2013-01-10;235200
FANG;20.6985;21.67;21.78;20.55;21.60;2013-01-11;166300
FANG;20.8226;21.80;22.47;21.68;21.68;2013-01-14;130400
FANG;20.7462;21.72;22.90;21.17;21.67;2013-01-15;59300
FANG;20.3260;21.28;21.52;20.06;21.08;2013-01-16;239500
FANG;20.1731;21.12;21.81;20.76;21.37;2013-01-17;129800
FANG;19.6191;20.54;21.79;20.31;21.17;2013-01-18;119400
FANG;20.8131;21.79;21.89;20.60;20.60;2013-01-22;160100
FANG;20.4692;21.43;21.74;20.95;21.74;2013-01-23;42700
FANG;20.4692;21.43;22.59;21.19;21.24;2013-01-24;114500
FANG;21.0137;22.00;22.71;21.55;21.55;2013-01-25;71200
FANG;20.6698;21.64;22.25;21.34;22.20;2013-01-28;91000
FANG;21.1378;22.13;22.16;21.63;21.68;2013-01-29;113700
FANG;21.6536;22.67;22.88;22.04;22.04;2013-01-30;340500
FANG;21.4148;22.42;22.53;21.55;22.53;2013-01-31;260400
FANG;21.6823;22.70;22.95;22.36;22.56;2013-02-01;93600
FANG;21.5295;22.54;22.71;21.85;22.65;2013-02-04;80100
FANG;21.6154;22.63;22.65;22.16;22.58;2013-02-05;38700
FANG;21.6154;22.63;22.83;22.21;22.49;2013-02-06;136100
FANG;21.4148;22.42;22.69;22.00;22.06;2013-02-07;61300
FANG;21.0614;22.05;22.75;22.04;22.39;2013-02-08;96400
FANG;20.5934;21.56;22.13;21.30;22.13;2013-02-11;59100
FANG;20.6029;21.57;21.76;21.05;21.52;2013-02-12;154700
FANG;20.5934;21.56;22.01;21.23;21.55;2013-02-13;321700
FANG;21.0137;22.00;22.93;21.55;21.55;2013-02-14;379500
FANG;21.3002;22.30;22.65;21.70;22.07;2013-02-15;146500
FANG;21.7969;22.82;22.82;22.23;22.32;2013-02-19;102000
FANG;20.3260;21.28;23.28;21.21;22.81;2013-02-20;96200
FANG;19.8006;20.73;21.29;20.55;21.29;2013-02-21;76900
FANG;20.0394;20.98;22.63;20.23;22.25;2013-02-22;310600
FANG;18.8550;19.74;21.08;19.57;21.00;2013-02-25;167600
FANG;19.1511;20.05;20.52;19.70;19.84;2013-02-26;119300
FANG;20.0203;20.96;21.50;19.85;20.09;2013-02-27;158500
FANG;21.6918;22.71;23.31;20.20;20.98;2013-02-28;205000
FANG;21.3384;22.34;22.81;21.91;22.50;2013-03-01;46000
FANG;21.3862;22.39;22.87;21.83;22.37;2013-03-04;39000
FANG;22.6375;23.70;23.88;22.39;22.41;2013-03-05;108700
FANG;22.4942;23.55;24.03;23.38;23.83;2013-03-06;13800
FANG;23.4111;24.51;24.89;22.53;23.50;2013-03-07;129700
FANG;23.7837;24.90;24.96;23.89;24.77;2013-03-08;127200
FANG;23.3920;24.49;24.99;24.08;24.92;2013-03-11;218100
FANG;23.8123;24.93;24.99;24.30;24.52;2013-03-12;107300
FANG;24.5956;25.75;26.39;24.67;24.87;2013-03-13;308800
FANG;23.7455;24.86;25.86;24.22;25.86;2013-03-14;153000
FANG;23.0673;24.15;24.96;23.50;24.92;2013-03-15;186000
FANG;22.9145;23.99;24.55;23.63;23.87;2013-03-18;38800
FANG;22.6948;23.76;25.14;23.57;24.23;2013-03-19;87200
FANG;22.9240;24.00;24.30;23.65;24.04;2013-03-20;81000
FANG;23.2201;24.31;24.47;23.89;23.92;2013-03-21;133000
FANG;23.4493;24.55;24.62;24.24;24.39;2013-03-22;48100
FANG;24.0702;25.20;25.33;24.62;24.69;2013-03-25;197000
FANG;24.5000;25.65;25.87;25.08;25.23;2013-03-26;191400
FANG;24.9394;26.11;26.27;25.44;25.44;2013-03-27;83600
FANG;25.6367;26.84;27.21;26.04;26.24;2013-03-28;157500
FANG;26.1716;27.40;27.97;26.93;26.93;2013-04-01;216600
FANG;25.8277;27.04;27.89;26.75;27.47;2013-04-02;493300
FANG;23.8028;24.92;27.05;24.48;27.05;2013-04-03;526600
FANG;23.9269;25.05;25.27;23.83;24.87;2013-04-04;135100
FANG;24.0511;25.18;25.37;24.57;24.69;2013-04-05;56400
FANG;24.8821;26.05;26.35;25.02;25.17;2013-04-08;144200
FANG;25.5603;26.76;27.39;26.14;26.30;2013-04-09;285300
FANG;24.9108;26.08;27.24;25.92;26.75;2013-04-10;230100
FANG;25.3119;26.50;26.70;25.10;26.14;2013-04-11;165600
FANG;25.4361;26.63;27.05;26.23;26.50;2013-04-12;275800
FANG;24.6433;25.80;26.36;25.01;26.36;2013-04-15;378800
FANG;25.5412;26.74;26.77;25.86;26.07;2013-04-16;166300
FANG;24.6433;25.80;26.54;25.41;26.51;2013-04-17;160000
FANG;25.3215;26.51;26.67;25.46;25.91;2013-04-18;74100
FANG;25.0445;26.22;26.82;26.09;26.75;2013-04-19;126900
FANG;25.7704;26.98;27.34;26.21;26.35;2013-04-22;149300
FANG;26.2575;27.49;27.69;26.96;27.05;2013-04-23;107100
FANG;25.8850;27.10;27.62;27.04;27.43;2013-04-24;77900
FANG;26.0761;27.30;27.68;27.17;27.51;2013-04-25;68500
FANG;25.6749;26.88;27.37;26.35;27.29;2013-04-26;147000
FANG;24.8726;26.04;26.98;25.78;26.98;2013-04-29;343500
FANG;25.0827;26.26;26.74;26.13;26.46;2013-04-30;171600
FANG;25.2546;26.44;27.01;25.95;26.10;2013-05-01;347100
FANG;25.8850;27.10;27.25;26.46;26.46;2013-05-02;168400
FANG;26.2480;27.48;27.66;27.16;27.44;2013-05-03;86000
FANG;27.4706;28.76;29.40;27.58;27.58;2013-05-06;393000
FANG;27.2605;28.54;28.81;27.88;28.71;2013-05-07;264200
FANG;28.2061;29.53;29.75;27.51;28.38;2013-05-08;200900
FANG;27.3942;28.68;29.67;28.47;29.57;2013-05-09;189700
FANG;27.2987;28.58;28.70;27.91;28.65;2013-05-10;89400
FANG;27.3751;28.66;29.00;28.35;28.46;2013-05-13;51700
FANG;27.5757;28.87;28.91;28.53;28.61;2013-05-14;73700
FANG;28.1583;29.48;29.77;27.19;28.29;2013-05-15;599000
FANG;28.5977;29.94;31.60;29.73;31.17;2013-05-16;3939200
FANG;30.0209;31.43;32.41;30.20;30.52;2013-05-17;914000
FANG;30.5940;32.03;32.25;31.24;31.62;2013-05-20;545100
FANG;30.2883;31.71;32.40;31.23;32.40;2013-05-21;295800
FANG;31.0811;32.54;34.84;31.87;32.25;2013-05-22;876400
FANG;31.7784;33.27;34.30;31.52;31.98;2013-05-23;609700
FANG;32.7813;34.32;34.67;32.77;33.39;2013-05-24;792300
FANG;33.3831;34.95;35.91;34.31;34.77;2013-05-28;383300
FANG;33.3926;34.96;35.31;34.31;34.81;2013-05-29;230000
FANG;33.3831;34.95;35.65;34.40;34.78;2013-05-30;355500
FANG;32.2560;33.77;35.23;33.67;34.63;2013-05-31;596800
FANG;33.0488;34.60;34.75;32.88;33.66;2013-06-03;338800
FANG;32.5521;34.08;35.43;33.60;34.62;2013-06-04;175200
FANG;32.4184;33.94;34.68;33.82;34.27;2013-06-05;165100
FANG;33.0297;34.58;35.87;33.61;33.88;2013-06-06;110100
FANG;33.8607;35.45;35.64;34.15;34.85;2013-06-07;135000
FANG;33.1825;34.74;35.56;33.50;34.56;2013-06-10;234400
FANG;32.9151;34.46;35.24;34.18;34.56;2013-06-11;123300
FANG;32.8864;34.43;35.04;34.19;34.75;2013-06-12;65700
FANG;33.4022;34.97;35.30;33.42;34.54;2013-06-13;282100
FANG;33.3258;34.89;35.63;34.60;34.96;2013-06-14;145900
FANG;32.9055;34.45;35.28;33.79;35.24;2013-06-17;186800
FANG;33.4404;35.01;35.47;33.20;33.85;2013-06-18;611200
FANG;33.0583;34.61;35.48;34.15;35.24;2013-06-19;3342600
FANG;31.1766;32.64;34.31;32.47;34.31;2013-06-20;642000
FANG;31.6638;33.15;33.51;31.60;32.80;2013-06-21;1297800
FANG;30.5844;32.02;32.91;30.76;32.91;2013-06-24;797600
FANG;31.4441;32.92;33.35;31.49;32.59;2013-06-25;406000
FANG;32.1414;33.65;33.73;32.99;33.24;2013-06-26;325100
FANG;31.5778;33.06;33.77;32.96;33.71;2013-06-27;290800
FANG;31.8262;33.32;33.68;32.61;33.15;2013-06-28;902100
FANG;32.7336;34.27;34.65;33.42;33.49;2013-07-01;245100
FANG;33.0106;34.56;34.68;33.51;34.11;2013-07-02;119600
FANG;33.6219;35.20;36.24;34.20;34.53;2013-07-03;192200
FANG;34.2809;35.89;36.22;34.75;35.74;2013-07-05;224700
FANG;34.4815;36.10;37.80;35.64;36.07;2013-07-08;498600
FANG;34.8636;36.50;36.93;35.79;36.45;2013-07-09;280100
FANG;35.4940;37.16;37.25;35.82;36.54;2013-07-10;284000
FANG;35.9143;37.60;38.13;37.33;38.13;2013-07-11;320000
FANG;35.5800;37.25;37.67;36.23;37.39;2013-07-12;117800
FANG;35.5991;37.27;37.83;36.23;37.20;2013-07-15;243200
FANG;36.0193;37.71;37.91;36.62;37.18;2013-07-16;213300
