Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
FAST;2.8060;4.0763;4.12;4.0175;4.1075;2003-02-04;2829600
FAST;2.8430;4.13;4.2512;4.0625;4.1438;2003-02-05;5021600
FAST;2.7768;4.0338;4.1512;3.9975;4.1262;2003-02-06;3104800
FAST;2.7415;3.9825;4.0625;3.9750;4.0012;2003-02-07;2788000
FAST;2.7475;3.9913;4.045;3.9237;4.0062;2003-02-10;2766400
FAST;2.7140;3.9425;4.075;3.9125;4.0000;2003-02-11;3377600
FAST;2.6933;3.9125;3.96875;3.8863;3.9362;2003-02-12;2602400
FAST;2.7054;3.93;3.9375;3.8312;3.9150;2003-02-13;4004800
FAST;2.7320;3.96875;3.995;3.8850;3.9362;2003-02-14;3989600
FAST;2.8078;4.0788;4.0887;3.9987;4.0000;2003-02-18;6012800
FAST;2.7862;4.04;4.075;3.9850;4.0000;2003-02-19;3426400
FAST;2.7750;4.0237;4.075;3.9862;4.0500;2003-02-20;2405600
FAST;2.8207;4.09;4.0975;3.9500;4.0313;2003-02-21;3320800
FAST;2.7845;4.0375;4.0875;4.0250;4.0738;2003-02-24;6160800
FAST;2.7931;4.05;4.0625;3.8925;4.0188;2003-02-25;4548000
FAST;2.7578;3.9987;4.1013;3.9862;4.0175;2003-02-26;3163200
FAST;2.8164;4.0837;4.145;3.9125;3.9588;2003-02-27;4481600
FAST;2.8672;4.1575;4.2613;4.0875;4.1125;2003-02-28;5591200
FAST;2.7716;4.0188;4.1875;4.0000;4.1687;2003-03-03;3876800
FAST;2.6414;3.83;4.0163;3.8038;4.0037;2003-03-04;4898400
FAST;2.5802;3.7413;3.8112;3.6200;3.8063;2003-03-05;11924800
FAST;2.4819;3.5988;3.7425;3.5863;3.7425;2003-03-06;8244000
FAST;2.4776;3.5925;3.6312;3.5162;3.6312;2003-03-07;7942400
FAST;2.4172;3.505;3.5912;3.4388;3.5912;2003-03-10;6044800
FAST;2.4060;3.4887;3.5575;3.4825;3.4825;2003-03-11;6039200
FAST;2.4362;3.5325;3.54;3.4675;3.4750;2003-03-12;5776000
FAST;2.5379;3.68;3.6925;3.5638;3.5975;2003-03-13;7906400
FAST;2.5328;3.6725;3.755;3.6500;3.7200;2003-03-14;7143200
FAST;2.6397;3.8275;3.83;3.5325;3.6800;2003-03-17;9381600
FAST;2.7302;3.9588;3.96;3.8312;3.8338;2003-03-18;9748800
FAST;2.6302;3.8138;4;3.7725;3.9650;2003-03-19;8991200
FAST;2.5759;3.735;3.8363;3.6675;3.7750;2003-03-20;11715200
FAST;2.6466;3.8375;3.8663;3.6750;3.7625;2003-03-21;7029600
FAST;2.4741;3.5875;3.8075;3.5750;3.7863;2003-03-24;5249600
FAST;2.5647;3.71875;3.7487;3.5438;3.5938;2003-03-25;7800800
FAST;2.5431;3.6875;3.7475;3.6550;3.7088;2003-03-26;4721600
FAST;2.5509;3.6988;3.75;3.6563;3.6688;2003-03-27;3916800
FAST;2.5293;3.6675;3.6962;3.6525;3.6900;2003-03-28;4658400
FAST;2.4302;3.5238;3.6463;3.4975;3.6463;2003-03-31;4440800
FAST;2.4379;3.535;3.57;3.4750;3.5287;2003-04-01;4824800
FAST;2.5681;3.7238;3.75;3.5875;3.5875;2003-04-02;3933600
FAST;2.7595;4.0012;4.08;3.7500;3.7587;2003-04-03;13307200
FAST;2.7931;4.05;4.0887;3.9987;4.0200;2003-04-04;6052800
FAST;2.8431;4.1225;4.28;4.0687;4.0862;2003-04-07;8536800
FAST;2.7560;3.9962;4.1875;3.9862;4.1875;2003-04-08;8323200
FAST;2.7259;3.9525;4.0813;3.9275;3.9825;2003-04-09;4268800
FAST;2.8233;4.09375;4.1062;3.8812;3.9175;2003-04-10;6593600
FAST;2.8448;4.125;4.1725;4.0375;4.0563;2003-04-11;11950400
FAST;2.9612;4.2937;4.3088;4.1200;4.1550;2003-04-14;5568800
FAST;2.9397;4.2625;4.345;4.2362;4.3038;2003-04-15;5782400
FAST;2.8707;4.1625;4.3125;4.1375;4.3125;2003-04-16;4580000
FAST;2.9569;4.2875;4.36;4.1125;4.1625;2003-04-17;8683200
FAST;2.9509;4.2787;4.3125;4.2100;4.2813;2003-04-21;4813600
FAST;3.0060;4.3587;4.3938;4.2075;4.2750;2003-04-22;3806400
FAST;2.9698;4.3063;4.3938;4.2438;4.3938;2003-04-23;4216800
FAST;2.9267;4.2438;4.305;4.2025;4.2663;2003-04-24;4301600
FAST;2.8853;4.1838;4.2438;4.1250;4.2400;2003-04-25;3537600
FAST;2.9914;4.3375;4.3938;4.1863;4.1875;2003-04-28;5649600
FAST;2.9647;4.2987;4.3637;4.2275;4.3562;2003-04-29;4316000
FAST;2.9759;4.315;4.3538;4.1700;4.2825;2003-04-30;4813600
FAST;2.9060;4.2137;4.28125;4.1250;4.2813;2003-05-01;5234400
FAST;2.9448;4.27;4.375;4.1900;4.2188;2003-05-02;6268000
FAST;3.0276;4.39;4.46;4.2587;4.2725;2003-05-05;6626400
FAST;3.0586;4.435;4.505;4.3637;4.3750;2003-05-06;5808000
FAST;2.9802;4.3212;4.40625;4.2813;4.4063;2003-05-07;6267200
FAST;2.9345;4.255;4.3513;4.2438;4.2888;2003-05-08;3482400
FAST;3.0112;4.3663;4.375;4.2000;4.2288;2003-05-09;3326400
FAST;3.1026;4.4988;4.5125;4.2962;4.3775;2003-05-12;2924800
FAST;3.0172;4.375;4.4788;4.3288;4.4775;2003-05-13;4740800
FAST;2.9724;4.31;4.4275;4.2925;4.3587;2003-05-14;4992800
FAST;3.0164;4.3738;4.3812;4.3063;4.3212;2003-05-15;2797600
FAST;2.9560;4.2863;4.3863;4.2850;4.3762;2003-05-16;5119200
FAST;2.8543;4.1388;4.3075;4.1375;4.2813;2003-05-19;4232800
FAST;2.7871;4.0413;4.17;4.0050;4.1512;2003-05-20;5399200
FAST;2.7241;3.95;4.05;3.8850;4.0500;2003-05-21;12917600
FAST;2.7345;3.965;4.035;3.9000;3.9500;2003-05-22;8076000
FAST;2.7474;3.9838;3.9987;3.8712;3.9500;2003-05-23;5513600
FAST;2.7888;4.0437;4.1062;3.9362;4.0625;2003-05-27;4372000
FAST;2.8466;4.1275;4.1588;4.0350;4.0563;2003-05-28;8631200
FAST;2.8155;4.0825;4.175;4.0000;4.1225;2003-05-29;8848800
FAST;2.8819;4.1788;4.2263;4.0625;4.0875;2003-05-30;7295200
FAST;2.9491;4.2762;4.445;4.1725;4.1875;2003-06-02;8518400
FAST;2.9595;4.2913;4.3038;4.2425;4.2813;2003-06-03;4988800
FAST;2.9922;4.3387;4.3863;4.2650;4.3162;2003-06-04;7500800
FAST;2.9612;4.2937;4.3325;4.2475;4.3187;2003-06-05;5568800
FAST;2.9207;4.235;4.39;4.2312;4.3263;2003-06-06;4575200
FAST;2.8560;4.1413;4.2688;4.1363;4.2275;2003-06-09;4472800
FAST;2.9647;4.2987;4.305;4.1363;4.1413;2003-06-10;4353600
FAST;3.0388;4.40625;4.4088;4.2137;4.3025;2003-06-11;4604800
FAST;3.0664;4.4462;4.4563;4.3750;4.4075;2003-06-12;5375200
FAST;3.0034;4.355;4.4763;4.2950;4.4363;2003-06-13;4612000
FAST;3.1431;4.5575;4.5725;4.3550;4.3550;2003-06-16;5116000
FAST;3.1586;4.58;4.6438;4.5000;4.6000;2003-06-17;5366400
FAST;3.0905;4.4812;4.5613;4.4412;4.5600;2003-06-18;2798400
FAST;3.0155;4.3725;4.4938;4.3463;4.4812;2003-06-19;2369600
FAST;3.0388;4.40625;4.43;4.3450;4.4063;2003-06-20;2388800
FAST;3.0078;4.3612;4.3875;4.3250;4.3575;2003-06-23;1820800
FAST;3.0069;4.36;4.4575;4.3400;4.3725;2003-06-24;3668000
FAST;3.0060;4.3587;4.4338;4.2962;4.3450;2003-06-25;3662400
FAST;2.9759;4.315;4.3425;4.2362;4.2950;2003-06-26;6596800
FAST;2.9491;4.2762;4.3775;4.2400;4.2825;2003-06-27;3708000
FAST;2.9259;4.2425;4.325;4.2400;4.2488;2003-06-30;2672800
FAST;2.9560;4.2863;4.3212;4.1125;4.2400;2003-07-01;5477600
FAST;3.0724;4.455;4.5212;4.2425;4.2937;2003-07-02;9669600
FAST;3.0190;4.3775;4.4775;4.3313;4.4100;2003-07-03;4280000
FAST;3.0897;4.48;4.4988;4.3663;4.3837;2003-07-07;4210400
FAST;3.1000;4.495;4.5413;4.3987;4.4738;2003-07-08;3645600
FAST;3.0681;4.4488;4.5212;4.4175;4.4825;2003-07-09;2572000
FAST;3.0466;4.4175;4.45;4.3500;4.4500;2003-07-10;2376000
FAST;3.0569;4.4325;4.52;4.3125;4.3987;2003-07-11;8848000
FAST;3.0819;4.46875;4.6175;4.4163;4.4350;2003-07-14;3942400
FAST;3.0250;4.3863;4.5512;4.3600;4.4750;2003-07-15;5327200
