Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
FB;38.23;38.23;45.00;38.00;42.05;2012-05-18;573576400
FB;34.03;34.03;36.66;33.00;36.53;2012-05-21;168192700
FB;31.00;31.00;33.59;30.94;32.61;2012-05-22;101786600
FB;32.00;32.00;32.50;31.36;31.37;2012-05-23;73600000
FB;33.03;33.03;33.21;31.77;32.95;2012-05-24;50237200
FB;31.91;31.91;32.95;31.11;32.90;2012-05-25;37149800
FB;28.84;28.84;31.69;28.65;31.48;2012-05-29;78063400
FB;28.19;28.19;29.55;27.86;28.70;2012-05-30;57267900
FB;29.60;29.60;29.67;26.83;28.55;2012-05-31;111639200
FB;27.72;27.72;29.15;27.39;28.89;2012-06-01;41855500
FB;26.90;26.90;27.65;26.44;27.20;2012-06-04;35230300
FB;25.87;25.87;27.76;25.75;26.70;2012-06-05;42473400
FB;26.81;26.81;27.17;25.52;26.07;2012-06-06;61489200
FB;26.31;26.31;27.35;26.15;27.00;2012-06-07;26159500
FB;27.10;27.10;27.76;26.44;26.55;2012-06-08;38034000
FB;27.01;27.01;28.07;26.84;27.18;2012-06-11;28219600
FB;27.40;27.40;27.77;26.96;27.48;2012-06-12;15816800
FB;27.27;27.27;28.10;27.10;27.66;2012-06-13;17102800
FB;28.29;28.29;28.32;27.38;27.65;2012-06-14;16855000
FB;30.01;30.01;30.10;28.35;28.51;2012-06-15;43563800
FB;31.41;31.41;32.08;29.41;29.96;2012-06-18;42978900
FB;31.91;31.91;32.18;30.70;31.54;2012-06-19;30849000
FB;31.60;31.60;31.93;31.15;31.92;2012-06-20;15553600
FB;31.84;31.84;32.50;31.51;31.67;2012-06-21;21875300
FB;33.05;33.05;33.45;32.06;32.41;2012-06-22;74834000
FB;32.06;32.06;33.02;31.55;32.86;2012-06-25;24352900
FB;33.10;33.10;33.44;32.50;32.69;2012-06-26;24858700
FB;32.23;32.23;32.90;31.90;32.46;2012-06-27;28568000
FB;31.36;31.36;32.19;30.90;31.96;2012-06-28;17713300
FB;31.10;31.10;31.99;30.76;31.92;2012-06-29;19526900
FB;30.77;30.77;31.73;30.55;31.25;2012-07-02;14122000
FB;31.20;31.20;31.44;30.80;30.91;2012-07-03;8763600
FB;31.47;31.47;31.63;31.02;31.32;2012-07-05;10032100
FB;31.73;31.73;31.90;31.26;31.44;2012-07-06;10945600
FB;32.17;32.17;32.88;31.99;32.10;2012-07-09;17785200
FB;31.47;31.47;32.48;31.16;32.43;2012-07-10;14269500
FB;30.97;30.97;31.56;30.55;31.48;2012-07-11;13030300
FB;30.81;30.81;31.40;30.60;30.70;2012-07-12;11300700
FB;30.72;30.72;31.07;30.56;31.04;2012-07-13;8108300
FB;28.25;28.25;30.50;28.21;30.50;2012-07-16;24672100
FB;28.09;28.09;28.59;27.15;28.48;2012-07-17;30438600
